index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,3.49628725,1.1654290833333334,4988784.713330733,-8912.07948962517,1447196.076269188,-10472906.724730624,-21315252.568985417,5558834.350000001,Main Bearing_UW,1613.472074595612,1563.6751563306323,8.094508882803899,9277145.721866835,9344823.397986265,10445066.339047268,8453135.249833766,1.2562366898973479e-07,1.2471386924064012e-07,1.1157699199827546e-07,1.3786944712096637e-07,,
0,0.0,3.49628725,1.1654290833333334,4988784.713330733,-8912.07948962517,1447196.076269188,-10472906.724730624,-21315252.568985417,5558834.350000001,Main Bearing_DW,1200.2302729410608,1163.594961841218,14.618965009038392,66553074.10100393,138930673.97835684,101448439.19811735,143979214.39795953,1.7511273507285717e-08,8.388565677835036e-09,1.1487895649704201e-08,8.09442590867373e-09,,
1,20.0,3.49349575,1.1644985833333334,4985981.6339925835,6446.810689235876,1443285.4138362512,-8924175.570472714,-20768089.285299223,5702627.95,Main Bearing_UW,1600.6378227495968,1551.23905135442,8.2797272730828,10003826.190484164,10316109.81935787,11246686.227453979,9248911.675011244,1.164053194407783e-07,1.1288156133702521e-07,1.035414841120674e-07,1.2590655249520673e-07,,
1,20.0,3.49349575,1.1644985833333334,4985981.6339925835,6446.810689235876,1443285.4138362512,-8924175.570472714,-20768089.285299223,5702627.95,Main Bearing_DW,1175.855272036042,1139.9628826498367,15.406559769784892,79274152.69004892,178572013.8015176,119592434.80652943,177751131.4780801,1.4689511572408267e-08,6.5211706949089514e-09,9.73722614826933e-09,6.551286473678155e-09,,
2,40.0,3.4990706,1.1663568666666666,4971965.020110519,6018.881319611788,1478461.540996186,-3418275.395046755,-23268193.491115857,5770358.8,Main Bearing_UW,1625.7940939225336,1575.5751819065893,7.965131863720622,8792032.100442588,8711841.850942753,9821991.670059208,7846125.606596513,1.3266066972252666e-07,1.3388177685301405e-07,1.1874952716790847e-07,1.48653861172713e-07,,
2,40.0,3.4990706,1.1663568666666666,4971965.020110519,6018.881319611788,1478461.540996186,-3418275.395046755,-23268193.491115857,5770358.8,Main Bearing_DW,1192.079583077861,1155.6902931799632,14.834441106324102,69879533.03977004,149083333.92295498,105164388.67160301,150771562.5777398,1.6690965378988242e-08,7.823522830992162e-09,1.109079681249183e-08,7.73592079783134e-09,,
3,60.0,3.49708035,1.16569345,4976752.747129317,-12449.075204476521,1478603.261136041,-4692518.007624149,-20829130.217408538,6388370.8,Main Bearing_UW,1590.3198286912489,1541.2414012529327,8.422360520452115,10589906.447116598,11127654.731631288,11893044.797314549,9908485.374671508,1.1007589687606665e-07,1.0475643593491618e-07,9.801471951599928e-08,1.17645977757589e-07,,
3,60.0,3.49708035,1.16569345,4976752.747129317,-12449.075204476521,1478603.261136041,-4692518.007624149,-20829130.217408538,6388370.8,Main Bearing_DW,1148.0079620076751,1112.963816592323,16.402503167264317,97681682.79021451,242055271.81895545,144739376.5134547,227504301.1233937,1.1933593041220376e-08,4.815815169982652e-09,8.053740993499714e-09,5.123830381421015e-09,,
4,80.0,3.4913491499999996,1.16378305,4978237.680525012,-12274.481045000939,1468905.4188989275,-6174737.598032034,-21877489.173743173,5902502.55,Main Bearing_UW,1609.7734765522773,1560.091561115265,8.165835437551278,9552450.081350008,9704006.08391176,10707995.524384128,8708477.274062967,1.2183084340552003e-07,1.1992810391261317e-07,1.086835577536287e-07,1.3363794993944254e-07,,
4,80.0,3.4913491499999996,1.16378305,4978237.680525012,-12274.481045000939,1468905.4188989275,-6174737.598032034,-21877489.173743173,5902502.55,Main Bearing_DW,1177.0986892869566,1141.1671479957122,15.350248106013494,78312429.3103195,175369364.87427,117640246.15220143,173919290.8027037,1.4860770636911454e-08,6.636182156640455e-09,9.89272879023317e-09,6.691512164226857e-09,,
5,100.0,3.4931531000000002,1.1643843666666667,4974120.581366168,-11511.230332405641,1456328.2041632857,-3263975.8760840655,-21526037.122672357,5751895.45,Main Bearing_UW,1600.036245009342,1550.656524900306,8.309288439276333,10123378.648148857,10478478.887114488,11322411.836630413,9325516.84536635,1.1501934355479076e-07,1.1112150715868925e-07,1.028388989437423e-07,1.24860035746461e-07,,
