index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,4.93963475,1.6465449166666666,4993332.7783337915,26439.993286847402,2808474.4643765455,-9106147.762011778,-19245043.25599211,22705742.000000004,Main Bearing_UW,1478.2254218695073,1432.6129403215562,8.58453237331013,11284998.548744831,14662346.704335218,17132264.637220066,18390362.034643035,1.4590563831749918e-07,1.1229750256688667e-07,9.610783813656057e-08,8.953303439948439e-08,,
0,0.0,4.93963475,1.6465449166666666,4993332.7783337915,26439.993286847402,2808474.4643765455,-9106147.762011778,-19245043.25599211,22705742.000000004,Main Bearing_DW,1257.8987878560224,1219.516653866378,16.387476437772612,97383706.31530498,316675347.3149734,101022189.26171489,179723795.69670826,1.690780705486348e-08,5.199472995379621e-09,1.629884413216404e-08,9.161529836846329e-09,,
1,20.0,4.606790849999999,1.5355969499999997,4992967.867934363,-19419.232417848394,2510768.514082679,-3917234.531781158,-19071661.14024105,19721909.499999996,Main Bearing_UW,1489.7743002717018,1443.8071622956395,8.816599258741835,12334352.879241006,15906088.415507661,17644018.785905126,18449183.24454484,1.24497569109154e-07,9.654145694945764e-08,8.703215342451953e-08,8.323387163787068e-08,,
1,20.0,4.606790849999999,1.5355969499999997,4992967.867934363,-19419.232417848394,2510768.514082679,-3917234.531781158,-19071661.14024105,19721909.499999996,Main Bearing_DW,1189.526556410581,1153.2259762335289,18.07764527748224,135078293.7644981,491528579.136206,155340345.20266923,302233965.1262312,1.1368199191775638e-08,3.124125463261161e-09,9.885371041222673e-09,5.080821903516507e-09,,
2,40.0,4.5222058,1.5074019333333333,4972071.439067846,17091.70448999113,2509894.927890772,-3087624.597390686,-24045959.613397524,18917464.0,Main Bearing_UW,1565.1098798009346,1516.7954086892425,7.825499214607613,8288695.888797106,9235846.83636667,11588155.456606993,10841908.005944645,1.8186237660989808e-07,1.6321209738968958e-07,1.300812660805208e-07,1.390347466983506e-07,,
2,40.0,4.5222058,1.5074019333333333,4972071.439067846,17091.70448999113,2509894.927890772,-3087624.597390686,-24045959.613397524,18917464.0,Main Bearing_DW,1289.0917380673566,1249.753623646063,14.372835025210433,62890855.24064878,154737631.30297977,74748900.32566434,114691124.65055475,2.39685392664058e-08,9.741663489612338e-09,2.0166208824021732e-08,1.3143143708165236e-08,,
3,60.0,4.6662382000000004,1.5554127333333334,4979705.131268815,23744.694828630923,2700737.6685075616,-8582329.721495619,-21900107.751527067,20102327.0,Main Bearing_UW,1523.4722300504914,1476.4585807866515,8.079605285128524,9220331.03640622,10826589.804422252,13679217.17229894,13507158.101432376,1.6869380580716998e-07,1.436659891462782e-07,1.1370626796415789e-07,1.1515469957876547e-07,,
3,60.0,4.6662382000000004,1.5554127333333334,4979705.131268815,23744.694828630923,2700737.6685075616,-8582329.721495619,-21900107.751527067,20102327.0,Main Bearing_DW,1296.0500742295574,1256.5030406143626,14.789588331529703,69177731.59640479,182112326.93609577,75295276.05902235,118164421.4107665,2.2484298016707e-08,8.540952496198329e-09,2.0657507545547462e-08,1.3163122323650736e-08,,
4,80.0,4.7324717,1.5774905666666665,5018511.600653129,40554.06498649047,2704646.8660853487,-12942917.44638798,-18390858.256091382,20755602.5,Main Bearing_UW,1483.0068511224636,1437.2460271053742,8.513354891265946,10976111.031243468,13791002.509426229,16643013.413761334,17355797.820141345,1.437203543382847e-07,1.1438548905987384e-07,9.47839509257568e-08,9.089127351068782e-08,,
4,80.0,4.7324717,1.5774905666666665,5018511.600653129,40554.06498649047,2704646.8660853487,-12942917.44638798,-18390858.256091382,20755602.5,Main Bearing_DW,1285.3342466306003,1246.1161927364728,15.410645503491597,79344251.25083067,225414733.94772387,83106808.05990206,135576563.868803,1.988159875224926e-08,6.998169724932461e-09,1.898148423086634e-08,1.1635422241510701e-08,,
5,100.0,4.5727787,1.5242595666666667,5035362.862147897,21523.69809400273,2527195.570462734,-17564080.401388902,-14404632.204590067,19452347.5,Main Bearing_UW,1453.0838448450666,1408.2474598602064,8.908742037484705,12769306.474676328,16600906.010114644,19495680.892106034,20776711.097497653,1.1936901739256777e-07,9.181785414229572e-08,7.8184474556303e-08,7.336385241696163e-08,,
5,100.0,4.5727787,1.5242595666666667,5035362.862147897,21523.69809400273,2527195.570462734,-17564080.401388902,-14404632.204590067,19452347.5,Main Bearing_DW,1296.8506724947642,1257.2840151219584,15.11410584603799,74368250.13795282,199532532.90019134,77199114.90489048,120653573.03310731,2.0496106387324848e-08,7.639153097049694e-09,1.9744521275205794e-08,1.2633356214394168e-08,,
6,120.0,4.1652524,1.3884174666666667,5021199.793052386,-11440.388436542918,2105746.3710378977,-15277489.28299559,-17290566.687979206,16173885.5,Main Bearing_UW,1520.3915540515798,1473.4755371661113,8.537819251620276,11081602.124266757,13016948.339768942,15265450.340247966,14650865.307674214,1.2529031913411483e-07,1.0666228600023097e-07,9.095162184675605e-08,9.476692587839197e-08,,
