k,dt_s,eps_UW_pct,eps_DW_pct,eps_Sys_pct
0.0,20,-14.31958280355814,-25.445072535565284,-16.186026254746398
0.05,20,-11.357813290613894,-21.648975035537788,-13.085650737032772
0.1,20,-8.299317054260758,-17.67909720314389,-9.875372223497102
0.15,20,-5.143581201407866,-13.529364525448651,-6.553715504574953
0.2,20,-1.890955863651178,-9.193585905730394,-3.1199009996509597
0.25,20,1.4595340970840587,-4.665454213028298,0.4279771592182957
0.3,20,4.910073668741788,0.061453159812407954,4.092853430817156
0.35,20,8.46287333603366,4.99367373117412,7.877704385229678
0.4,20,12.120168963521438,10.137859360192913,11.785548505238253
0.45,20,15.88422167896326,15.500775672042977,15.819445986100078
0.5,20,19.75731775698968,21.089301480110677,19.982498534073258
0.55,20,23.741768503168604,26.91042820607108,24.27784916403364
0.6,20,27.83991013851348,32.97125929876401,28.70868199648926
0.65,20,32.054103684482804,39.27900965267601,33.27822205427338
0.7,20,36.38673484851669,45.84100502673627,37.989735059169405
0.75,20,40.840213910150425,52.66468146406223,42.84652722869675
0.8,20,45.41697560774096,59.75758471321208,47.85194507326296
0.85,20,50.11947902583955,67.12736965144062,53.00937519386799
0.9,20,54.95020748323971,74.78179971039329,58.32224408052515
0.95,20,59.91166842172686,82.72874630462329,63.794017911547066
1.0,20,65.0063932955526,90.9761882632685,69.42820235382791
1.05,20,70.23693746165513,99.53221126518177,75.22834236423788
1.1,20,75.60588007064273,108.40500727777176,81.198021992232
1.15,20,81.11582395855774,117.60287399977733,87.3408641837645
1.2,20,86.76939553943394,127.13421430816689,93.66053058658596
1.25,20,92.56924469865919,137.0075357093282,100.16072135699181
1.3,20,98.51804468715424,147.23144979468853,106.8451749680805
1.35,20,104.61849201637547,157.8146717008838,113.71766801957226
1.4,20,110.87330635414862,168.76601957457638,120.7820150492286
1.45,20,117.28523042134005,180.09441404200155,128.04206834591034
1.5,20,123.85702988936767,191.8088776833093,135.50171776430022
1.55,20,130.59149327855812,203.91853451175282,143.16489054131546
1.6,20,137.4914318573485,216.4326094577623,151.0355511142261
1.65,20,144.55967954233623,229.36042785793288,159.1177009404939
