idx,dmg_UW,dmg_DW
0,2.719202865406163e-10,2.7488784936567128e-11
1,2.9759398729993725e-10,3.0097862066575055e-11
2,3.587680409686809e-10,3.684333810429191e-11
3,4.408778103411642e-10,4.861124743018375e-11
4,5.420266633142053e-10,6.833493631514663e-11
5,6.614993295197914e-10,9.447518332879461e-11
6,7.736955033300984e-10,1.2198399913723846e-10
7,7.81364987824996e-10,1.31873873862528e-10
8,7.056716219418261e-10,1.2493386653848718e-10
9,6.794172247252399e-10,1.2690342845392925e-10
10,7.876587355836813e-10,1.6030326178857903e-10
11,9.581257959729975e-10,2.0613298486921972e-10
12,1.0324148631572914e-09,2.234710408932658e-10
13,9.482874640006248e-10,1.9014373874805448e-10
14,8.421761700484166e-10,1.4714262395312627e-10
15,8.122428994919947e-10,1.239066612998496e-10
16,7.683068639965682e-10,1.0461055687682974e-10
17,6.652985241758372e-10,8.41320390355348e-11
18,5.208979277618479e-10,5.976551941947488e-11
19,4.4580095534859497e-10,4.808594162435613e-11
20,4.215298299820669e-10,4.32124402261254e-11
21,4.020694683015088e-10,3.8704331770991344e-11
22,3.687476602849394e-10,3.34639105240896e-11
23,3.40107790083391e-10,2.9695927270390504e-11
24,3.440478915574531e-10,3.0849498533206106e-11
25,3.6265186813780845e-10,3.3911607146715364e-11
26,3.5585235265835515e-10,3.3208854581230424e-11
27,3.58204982552526e-10,3.416677176360067e-11
28,3.8141576262428477e-10,3.759432817550827e-11
29,4.260230222345585e-10,4.6467104273796735e-11
30,4.736972816787321e-10,6.079813552149117e-11
31,4.758251880235495e-10,6.69913165812213e-11
32,4.977736968791309e-10,7.42835366939879e-11
33,5.643409682438726e-10,8.570901043512043e-11
34,6.540787452006441e-10,9.744010348629245e-11
35,7.115347207326398e-10,1.0362900880071757e-10
36,7.03164314478687e-10,1.0054313649080827e-10
37,6.811582117428617e-10,9.774396497389472e-11
38,6.784415735461019e-10,9.971073282512813e-11
39,6.325111256967184e-10,9.051022639734428e-11
40,5.542605824184255e-10,7.731349975322478e-11
41,5.136832132887986e-10,7.355306285816971e-11
42,5.570687643906782e-10,8.514068058548434e-11
43,7.185688910414657e-10,1.2224345212258435e-10
44,9.148198128032771e-10,1.6559664389455503e-10
45,1.062878109853627e-09,1.963018519863805e-10
46,1.20589799702365e-09,2.2854946937599205e-10
47,1.3373451079756834e-09,2.5910029360864414e-10
48,1.4021020931979278e-09,2.8117617960394447e-10
49,1.3324644429182937e-09,2.7945967362327997e-10
50,1.2123725337165187e-09,2.616114850228158e-10
51,1.1057014962551392e-09,2.313170883705583e-10
52,1.08639900876182e-09,2.2018937818774297e-10
53,1.0992330174026925e-09,2.14808351923458e-10
54,1.1727813656725253e-09,2.1983833866584167e-10
55,1.2901971132115822e-09,2.34063341117209e-10
56,1.3538608640804282e-09,2.36745880803476e-10
57,1.1995837734062542e-09,1.9186231751512674e-10
58,9.450964166756095e-10,1.3418984450304383e-10
59,7.416774089211111e-10,9.35714102112585e-11
60,6.352170187481786e-10,7.31852935669641e-11
61,5.879921800954141e-10,6.55239849126147e-11
62,5.547307910160488e-10,6.148499162945198e-11
63,5.046100407903691e-10,5.216309548821835e-11
64,4.585985956174527e-10,4.2239896056486367e-11
65,4.4793882999297973e-10,3.865260942532074e-11
66,4.526124855899042e-10,3.725326462077426e-11
67,4.72003443860243e-10,3.8770870651311426e-11
68,5.006325291004009e-10,4.329430309790815e-11
69,5.342506717128801e-10,5.046116154869314e-11
70,5.701962703884238e-10,5.859440196559485e-11
71,6.362004434301627e-10,7.297270790109964e-11
72,6.767337419087704e-10,8.191034004091771e-11
73,7.177923893065529e-10,9.164931728662384e-11
74,7.319198325075722e-10,9.508007044291794e-11
75,7.481028115620268e-10,9.891996453819929e-11
76,7.946641884485542e-10,1.1034150275812166e-10
77,8.462905730576903e-10,1.2433589137623942e-10
78,8.699335488573866e-10,1.3408967066156608e-10
79,9.218038360355877e-10,1.5579077948316284e-10
80,9.155455101358809e-10,1.589230339532016e-10
81,9.034384905030911e-10,1.6034818111479785e-10
82,9.040107184595678e-10,1.657081678707777e-10
83,9.123602472659775e-10,1.665190140635566e-10
84,9.526228463791586e-10,1.7016672355233964e-10
85,1.036726759150391e-09,1.846913193338835e-10
86,1.1139943099159222e-09,1.941858983205838e-10
87,1.1516406677219637e-09,1.943299272134741e-10
88,1.1754127113523485e-09,1.9833360731592697e-10
89,1.1743271159843181e-09,2.0082740885382722e-10
90,1.1310107690200209e-09,1.917392872912516e-10
91,1.0133061232909351e-09,1.6415230288432568e-10
92,7.992470323476246e-10,1.1562805388643137e-10
93,6.497399247682032e-10,8.553605137915154e-11
94,5.961073467285959e-10,7.322830236682991e-11
95,5.855678881759115e-10,6.643107899071161e-11
96,5.489896481212604e-10,5.692489260848251e-11
97,4.618518255408894e-10,4.164440035270964e-11
98,4.0420001176304656e-10,3.2128644180146485e-11
99,3.9337241142080093e-10,2.9378306412950105e-11
100,3.496136957978831e-10,2.228805545871283e-11
101,2.7961302161667006e-10,1.4847392272605594e-11
102,2.1561019153088036e-10,9.128413607669928e-12
103,2.011470088808384e-10,8.023816533267493e-12
104,2.1653516456773664e-10,9.792520676486055e-12
105,2.1800014758012186e-10,1.1373000015028993e-11
106,2.0718365837815325e-10,1.2123666692966221e-11
107,2.224069293794248e-10,1.5129976822484824e-11
108,2.9357750836716114e-10,2.4458381032958344e-11
109,3.8419122998133627e-10,3.658116179210741e-11
110,4.3084191710738875e-10,4.3651403606011666e-11
111,4.306106558427341e-10,4.2893048553332365e-11
112,4.736250433605028e-10,4.8342094646291165e-11
113,5.510849847338487e-10,5.950828014881947e-11
114,5.935528045557548e-10,6.917924058916452e-11
115,5.81523685166753e-10,7.293049815463898e-11
116,5.448848215135052e-10,6.94826339653056e-11
117,5.633083541719503e-10,7.392676288090433e-11
118,5.912600571264633e-10,7.918297076099281e-11
119,5.881329623663923e-10,8.256523833640616e-11
120,6.099386764709491e-10,9.661265988822387e-11
121,6.768960774450418e-10,1.18986456221138e-10
122,7.289536115629587e-10,1.310904377094483e-10
123,7.22910474349285e-10,1.280274212014373e-10
124,7.30817012619513e-10,1.2614514068227546e-10
125,7.803891179175217e-10,1.3088177885847208e-10
126,8.811998351899275e-10,1.5249634215565958e-10
127,8.97287905586501e-10,1.6021056317081776e-10
128,8.409899144424609e-10,1.47293124491015e-10
129,8.167290365430183e-10,1.328570749808537e-10
130,8.815738386586516e-10,1.3534476261877384e-10
131,8.95783158394288e-10,1.297287564378885e-10
132,7.384489066756791e-10,9.516694693307324e-11
133,5.812452726902652e-10,6.888609076592498e-11
134,4.719851008827071e-10,4.835977411464426e-11
135,4.105587428180834e-10,3.580250200366471e-11
136,3.389309726452371e-10,2.5074855426797765e-11
137,2.9182879072157576e-10,2.0485033284084387e-11
138,2.9202288158182457e-10,2.1413609262997745e-11
139,3.331263163532702e-10,2.6714499595475568e-11
140,3.457025808860241e-10,2.786290585254207e-11
141,3.010714805719933e-10,2.1725158247430997e-11
142,2.7069430498973854e-10,1.7957867094909787e-11
143,2.7830251901505187e-10,1.9134713477491036e-11
144,2.601011978368683e-10,1.8075865804864354e-11
145,2.0822199061608785e-10,1.511902128664829e-11
146,1.6930270362866504e-10,1.3209325813097963e-11
147,1.8726918802834354e-10,1.6434032032554497e-11
148,2.5257569926853023e-10,2.5647795850136332e-11
149,3.237251910947605e-10,3.941857263519267e-11
150,3.576383917999305e-10,4.9772338738599584e-11
151,4.235037261885686e-10,6.428759693978193e-11
152,5.418752671544073e-10,8.449968169465206e-11
153,6.92519356086635e-10,1.1308576236041936e-10
154,7.534467766469126e-10,1.3292549397676884e-10
155,8.054431213936114e-10,1.5620955566746148e-10
156,9.111107630329618e-10,1.8667749180379074e-10
157,1.0190149274730152e-09,2.116206223090278e-10
158,9.67306397589263e-10,1.936891101848347e-10
159,8.574517598793807e-10,1.6202322902537164e-10
160,8.210784189041552e-10,1.4673030076370162e-10
161,9.106760172680969e-10,1.6265816398446184e-10
162,9.772304948403564e-10,1.7289768625572127e-10
163,9.192968515501459e-10,1.5648244279002801e-10
164,8.416772271284546e-10,1.3662384933318448e-10
165,8.471294146709617e-10,1.320545293364319e-10
166,9.453876055501778e-10,1.507821836061616e-10
167,9.497419031291058e-10,1.5034934741511056e-10
168,8.893329299554882e-10,1.3921225779921002e-10
169,8.989869101343665e-10,1.4170883505089265e-10
170,1.0185009900731557e-09,1.6131637903648438e-10
171,1.2047674206064064e-09,1.9831813508794642e-10
172,1.3356451008173189e-09,2.328515811765603e-10
173,1.2607232257886823e-09,2.1103710353073574e-10
174,1.11408872090929e-09,1.703025454137459e-10
