t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,5.48793,27889.7,-8916.0,28032.1,3461.31,58.8484,-5053.06
0.1,5.48096,27871.6,-8619.17,28560.2,3459.62,120.286,-5037.32
0.2,5.47503,27888.4,-9478.78,29350.5,3462.51,161.728,-5050.0
0.3,5.48117,27920.1,-10082.9,30895.3,3475.27,178.269,-5095.84
0.4,5.49243,27894.8,-9901.31,33340.7,3465.39,185.108,-5104.95
0.5,5.49211,27864.5,-10264.3,35802.0,3469.52,164.645,-5062.97
0.6,5.48944,27876.5,-11900.6,37789.9,3490.31,136.13,-5078.65
0.7,5.48542,27882.8,-14896.9,38933.4,3513.1,102.914,-5128.63
0.8,5.49151,27946.2,-17373.5,39204.5,3534.33,92.8883,-5144.42
0.9,5.51731,27985.3,-19516.0,39209.8,3554.3,108.296,-5074.91
1.0,5.53973,27957.6,-21960.1,39058.9,3561.42,111.322,-5019.79
1.1,5.54975,27964.9,-25897.1,38298.0,3588.55,111.884,-5047.6
1.2,5.54958,27977.0,-29103.0,36973.7,3612.94,147.557,-5104.12
1.3,5.5347,28003.6,-31122.7,35307.7,3632.04,211.507,-5082.38
1.4,5.52253,28084.7,-32172.6,33487.5,3638.43,236.51,-5040.78
1.5,5.51502,28123.3,-33773.2,32233.2,3625.13,224.178,-5064.68
1.6,5.50519,28150.5,-36326.9,31695.3,3623.32,212.761,-5093.52
1.7,5.49646,28168.7,-37932.0,30664.8,3622.66,151.525,-5074.07
1.8,5.49032,28184.0,-38150.4,28728.3,3614.99,102.848,-4991.38
1.9,5.49026,28184.0,-38107.2,25766.6,3608.69,97.28,-4932.28
2.0,5.49757,28192.2,-38653.4,22555.4,3589.11,131.998,-4936.94
2.1,5.51336,28183.6,-39481.5,20007.9,3565.8,159.795,-4960.21
2.2,5.52907,28159.4,-39166.7,18607.0,3548.77,163.351,-4962.67
2.3,5.53939,28142.2,-38312.5,17637.2,3534.33,155.55,-4943.96
2.4,5.54666,28147.1,-36875.0,16486.2,3523.93,165.361,-4988.91
2.5,5.55193,28169.7,-35314.4,15208.5,3538.44,198.108,-5044.17
2.6,5.56043,28215.4,-33381.6,14590.2,3554.67,207.006,-5010.97
2.7,5.57094,28262.8,-30256.5,15143.1,3569.27,154.539,-4964.37
2.8,5.58347,28317.3,-27396.1,16946.0,3582.7,79.1586,-4938.29
2.9,5.59043,28353.3,-25116.0,19216.3,3602.51,21.6908,-4959.9
3.0,5.58843,28390.0,-22594.6,21258.3,3605.32,10.5304,-4987.76
3.1,5.57752,28428.8,-19181.8,23116.0,3590.63,43.9012,-4995.02
3.2,5.56108,28472.3,-16182.9,25049.6,3565.99,87.2872,-5000.71
3.3,5.54393,28522.8,-14575.7,26938.3,3537.84,100.103,-5033.04
3.4,5.5347,28572.3,-13607.1,28629.6,3519.19,103.984,-5096.13
3.5,5.52866,28575.9,-12255.4,29491.4,3502.11,91.1002,-5097.77
3.6,5.52685,28589.9,-10165.5,29869.6,3488.14,103.454,-5044.82
3.7,5.53004,28577.0,-9164.4,30453.4,3502.49,97.0632,-5006.94
3.8,5.53494,28567.8,-9691.76,31750.4,3530.65,62.2356,-5039.75
3.9,5.54396,28566.2,-10450.2,33195.2,3543.58,12.646,-5079.72
4.0,5.55605,28551.8,-10776.5,34294.9,3557.65,15.9202,-5056.74
4.1,5.56512,28540.9,-11307.2,34615.2,3559.31,87.175,-5015.53
4.2,5.57503,28540.3,-14402.9,34421.5,3572.77,153.077,-5026.53
4.3,5.58152,28533.9,-18946.0,34657.7,3584.68,187.1,-5093.95
4.4,5.58628,28556.5,-22341.8,35560.9,3596.6,182.826,-5130.77
4.5,5.59267,28584.8,-24151.7,36645.2,3599.94,144.649,-5061.61
4.6,5.59617,28613.6,-25811.2,37415.5,3615.93,108.207,-5023.43
4.7,5.59661,28645.1,-28521.9,37375.9,3660.4,73.7087,-5087.7
4.8,5.59055,28677.3,-31432.9,36429.0,3696.47,60.3143,-5147.52
4.9,5.58229,28719.4,-32846.5,35005.0,3723.67,85.2295,-5109.44
5.0,5.57441,28756.9,-33526.8,33558.5,3744.66,130.154,-5021.79
5.1,5.56674,28785.9,-34468.6,32182.5,3748.27,158.247,-5010.44
5.2,5.56124,28800.8,-36154.1,31061.9,3732.14,183.787,-5023.41
5.3,5.55056,28792.0,-37191.4,29518.6,3706.38,182.067,-4995.65
5.4,5.54381,28815.8,-37265.9,27147.8,3698.53,183.2,-4946.69
5.5,5.54697,28823.3,-37864.9,24370.0,3689.94,192.709,-4951.75
5.6,5.55667,28810.2,-39310.7,21596.0,3677.74,182.39,-5014.86
5.7,5.5751,28810.3,-39410.5,19449.6,3654.04,161.242,-5079.41
5.8,5.59794,28779.9,-37115.2,18446.1,3649.18,152.714,-5067.17
5.9,5.6124,28745.2,-34596.3,17727.1,3632.44,130.419,-4973.6
6.0,5.6254,28768.8,-32514.5,16632.6,3628.28,129.293,-4952.2
6.1,5.6384,28780.1,-31159.7,15410.8,3642.37,170.471,-4952.24
6.2,5.6402,28797.3,-29961.6,14141.0,3646.67,208.414,-4898.19
6.3,5.64176,28870.0,-28790.5,13689.1,3658.37,225.236,-4830.79
6.4,5.63786,28904.9,-28458.2,14590.2,3676.66,214.764,-4856.88
6.5,5.63004,28979.2,-28863.7,16574.9,3695.92,182.308,-4952.18
6.6,5.62334,29042.6,-28462.0,18907.8,3685.3,133.55,-5035.87
6.7,5.61423,29075.2,-26125.9,21397.5,3637.91,106.579,-5075.79
6.8,5.60015,29115.3,-22072.1,23424.1,3600.79,99.361,-5098.93
6.9,5.59102,29158.0,-18104.6,25146.4,3558.99,109.087,-5093.29
7.0,5.58531,29168.6,-14801.0,26917.2,3539.18,109.758,-5078.46
7.1,5.58267,29177.9,-12085.2,28647.7,3530.86,112.282,-5028.62
7.2,5.58833,29177.1,-9649.02,30435.2,3537.0,125.963,-4955.11
7.3,5.59325,29141.2,-6869.18,31967.6,3543.09,128.73,-4913.33
7.4,5.5979,29136.9,-5139.48,32612.0,3560.58,118.327,-4898.65
7.5,5.60991,29133.9,-5345.12,32761.4,3584.65,128.805,-4929.12
7.6,5.61852,29106.6,-6772.9,32670.1,3604.14,150.927,-5023.78
7.7,5.62718,29114.5,-9678.74,32602.0,3608.41,160.676,-5101.58
7.8,5.63664,29113.2,-12574.2,33434.7,3603.92,172.143,-5157.03
7.9,5.63741,29095.7,-15701.2,34787.2,3598.91,162.925,-5178.23
8.0,5.63895,29144.0,-19180.6,36224.3,3615.1,158.473,-5168.98
8.1,5.6408,29145.7,-22241.5,37476.5,3623.02,153.373,-5145.24
8.2,5.6315,29152.7,-23996.5,38026.7,3644.46,145.016,-5096.09
8.3,5.6241,29207.6,-24809.9,37783.6,3690.33,140.538,-5023.9
8.4,5.61598,29217.7,-26105.2,37435.5,3724.42,157.463,-4965.01
8.5,5.60286,29241.2,-28322.8,36788.3,3739.94,162.124,-4969.22
8.6,5.60099,29300.0,-31189.9,36059.8,3767.39,163.781,-5017.77
8.7,5.6042,29292.0,-32433.0,35483.4,3776.68,181.081,-5074.71
8.8,5.60368,29278.1,-32948.5,34563.6,3762.38,193.446,-5083.49
8.9,5.6014,29263.4,-33867.7,32882.0,3733.97,177.312,-5073.33
9.0,5.5962,29247.8,-34626.6,30984.0,3708.79,190.109,-5110.3
9.1,5.59614,29250.6,-35354.8,28822.2,3688.1,187.048,-5090.2
9.2,5.60916,29266.2,-34524.4,26956.7,3673.12,169.643,-5026.39
9.3,5.63017,29232.5,-32841.8,25847.4,3657.04,144.987,-4944.78
9.4,5.64291,29177.8,-31672.7,24893.9,3653.72,107.517,-4897.46
9.5,5.64899,29167.1,-30741.9,23444.8,3641.03,90.0017,-4899.73
9.6,5.65522,29178.6,-30224.0,21693.8,3649.78,131.516,-4905.72
9.7,5.66041,29198.9,-29411.5,19797.4,3660.91,180.935,-4921.1
9.8,5.6684,29243.9,-29089.8,18241.8,3668.1,191.621,-4947.81
9.9,5.67114,29256.6,-29020.0,17831.9,3662.93,189.765,-5007.65
10.0,5.65925,29269.7,-28351.5,18227.8,3665.05,164.497,-5045.0
10.1,5.64217,29335.3,-27005.6,19006.8,3676.61,133.533,-5030.78
10.2,5.63233,29408.0,-25741.4,20502.1,3693.46,125.216,-4983.98
10.3,5.63025,29453.2,-24374.6,22338.1,3701.34,91.4645,-4985.59
10.4,5.63511,29493.1,-22328.8,24411.4,3676.74,48.6215,-4982.43
10.5,5.63539,29471.6,-18967.3,26370.2,3656.94,27.2645,-4940.45
10.6,5.62775,29472.8,-16037.7,27681.4,3632.14,49.6345,-4887.35
10.7,5.63061,29523.2,-14784.0,28373.9,3618.54,96.1062,-4915.14
10.8,5.64471,29523.8,-14613.6,29417.2,3585.7,145.062,-4997.43
10.9,5.65639,29493.6,-13543.5,30591.5,3592.03,129.764,-5042.91
11.0,5.66337,29485.6,-11901.0,31783.2,3597.9,102.189,-4997.84
11.1,5.65758,29442.9,-11923.1,32469.4,3596.94,86.4459,-4971.01
11.2,5.64227,29459.7,-13654.0,32046.8,3616.5,77.5061,-5040.01
11.3,5.64174,29522.3,-15116.2,31418.4,3614.02,91.6651,-5089.96
11.4,5.6522,29526.4,-15481.8,31768.8,3625.91,110.114,-5012.23
11.5,5.66466,29526.0,-15895.7,33215.6,3632.45,97.2319,-4929.76
11.6,5.67247,29498.8,-17830.4,35088.8,3643.88,70.4341,-4973.25
11.7,5.66206,29462.3,-20861.3,36531.2,3648.89,88.0974,-5058.69
11.8,5.64464,29500.4,-23154.1,36843.9,3661.21,146.669,-5054.02
11.9,5.63796,29555.7,-24480.2,36575.4,3668.12,206.218,-5010.17
12.0,5.63927,29581.4,-26677.8,36471.2,3678.87,209.805,-5024.15
