bin,rev,kappa,UW_P,UW_d_pin,UW_d_leff,UW_d_masta,UW_eps_pin,UW_eps_leff,DW_P,DW_d_pin,DW_d_leff,DW_d_masta,DW_eps_pin,DW_eps_leff
1,1.9947054666666668,1.6676910636549547,13328.135773374044,6.496761048789757e-07,3.2304986406112985e-07,1.8372114095807657e-07,253.62076541165482,75.83706609727989,8026.21423562418,1.3123044796926104e-07,3.128141583726669e-08,5.185337395416319e-08,153.0798633957065,-39.67332605026144
2,1.9768440166666668,1.6552870220370963,16372.231478486445,1.682152843847608e-06,7.919274276271446e-07,5.156759306558543e-07,226.2034824290109,53.570756467137095,11039.00777771272,4.884704279642234e-07,1.3788590208107986e-07,1.8979800832331265e-07,157.363305484289,-27.35123866726925
3,2.03433435,1.6951446047740548,16140.476940803264,1.567281824429842e-06,7.563674689465233e-07,4.6042210816367076e-07,240.40107906215158,64.27696575283694,10525.895549390207,4.03135054462831e-07,1.1234369202772413e-07,1.611978725509081e-07,150.08708122715228,-30.30696357841527
4,2.0166547166666664,1.6829080952253297,16083.856783824844,1.507706458730656e-06,7.413471320748565e-07,4.859731894277784e-07,210.2447813028418,52.548977639646075,10579.310432554586,3.881444680175151e-07,1.145441571982404e-07,1.6055803140507266e-07,141.74715186826344,-28.658718473412037
5,2.0388062,1.6982368124582603,15363.726419288314,1.3072015976783725e-06,6.109427505381131e-07,3.556316979925094e-07,267.57173363829503,71.79085947253813,9973.512357131603,3.448349828497975e-07,8.769991870018567e-08,1.2965833676044713e-07,165.9566607636687,-32.36075605210221
6,1.9965952333333332,1.6690023216187704,15187.700402877477,1.3562874709025523e-06,5.744533732421603e-07,3.277606652925666e-07,313.8042219593066,75.2661115480072,10401.070030833449,4.583295581077823e-07,1.054862003295244e-07,1.5219793396921527e-07,201.14045976503698,-30.69143740751379
7,2.0000661833333337,1.6714101704914122,14589.222983515476,9.372853060776319e-07,4.821718389709452e-07,2.957987257020854e-07,216.86590395308926,63.00673298253694,9051.37462119491,1.9441800350014683e-07,5.535741622687405e-08,8.466404855277709e-08,129.63466409116066,-34.61520306064049
8,1.9465480666666668,1.634204024867211,15297.576005168063,1.1574358942228625e-06,5.847733054848584e-07,4.1297353992819755e-07,180.26877809752713,41.60067145864386,10026.40908107748,2.8595544687009225e-07,8.812766280081142e-08,1.2283716300070448e-07,132.79229175005636,-28.256514032071877
9,1.90848735,1.6076382217761442,15658.953365205742,1.2948650394365326e-06,6.40404214282298e-07,4.390916238899917e-07,194.89631980794582,45.84751323854501,10347.63680812694,3.3688036258827574e-07,1.0102248266403324e-07,1.400474564765668e-07,140.54729094251252,-27.86553557940793
10,2.0438599833333333,1.701730029661687,14619.845744680691,9.397070215140754e-07,4.922229822316264e-07,2.9452172497295125e-07,219.06203917567635,67.12620513031152,8863.541234822604,1.7766501363183342e-07,5.057752664625487e-08,7.913615113735439e-08,124.50550232530927,-36.08796243013022
11,1.9329149833333334,1.6246985788583164,11470.485979409668,2.5459376856536e-07,1.624047530444599e-07,1.0366381189651977e-07,145.5956074811361,56.664847716170264,5995.859839618833,2.330284138495293e-08,7.40755037733127e-09,1.4713932021131398e-08,58.37263181239778,-49.656214486427395
12,1.7793972166666667,1.5168503240275717,12105.011580302398,3.749436708666644e-07,1.989469117008932e-07,1.3751224298889537e-07,172.66202827986922,44.67578113532691,7409.3120040057875,7.381312786403069e-08,2.0512504716249102e-08,3.3166058223177464e-08,122.55622711428455,-38.15211751056285
13,1.712094666666667,1.4690760165053571,10179.423991612195,1.4636344164860567e-07,8.944052477463122e-08,6.555891190016668e-08,123.25483661395782,36.42771391757012,5593.393026946659,1.7794821254328628e-08,5.082275799782075e-09,9.910155107800254e-09,79.56148073123876,-48.71648582188355
14,1.6551600833333333,1.4284117676050934,9512.36998553434,7.084936774059403e-08,6.465220275376384e-08,5.317219281606702e-08,33.245149369099366,21.590251087459222,4185.240017717129,1.5981282997391896e-09,1.1200254119592978e-09,2.770721973336872e-09,-42.320871053889576,-59.576405617832016
15,1.9118464666666668,1.6099864336690557,12365.396406591362,3.164326673822691e-07,2.264956804858941e-07,1.4679361980040524e-07,115.5629568999807,54.295316645137206,6166.955388210501,1.8783077214523053e-08,8.509285392276575e-09,1.66344084611441e-08,12.917013300460777,-48.84527807434088
16,2.074962716666667,1.7231963377830042,12303.905227353993,3.215614190230241e-07,2.3043827122219897e-07,1.4657715930755178e-07,119.38030491388912,57.21294662198204,6058.112733030534,1.796837004140433e-08,7.933921824819751e-09,1.6062188527996335e-08,11.867508030338003,-50.6049763331382
17,1.9471569333333334,1.63462828271929,11162.290637816941,2.029204675603957e-07,1.4403414959519149e-07,9.142374606164128e-08,121.95597566476786,57.54566597837538,5352.112017742956,1.1252146559751273e-08,4.158202718354001e-09,9.242845157508932e-09,21.73899235572474,-55.011658775048744
18,1.8058717000000002,1.5355583942252304,8475.506938103534,3.108310833660256e-08,3.909260140162176e-08,3.055323647111752e-08,1.7342577307184248,27.949133763870293,2749.6932184716725,3.458712955356521e-11,1.0164608689966696e-10,5.026412952856212e-10,-93.11892399650303,-79.77760923087158
19,1.8794064833333335,1.5872795249214369,10755.206456047035,1.4522274509233578e-07,1.1971766058851804e-07,8.184102119357687e-08,77.4449328397839,46.28075119609314,4814.005351873782,4.199590271513877e-09,2.3814900471799004e-09,5.740130013621843e-09,-26.838063570896942,-58.51156608772953
20,1.901142616666667,1.602501389112562,11385.261124981376,2.1153282589209724e-07,1.5582021848769976e-07,1.071814790646649e-07,97.3594950714152,45.379798681160246,5597.434607753589,1.135469796053887e-08,5.2092904870976125e-09,1.0789405770104981e-08,5.239326451139559,-51.718467188143144
21,1.9531521,1.6388045075327333,12332.694144344818,3.621493203779746e-07,2.2615497669957795e-07,1.397747826944859e-07,159.09489064958592,61.79955521297313,6536.465223105574,3.532336472592216e-08,1.1432878746144174e-08,2.1523699015524008e-08,64.1138203077692,-46.88237027521064
22,1.9342841,1.6256536868007212,12670.69143300974,4.218741359031172e-07,2.540074936485167e-07,1.653958452532532e-07,155.06936722451877,53.575498380616416,7093.171709701811,5.149248015050807e-08,1.70431141183161e-08,2.9616974035816667e-08,73.86138127492943,-42.45491083017
23,1.8718417,1.5819748829872904,12040.544966835763,3.300054954521829e-07,1.9900909166815334e-07,1.2967094015461932e-07,154.49456528863382,53.47239052239105,6672.194824508204,3.961768705959832e-08,1.2508363264315804e-08,2.252704058782098e-08,75.86725120483524,-44.47400573744993
24,2.0093901999999995,1.6778748647878363,13078.356031797937,5.361821102880072e-07,2.9808270000543264e-07,1.7105853383901146e-07,213.4494948919795,74.25771945757911,7288.235793910799,7.41977952277185e-08,1.9682298479419275e-08,3.49909873981379e-08,112.04830370596244,-43.75037704575694
25,2.027999,1.69076183951534,14338.856906732963,8.190314835921757e-07,4.501049558286236e-07,2.718472663302867e-07,201.2836931003293,65.57273571467843,8445.769892793876,1.3307701483681796e-07,4.012412612515186e-08,6.441584387122201e-08,106.59050140344517,-37.71078089830405
26,1.9900879999999999,1.664486239486894,13513.76362114093,5.951974274393864e-07,3.4308699868528846e-07,2.158492141981592e-07,175.74685858849995,58.94753194251581,7774.806694211135,8.411160534715495e-08,2.682889200419976e-08,4.456652275376832e-08,88.7327082076263,-39.800347107109125
27,1.9155923666666665,1.612604201923194,13841.429188987759,6.417568269690168e-07,3.7404536961131096e-07,2.5182903958007856e-07,154.83829348638167,48.531468108295385,8120.579430561483,9.420848398476061e-08,3.261041558101923e-08,5.152351424332902e-08,82.84561014189403,-36.7077031527572
28,2.0406411500000003,1.6995053152249016,10982.172138664371,1.7130458016934197e-07,1.3662598649138872e-07,8.489710164321873e-08,101.77906766387844,60.931273090524755,4758.0547108267065,4.910633381679754e-09,2.2608281930851226e-09,5.8179647079512834e-09,-15.59533912317308,-61.140565359647184
29,2.0235595833333333,1.6876892851772582,10420.38598746398,1.2910734869205076e-07,1.0701263494812349e-07,6.279128844275927e-08,105.61347265512065,70.42592627427375,3964.5667709560366,2.287302571995555e-09,8.383719082053875e-10,2.7455130935733047e-09,-16.689431299757008,-69.46392606293345
30,2.01509485,1.6748797968389142,11195.971363358667,2.6247709061807495e-07,1.4872568614095918e-07,8.227973273749712e-08,219.0057647069349,80.75616095575965,5722.855666081608,2.9293877060130976e-08,5.925906754176027e-09,1.2799428127055561e-08,128.86863982781608,-53.70178499108265
