bin,rev,UW_P_kN,UW_aiso_pin,UW_L10m_pin_rev,UW_L10m_masta_rev,UW_dmg_pin,UW_dmg_masta,UW_dmg_err_pct,DW_P_kN,DW_aiso_pin,DW_L10m_pin_rev,DW_L10m_masta_rev,DW_dmg_pin,DW_dmg_masta,DW_dmg_err_pct,kappa
1,1.9947054666666668,15624.259627640138,0.9480809358473459,3070307.575862358,10857245.150256496,6.496761048789757e-07,1.8372114095807657e-07,253.62076541165482,10910.121901823111,1.4177779461980913,15200020.250894057,38468190.4870824,1.3123044796926104e-07,5.185337395416319e-08,153.0798633957065,1.6676910636549547
2,1.9768440166666668,19520.116579067937,0.7621615081047093,1175186.9182975122,3833500.65253666,1.682152843847608e-06,5.156759306558543e-07,226.2034824290109,14653.007051787868,1.0089942568629462,4047008.5874092155,10415515.073789388,4.884704279642234e-07,1.8979800832331265e-07,157.363305484289,1.6552870220370963
3,2.03433435,19121.724566313784,0.7858942938293628,1298001.621846196,4418411.52700868,1.567281824429842e-06,4.6042210816367076e-07,240.40107906215158,13979.83716561336,1.0755836314850589,5046284.929775476,12620106.69128114,4.03135054462831e-07,1.611978725509081e-07,150.08708122715228,1.6951446047740548
4,2.0166547166666664,18971.32413966211,0.7888097535983227,1337564.5537557064,4149724.224583723,1.507706458730656e-06,4.859731894277784e-07,210.2447813028418,13874.585975117678,1.079867058892101,5195629.160881572,12560285.518068157,3.881444680175151e-07,1.6055803140507266e-07,141.74715186826344,1.6829080952253297
5,2.0388062,18320.32257955631,0.8187333284587149,1559672.3593522054,5732914.730348201,1.3072015976783725e-06,3.556316979925094e-07,267.57173363829503,13491.847377090684,1.1194414917163753,5912411.15721736,15724451.284353873,3.448349828497975e-07,1.2965833676044713e-07,165.9566607636687,1.6982368124582603
6,1.9965952333333332,18531.58147605568,0.8028700626994463,1472103.2791113842,6091625.520564303,1.3562874709025523e-06,3.277606652925666e-07,313.8042219593066,14424.765522613337,1.030718515950098,4356243.66356884,13118412.196956497,4.583295581077823e-07,1.5219793396921527e-07,201.14045976503698,1.6690023216187704
7,2.0000661833333337,16998.038473081095,0.872637671829692,2133892.6049137013,6761578.091947923,9.372853060776319e-07,2.957987257020854e-07,216.86590395308926,11894.536905286306,1.2797693989826482,10287453.565645855,23623559.439004987,1.9441800350014683e-07,8.466404855277709e-08,129.63466409116066,1.6714101704914122
8,1.9465480666666668,17918.084033308394,0.8198582834432493,1681776.1367022733,4713493.4286712585,1.1574358942228625e-06,4.1297353992819755e-07,180.26877809752713,13003.076720140805,1.1396877539780226,6807172.543738854,15846572.967950288,2.8595544687009225e-07,1.2283716300070448e-07,132.79229175005636,1.634204024867211
9,1.90848735,18444.264414796828,0.7912880709325554,1473889.0091823689,4346444.446132602,1.2948650394365326e-06,4.390916238899917e-07,194.89631980794582,13522.958615623138,1.0808979486983405,5665178.38955336,13627433.143131265,3.3688036258827574e-07,1.400474564765668e-07,140.54729094251252,1.6076382217761442
10,2.0438599833333333,16960.249790415328,0.8828729060916465,2174997.0326285567,6939589.884315123,9.397070215140754e-07,2.9452172497295125e-07,219.06203917567635,11633.396073608968,1.3290346839941447,11504009.380083831,25827134.0463079,1.7766501363183342e-07,7.913615113735439e-08,124.50550232530927,1.701730029661687
11,1.9329149833333334,12678.229594278451,1.1683126081476383,7592153.548083052,18645995.627315205,2.5459376856536e-07,1.0366381189651977e-07,145.5956074811361,7565.92576494477,2.28389516834085,82947609.32379054,131366311.91155292,2.330284138495293e-08,1.4713932021131398e-08,58.37263181239778,1.6246985788583164
12,1.7793972166666667,13969.12673371326,1.0089503091718133,4745772.1117246095,12939918.4973687,3.749436708666644e-07,1.3751224298889537e-07,172.66202827986922,9727.215001530729,1.5337917172371194,24106785.177081913,53651151.568659104,7.381312786403069e-08,3.3166058223177464e-08,122.55622711428455,1.5168503240275717
13,1.712094666666667,11349.156927304666,1.2444359192712868,11697556.76268615,26115361.238359936,1.4636344164860567e-07,6.555891190016668e-08,123.25483661395782,7211.934351884008,2.2580769284970925,96213085.94207971,172761641.77481765,1.7794821254328628e-08,9.910155107800254e-09,79.56148073123876,1.4690760165053571
