bin,UW_RX_pin_kN,UW_RX_masta_kN,UW_RX_err_pct,UW_RY_pin_kN,UW_RY_masta_kN,UW_RY_err_pct,UW_RZ_pin_kN,UW_RZ_masta_kN,UW_RZ_err_pct,UW_Fr_pin_kN,UW_Fr_masta_kN,UW_Fr_err_pct,DW_RX_pin_kN,DW_RX_masta_kN,DW_RX_err_pct,DW_RY_pin_kN,DW_RY_masta_kN,DW_RY_err_pct,DW_RZ_pin_kN,DW_RZ_masta_kN,DW_RZ_err_pct,DW_Fr_pin_kN,DW_Fr_masta_kN,DW_Fr_err_pct
1,9217.00265913456,9217.002659134558,2.0208794747226997e-14,-10148.014236531788,-6992.688171824938,45.123219957388436,8729.172181545217,7130.4686133810765,22.420736347734625,13708.95076084765,11569.391768233709,18.493271171683958,-3746.294542613654,-3746.294542613654,-0.0,10246.757395031049,7091.431330619915,44.494911073690155,-4695.757037885474,-3097.05346961895,51.620147470790116,10910.121901823111,8020.169643898724,36.033555226888424
2,16352.352857388687,14136.365556947654,15.675792278531823,-9606.837693884989,-6610.779783795807,45.32079434007243,10272.798845156887,8265.227506433741,24.28936574535223,18965.51540162295,15605.743830702184,21.529070369019337,-10931.062210724698,-8715.07491001734,25.427059705020365,9758.201402154573,6762.143492128911,44.30633442654761,-6306.708725052883,-4299.137386395539,46.69707334802163,14653.007051787868,11030.825685113292,32.83690151647406
3,15114.313115758043,13276.82643347908,13.839803446142248,-9888.87205559498,-6804.030543128897,45.338443043606475,10240.995391363993,8309.117229746893,23.25010116238242,18061.900550415587,14918.744979942507,21.068498554663233,-9721.459496657786,-7883.972812934245,23.306608575679107,10046.346222976128,6961.504709935814,44.312855360673254,-6016.97390273451,-4085.095740435422,47.2908907171212,13979.83716561336,10517.5840924399,32.918710634908535
4,16716.796824159017,14383.710016344343,16.220340963239444,-7855.128632599406,-5399.440668469114,45.48041389677026,9970.88627638806,8116.503969110286,22.847057234680907,18470.363880955247,15363.758438826182,20.220348129649533,-11323.745830341173,-8990.659022261669,25.95012003349894,8017.288590961601,5561.600626879998,44.15433845092934,-5971.673398948816,-4117.291091735869,45.038892463421405,13874.585975117678,10571.818726571464,31.24123988472256
5,12208.430590470634,11281.69521744667,8.214504603801092,-11540.526348408772,-7946.3977512526235,45.22965889279317,9985.751289153937,8042.509379039882,24.16213421122599,16799.688267365447,13799.343614841679,21.742662087903895,-6742.971486388315,-5816.236113208608,15.933592707405756,11685.986530047983,8091.857932991972,44.416605269379446,-5806.941283072516,-3863.699372919906,50.294852745855515,13491.847377090684,9965.278086050437,35.38856879445036
6,9854.696498050116,9659.408908728723,2.021734364562638,-13593.172801518853,-9362.753857548005,45.18348990409906,10171.091248266086,7996.459107584064,27.194938552484306,16789.561932362416,13452.335866423267,24.80778133311992,-4370.435182089351,-4175.147592585635,4.677381701440073,13746.750768873713,9516.331825085887,44.45430257734469,-6208.4727221371,-4033.840581415462,53.90971945546163,14424.765522613337,10391.940570702669,38.80723647785433
7,13346.158590421372,12064.24627106425,10.625714118848448,-8735.968223179178,-6009.354652817461,45.37281834553327,9139.713143199984,7526.590675122579,21.43231295158924,15951.084286564175,13478.070389793433,18.348426927963562,-7903.837597998682,-6621.925277290803,19.35860443946812,8888.720909989264,6162.107339111235,44.248070032342056,-5119.452916108422,-3506.330447418887,46.00600236857315,11894.536905286306,9045.52161219857,31.496417953892486
8,16624.7294044616,14318.1027772886,16.1098622006805,-6412.851598225071,-4411.967435398123,45.35129037384645,9288.630044276695,7603.977267185759,22.15488970963782,17818.706277180398,14982.440515216904,18.930599184310733,-11247.97103332625,-8941.34440576353,25.797313277362232,6524.044131006578,4523.159968178939,44.236422697939894,-5596.572574735649,-3911.9197976377654,43.06460419038168,13003.076720140805,10020.310168862801,29.767207811058377
9,16617.21735447046,14315.177832922924,16.081110192380326,-7422.750641282109,-5108.020055412928,45.315612718009604,9610.384574209296,7824.325412575759,22.82700510848985,18199.701637344726,15199.216600690594,19.741050578342314,-11224.648514131684,-8922.608992197298,25.800071749725774,7541.728943289958,5226.998357421446,44.284126903961806,-5820.331675829878,-4034.272514188672,44.27214957243409,13522.958615623138,10340.912099816273,30.77142988057507
10,13131.49169368755,11916.895410864176,10.192220716446615,-8612.198415862289,-5927.9809191135,45.28046789243376,9192.366190168565,7613.574460592692,20.736537584909488,15703.694968241265,13309.896844485664,17.98509899607044,-7681.878875972088,-6467.282592974928,18.780627961371486,8736.39749212193,6052.179995407756,44.351250272643775,-5007.056931053185,-3428.2652014383757,46.05220532391734,11633.396073608968,8857.461647346285,31.34006712966531
11,9926.363653356913,9705.748312898295,2.273037929135617,-6031.652844349778,-4155.2799884408705,45.15635194568329,6914.124320774012,5966.832746468781,15.875953199221907,11615.228427088206,10557.836051751574,10.015237688420136,-4469.417791730858,-4248.802451145317,5.192412288457242,6104.714349059648,4228.341493170148,44.37609542465579,-3256.40258455056,-2309.1110102500224,41.02408113319627,7565.92576494477,5994.263428622636,26.21944055407107
12,10630.498584590052,10194.379651881092,4.27803306921657,-8189.30930800057,-5649.019552812684,44.96868405992787,7404.223210322326,6095.263636165685,21.47502802651636,13419.101575704532,11654.904478147699,15.136950293025611,-5159.01334397595,-4722.894410981484,9.234145315220687,8246.410916434043,5706.121161305435,44.518678859378525,-4186.629509137785,-2877.6699350367153,45.48678631152219,9727.215001530729,7407.128345369602,31.322349876811245
13,8607.474092188771,8795.010329491735,-2.1323026383961103,-6457.769367055037,-4458.196614725612,44.85160537165973,6064.3027580420585,5126.364436572338,18.296364471833357,10760.641033218018,9860.411946334556,9.129731007010394,-3151.8126177303275,-3339.3488547463503,-5.615952246183261,6486.761466140134,4487.188713859474,44.56181542141579,-3104.043363985542,-2166.1050425673343,43.300685007710165,7211.934351884008,5593.399085304355,28.936523961468456
14,9533.963322728709,9430.632769531298,1.0956905620506467,-1808.3158243048076,-1255.3197619056893,44.05220718899703,4948.474086434792,4642.7070028529,6.585965545402753,9703.940578938404,9513.814279162092,1.9984234944836123,-4108.206210989157,-4004.875657485013,2.5801188936046278,1773.138243898999,1220.1421815031788,45.3222641409336,-1925.8523690592388,-1620.0852855185537,18.873517726124874,4474.525394272236,4186.618680391057,6.876831540203381
15,12613.386639625081,11553.450366771263,9.174196791482201,-754.0244677010617,-525.945503919892,43.36551260183581,7123.9405206093825,6381.463957739402,11.634893933225303,12635.904218478565,11565.415429224347,9.25594757754422,-7205.530981953565,-6145.594708777055,17.247090369671213,721.2395552324502,493.16059144418904,46.248416387113714,-3116.7846055430723,-2374.308042608513,31.271281973961724,7241.537352518773,6165.350086856553,17.455412109629638
