t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,6.02968,40523.5,-18356.0,19072.2,4181.5,147.915,-4963.06
0.1,6.03302,40279.7,-19080.4,19893.8,4181.26,141.568,-5021.9
0.2,6.06822,39950.3,-19312.8,20502.4,4184.9,107.049,-5141.48
0.3,6.11473,39555.0,-20481.2,21366.7,4169.04,85.178,-5162.99
0.4,6.13945,39193.1,-21673.2,21989.2,4188.47,78.8265,-5087.74
0.5,6.14061,38998.0,-22372.5,21421.2,4183.29,78.3064,-5004.73
0.6,6.14066,38887.7,-23305.4,19652.4,4187.83,93.7019,-4922.57
0.7,6.14425,38802.3,-23237.8,16702.0,4172.04,95.7996,-4846.26
0.8,6.15738,38831.1,-22017.8,13610.8,4159.89,130.821,-4818.87
0.9,6.15796,38846.7,-20861.1,11449.2,4138.6,163.224,-4841.51
1.0,6.12017,38926.2,-21493.3,10021.6,4138.3,163.576,-4923.53
1.1,6.07315,39125.3,-23056.3,9351.27,4163.21,192.624,-5054.89
1.2,6.04108,39198.5,-24093.1,9437.36,4187.23,226.527,-5129.3
1.3,6.02737,39163.9,-23700.9,9792.62,4191.75,216.641,-5085.85
1.4,6.0321,39077.7,-21496.2,10666.9,4188.2,164.958,-5015.06
1.5,6.0316,38883.7,-19785.2,12265.3,4174.65,88.7432,-4932.26
1.6,6.01725,38709.8,-18891.7,13544.9,4174.49,-6.377,-4871.25
1.7,6.01899,38538.2,-18768.4,14743.3,4202.17,-35.8643,-4863.14
1.8,6.03517,38222.5,-19144.9,15677.9,4224.09,-26.686,-4884.71
1.9,6.06082,37942.4,-19230.7,15823.1,4222.08,15.2519,-4948.4
2.0,6.09117,37676.2,-18876.5,15590.6,4191.16,96.1821,-5010.96
2.1,6.1035,37419.7,-17856.5,15423.4,4175.97,189.605,-5053.03
2.2,6.10446,37289.0,-16794.4,14849.4,4153.21,210.117,-5050.2
2.3,6.11423,37205.1,-15580.6,14825.9,4131.69,193.389,-5039.03
2.4,6.1161,37090.6,-14913.6,15088.0,4116.0,128.871,-4992.09
2.5,6.1137,37117.1,-15074.6,15540.7,4140.02,48.1529,-4945.98
2.6,6.10277,37141.6,-16130.2,16467.2,4192.49,-25.646,-4932.52
2.7,6.0698,37173.1,-17332.8,17259.1,4206.11,-68.6826,-4949.33
2.8,6.03488,37253.0,-17837.3,17141.7,4193.42,-50.9265,-4967.22
2.9,6.0129,37232.8,-17947.1,16430.4,4166.98,42.1964,-4964.32
3.0,6.00738,37137.1,-17841.4,15558.4,4159.77,154.86,-4975.81
3.1,6.01799,36994.7,-18253.4,15052.3,4132.15,208.712,-4970.82
3.2,6.02072,36773.5,-18845.9,15051.7,4101.37,191.402,-4951.82
3.3,6.00884,36610.7,-19311.2,15162.2,4086.29,158.07,-4954.07
3.4,6.00305,36482.8,-20916.0,15314.1,4105.84,119.926,-4973.58
3.5,6.01462,36277.3,-23436.7,15408.0,4128.58,54.5173,-5016.87
3.6,6.0495,36038.5,-25778.1,15822.5,4157.16,4.13175,-5060.98
3.7,6.08548,35736.7,-26634.9,16050.8,4154.31,-38.424,-5048.96
3.8,6.10223,35526.8,-25687.5,15190.9,4116.26,-45.28,-4988.41
3.9,6.1083,35471.1,-24683.9,13470.4,4076.57,26.1925,-4912.12
4.0,6.11043,35459.4,-24501.0,11408.7,4056.96,99.4665,-4873.69
4.1,6.11496,35533.6,-24043.6,9767.95,4032.77,138.377,-4881.31
4.2,6.11493,35616.8,-23154.6,8676.09,4029.7,129.559,-4879.83
4.3,6.09414,35718.0,-22138.4,7875.66,4054.39,125.106,-4905.02
4.4,6.06001,35874.3,-21539.6,7153.28,4094.75,140.153,-4996.48
4.5,6.02854,35958.4,-21657.8,6953.94,4119.34,135.618,-5096.26
4.6,6.0102,35946.1,-21608.1,8092.07,4137.08,113.297,-5123.4
4.7,6.00663,35844.0,-20395.2,9903.43,4119.06,36.6854,-5084.19
4.8,6.01126,35698.6,-17768.6,11587.5,4096.12,-33.6219,-5029.25
4.9,6.01929,35518.8,-15933.4,12117.4,4085.59,-50.8508,-4954.31
5.0,6.03141,35338.1,-15454.6,11843.1,4105.82,0.988063,-4916.04
5.1,6.04559,35146.9,-15858.2,11734.2,4123.86,72.0706,-4951.64
5.2,6.06241,34969.9,-16418.6,12570.8,4143.62,115.855,-4991.69
5.3,6.07767,34834.0,-16433.8,14332.3,4165.89,134.265,-5020.8
5.4,6.08878,34737.4,-16157.2,15797.4,4150.13,130.685,-5048.18
5.5,6.09269,34698.1,-16169.5,16352.4,4111.0,136.53,-5086.7
5.6,6.09242,34664.6,-16039.7,15430.8,4060.23,117.271,-5105.88
5.7,6.09348,34675.4,-14928.3,14121.5,4004.66,95.3788,-5073.52
5.8,6.09847,34661.2,-13522.9,13509.0,3960.28,53.267,-5001.23
5.9,6.09437,34653.5,-12371.3,14105.1,3956.14,5.20113,-4969.68
6.0,6.08205,34690.7,-12154.7,15922.4,3967.14,17.8873,-4970.91
6.1,6.05368,34688.2,-13452.0,17980.0,3985.44,47.2425,-4957.73
6.2,6.01411,34712.3,-14043.2,18762.3,4015.42,89.8197,-4981.62
6.3,5.99337,34711.8,-13805.7,18034.4,4048.6,157.643,-4987.52
6.4,5.99174,34555.3,-13243.2,16488.3,4064.23,221.072,-4945.73
6.5,6.00384,34354.0,-14629.7,14912.4,4072.99,217.476,-4904.33
6.6,6.02489,34124.9,-17755.6,14729.8,4063.98,148.536,-4965.62
6.7,6.03685,33933.8,-22012.4,16045.6,4046.87,63.5218,-5057.44
6.8,6.0449,33950.3,-24574.8,16927.2,4040.28,-30.6978,-5101.77
6.9,6.06567,33970.0,-25384.6,16470.6,4043.44,-51.6136,-5075.92
7.0,6.08713,33929.6,-25642.1,14207.2,4050.58,8.23312,-5053.17
