index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,5.87219945,1.9573998166666668,5016693.17078909,128644.41291152843,3887230.960917584,-27395929.08661863,-25041346.148284808,31921827.999999996,Main Bearing_UW,1638.605698947532,1587.3337995262307,6.503106901439972,3938446.7315807403,3933565.5854238817,6076630.424393538,5493107.810857875,4.969979156937949e-07,4.976146384643888e-07,3.2211927992346513e-07,3.5633741118235466e-07,,
0,0.0,5.87219945,1.9573998166666668,5016693.17078909,128644.41291152843,3887230.960917584,-27395929.08661863,-25041346.148284808,31921827.999999996,Main Bearing_DW,1583.2223076568057,1534.3661696848587,9.16373734290835,14028830.692414872,21779461.41706124,13571431.222228287,15075316.588890715,1.3952693988423402e-07,8.987365569716572e-08,1.4422943200424532e-07,1.2984137381957948e-07,,
1,20.0,5.9882252000000005,1.996075066666667,4965864.8379987115,121021.91662995327,3918031.508041432,-19452522.120198157,-28852521.386314344,33307974.500000004,Main Bearing_UW,1632.235817484605,1581.2671560619895,6.544587465781495,4229213.391530832,4360398.738722914,6380231.366788374,5886702.869517852,4.7197312641255854e-07,4.5777351711905207e-07,3.1285308508669866e-07,3.390820143144332e-07,,
1,20.0,5.9882252000000005,1.996075066666667,4965864.8379987115,121021.91662995327,3918031.508041432,-19452522.120198157,-28852521.386314344,33307974.500000004,Main Bearing_DW,1541.0503356655934,1493.5003153562336,9.832998157400626,17744586.80755499,30553350.084013153,17223098.80430238,20557389.848886307,1.1248923901777255e-07,6.533080860782925e-08,1.1589523403117455e-07,9.70976899956394e-08,,
2,40.0,5.86551045,1.9551701500000003,4966769.244777939,97260.36463763352,3866767.9371084054,-16865264.826582886,-29258269.575230215,31821892.999999996,Main Bearing_UW,1625.0190321916352,1574.276815917298,6.608367024932351,4479061.458027001,4657122.6892786585,6675905.692255468,6168745.4121809425,4.3651335627380317e-07,4.198236294055711e-07,2.928696479742275e-07,3.1694777776681747e-07,,
2,40.0,5.86551045,1.9551701500000003,4966769.244777939,97260.36463763352,3866767.9371084054,-16865264.826582886,-29258269.575230215,31821892.999999996,Main Bearing_DW,1521.9096540419296,1474.952192225756,10.151746623404316,19735521.070754204,35028757.22961878,19224212.24077886,23376910.829068318,9.906858516633442e-08,5.581614378105296e-08,1.0170352498775718e-07,8.363680574803832e-08,,
3,60.0,5.9917243,1.9972414333333333,5004564.097385554,71573.65927513267,3954093.746491333,-14493304.095524428,-21044550.386448078,33320499.500000004,Main Bearing_UW,1516.1442360330925,1469.354496714708,7.921742482014323,7170865.717987885,8813531.784940451,11638231.40847316,12434192.084402079,2.7852166138369007e-07,2.2661079372811585e-07,1.7161039020750618e-07,1.606249460983274e-07,,
3,60.0,5.9917243,1.9972414333333333,5004564.097385554,71573.65927513267,3954093.746491333,-14493304.095524428,-21044550.386448078,33320499.500000004,Main Bearing_DW,1376.8722606732356,1334.864335202635,13.508510092490507,51145120.21245182,140031135.6569431,48031344.1384071,76595508.8376169,3.905047881473321e-08,1.4262838217825342e-08,4.1582043333579903e-08,2.6075176777890478e-08,,
4,80.0,5.711851299999999,1.9039504333333332,5007877.912054025,76842.30378548958,3714923.9853917276,-16252192.869394071,-18443739.107190248,30223546.5,Main Bearing_UW,1489.9113823432072,1443.9336981078548,8.26875389812174,8426388.688675817,10685074.427458877,13623429.998660726,14799269.458134288,2.2595093861407593e-07,1.7818784943982187e-07,1.3975558530564655e-07,1.2865164991551956e-07,,
4,80.0,5.711851299999999,1.9039504333333332,5007877.912054025,76842.30378548958,3714923.9853917276,-16252192.869394071,-18443739.107190248,30223546.5,Main Bearing_DW,1356.602825063647,1315.2138274377378,14.01242468008426,57786137.816810645,162080374.96414146,54532399.56413172,87860238.33851916,3.294822089285663e-08,1.1746952299157512e-08,3.491411433480441e-08,2.1670217032618893e-08,,
