idx,dmg_UW,dmg_DW
0,1.2783002879906036e-09,3.624594131917267e-10
1,1.1322780170950652e-09,3.080508488323756e-10
2,1.0434888481049676e-09,2.6923950274942266e-10
3,1.015437552670257e-09,2.5288725036054326e-10
4,8.977945067171535e-10,2.1336948276206488e-10
5,7.703855282892294e-10,1.7697033341773943e-10
6,7.557117679099501e-10,1.7985661460875541e-10
7,8.53285253450243e-10,2.1133636458661631e-10
8,9.240965205804602e-10,2.2813994158824728e-10
9,9.365204389350489e-10,2.332344126695662e-10
10,8.674714671882507e-10,2.1366828859335678e-10
11,7.984111980727056e-10,1.8967128135332605e-10
12,7.53376335860736e-10,1.7631769234168174e-10
13,6.417959705344705e-10,1.4488492443785288e-10
14,6.031170919883182e-10,1.4545758518352626e-10
15,7.141559584328186e-10,2.1202509901660104e-10
16,1.0116314604882912e-09,3.6451695437297877e-10
17,1.3362783123745696e-09,5.418592087894789e-10
18,1.5580119950143096e-09,6.739086974253673e-10
19,1.6610843068515965e-09,7.522338216166278e-10
20,1.8664822326515777e-09,8.877481785736783e-10
21,2.3149096220606378e-09,1.174015063488151e-09
22,2.5541404022062278e-09,1.3479918513959845e-09
23,2.396370791960867e-09,1.2741326601268189e-09
24,2.106870017596303e-09,1.0693903323602951e-09
25,2.1422755085091255e-09,1.016218147536133e-09
26,2.4569758751568283e-09,1.117287078530092e-09
27,2.680792966534854e-09,1.2099861596044564e-09
28,2.5164823131919363e-09,1.1228216850638888e-09
29,2.4498338684293107e-09,1.067222472398818e-09
30,2.5289427744374305e-09,1.0408881554820338e-09
31,2.520440977109161e-09,9.751872187312082e-10
32,2.2016845264140363e-09,8.21354931669659e-10
33,1.8214463913434315e-09,6.649739803557287e-10
34,1.7342914866710797e-09,6.298733431381454e-10
35,1.7686326760985121e-09,6.379531864289363e-10
36,1.6082153645237933e-09,5.54060295474899e-10
37,1.32785829857162e-09,4.245689081103241e-10
38,1.1637133852786449e-09,3.474413268727512e-10
39,1.1925587965392197e-09,3.460408989399837e-10
40,1.2812930373662366e-09,3.7661028222084383e-10
41,1.2191048480577052e-09,3.6464293021823467e-10
42,1.095673015089459e-09,3.2396964667435675e-10
43,9.882379781659729e-10,2.7392342084604664e-10
44,8.978898455388385e-10,2.2971349377191954e-10
45,7.619168804430605e-10,1.8771594920926915e-10
46,7.149537746553138e-10,1.9221503598709773e-10
47,7.997012947030009e-10,2.488999341146884e-10
48,1.0245529636299559e-09,3.4568145526887884e-10
49,1.2410945014245858e-09,4.380060627474553e-10
50,1.320252449245697e-09,4.738638902917503e-10
51,1.419849498382023e-09,5.357436859094294e-10
52,1.698573954812792e-09,7.076579256483058e-10
53,2.0727509292263666e-09,9.613837895804711e-10
54,2.2684171737071418e-09,1.1542092206443581e-09
55,2.170835883287304e-09,1.137771131142614e-09
56,1.87046239085948e-09,9.222327802565291e-10
57,1.6882684704106553e-09,7.517081745035701e-10
58,1.6320610952651e-09,6.627574025278788e-10
59,1.634334113873975e-09,6.199834142362171e-10
60,1.6132009766057065e-09,5.67186058218845e-10
61,1.5466550770250235e-09,4.90641986922847e-10
62,1.493965578624823e-09,4.208398855541132e-10
63,1.4127909629118304e-09,3.657220278220174e-10
64,1.3427149058792633e-09,3.5037344261972476e-10
65,1.2990192514663217e-09,3.610505103601133e-10
66,1.346761022993516e-09,4.0680834646552285e-10
67,1.4361273443272748e-09,4.500069890234632e-10
68,1.2851637496229542e-09,3.7710299853778373e-10
69,1.0865168157504593e-09,2.9129516297661565e-10
70,1.0075362200619773e-09,2.5979262638660353e-10
71,1.094444775593357e-09,2.92369552553602e-10
72,1.1687537996723505e-09,3.293943294888806e-10
73,1.0504119364775166e-09,2.9817751700754656e-10
74,9.08205247616427e-10,2.499483016238215e-10
75,8.360023752286284e-10,2.072788778047644e-10
76,8.068644233832712e-10,1.7845618840060566e-10
77,6.789485031529186e-10,1.3321629517914084e-10
78,5.174946823735534e-10,9.503343445161125e-11
79,4.2176462752101994e-10,7.623476573886619e-11
80,3.877882807936794e-10,7.31254019725048e-11
81,4.067233200998953e-10,8.552440614085344e-11
82,4.503570579972363e-10,1.1342144630046382e-10
83,5.486792178245227e-10,1.6520104470241995e-10
84,7.222686895638452e-10,2.558313813561584e-10
85,9.454368397011847e-10,3.832197431582441e-10
86,1.1208585455729212e-09,5.079157956886223e-10
87,1.2232547318438326e-09,6.077114989347487e-10
88,1.2734347940548361e-09,6.717026850168397e-10
89,1.3191941025608254e-09,7.132146343336338e-10
90,1.3998172275415147e-09,7.499698830355162e-10
91,1.4625145128803442e-09,7.546020050956095e-10
92,1.4233757099804748e-09,6.858861464049147e-10
93,1.3198174020912965e-09,5.786332238050507e-10
94,1.1810250479570406e-09,4.6462365862122766e-10
95,1.08876694900606e-09,3.899209574407718e-10
96,1.0741517119207033e-09,3.7606888595078877e-10
97,1.13255024881315e-09,4.1844415438412335e-10
98,1.3193749070300762e-09,5.398741310170121e-10
99,1.5732734196520999e-09,7.001390296412283e-10
100,1.828418576927662e-09,8.57581614970646e-10
101,2.0040861847888995e-09,9.66155339570957e-10
102,2.1374708198609915e-09,1.020260195510489e-09
103,2.3528317916320914e-09,1.0879064859745895e-09
104,2.4659947919579635e-09,1.0996329063197142e-09
105,2.28993376207713e-09,9.788711613546492e-10
106,1.9416078862114398e-09,7.988617638074674e-10
107,1.7347868750876024e-09,7.035846934194993e-10
108,1.74227005075364e-09,6.954471760715842e-10
109,1.6534906701792049e-09,6.193547910162637e-10
110,1.3874291321911765e-09,4.6299644480045445e-10
111,9.257072820622456e-10,2.45068625260965e-10
112,6.04883680912847e-10,1.194824290561303e-10
113,4.4679609488993413e-10,7.105007362117539e-11
114,4.1080095159405326e-10,6.85508224126856e-11
115,4.52557554677445e-10,9.411431991274132e-11
116,5.405260057531124e-10,1.4127727448192105e-10
117,6.20134253107822e-10,1.8901194438914033e-10
118,7.135986459102983e-10,2.4384640969326574e-10
119,8.269502739159835e-10,3.2205000253743566e-10
120,9.891188275004006e-10,4.502748533293289e-10
121,1.216764031341283e-09,6.311412575125894e-10
122,1.3778106663568243e-09,7.770059537407386e-10
123,1.4614780056316493e-09,8.467631297462318e-10
124,1.4995496296319671e-09,8.603104582585843e-10
125,1.6234895337384245e-09,9.213309850280089e-10
126,1.8559332661959578e-09,1.0644304334513208e-09
127,2.0815654090873442e-09,1.1972700125515256e-09
128,2.0720343251082974e-09,1.1870099793324215e-09
129,1.8786118007983457e-09,1.0409154941847908e-09
130,1.7606746088886077e-09,9.186582770947438e-10
131,1.8280318580381445e-09,9.259271457971846e-10
132,2.1491270474463585e-09,1.1086025849904906e-09
133,2.54817514483044e-09,1.3700210625786894e-09
134,2.804979009234292e-09,1.5194638980816e-09
135,2.8852377058418886e-09,1.510259039095437e-09
136,2.7845437935881078e-09,1.3531088440303105e-09
137,2.8082413951009635e-09,1.2908972607569209e-09
138,2.6659165451337527e-09,1.1745774373952129e-09
139,2.4331004539228064e-09,1.03981859166935e-09
140,2.119093325089382e-09,8.778175405590672e-10
141,1.889492823782903e-09,7.351883508902788e-10
142,1.676534489896815e-09,5.847871006447028e-10
143,1.396002420458212e-09,4.1675223309011753e-10
144,1.0869891710046055e-09,2.700380627420275e-10
145,8.101566753606399e-10,1.6498605736075304e-10
146,6.881844603331841e-10,1.2317055254314233e-10
147,5.970655294008683e-10,9.66135831778314e-11
148,5.350727717731709e-10,8.640383268754019e-11
149,5.244104802575633e-10,9.44607125257705e-11
150,5.870893569323212e-10,1.2886030045177345e-10
151,7.149778133241725e-10,1.9736032284666203e-10
152,8.220326536692852e-10,2.876234575893891e-10
153,9.113425719296739e-10,4.0207900171715014e-10
154,1.0288925643779671e-09,5.353634466025446e-10
155,1.2283205740095998e-09,6.684920504999974e-10
156,1.4467972476135601e-09,8.091448513377151e-10
157,1.5914884871262078e-09,9.223859498522405e-10
158,1.6623049502030113e-09,1.0004836505909715e-09
159,1.7980545336378522e-09,1.0606997846205026e-09
160,1.8554306491514821e-09,1.0063764928879126e-09
161,1.6369612298705957e-09,7.884804572513931e-10
162,1.2487521198449996e-09,5.450353405196245e-10
163,1.0335281124897627e-09,4.19795356636546e-10
164,1.1031257633056381e-09,4.4462255957433724e-10
165,1.4158104162082216e-09,6.181019643851462e-10
166,1.7183879203820174e-09,8.222995943599667e-10
167,1.930531614893938e-09,9.862551357345837e-10
168,2.1341944905815837e-09,1.1018230547647532e-09
169,2.254950408659819e-09,1.1258448393954867e-09
170,2.1726790853930154e-09,1.0413428654793397e-09
171,1.86329915370435e-09,8.602308157629904e-10
172,1.6423936773711793e-09,7.098021303047247e-10
173,1.4960713851985772e-09,5.771740799467998e-10
174,1.3442909830971025e-09,4.5828166104892374e-10
175,1.0957243863235256e-09,3.3116636202668346e-10
176,8.93014336851628e-10,2.4151778091865313e-10
177,8.384232314386026e-10,2.1254328757406165e-10
178,8.46631246612596e-10,2.0640940661997383e-10
179,7.26062472170169e-10,1.6677567657007479e-10
180,5.871385203789453e-10,1.3319573369671148e-10
181,5.606559836567737e-10,1.4176409447413673e-10
182,6.773743494512193e-10,2.0655309822388826e-10
183,8.602864961324234e-10,3.1342009159902623e-10
184,1.0447351217083927e-09,4.4495811749410507e-10
185,1.2001405308088964e-09,5.721196618738995e-10
186,1.4128250479933258e-09,7.136614002732892e-10
187,1.6986537913851632e-09,9.048375556521446e-10
188,1.8811137176188613e-09,1.0493191107775928e-09
189,1.8209614248460296e-09,1.0498071918173905e-09
190,1.6827572399433166e-09,9.80035339074511e-10
191,1.5719101943858241e-09,9.095661013068171e-10
192,1.4458505065335083e-09,8.298431176622031e-10
193,1.3115889009651776e-09,7.682535407892811e-10
194,1.1636038654558356e-09,6.768321123961917e-10
195,1.0940431761131868e-09,5.947795538926718e-10
196,1.1326278308537973e-09,5.717840292822362e-10
197,1.281475974469134e-09,6.390424389023563e-10
198,1.4855195168403498e-09,7.731388746429194e-10
199,1.7969530236823232e-09,9.952251179245344e-10
200,2.2050092671430293e-09,1.2397601518912233e-09
201,2.5181231792028267e-09,1.383909492818393e-09
202,2.46986159882703e-09,1.3181520195263694e-09
203,2.0812252591923705e-09,1.0827959264024797e-09
204,1.633156208798129e-09,8.198245604179867e-10
205,1.4090441843595027e-09,6.83504893882825e-10
206,1.273929384387255e-09,5.949692106475176e-10
207,1.1412111619331484e-09,5.126636077278682e-10
208,1.044977227050592e-09,4.484541001692531e-10
