idx,dmg_UW,dmg_DW
0,1.2318274787531057e-09,3.93322058081653e-10
1,1.5722480255097573e-09,5.643158802972794e-10
2,1.8603464665521337e-09,7.367752261844556e-10
3,1.945425075815174e-09,8.029117664124883e-10
4,1.9897014061158317e-09,7.971562871977039e-10
5,1.9194939294608498e-09,6.946210669616572e-10
6,1.570434983179758e-09,4.903234278743181e-10
7,1.1520382708639126e-09,3.23300811625082e-10
8,9.129462198872562e-10,2.5565841122578445e-10
9,9.832138483349383e-10,3.1565298103553327e-10
10,1.1936702648763761e-09,4.3703486700383986e-10
11,1.2247469180622325e-09,4.705589012230923e-10
12,1.038977240279035e-09,3.9967221000303906e-10
13,9.338679263285461e-10,3.5702771916066845e-10
14,9.822360823923623e-10,3.7621901364547937e-10
15,1.2463197190505485e-09,5.295848814091416e-10
16,1.5760711702237097e-09,7.961543290855909e-10
17,1.9187580100283154e-09,1.1215629757349528e-09
18,2.3754481181311484e-09,1.5008944863481896e-09
19,2.824343341387601e-09,1.8098952189460496e-09
20,3.104369087611284e-09,1.9569010332762572e-09
21,3.1704187494258365e-09,1.957314614025545e-09
22,3.2656187308492817e-09,1.978561587341887e-09
23,3.2037731217389225e-09,1.8702150676702854e-09
24,2.9704753904865052e-09,1.6818815359429438e-09
25,2.446187677502775e-09,1.3246735239342862e-09
26,2.011973750453751e-09,1.0208960727628593e-09
27,1.9334372709084486e-09,9.229849101049785e-10
28,2.17140695256185e-09,1.0297510306624541e-09
29,2.6869245485330496e-09,1.3461928602049214e-09
30,3.1415812596288635e-09,1.6598639478928805e-09
31,3.6596505510973064e-09,1.997499812663929e-09
32,3.923813715410384e-09,2.104689503751501e-09
33,4.037083116326796e-09,2.063143524390324e-09
34,3.8977987622122e-09,1.901652235678709e-09
35,3.653331786869921e-09,1.7495761964898408e-09
36,3.547187029670733e-09,1.6960742268633658e-09
37,3.418901917943205e-09,1.5999963557336106e-09
38,2.7772764177292117e-09,1.181697075013267e-09
39,1.8485077215325399e-09,6.701392026537362e-10
40,1.2057300632197315e-09,3.7018431842294994e-10
41,1.062330290425136e-09,3.217299584183382e-10
42,1.2638146410701089e-09,4.4698191495603803e-10
43,1.5958188909993653e-09,6.724353489433771e-10
44,1.6496741941533134e-09,7.673293623096527e-10
45,1.5118118641266639e-09,7.068979051723142e-10
46,1.45388578919421e-09,6.425087872982359e-10
47,1.6998006763807082e-09,7.485328783523486e-10
48,1.9737176167252505e-09,9.22301591231038e-10
49,2.2912415557783654e-09,1.2102361840745725e-09
50,2.729066178802135e-09,1.5856542509448468e-09
51,3.0058755527254242e-09,1.725819077795819e-09
52,2.7120048506474116e-09,1.4389728396697912e-09
53,2.120783475730427e-09,1.0293168552595847e-09
54,1.6943829674825892e-09,7.762693150587932e-10
55,1.7541404754194418e-09,8.194765693810251e-10
56,2.151389178266793e-09,1.067086538176596e-09
57,2.220010538141121e-09,1.1423563795346478e-09
58,1.8547026425828094e-09,9.465511162972724e-10
59,1.5577831015181723e-09,7.37728896183568e-10
60,1.5357727112830666e-09,6.738237007057807e-10
61,1.7954001198968995e-09,8.033065579742725e-10
62,2.1144798604746426e-09,1.0302421603617818e-09
63,2.4254331346834574e-09,1.260247621274589e-09
64,2.7541187003749287e-09,1.4237122594336929e-09
65,2.8979458210520115e-09,1.3912974354757389e-09
66,2.8269918243133236e-09,1.2680400389747763e-09
67,2.788590073646727e-09,1.236746332053138e-09
68,3.1529723437484544e-09,1.4512640924696317e-09
69,3.738223033155903e-09,1.7785722459639489e-09
70,3.353236893574528e-09,1.5605881319652867e-09
71,2.3605040555232027e-09,1.0366545316496852e-09
72,1.6506442439843885e-09,6.531039082308958e-10
73,1.4260077541511896e-09,5.174835605969083e-10
74,1.4230398120702873e-09,5.259066720164061e-10
75,1.3375890360756118e-09,5.538139470589668e-10
76,1.2649439176247303e-09,5.922610891565883e-10
77,1.2132789269050588e-09,5.623967002571268e-10
78,1.0355309965717445e-09,4.082885352306977e-10
79,7.881498045416129e-10,2.6163583578042133e-10
80,6.636529770043289e-10,2.1132508432716783e-10
81,8.204733372215493e-10,2.890306686275587e-10
82,1.3150466225217316e-09,5.322775767232432e-10
83,1.6903759008150486e-09,7.323932237002599e-10
84,1.3612431521340182e-09,5.686548313240128e-10
85,8.629335482087429e-10,3.0011539027503485e-10
86,7.410610034829302e-10,2.1152272336777402e-10
87,9.270141529797886e-10,2.658136853315076e-10
88,1.1641205876760456e-09,3.9330012498179424e-10
89,1.2229598727235303e-09,4.793189042713687e-10
90,1.0634712407574472e-09,4.104642614087032e-10
91,8.676535816723594e-10,2.6734696947659e-10
92,6.999035726014789e-10,1.5911205393118006e-10
93,5.890506649409649e-10,1.191835765404707e-10
94,6.144326713628696e-10,1.5467974505839335e-10
95,8.954750968224384e-10,3.0166030969371364e-10
96,1.2948108077375387e-09,4.966907238328515e-10
97,1.473998610048508e-09,5.699043582878046e-10
98,1.4065467605607097e-09,5.171705931591861e-10
99,1.5392781006795894e-09,5.516656718084482e-10
100,2.2363176122155006e-09,8.376555930104178e-10
