index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,5.7270601999999995,0.9545100333333333,5068166.9677569885,90343.71874591886,4002439.974985742,-20112265.759053618,-10169668.468552316,35940775.0,Main Bearing_UW,1438.1360247489029,1393.7641973186915,9.505509619563961,9669114.593405506,12893083.2468786,17270117.36572463,19950467.718588583,9.871741865427107e-08,7.403272088268095e-08,5.5269458401464855e-08,4.784399277235898e-08,,
0,0.0,5.7270601999999995,0.9545100333333333,5068166.9677569885,90343.71874591886,4002439.974985742,-20112265.759053618,-10169668.468552316,35940775.0,Main Bearing_DW,1326.7453854720648,1286.2692337682518,15.110725110762456,74312815.44114889,236430289.94868287,67844075.18325274,117072520.74747032,1.2844487557993891e-08,4.037173213045204e-09,1.4069173037662004e-08,8.15315180060269e-09,,
1,10.0,5.947425399999999,0.9912375666666666,5046075.782211705,114863.16069080478,4010340.317235587,-23060298.378917273,-16720753.389835289,32937277.0,Main Bearing_UW,1526.0735815962043,1478.758171659065,7.929922868183222,6349412.504424725,7456933.618871547,10702319.82495512,11152818.724449066,1.5611484778724038e-07,1.3292830771057206e-07,9.261894457268505e-08,8.887776186065756e-08,,
1,10.0,5.947425399999999,0.9912375666666666,5046075.782211705,114863.16069080478,4010340.317235587,-23060298.378917273,-16720753.389835289,32937277.0,Main Bearing_DW,1439.5229274664803,1395.6059937815266,11.968223493908567,34162134.6692612,77239619.0327684,32176995.349670492,45458843.52960338,2.9015679970332e-08,1.283327881570908e-08,3.0805783942683056e-08,2.1805164621514407e-08,,
2,20.0,6.094366300000001,1.015727716666667,5043380.228702719,165022.43069626365,4125180.626722043,-27207322.450280633,-20455842.71222371,34973446.0,Main Bearing_UW,1596.1744537274494,1546.337435285731,7.044492305836973,4470690.118066606,4731756.849744738,7341104.17488143,7055564.530084635,2.2719707468920445e-07,2.1466185793580285e-07,1.383617086026534e-07,1.4396122554554578e-07,,
2,20.0,6.094366300000001,1.015727716666667,5043380.228702719,165022.43069626365,4125180.626722043,-27207322.450280633,-20455842.71222371,34973446.0,Main Bearing_DW,1537.4275721123706,1490.0022351729158,9.98585984869453,18680891.007311244,33186937.136037033,17760802.524931412,21571502.358642157,5.437255194461206e-08,3.06062506613094e-08,5.718929171364059e-08,4.708655427792852e-08,,
3,30.0,6.1168543,1.0194757166666666,5016167.329390987,149961.42960653233,4136592.4864912266,-21488651.59994956,-25409321.256203886,35187996.0,Main Bearing_UW,1607.8995701402835,1557.6946416451765,6.84179363522186,4414814.551496761,4661920.34429409,7030466.241417564,6699989.3148568785,2.309215267764831e-07,2.1868149633110817e-07,1.4500826569094058e-07,1.5216079739202452e-07,,
3,30.0,6.1168543,1.0194757166666666,5016167.329390987,149961.42960653233,4136592.4864912266,-21488651.59994956,-25409321.256203886,35187996.0,Main Bearing_DW,1520.7580367070427,1473.8807514417251,10.272443399711094,20528563.251654956,37987870.88649545,19588457.402665313,24469947.12041895,4.9661328178165574e-08,2.6836874320036887e-08,5.204471672832957e-08,4.1662358796679414e-08,,
4,40.0,6.1173831,1.01956385,4988864.498038627,119566.1656421305,4105947.34635489,-14132774.54726425,-23530306.82665327,35238587.99999999,Main Bearing_UW,1546.509988998974,1498.4697138751508,7.541419246181751,6050422.8296566205,7090759.012062827,9793226.484713325,10120009.683273083,1.685111733022241e-07,1.4378768877429256e-07,1.041090851509951e-07,1.0074731960831936e-07,,
4,40.0,6.1173831,1.01956385,4988864.498038627,119566.1656421305,4105947.34635489,-14132774.54726425,-23530306.82665327,35238587.99999999,Main Bearing_DW,1414.1275047758343,1370.9831310932163,12.563180079072463,40158546.13044289,99581343.75515151,37802622.06815069,56823966.069728605,2.5388465177206745e-08,1.023850263064216e-08,2.6970717749735106e-08,1.794249716306135e-08,,
5,50.0,6.082531800000001,1.0137553000000001,4960477.04945794,47291.04341205164,4076423.41062129,-7191862.165531958,-23350565.631079677,34781382.00000001,Main Bearing_UW,1518.7138432669017,1471.8455473932459,7.8739686507240485,7150036.103068882,8847548.358845698,11526305.130493365,12374484.417165432,1.4178324212445362e-07,1.1458036270425771e-07,8.795145439261922e-08,8.192303338260751e-08,,
5,50.0,6.082531800000001,1.0137553000000001,4960477.04945794,47291.04341205164,4076423.41062129,-7191862.165531958,-23350565.631079677,34781382.00000001,Main Bearing_DW,1351.5550304655292,1310.3180038336452,14.234654010596108,60897914.071552984,183494703.57107785,56723580.52093852,95974208.56716248,1.664679842414425e-08,5.524711505404926e-09,1.787184960275542e-08,1.0562788848532959e-08,,
6,60.0,6.1271104,1.0211850666666669,4978704.505155721,107387.71229509707,4122395.991495261,-14385455.822419295,-30396527.733193718,36932902.0,Main Bearing_UW,1630.8041555487055,1579.8803718053937,6.560764192812119,4170882.494397713,4328137.990463626,6371845.494433564,5937698.331196916,2.448366905656806e-07,2.359409678981327e-07,1.602651959402928e-07,1.7198331907522442e-07,,
6,60.0,6.1271104,1.0211850666666669,4978704.505155721,107387.71229509707,4122395.991495261,-14385455.822419295,-30396527.733193718,36932902.0,Main Bearing_DW,1521.6803382638816,1474.7299132355056,10.209090863844892,20109576.703450456,36935854.858931944,19346317.750537604,24103838.516415324,5.07810324267765e-08,2.764752760067013e-08,5.278446678248576e-08,4.236607650566585e-08,,
