t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,5.53448,40744.9,-7283.92,17025.5,4077.72,26.6397,-5103.26
0.1,5.51221,40509.2,-8310.92,14843.9,4056.36,105.319,-5148.91
0.2,5.49418,40195.2,-7790.14,12705.4,4036.64,141.578,-5070.38
0.3,5.49058,39829.0,-6658.15,11830.6,4016.83,106.278,-5014.1
0.4,5.50756,39376.1,-7393.37,12138.7,3988.94,31.8983,-5040.62
0.5,5.53529,38878.1,-7565.92,13110.8,3978.02,1.31025,-5110.4
0.6,5.55792,38410.7,-6504.47,13561.3,3977.13,6.60475,-5097.83
0.7,5.57644,38080.7,-3181.78,14199.4,3990.41,66.7408,-5082.8
0.8,5.58845,37825.4,-751.648,15839.9,4016.84,120.752,-5108.99
0.9,5.59909,37682.9,857.852,18456.0,4017.84,122.208,-5155.12
1.0,5.61367,37611.1,2836.15,21406.8,4009.34,92.3027,-5144.82
1.1,5.62233,37558.9,4990.42,23890.9,3988.77,73.7282,-5058.06
1.2,5.61676,37559.6,5417.46,24742.4,3939.08,39.5563,-4963.47
1.3,5.60533,37613.3,4263.2,24199.2,3897.17,22.1634,-5001.01
1.4,5.59992,37654.3,2579.68,24093.7,3890.15,50.3493,-5065.18
1.5,5.59776,37625.4,634.448,24876.5,3892.93,47.2832,-5060.04
1.6,5.59985,37603.5,-1044.36,26692.9,3923.36,27.6007,-5097.29
1.7,5.59129,37475.9,-4277.02,28171.7,3937.39,22.9402,-5158.58
1.8,5.5624,37367.2,-7306.98,27709.9,3944.03,88.3271,-5212.91
1.9,5.5441,37276.4,-8209.82,26108.6,3945.2,216.267,-5197.35
2.0,5.54467,37031.2,-8498.33,25237.3,3965.12,279.757,-5076.38
2.1,5.56396,36757.9,-10019.0,26246.2,3982.42,221.849,-4979.55
2.2,5.59812,36425.2,-12999.8,28726.7,3992.73,96.1935,-4984.58
2.3,5.61815,36094.0,-14430.9,31169.2,4000.82,6.57419,-5034.89
2.4,5.63145,35932.2,-14397.3,31967.4,4015.36,7.7765,-5017.71
2.5,5.65481,35818.3,-14290.1,31204.7,4041.37,37.0132,-4994.3
2.6,5.68217,35734.9,-15804.5,29722.4,4055.24,82.5629,-5093.14
2.7,5.71388,35753.3,-17278.2,28088.2,4046.45,130.046,-5202.93
2.8,5.73382,35820.5,-17504.2,26984.5,4055.82,171.746,-5156.81
2.9,5.72676,35985.3,-16008.1,25542.1,4090.12,156.429,-5036.12
3.0,5.70825,36255.4,-15289.8,23243.9,4115.4,128.459,-4986.16
3.1,5.68766,36472.4,-15862.4,20773.3,4147.08,130.105,-5020.08
3.2,5.65912,36611.1,-15775.6,17840.6,4163.24,85.673,-5030.17
3.3,5.64089,36738.6,-13466.1,15298.9,4157.26,45.44,-4989.09
3.4,5.62854,36651.7,-10909.1,13140.4,4131.22,17.6287,-4948.94
3.5,5.61704,36498.7,-9166.82,10832.8,4104.99,50.1707,-5003.15
3.6,5.62415,36261.7,-8699.41,8389.77,4053.69,123.205,-5056.98
3.7,5.6372,35908.9,-7881.67,6735.13,4019.75,187.733,-5049.67
3.8,5.6573,35637.5,-6973.59,6391.7,4018.53,211.255,-4986.29
3.9,5.68913,35386.1,-6627.04,7324.47,4014.66,163.367,-4982.21
4.0,5.71644,35190.3,-7645.87,8911.82,4047.94,92.9339,-5016.79
4.1,5.74158,35133.7,-7764.59,9849.77,4072.35,33.8996,-5067.3
4.2,5.7693,35164.4,-5991.09,10800.8,4096.78,27.0395,-5070.57
4.3,5.79037,35257.2,-3636.44,12426.7,4120.19,21.3148,-5052.42
4.4,5.80809,35471.5,-2567.8,14803.8,4116.36,-6.94119,-5057.78
4.5,5.82141,35724.4,-2747.89,17746.7,4109.43,-15.6336,-5097.28
4.6,5.81495,35988.8,-2041.66,19993.6,4063.74,18.7552,-5103.97
4.7,5.79321,36296.2,-1549.05,20503.1,4002.56,54.652,-5010.8
4.8,5.76479,36553.9,-1231.47,20128.2,3957.16,96.3889,-4969.2
4.9,5.7317,36709.9,-3097.03,19756.3,3933.27,106.734,-5012.73
5.0,5.7035,36772.4,-5090.1,19900.6,3914.93,70.8425,-5105.29
