index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.1801554,2.0600518,5048805.285387455,35198.087424943515,3365795.2373756934,-15521204.894476201,-9296683.247803366,43147018.5,Main Bearing_UW,1368.78196662237,1327.0134597759843,10.425176653296585,16330092.920474311,27714927.677983664,27800037.050188698,38032274.750717185,1.2615064776619566e-07,7.433004422510094e-08,7.410248397442395e-08,5.4165884462673456e-08,,
0,0.0,6.1801554,2.0600518,5048805.285387455,35198.087424943515,3365795.2373756934,-15521204.894476201,-9296683.247803366,43147018.5,Main Bearing_DW,1218.655815803698,1181.4772453424691,18.977461177597448,158820443.31869572,813650442.8605005,144273543.21906942,334209412.1198585,1.297094855645387e-08,2.5318634286704293e-09,1.4278791204787655e-08,6.163955069168422e-09,,
1,20.0,5.90259265,1.9675308833333331,5086036.308669159,56366.61791418224,3827220.632483692,-26287405.09645172,-5526991.094200492,44679604.5,Main Bearing_UW,1455.9356872655633,1411.0094594598334,9.340157414807702,8502518.105091944,11005980.171596698,15346053.888758833,17451807.17179256,2.314056681814095e-07,1.7876925568255795e-07,1.2821086760125176e-07,1.1274081039088392e-07,,
1,20.0,5.90259265,1.9675308833333331,5086036.308669159,56366.61791418224,3827220.632483692,-26287405.09645172,-5526991.094200492,44679604.5,Main Bearing_DW,1416.8887557327128,1373.6648552483987,12.517691556739202,39675905.94048802,95477245.98268098,37152854.963914834,54482711.13194514,4.959006824657102e-08,2.0607327568813957e-08,5.295773057667632e-08,3.611294009522408e-08,,
2,40.0,6.409966600000001,2.1366555333333332,5111706.276398641,-64562.341044606284,3297968.265600424,-29960854.156903878,8522553.699340852,41634639.50000001,Main Bearing_UW,1422.2557776092788,1378.3638114751113,10.446592465716817,9620299.38321593,13609843.46337225,18136544.366881873,22453712.661154877,2.2209865288195214e-07,1.5699339519103567e-07,1.1780940680380988e-07,9.515822909009459e-08,,
2,40.0,6.409966600000001,2.1366555333333332,5111706.276398641,-64562.341044606284,3297968.265600424,-29960854.156903878,8522553.699340852,41634639.50000001,Main Bearing_DW,1500.926557547455,1455.1120555504363,10.616764921589713,22913250.47119398,45698180.82089257,21928487.83406462,28955949.82693349,9.32497785951185e-08,4.675581160894886e-08,9.743743159590622e-08,7.37898617073136e-08,,
3,60.0,6.275028099999999,2.091676033333333,5081172.248353707,-25777.554472289245,2959463.7006313703,-35712541.07440714,-18528620.208572116,42457894.0,Main Bearing_UW,1644.4327306429998,1592.6570153199302,6.445624219718796,4341728.277935196,4616105.224364669,6281937.492707978,5898482.721873558,4.817611557967132e-07,4.5312572648757545e-07,3.3296670585489485e-07,3.5461255579789945e-07,,
3,60.0,6.275028099999999,2.091676033333333,5081172.248353707,-25777.554472289245,2959463.7006313703,-35712541.07440714,-18528620.208572116,42457894.0,Main Bearing_DW,1623.2015584732444,1573.106270708,8.394245288906978,10472528.488848675,15112082.924448512,10565440.617417665,11366880.789041108,1.997298012185486e-07,1.384108361362545e-07,1.9797338408065055e-07,1.8401495292797767e-07,,
4,80.0,6.3063507,2.1021169,5085291.933682959,77097.54361472074,2947247.210514251,-37937950.71279191,-23486195.66075024,42291134.00000001,Main Bearing_UW,1709.5277882969942,1655.4988591754695,5.8871886275713505,3209759.8111300105,3108896.247714717,4627774.653038693,4054610.7129120636,6.549140819542943e-07,6.761618055106281e-07,4.542392526869705e-07,5.184509805850727e-07,,
4,80.0,6.3063507,2.1021169,5085291.933682959,77097.54361472074,2947247.210514251,-37937950.71279191,-23486195.66075024,42291134.00000001,Main Bearing_DW,1684.0296285294362,1632.0467184950626,7.572141885327052,7427486.00313567,9490042.78414105,7549534.424397788,7487481.141548845,2.8301862825625616e-07,2.215076315054004e-07,2.784432498521499e-07,2.8075087739922645e-07,,
