idx,dmg_UW,dmg_DW
0,2.4848948350949945e-10,2.2383561623535727e-11
1,1.634182056719022e-10,9.510660389764426e-12
2,1.3332172460523174e-10,3.751153511623398e-12
3,8.780916358973875e-11,1.5803687066713721e-12
4,4.617601987818235e-11,1.4799294907750876e-12
5,4.701620774658224e-11,4.977984995863622e-12
6,6.81515212266961e-11,1.1058160253733596e-11
7,8.415552662477774e-11,1.472373196607904e-11
8,7.463867367024448e-11,1.51572174128625e-11
9,6.803029606167722e-11,1.7122786184230203e-11
10,9.350665458160872e-11,2.4677308909738436e-11
11,1.9007292522484904e-10,5.6580063293024846e-11
12,3.650167838820908e-10,1.2529920442051474e-10
13,4.868745527238019e-10,1.9228506331679982e-10
14,5.926295658253673e-10,2.3990238732762637e-10
15,7.678278865294769e-10,2.675771744728864e-10
16,9.817928589771977e-10,2.959813821609895e-10
17,9.143046450399858e-10,2.6347219618933246e-10
18,6.290939567541032e-10,1.772310162767612e-10
19,4.732481482977782e-10,1.2278040091798347e-10
20,4.362588142247309e-10,9.818430842458175e-11
21,4.3269210705191436e-10,8.084427836966507e-11
22,3.806775475487505e-10,6.108964552688533e-11
23,3.652934986491695e-10,5.491015270635452e-11
24,5.245145257129046e-10,7.911680488942396e-11
25,8.123163469063578e-10,1.271224060845078e-10
26,9.244991280000877e-10,1.5161152375536155e-10
27,8.222436719349178e-10,1.3727034359943528e-10
28,7.481214481210898e-10,1.162698045695636e-10
29,8.247901313814566e-10,1.1851388438364376e-10
30,7.982941967255421e-10,1.0547911144184596e-10
31,5.298634528078154e-10,6.162733305869984e-11
32,2.999903591401859e-10,2.9066028982261523e-11
33,2.2892918380904693e-10,1.8355517355022564e-11
34,2.2005549587049355e-10,1.3063175079586013e-11
35,1.5512545413795502e-10,5.414736121991043e-12
36,7.131985132027874e-11,1.2246553699693217e-12
37,4.06459634437127e-11,9.005364061134548e-13
38,4.4983954795108866e-11,2.5666499314023987e-12
39,6.2913001580349e-11,7.964937234467029e-12
40,7.742586631173792e-11,1.784144449028683e-11
41,8.432549493782533e-11,2.6511351869786025e-11
42,8.695234978985613e-11,2.3336097066479142e-11
43,9.783736956251764e-11,1.3804854396427917e-11
44,1.38257668889987e-10,1.3128206702335357e-11
45,1.985741191364004e-10,2.0160307470861133e-11
46,3.102570971102402e-10,3.9254714323517486e-11
47,5.005878915467358e-10,7.807189743752369e-11
48,7.78371945785274e-10,1.4000069033963853e-10
49,8.466988289417876e-10,1.5681445372441713e-10
50,6.846988731471178e-10,1.2202786602044906e-10
51,5.209029697209322e-10,8.784747423225602e-11
52,5.020710734167944e-10,8.67807335814823e-11
53,5.483425938963251e-10,9.917535421334254e-11
54,5.679742326789666e-10,1.0706320528784776e-10
55,5.732759509211369e-10,1.078763935304652e-10
56,6.165059222320399e-10,1.1154917646330997e-10
57,7.156921836197795e-10,1.2543169106374846e-10
58,7.90490560217602e-10,1.3216946423065223e-10
59,7.356981977938558e-10,1.093905782363761e-10
60,6.181740282468372e-10,7.601452713000539e-11
61,5.706500033668007e-10,6.109596513681046e-11
62,5.561176335949619e-10,5.659483370186664e-11
63,4.680110384661537e-10,4.407446250325583e-11
64,3.118848620212322e-10,2.4508807406010525e-11
65,2.093944769721936e-10,1.4513240387871957e-11
66,1.6134769940055189e-10,9.59061879581228e-12
67,1.5626960411742896e-10,7.588235946827862e-12
68,1.215828494760961e-10,3.782907401005608e-12
69,8.657678160567635e-11,2.227026704028071e-12
70,7.343684106133573e-11,2.3363296761128643e-12
71,8.018309340131922e-11,3.5315590151489685e-12
72,8.811103685051055e-11,5.084073116690595e-12
73,8.026488097529847e-11,5.458157714028482e-12
74,7.631016439866672e-11,6.603857773079092e-12
75,1.1064156973029411e-10,1.0567240779077444e-11
76,1.8753232865576015e-10,1.957935647497582e-11
77,2.857845665697878e-10,3.643368273084409e-11
78,3.137842301828873e-10,4.6795216692368785e-11
79,3.478275144200067e-10,5.6723229218568636e-11
80,4.31003166413114e-10,7.450874777317433e-11
81,5.350478204690595e-10,9.920106126414401e-11
82,5.502850127728262e-10,1.0750335017342312e-10
83,5.571826807421975e-10,1.1354680878476304e-10
84,6.124353436826453e-10,1.2453464999979105e-10
85,6.857264984454459e-10,1.3505185611117636e-10
86,6.702373724251652e-10,1.268027884040464e-10
87,6.090072981736891e-10,1.0874781464330882e-10
88,6.880601245542989e-10,1.212552909902754e-10
89,8.842853174095571e-10,1.5721871765883576e-10
90,1.0165824792006833e-09,1.8263988775507052e-10
91,1.0408337763692676e-09,1.9932958309566997e-10
92,1.1225547492754995e-09,2.2457631591374366e-10
93,1.3667474388132047e-09,2.7244469310996506e-10
94,1.4632174616172956e-09,2.7462486388535545e-10
95,1.1035960511549095e-09,1.784716206438539e-10
96,7.754473941985713e-10,1.0873570205373359e-10
97,6.968235763906937e-10,9.372913967102762e-11
98,7.218858266156038e-10,9.8773455244266e-11
99,5.613819805596279e-10,6.984756331445305e-11
100,3.5441197380637763e-10,3.785466556127763e-11
101,2.7976111409043016e-10,2.4976933899867426e-11
102,3.342170761409742e-10,2.8670191844692446e-11
103,4.0338550839397166e-10,3.7207830723004137e-11
104,3.7490042572623237e-10,3.839200750186636e-11
105,2.856005432894318e-10,2.985194112507522e-11
106,2.6115452142890953e-10,3.115172564799394e-11
107,2.865425277594066e-10,4.24656303370195e-11
108,3.168223289433752e-10,6.176756560992347e-11
109,4.0305600450835966e-10,1.0454492208846431e-10
110,4.943893406355909e-10,1.4297362567069132e-10
111,5.459716194116044e-10,1.4493829477500374e-10
112,5.199257058405895e-10,1.1459564023573276e-10
113,4.86276088397476e-10,8.553616834473206e-11
114,5.784993402078287e-10,9.190067129947183e-11
115,7.663554848431351e-10,1.1915358503828468e-10
116,9.458358330209465e-10,1.526998805712748e-10
117,1.010994370154865e-09,1.6902608836769158e-10
118,1.0524732786527233e-09,1.771248588012464e-10
119,1.1621869463901831e-09,2.0175902389662945e-10
120,1.297115148401567e-09,2.425308469382952e-10
121,1.3261961960539912e-09,2.644100249208723e-10
122,1.3423018335403763e-09,2.8031642887669564e-10
123,1.4789923588597405e-09,3.223228255882668e-10
124,1.6903615748063252e-09,3.713762721539637e-10
125,1.814947827989288e-09,3.924693859106729e-10
126,1.8120304380421393e-09,3.8513441046598154e-10
127,1.7388818033877822e-09,3.6057993712432966e-10
128,1.7872408631485927e-09,3.7842944403915203e-10
129,1.635810885614155e-09,3.2610954900851804e-10
130,1.2323994640155072e-09,2.1718218858439492e-10
131,7.672778538229951e-10,1.0526265888960145e-10
132,5.239065519164156e-10,5.458662408566406e-11
133,4.1361301318921646e-10,3.281321434933865e-11
134,3.740418976587064e-10,2.559372576477994e-11
135,3.23038873282642e-10,1.8290814981554697e-11
136,3.2797792036466813e-10,1.8806738067124807e-11
137,3.9007133562050455e-10,2.533027387438442e-11
138,4.1407973966032134e-10,2.6467668057921928e-11
139,3.6951818435753255e-10,2.1967912337010406e-11
140,3.042270803229918e-10,1.7110173156491895e-11
141,2.8076633840143163e-10,1.8321349297089224e-11
142,3.3922872571571067e-10,3.5423337913921505e-11
143,3.6217745007890657e-10,4.835766317372609e-11
144,3.1973010428510615e-10,4.159879306231432e-11
145,2.923361779552745e-10,3.4864708140138497e-11
146,3.6373589464447926e-10,4.5990368914749713e-11
