t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,6.14535,42994.1,-11804.6,13339.5,2283.79,-49.6309,-4908.37
0.1,6.1231,43055.9,-9372.47,11331.0,2268.23,-17.2281,-4933.29
0.2,6.1062,43159.1,-8276.4,8940.47,2285.52,4.53062,-5055.06
0.3,6.0982,43274.6,-5935.03,8006.9,2290.22,42.9093,-5077.55
0.4,6.09692,43372.9,-1895.08,8918.44,2293.67,21.8001,-4967.45
0.5,6.11015,43482.5,939.623,11512.3,2356.03,-66.5369,-4895.27
0.6,6.12383,43485.4,1026.24,13862.6,2437.92,-186.31,-4953.11
0.7,6.12911,43465.3,399.117,14899.9,2491.52,-182.666,-5023.9
0.8,6.13292,43458.9,1937.43,14735.2,2533.26,-90.6587,-4994.21
0.9,6.13729,43485.0,3337.05,14807.3,2551.96,-24.2377,-4886.67
1.0,6.14566,43519.4,1242.0,16679.6,2531.31,-1.344,-4880.78
1.1,6.15042,43487.5,-3155.94,20415.6,2505.41,-26.2165,-5043.45
1.2,6.13974,43428.0,-7057.57,24131.8,2516.21,-72.181,-5135.43
1.3,6.12544,43411.0,-8507.66,26511.9,2534.65,-87.0245,-5073.02
1.4,6.10165,43394.1,-10459.8,27514.0,2542.3,-77.3023,-5020.39
1.5,6.06671,43441.0,-14161.4,27014.7,2560.75,-103.178,-5117.67
1.6,6.04786,43605.1,-17772.0,26048.0,2596.58,-122.085,-5206.72
1.7,6.0369,43726.4,-17891.0,24955.1,2604.0,-128.054,-5132.54
1.8,6.0353,43859.9,-14962.6,23397.6,2634.28,-105.111,-4989.29
1.9,6.04668,43918.2,-13267.5,21681.4,2623.69,-54.1235,-4910.83
2.0,6.04616,43889.0,-13329.0,20206.9,2614.51,6.44325,-4982.44
2.1,6.04245,43889.0,-14403.8,18335.2,2596.02,25.2213,-5001.82
2.2,6.04684,43949.8,-14253.3,16707.8,2542.92,33.9827,-4942.32
2.3,6.05625,44010.4,-14266.5,16078.4,2504.71,56.586,-4925.28
2.4,6.0714,44041.6,-17220.7,16182.8,2500.58,7.75025,-5003.46
2.5,6.08243,44009.9,-20519.3,16976.7,2509.86,-81.9179,-5146.33
2.6,6.07851,43921.7,-21390.1,17731.3,2505.85,-135.848,-5169.25
2.7,6.05997,43879.2,-20863.7,17273.1,2491.4,-141.089,-5036.19
2.8,6.04867,43960.7,-20893.5,15645.7,2497.53,-93.9089,-4963.39
2.9,6.04923,44064.1,-22356.0,13993.7,2518.75,-8.57672,-5013.58
3.0,6.04963,44096.2,-22387.1,12646.7,2554.39,42.0525,-5047.16
3.1,6.0418,44058.0,-19025.1,12116.4,2565.58,52.5997,-4959.87
3.2,6.0152,43977.1,-14385.8,12019.8,2592.66,40.6635,-4885.44
3.3,5.98479,44011.9,-12035.2,11722.5,2616.44,23.2871,-4947.75
3.4,5.96724,44146.8,-11665.2,10498.4,2616.9,-21.1136,-5075.29
3.5,5.97102,44315.6,-9426.56,8832.25,2623.45,-41.4557,-5112.97
3.6,5.99082,44415.0,-4805.37,7684.8,2630.98,-28.1464,-5008.36
3.7,6.01139,44387.7,-357.203,7868.83,2639.09,-35.7658,-4924.0
3.8,6.02165,44299.0,1253.14,9710.96,2665.15,-62.3408,-4948.11
3.9,6.02108,44225.8,1834.91,12603.1,2689.66,-72.8542,-5002.66
4.0,6.01427,44225.6,3283.16,14963.9,2709.4,-75.2972,-4955.52
4.1,6.01275,44305.6,4536.53,16134.7,2741.15,-37.746,-4869.18
4.2,6.01473,44361.1,3429.09,15949.9,2769.84,-7.5085,-4883.26
4.3,6.00723,44348.0,-1018.59,14686.9,2761.26,-1.318,-4973.41
4.4,5.99655,44360.7,-5786.07,13784.2,2784.38,20.4813,-5058.04
4.5,5.9903,44387.8,-9040.89,14076.6,2782.2,20.8808,-5064.32
4.6,5.98969,44454.8,-12699.7,15024.5,2793.41,-25.916,-5029.83
4.7,6.00293,44509.0,-16477.7,16331.7,2811.19,-46.5915,-5088.99
4.8,6.00537,44442.8,-20588.3,17048.1,2829.92,-27.3361,-5146.47
4.9,5.99497,44375.4,-21772.1,16739.7,2855.81,19.0357,-5131.61
5.0,5.98341,44359.7,-20113.4,16155.6,2881.63,58.8952,-5045.47
5.1,5.97589,44397.6,-17545.6,16038.4,2896.04,76.9396,-4985.12
5.2,5.9817,44473.3,-16939.7,16490.7,2911.86,65.6732,-4975.8
5.3,5.99397,44484.8,-17420.8,17077.9,2905.33,26.9738,-5001.75
5.4,6.00197,44445.8,-17710.0,17404.1,2893.15,25.6905,-4977.36
5.5,6.00652,44395.7,-18110.5,17109.7,2863.52,38.2644,-4942.15
5.6,6.0055,44373.2,-18989.8,16610.5,2822.35,35.7481,-4981.32
5.7,6.00177,44394.4,-20423.5,16237.2,2785.61,9.34475,-5049.68
5.8,5.99559,44429.2,-21550.8,15562.3,2741.15,-30.8937,-5071.68
5.9,5.98799,44476.4,-21342.0,14037.5,2725.71,-36.1961,-5063.7
6.0,5.98215,44517.7,-20510.1,11611.9,2728.16,15.2076,-5037.59
6.1,5.97544,44535.9,-20651.6,8932.66,2744.86,82.6605,-4989.35
6.2,5.97295,44561.5,-20834.6,7380.23,2791.3,136.095,-4975.38
6.3,5.97738,44579.0,-19276.4,7756.46,2829.53,121.716,-4962.61
6.4,5.97964,44559.1,-15538.3,9160.04,2822.86,31.732,-4914.66
6.5,5.97854,44529.4,-11869.2,10481.8,2805.65,-34.344,-4871.44
6.6,5.97622,44514.3,-9415.74,10775.3,2794.75,-50.006,-4927.03
6.7,5.97642,44538.5,-9295.85,9973.5,2805.02,-33.7508,-5003.87
6.8,5.98453,44559.1,-7667.27,8827.64,2782.35,-33.9955,-5073.67
6.9,5.99413,44554.0,-5254.59,8760.71,2781.25,-6.09125,-5039.2
7.0,5.99652,44488.0,-3780.51,9398.34,2770.85,-0.957,-4952.8
7.1,5.99223,44434.1,-3802.14,10396.9,2754.57,-4.4215,-4958.64
7.2,5.98081,44408.2,-3802.49,11368.3,2738.89,8.88475,-5001.91
7.3,5.96722,44449.7,-2658.4,11762.4,2737.79,25.5381,-4951.89
7.4,5.96214,44535.5,-1745.96,12372.7,2729.53,45.4331,-4866.48
7.5,5.95705,44595.1,-4337.01,13439.9,2768.5,16.0028,-4906.67
7.6,5.94845,44625.7,-8148.29,14410.1,2790.43,-34.4346,-5078.9
7.7,5.94377,44669.0,-11114.8,15693.8,2827.49,-27.1231,-5150.11
7.8,5.93461,44685.5,-11719.5,16617.3,2847.87,-14.1526,-5069.35
7.9,5.93995,44789.4,-12604.1,17112.9,2876.08,-15.0753,-5008.12
8.0,5.95892,44830.7,-14414.4,17564.8,2880.78,-9.23308,-5057.71
8.1,5.97125,44781.5,-16534.6,17883.8,2898.31,19.3902,-5066.02
8.2,5.98168,44718.6,-17136.7,17914.9,2913.9,41.3958,-4973.21
8.3,5.98759,44642.8,-17401.5,18044.6,2941.09,44.0559,-4901.57
8.4,5.98945,44596.1,-18151.5,18133.3,2949.53,37.0127,-4970.73
8.5,5.99348,44587.4,-19196.9,17889.4,2942.9,21.668,-5063.37
8.6,5.99679,44562.7,-19200.1,17385.6,2920.25,9.18838,-5057.14
8.7,5.99439,44537.3,-18712.7,16586.7,2908.05,8.59463,-5010.52
8.8,5.99246,44524.5,-20499.1,15581.0,2916.64,6.31087,-4992.45
8.9,5.98573,44502.4,-23360.4,14582.6,2906.53,1.8695,-5043.34
9.0,5.97359,44511.3,-25209.1,13603.3,2885.33,8.022,-5036.36
9.1,5.96773,44563.6,-26049.0,13188.9,2888.53,38.68,-4925.63
9.2,5.96397,44598.5,-27069.7,13020.3,2882.33,43.2165,-4889.91
9.3,5.95853,44623.4,-29061.9,12363.3,2871.8,19.2183,-4983.29
9.4,5.95679,44641.7,-29743.3,11163.0,2873.93,35.433,-5078.75
9.5,5.95832,44668.4,-26941.1,9903.16,2886.69,90.5573,-5071.17
9.6,5.96936,44700.6,-23766.5,9216.22,2895.09,97.8548,-4977.34
