index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.3631,0.010605166666666667,4892370.0,26612.2,3745360.0,-11052200.0,-5899240.0,42108000.0,Main Bearing_UW,1299.372516523091,1259.7371943689138,12.602063149356338,22365151.821563374,43949031.0371528,41205221.66190807,64088498.76798502,4.741826369558417e-10,2.4130604057462547e-10,2.5737433846814015e-10,1.654769088141663e-10,,
0,0.0,6.3631,0.010605166666666667,4892370.0,26612.2,3745360.0,-11052200.0,-5899240.0,42108000.0,Main Bearing_DW,1077.036700034628,1044.4739824876062,27.632042729715742,555677319.6415882,6768943712.647969,452783547.8212317,1643172358.1948113,1.908511701270622e-11,1.5667387877447707e-12,2.3422155503878435e-11,6.454080494828613e-12,,
1,0.1,6.36685,0.010611416666666668,4866080.0,-77708.0,3718870.0,-13058300.0,-5551220.0,42014100.0,Main Bearing_UW,1313.3686757225125,1273.3031092047438,12.285134063979944,20275503.450660802,38253277.89859468,37428334.56084922,56609165.11373899,5.233614392110608e-10,2.7739888578428214e-10,2.83512926534712e-10,1.874505063861344e-10,,
1,0.1,6.36685,0.010611416666666668,4866080.0,-77708.0,3718870.0,-13058300.0,-5551220.0,42014100.0,Main Bearing_DW,1126.5477957233866,1092.3255059881499,24.15885905942201,355113704.0973688,3129785132.317045,299375628.7656537,923772061.9037814,2.988174363374363e-11,3.390461714798554e-12,3.544515868047866e-11,1.1487050869234813e-11,,
2,0.2,6.35846,0.010597433333333335,4839700.0,-81896.8,3674340.0,-13035900.0,-5598140.0,41945700.0,Main Bearing_UW,1311.1527536822653,1271.1545031914359,12.305267457162063,20707231.84917805,39379967.595648915,38107125.78415013,57900048.60131734,5.117745051835109e-10,2.6910721314316783e-10,2.7809584468165577e-10,1.8302978303704262e-10,,
2,0.2,6.35846,0.010597433333333335,4839700.0,-81896.8,3674340.0,-13035900.0,-5598140.0,41945700.0,Main Bearing_DW,1126.0577594361307,1091.8542631812004,24.167715280461714,355547818.2398683,3132052297.4373813,300409397.0690519,927256938.623701,2.9805929862811974e-11,3.3835429063569803e-12,3.527663727142801e-11,1.14287991730348e-11,,
3,0.30000000000000004,6.35552,0.010592533333333334,4867710.0,-38210.0,3629800.0,-11770000.0,-5908180.0,41985500.0,Main Bearing_UW,1301.4073043828178,1261.7091807757297,12.44402825667937,22479681.31606743,44236688.6147751,41013272.68881532,63670719.3415024,4.712047819718104e-10,2.3945131665654147e-10,2.5827086303751643e-10,1.6636427926186186e-10,,
3,0.30000000000000004,6.35552,0.010592533333333334,4867710.0,-38210.0,3629800.0,-11770000.0,-5908180.0,41985500.0,Main Bearing_DW,1094.8658626785336,1061.7228934206867,26.196798621029316,465164721.9782627,4958235015.858318,386739077.6707587,1316445544.3453677,2.277157495582463e-11,2.136351604846158e-12,2.7389353558812177e-11,8.046313331251929e-12,,
4,0.4,6.36492,0.0106082,4939750.0,2728.45,3600130.0,-11645900.0,-7762530.0,42056300.0,Main Bearing_UW,1323.1647912857359,1282.7970784223705,11.662768884041562,20431357.44364153,38663031.22582835,36283683.780301586,54404694.32865296,5.192117082412159e-10,2.743757968183655e-10,2.9236832908788583e-10,1.9498685050810127e-10,,
4,0.4,6.36492,0.0106082,4939750.0,2728.45,3600130.0,-11645900.0,-7762530.0,42056300.0,Main Bearing_DW,1114.6401159716274,1080.7897902882826,24.80952275886744,388008046.72692984,3636917157.066739,328475233.4597871,1049934793.3988451,2.7340154642374674e-11,2.916811008297964e-12,3.229528110312977e-11,1.0103675072676822e-11,,
