t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,6.33387,41993.8,-13992.4,8012.29,3049.08,-15.696,-5024.17
0.1,6.29802,42031.8,-15044.7,4655.81,3047.98,51.8219,-5052.53
0.2,6.27674,42178.2,-13869.9,1991.94,3022.34,75.437,-5017.47
0.3,6.27284,42284.5,-12793.4,1594.78,2965.74,49.7205,-5002.02
0.4,6.25973,42243.4,-12110.2,2423.07,2896.79,-29.1135,-5013.42
0.5,6.23894,42216.6,-10473.1,2398.31,2810.33,-88.6182,-4960.12
0.6,6.22763,42298.2,-7073.85,689.375,2746.05,-67.5175,-4811.86
0.7,6.22937,42419.4,-5157.81,-3187.04,2716.89,-44.7957,-4658.37
0.8,6.25813,42614.3,-5373.32,-7121.77,2746.08,27.5405,-4704.48
0.9,6.2988,42637.8,-5428.52,-8804.08,2761.65,81.4047,-4895.71
1.0,6.31801,42511.7,-2697.18,-9050.06,2812.7,14.8211,-5007.48
1.1,6.33574,42450.3,1759.45,-8791.99,2847.04,-48.6377,-4957.05
1.2,6.35121,42370.1,4574.04,-8825.0,2849.91,-37.3649,-4930.95
1.3,6.36049,42336.0,4695.26,-10175.0,2843.96,-14.6666,-4993.12
1.4,6.389,42362.6,4837.42,-11659.1,2830.76,-20.6408,-4976.76
1.5,6.41413,42244.8,8201.14,-10607.5,2791.36,-38.8666,-4826.45
1.6,6.40277,42006.7,10877.8,-8390.71,2762.15,-160.35,-4662.12
1.7,6.37524,41876.4,9421.18,-6129.65,2733.43,-251.309,-4695.06
1.8,6.33228,41791.7,5932.5,-5400.65,2691.03,-231.859,-4887.99
1.9,6.2832,41884.2,2684.67,-6808.95,2643.93,-85.9902,-4957.76
2.0,6.26962,42101.9,1517.17,-8369.37,2610.06,53.9983,-4937.39
2.1,6.26355,42188.7,-46.0254,-7787.94,2593.14,85.2561,-4957.75
2.2,6.2541,42223.3,-4591.27,-5169.38,2603.12,28.1731,-5043.63
2.3,6.25472,42241.6,-7583.79,-1051.73,2622.38,-53.7436,-5142.6
2.4,6.24732,42257.9,-7633.82,2548.75,2666.85,-142.327,-5087.21
2.5,6.2612,42410.4,-5975.48,4089.25,2665.58,-213.377,-4931.72
2.6,6.29988,42533.3,-5767.4,4227.98,2702.49,-225.467,-4887.39
2.7,6.33615,42523.8,-8950.44,3178.46,2742.8,-171.6,-4922.37
2.8,6.37266,42446.1,-11554.8,1731.57,2753.92,-83.0677,-4960.9
2.9,6.39611,42277.8,-12785.7,951.533,2720.97,-11.7683,-4871.67
3.0,6.39708,42118.3,-13899.0,-404.108,2671.48,4.22075,-4788.55
