idx,dmg_UW,dmg_DW
0,1.632878994099714e-11,4.95062351671666e-12
1,1.9672201975212912e-11,4.852452956542995e-12
2,2.397695654271424e-11,5.395799423456884e-12
3,3.196815289350189e-11,7.582656354354555e-12
4,4.9873374989245884e-11,1.696733200265523e-11
5,7.98731668665303e-11,3.470557289402898e-11
6,1.2366016462365808e-10,5.839192040610514e-11
7,1.64267571963781e-10,7.314772716342381e-11
8,1.894402541823592e-10,7.686514763029419e-11
9,1.911382030551954e-10,6.968271195941106e-11
10,1.7440716929692895e-10,5.486546481810662e-11
11,1.4940787709013277e-10,3.7433137133054446e-11
12,1.2079434800085826e-10,2.396730522997856e-11
13,9.433466334834553e-11,1.3181207834686998e-11
14,8.305851130471853e-11,5.58786282379537e-12
15,1.1018359963235738e-10,2.758859329040911e-12
16,1.7525937416226653e-10,3.036928475621399e-12
17,2.1487269924761777e-10,4.597818311284294e-12
18,2.0028634771367363e-10,4.853940279700223e-12
19,1.7958532622844976e-10,3.8594379489424774e-12
20,1.7146249522365686e-10,3.38492531643845e-12
21,1.36368484991131e-10,2.3720079358532083e-12
22,7.596596064206335e-11,9.954766407674715e-13
23,3.8346591964338886e-11,6.101397195518976e-13
24,2.504182772438864e-11,6.544227754431318e-13
25,1.784426438541138e-11,9.773436549442468e-13
26,1.4654131326135304e-11,3.1147129564549223e-12
27,1.5625900758194525e-11,1.4679437254505195e-11
28,2.086759327010385e-11,3.906485543235165e-11
29,2.509072341428123e-11,5.873052068964558e-11
30,2.618605889394875e-11,6.629461703428367e-11
31,3.065302193953904e-11,9.150103336581122e-11
32,4.114613172567003e-11,1.3437698955015976e-10
33,4.6548429007571444e-11,1.465229703364961e-10
34,4.4055866425304365e-11,1.2529426402927177e-10
35,4.398896725448464e-11,1.1517864337765559e-10
36,5.064768797164476e-11,1.214188066842699e-10
37,7.08552624741637e-11,1.6263832477598393e-10
38,8.980215653552904e-11,1.7333222092037892e-10
39,1.1007709457286445e-10,1.7018101520935266e-10
40,1.4191516026363617e-10,2.008704515601327e-10
41,1.973617201162608e-10,2.848856143378964e-10
42,2.790704917733416e-10,3.847195920941821e-10
43,3.7626273413366747e-10,4.6554433464174394e-10
44,4.2800618650266133e-10,4.544479536199568e-10
45,3.703510474413685e-10,3.4438137800334523e-10
46,2.7005586605877e-10,2.1531886199734606e-10
47,2.076510172821077e-10,1.2971379668967027e-10
48,2.1708895416262523e-10,1.0345159662290035e-10
