index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.1913052,1.0318842,4981494.6537702335,-45767.524658743794,2253406.016619298,4687440.521385423,-26338704.1124988,42997003.0,Main Bearing_UW,1624.997931889015,1574.3344859570557,7.401264786520727,6883339.191481414,8483000.376714025,8894543.732933043,9073557.60575295,1.499104099471118e-07,1.216414186226537e-07,1.1601316840787833e-07,1.1372432345012605e-07,,
0,0.0,6.1913052,1.0318842,4981494.6537702335,-45767.524658743794,2253406.016619298,4687440.521385423,-26338704.1124988,42997003.0,Main Bearing_DW,1312.3962552028188,1272.344723790709,12.968141475565965,44638044.86731369,117251354.88774376,58939377.83667623,101426071.37099119,2.311669794381159e-08,8.800616427741274e-09,1.7507551621250554e-08,1.0173756964573988e-08,,
1,10.0,6.137397,1.0228995,4991463.293959626,-76322.67378581346,2501991.519119618,-8117808.912251781,-15443026.202391686,43460569.0,Main Bearing_UW,1434.8296900633293,1390.6839343587208,9.527178473424668,15970813.380931076,26757320.657942165,23661624.495074365,30979454.397218924,6.404805288259943e-08,3.822877159774145e-08,4.3230315831144087e-08,3.301864154495334e-08,,
1,10.0,6.137397,1.0228995,4991463.293959626,-76322.67378581346,2501991.519119618,-8117808.912251781,-15443026.202391686,43460569.0,Main Bearing_DW,1153.2748362943128,1118.083429897991,20.17473367964423,194747578.60251415,1120716592.952418,211319008.02049133,555706826.8158985,5.252437577607934e-09,9.127191534706125e-10,4.8405465726055784e-09,1.8407178941115994e-09,,
2,20.0,6.1723962,1.0287327,5019888.910201014,-63023.679086602446,2425992.3406725232,-10099522.181906573,-17961077.110450685,43190023.0,Main Bearing_UW,1489.886922091885,1443.9152672800867,8.769680934221304,12116913.504407521,18300579.592150144,17460846.26956344,21123559.569736846,8.490055653412058e-08,5.6213121274107886e-08,5.891654299672845e-08,4.870072662724125e-08,,
2,20.0,6.1723962,1.0287327,5019888.910201014,-63023.679086602446,2425992.3406725232,-10099522.181906573,-17961077.110450685,43190023.0,Main Bearing_DW,1220.3436938640882,1183.105143458548,16.929796160403818,108547159.23708712,447241803.2044602,124250847.02452564,272234655.8884353,9.477288095150027e-09,2.3001711660877694e-09,8.279482390948532e-09,3.778845484028256e-09,,
3,30.0,6.1031794999999995,1.0171965833333332,4993223.749688652,-119907.37491882047,2507506.6358907446,-9044847.743885692,-7130469.307872339,43674693.0,Main Bearing_UW,1285.2721526183948,1246.0653404237041,12.181956678462482,36238443.36845429,85604112.18468218,55990002.447266184,93631580.7835795,2.806954407480998e-08,1.188256682271098e-08,1.816746809917312e-08,1.0863819395343613e-08,,
3,30.0,6.1031794999999995,1.0171965833333332,4993223.749688652,-119907.37491882047,2507506.6358907446,-9044847.743885692,-7130469.307872339,43674693.0,Main Bearing_DW,1015.5128604135183,984.82049966541,30.587500907206095,779697274.0982305,11785205202.56062,712249687.9448456,3007404963.6171045,1.3046045139888244e-09,8.631131710055611e-11,1.4281460568531716e-09,3.3823066585283463e-10,,
4,40.0,6.1646042,1.0274340333333334,5014029.180725837,-91974.70915448538,2487373.011301799,-7181499.016311851,-8103883.872184074,43251940.0,Main Bearing_UW,1299.885697245854,1260.2332894044318,12.010545225436083,34566476.153055824,80469057.24663219,53175623.64920682,88148077.9121825,2.9723424186601785e-08,1.2768063507744572e-08,1.9321522961558326e-08,1.1655773530954519e-08,,
4,40.0,6.1646042,1.0274340333333334,5014029.180725837,-91974.70915448538,2487373.011301799,-7181499.016311851,-8103883.872184074,43251940.0,Main Bearing_DW,981.1881786596714,951.5267133201121,33.10541669594864,1014945901.2395122,19304470081.745316,948697093.5543278,4567849191.374308,1.0123042342242773e-09,5.3222597097078315e-11,1.0829948150088821e-09,2.2492731048859651e-10,,
