index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.10935,0.01018225,5143280.0,-87609.5,2400390.0,-12755800.0,-10538500.0,43627600.0,Main Bearing_UW,1380.5635846623336,1338.438373577517,10.300055913283101,20713077.93560155,38442103.67494246,31613173.459547695,44746651.33955731,4.915855592132346e-10,2.648723411730729e-10,3.22088828349651e-10,2.2755334075688925e-10,,
0,0.0,6.10935,0.01018225,5143280.0,-87609.5,2400390.0,-12755800.0,-10538500.0,43627600.0,Main Bearing_DW,1146.8810908239286,1111.8903990489289,20.978826236855756,221845173.43023172,1377954659.2462564,229013529.70459998,618713004.4134933,4.589800103630483e-11,7.38939407888044e-12,4.4461346948077184e-11,1.645714560283443e-11,,
1,0.1,6.11882,0.010198033333333335,5160780.0,-85949.5,2408660.0,-11808600.0,-10878600.0,43688200.0,Main Bearing_UW,1384.1573899841626,1341.9246695891322,10.300052502495037,20713055.07233028,38478562.53955986,31409653.676535144,44428360.30237947,4.923481011237433e-10,2.6503155680123765e-10,3.246783119086685e-10,2.2953881853675243e-10,,
1,0.1,6.11882,0.010198033333333335,5160780.0,-85949.5,2408660.0,-11808600.0,-10878600.0,43688200.0,Main Bearing_DW,1130.0273989652324,1095.5501227310046,21.7083027674627,248617826.49732113,1662058925.995382,258875430.72581542,732245738.7987325,4.101891435947864e-11,6.135783258843177e-12,3.939359291355251e-11,1.3927064089254332e-11,,
2,0.2,6.11894,0.010198233333333334,5139040.0,-120961.0,2420310.0,-12914700.0,-10582400.0,43641100.0,Main Bearing_UW,1381.7980977733764,1339.6350079136057,10.255962699773596,20418984.55707511,37709731.83277392,31220368.446207236,44066116.42032516,4.994486040589947e-10,2.704403568436396e-10,3.2665320240870677e-10,2.3143027254903446e-10,,
2,0.2,6.11894,0.010198233333333334,5139040.0,-120961.0,2420310.0,-12914700.0,-10582400.0,43641100.0,Main Bearing_DW,1151.832947450613,1116.691061276687,20.779827349756015,214907949.94139805,1310572116.7521906,220973682.49073339,589977864.3219134,4.7453960340295596e-11,7.781512518827429e-12,4.615134806273141e-11,1.7285789772900373e-11,,
3,0.30000000000000004,6.10302,0.0101717,5062570.0,-174422.0,2433350.0,-14376500.0,-9908320.0,43562400.0,Main Bearing_UW,1373.4321229794002,1331.5240804487328,10.29694904353432,20692259.21627157,38363150.218911774,31861928.313876737,45137887.51666255,4.915702965871112e-10,2.6514245941631993e-10,3.1924307593052827e-10,2.253472760825402e-10,,
3,0.30000000000000004,6.10302,0.0101717,5062570.0,-174422.0,2433350.0,-14376500.0,-9908320.0,43562400.0,Main Bearing_DW,1177.926912537243,1141.9896804286518,19.754037777900614,181537199.5915193,996044921.0900801,183204268.4649646,456702063.94936866,5.603094034108469e-11,1.0212089620283395e-11,5.552108630015465e-11,2.2272069261170814e-11,,
4,0.4,6.07715,0.010128583333333333,5003490.0,-183309.0,2439850.0,-14022000.0,-8449990.0,43543200.0,Main Bearing_UW,1343.0885584566836,1302.106468438742,10.840270279594554,24561020.087745056,48790320.376380436,37838639.631071925,56164361.58213819,4.1238447333004224e-10,2.0759411406194855e-10,2.676783159248688e-10,1.8033826163092187e-10,,
4,0.4,6.07715,0.010128583333333333,5003490.0,-183309.0,2439850.0,-14022000.0,-8449990.0,43543200.0,Main Bearing_DW,1155.9375632709182,1120.6730871392886,21.038259756847573,223947082.18478152,1392381431.9295151,219864644.18997276,583642232.4043612,4.522757445429056e-11,7.274287850346786e-12,4.606735826330399e-11,1.735409600434125e-11,,
5,0.5,6.07103,0.010118383333333335,4958690.0,-86667.0,2483590.0,-12221400.0,-7093610.0,43660000.0,Main Bearing_UW,1300.6969302739756,1261.0148629579485,11.728528492930389,31934328.55841109,71033291.41388343,48830994.155758806,78058701.78044398,3.168497284928285e-10,1.424456495247762e-10,2.072123148068252e-10,1.2962530893472136e-10,,
5,0.5,6.07103,0.010118383333333335,4958690.0,-86667.0,2483590.0,-12221400.0,-7093610.0,43660000.0,Main Bearing_DW,1100.1766693877642,1066.8530551720603,24.454213571780585,369792729.1240447,3192586947.9088116,347272902.2684408,1093151857.3661199,2.7362310117079627e-11,3.169336810062766e-12,2.9136691251285306e-11,9.256155277193544e-12,,
6,0.6000000000000001,6.08132,0.010135533333333334,4910770.0,9500.5,2521300.0,-10515600.0,-6877570.0,43780000.0,Main Bearing_UW,1279.084050778034,1240.0654768126233,12.244399012542338,36861325.15695185,87539016.34651098,56183062.582152665,93773650.00570604,2.7496388939294074e-10,1.1578303888192254e-10,1.804019373011721e-10,1.0808508928378703e-10,,
6,0.6000000000000001,6.08132,0.010135533333333334,4910770.0,9500.5,2521300.0,-10515600.0,-6877570.0,43780000.0,Main Bearing_DW,1055.130557701681,1023.2457242029809,27.715032768856382,561259906.7908609,6549802697.577789,511043282.0489215,1876312819.539925,1.8058537962003545e-11,1.5474562824742184e-12,1.9833023325728937e-11,5.4018355722893705e-12,,
7,0.7000000000000001,6.10487,0.010174783333333333,4893600.0,10359.5,2553420.0,-10836800.0,-9890790.0,43824100.0,Main Bearing_UW,1331.8966833325217,1291.258529309374,11.082050387233842,26435027.503841326,54343651.07401158,40757042.9836279,61978170.7213725,3.8489777746040985e-10,1.872303964169819e-10,2.4964478746459947e-10,1.6416720943692954e-10,,
7,0.7000000000000001,6.10487,0.010174783333333333,4893600.0,10359.5,2553420.0,-10836800.0,-9890790.0,43824100.0,Main Bearing_DW,1107.3215867159447,1073.6828195062917,23.82447033858355,338992595.8546217,2773426072.996736,324257699.8960864,997986692.5208933,3.001476568443055e-11,3.6686693878013846e-12,3.13786945895009e-11,1.0195309626456085e-11,,
8,0.8,6.12245,0.010204083333333334,5007030.0,-90791.4,2606260.0,-13394000.0,-15041200.0,43740000.0,Main Bearing_UW,1439.3160469454217,1394.9084203416137,9.180632326025034,14115231.78980975,22499433.005919855,21548067.761537217,27425134.04741755,7.229129131765302e-10,4.535262435568276e-10,4.735498071686677e-10,3.7207049984480157e-10,,
