index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.0355001,1.0059166833333335,4936706.391353225,-128182.51337410303,2439187.909358668,20613442.532736592,-4406186.967204966,44153416.0,Main Bearing_UW,1335.5615513118464,1294.7860379112387,10.970733482114483,21974618.385236852,41482221.71736048,35717998.05447825,51832893.298173636,4.577629816812363e-08,2.4249344458625107e-08,2.8162739742554347e-08,1.940691748667593e-08,,
0,0.0,6.0355001,1.0059166833333335,4936706.391353225,-128182.51337410303,2439187.909358668,20613442.532736592,-4406186.967204966,44153416.0,Main Bearing_DW,1285.0271511275407,1245.8269671661017,15.965416460555087,89271644.95004089,325144831.8489978,86815396.8263389,167087684.74831656,1.1268042432692652e-08,3.093749568809067e-09,1.1586846574525461e-08,6.020292188790224e-09,,
1,10.0,6.0371073,1.00618455,4901180.254625436,-146565.59281392675,2507367.0165622565,24543132.89114366,6179550.564423556,44159659.00000001,Main Bearing_UW,1315.6172990723555,1275.2176030396456,12.414769549852725,19863277.167550936,35973802.312613964,36796862.38209841,53771033.97923326,5.065551577982932e-08,2.796992492637311e-08,2.7344302879734292e-08,1.8712389841500824e-08,,
1,10.0,6.0371073,1.00618455,4901180.254625436,-146565.59281392675,2507367.0165622565,24543132.89114366,6179550.564423556,44159659.00000001,Main Bearing_DW,1386.1865154209613,1343.9028714959918,13.041844453827913,45489317.30706797,118448420.08902644,44167634.30145265,68992910.08019285,2.211913938404309e-08,8.49470638142532e-09,2.2781037877931057e-08,1.45838833125096e-08,,
2,20.0,6.357006800000001,1.0595011333333335,4961611.123101281,-205084.3010616031,2630769.909955282,17009905.1963255,12192119.947685868,42087509.00000001,Main Bearing_UW,1197.0002631367975,1160.4827070262618,16.59106523727865,34959360.87767185,83499350.1060224,71969364.83243513,132337814.75857237,3.030665054320329e-08,1.2688735085818553e-08,1.4721557370975128e-08,8.006034671693888e-09,,
2,20.0,6.357006800000001,1.0595011333333335,4961611.123101281,-205084.3010616031,2630769.909955282,17009905.1963255,12192119.947685868,42087509.00000001,Main Bearing_DW,1306.6991522684536,1266.84407072543,15.483358064381582,80599043.77887805,289662987.8040283,75994344.36221057,144774679.4374377,1.3145331304922857e-08,3.657702840689263e-09,1.3941841886067876e-08,7.3182764931707665e-09,,
3,30.0,6.584306000000001,1.0973843333333335,4970434.0871898215,-94096.06125683282,2303729.50848646,8411947.778542874,-13256876.409900436,40841451.0,Main Bearing_UW,1408.249333064741,1365.2572927989097,10.18695361214248,19964592.960904084,38200067.79729973,28851214.83504635,41500117.62843048,5.4966526764773025e-08,2.8727287583790756e-08,3.8035983566290284e-08,2.6442921033591208e-08,,
3,30.0,6.584306000000001,1.0973843333333335,4970434.0871898215,-94096.06125683282,2303729.50848646,8411947.778542874,-13256876.409900436,40841451.0,Main Bearing_DW,1099.6613371464218,1066.1073884222922,22.475170424865645,279118963.50541013,2159543486.1681223,313920776.11492485,1005508981.9816765,3.931600775352059e-09,5.081557006664052e-10,3.4957365578491895e-09,1.0913719847341268e-09,,
4,40.0,5.9473943,0.9912323833333334,5015613.053534659,41832.24853400854,2012958.5189664415,-8899248.97732061,-22579575.623530537,43803727.0,Main Bearing_UW,1598.282958595237,1548.90333629678,7.918337167377989,8621033.502371116,11259529.823124511,10661451.375673136,11172442.320138618,1.1497837040775987e-07,8.803497116705244e-08,9.297349379607798e-08,8.872119049087515e-08,,
4,40.0,5.9473943,0.9912323833333334,5015613.053534659,41832.24853400854,2012958.5189664415,-8899248.97732061,-22579575.623530537,43803727.0,Main Bearing_DW,1244.7714786747367,1206.7810255643406,14.315513510965312,62058670.744400196,185646270.4469044,88095043.97024365,167617597.7838642,1.597250426803214e-08,5.33936060739141e-09,1.1251851848421205e-08,5.913653437579303e-09,,
