idx,dmg_UW,dmg_DW
0,6.546121761564583e-11,4.912448769579459e-12
1,1.5747491787851396e-10,1.4635264999625036e-11
2,2.2148573030036312e-10,3.2451049692551e-11
3,1.5585233901001328e-10,3.7650283836809385e-11
4,1.0590467820726374e-10,3.1713849891608307e-11
5,9.33028171807774e-11,1.9739010173197977e-11
6,7.814166546160466e-11,9.411276067083918e-12
7,4.991895047546708e-11,4.341028018258504e-12
8,3.698064335139047e-11,3.176882744663768e-12
9,4.536232556425557e-11,3.0691184321347636e-12
10,8.613031795035688e-11,6.498473545242714e-12
11,1.2361671603592314e-10,1.51651759647374e-11
12,1.2035705138713265e-10,2.4592729475807023e-11
13,1.2752747024593212e-10,3.980075388521622e-11
14,1.6111852408959114e-10,5.7059512173800015e-11
15,1.8004017915660678e-10,7.136765503465873e-11
16,1.6630053876729193e-10,8.47925616542995e-11
17,1.4345836329147067e-10,8.15360100991759e-11
18,1.0932380427632257e-10,5.3405485289645735e-11
19,7.341293880664035e-11,2.1727741614940925e-11
20,4.2016401699473184e-11,5.730167797419776e-12
21,2.9305475458765844e-11,8.409084103659891e-13
22,4.58934576330941e-11,2.539902371734921e-13
23,1.0850974261044537e-10,6.621894855417635e-13
24,1.3134114090603625e-10,1.1874293877907707e-12
25,8.514423420011991e-11,6.532744528086866e-13
26,4.809610312006652e-11,2.0037314799074395e-13
27,4.083916263181294e-11,2.104841233620321e-13
28,3.96923721910848e-11,5.189707241574627e-13
29,4.1871572229964704e-11,1.6232047978093993e-12
30,5.304751078670101e-11,4.665896199309371e-12
31,8.10170341118936e-11,1.0612915834541268e-11
32,1.2611217893356653e-10,2.0613558710294986e-11
33,1.9367031499936762e-10,4.1410155553656406e-11
34,2.859733597993491e-10,8.21153317908517e-11
35,4.100683960370206e-10,1.3510968510378755e-10
36,5.143217367140143e-10,1.7303179224616277e-10
37,4.843291268630552e-10,1.5964471274897163e-10
38,3.5809310922797346e-10,1.1135700266622341e-10
39,2.567121018645421e-10,7.576488188214058e-11
40,2.2890875002256492e-10,7.043916421913956e-11
41,2.480456000768386e-10,8.287483528367817e-11
42,2.744178461898773e-10,1.0033010573554271e-10
43,3.0416086581305706e-10,1.205441264619343e-10
44,3.26153944631664e-10,1.3227878345463442e-10
45,3.2563613633728514e-10,1.3584716776334871e-10
46,2.9560152128351087e-10,1.275562896494671e-10
47,2.679971255617058e-10,1.1308678510345564e-10
48,2.33746288520705e-10,8.811458162939167e-11
49,2.0102929927266597e-10,6.7936831820259e-11
50,1.7843580023869197e-10,5.842305764538941e-11
51,1.77848465609811e-10,5.935909374975765e-11
52,2.332426835341407e-10,7.340722604060176e-11
53,2.9216510322762114e-10,8.396025118367888e-11
54,2.7143196770697996e-10,7.13646356628534e-11
55,1.8600168044311075e-10,4.087418360109459e-11
56,1.2610940211675227e-10,1.914691412103628e-11
57,1.1649024042955643e-10,9.595489729420965e-12
58,1.0522792374256372e-10,5.759791409132576e-12
59,7.014267744782549e-11,3.037017513085614e-12
60,4.608174808293492e-11,1.892671138655431e-12
61,4.6931755866177614e-11,2.021558364029349e-12
62,6.484270222574571e-11,3.450541037580959e-12
63,9.720990790085524e-11,1.0004274982395083e-11
64,1.4464481468058798e-10,3.063418063981629e-11
65,2.436789842466364e-10,8.006968109502764e-11
66,4.0979871035305466e-10,1.6964916493201248e-10
67,5.39282253598024e-10,2.7445172663172093e-10
68,5.453005193479744e-10,3.5318665492618895e-10
69,5.180606994040684e-10,4.155005067089138e-10
70,4.964067630430406e-10,4.3976992714462657e-10
71,4.304175375206967e-10,3.7260417850676905e-10
72,3.362709500492059e-10,2.6655907034311235e-10
73,2.505556297931451e-10,1.8801819456125395e-10
74,2.0539675137396913e-10,1.3116052871523478e-10
75,1.9395672691856877e-10,1.0474787617128748e-10
76,2.0702533666340793e-10,1.0291918182794045e-10
77,2.1380315644954923e-10,1.2526824310041055e-10
78,2.157595359404865e-10,1.7501224833566364e-10
79,2.1651748221998388e-10,2.4133103091719593e-10
80,1.9384172240351902e-10,2.5682370014722495e-10
81,1.519632488143006e-10,2.208168846872752e-10
82,1.1581474265121793e-10,1.681755751495045e-10
83,9.991836450336337e-11,1.0763812144675957e-10
84,1.17251571291875e-10,8.224555804046315e-11
85,1.4964448351042813e-10,6.753199583066985e-11
86,1.5234802780314334e-10,4.6230012555060007e-11
87,1.1554986104886013e-10,2.144826572209239e-11
88,7.269411475317018e-11,7.0899689110318385e-12
89,5.6638842346093656e-11,3.2961064106993495e-12
90,4.491321817566343e-11,3.0878691465745346e-12
91,3.5379696083232526e-11,5.298109134835075e-12
92,2.9277113880521376e-11,8.494184349735858e-12
93,2.3165768476824153e-11,5.1731856411626015e-12
94,2.1414909878737944e-11,1.038415688241132e-12
95,2.8324691438293566e-11,3.726014028747493e-13
96,3.597694015835483e-11,1.045197389831867e-12
97,4.9795823409600915e-11,4.487027775369666e-12
98,8.279727617562375e-11,1.0707760270649031e-11
99,1.4285237214161854e-10,1.659184535517009e-11
100,1.646036051471732e-10,1.6514954837644606e-11
101,1.1789967149543411e-10,1.1871626568474472e-11
102,9.289558706916313e-11,1.4375942847445612e-11
103,1.1647318724568603e-10,3.0447494380534485e-11
104,1.5704695341436169e-10,4.851682085200653e-11
105,1.4290357327468805e-10,4.022295154971607e-11
106,8.954403842267231e-11,1.7780690599447495e-11
107,6.268549640469985e-11,7.208478118025983e-12
108,7.293526130340507e-11,7.211022550711562e-12
109,1.1998782799479704e-10,2.0905617828560523e-11
110,1.788456394590803e-10,6.695635447237294e-11
111,2.209782536575977e-10,1.2738507906517056e-10
112,2.0453321586075434e-10,1.3123183444946206e-10
113,1.5640319216962973e-10,9.719558810707252e-11
114,1.1764404891394928e-10,7.58017587151488e-11
115,1.1110406756565746e-10,9.575351909748383e-11
116,1.3144665399227712e-10,1.3350819639250385e-10
117,1.4084439300768856e-10,1.245492346229452e-10
118,1.3493262304934834e-10,7.034605180582076e-11
119,1.3225362890757707e-10,4.173887756700428e-11
120,1.0424236490781927e-10,2.3597597525663767e-11
121,7.736911398241588e-11,1.6582509928699982e-11
122,7.394140080582048e-11,1.5406972378947696e-11
123,7.114515956551901e-11,1.3205707269967231e-11
124,5.176405316564871e-11,9.782205526112333e-12
125,3.1958073379587966e-11,8.987984643487002e-12
126,2.2652985300666803e-11,5.1276385426565875e-12
127,2.643997545626648e-11,1.805114319969382e-12
128,5.172664546657869e-11,2.6827629339126884e-12
129,8.201954529197675e-11,9.291783537056389e-12
130,1.0726094734805356e-10,2.4884551103220365e-11
131,1.6095868701130798e-10,4.993910184928407e-11
132,2.2445930557301223e-10,6.383698983894543e-11
133,2.3069970515648015e-10,6.535452893676771e-11
134,1.7441347248135094e-10,6.783549974731131e-11
135,1.6980262567666428e-10,8.637893316438519e-11
136,2.3713140528527147e-10,1.248584332959358e-10
137,3.80901410971573e-10,1.990859189848938e-10
138,4.636891787987148e-10,2.440776568172222e-10
139,4.3866110455812485e-10,2.1792283983552526e-10
140,4.595348788106382e-10,1.782115906364146e-10
141,6.212338684552252e-10,1.7244127798354358e-10
142,6.533685315230159e-10,1.626485562024684e-10
143,4.497293608415889e-10,1.349582495707652e-10
144,3.131410461981784e-10,1.1989215210311038e-10
145,2.7948103689114975e-10,1.1933861057377955e-10
146,2.786960090358924e-10,1.316065693059193e-10
147,2.362143903826101e-10,1.4776890152719697e-10
148,2.2772430377389258e-10,2.3022288246598936e-10
149,2.4156127071900665e-10,2.857895350815112e-10
150,2.0850921678450758e-10,2.1305943863174276e-10
151,1.737590616527914e-10,1.5451401960176678e-10
152,1.5594009470170062e-10,1.5686218203851577e-10
153,1.591835458997344e-10,1.8751962069820785e-10
154,1.8038088813198964e-10,1.909710968214971e-10
155,1.8866402927967953e-10,1.4318651888513906e-10
156,1.4688724157486977e-10,9.330001139411658e-11
157,8.923438473933771e-11,6.973387163628557e-11
158,6.867299205750663e-11,4.8893563331139625e-11
159,8.664261244610513e-11,2.822140925996272e-11
160,1.9130235173648398e-10,4.5646780575417926e-11
161,3.332006692035302e-10,9.369782426693415e-11
162,4.649270275248774e-10,1.7442708776462272e-10
163,6.430459646425132e-10,2.785590672022985e-10
164,9.657232013669514e-10,4.3583547900193265e-10
165,1.011008968940624e-09,5.185874275524133e-10
166,7.111646598734097e-10,4.3550243676856683e-10
167,4.658976219706292e-10,2.926539195431587e-10
168,3.8785417611587507e-10,2.01898082502298e-10
169,3.729889682276121e-10,1.5953282833207698e-10
170,3.50765737002991e-10,1.5593840331647545e-10
171,3.7082399507405394e-10,1.9238045931145937e-10
172,4.424913585465516e-10,2.211227224143133e-10
173,5.889738436996348e-10,2.3894732342032575e-10
174,5.855039840686292e-10,2.2489656415285967e-10
175,4.37150871379515e-10,1.9361879140001868e-10
176,3.758658784086388e-10,1.9917173293586153e-10
177,4.228990851114458e-10,2.389233178060449e-10
178,4.2367277153851937e-10,2.393447575393629e-10
179,3.320953420519534e-10,2.2224705269089807e-10
180,2.9644588038836967e-10,2.881749699591541e-10
181,3.535186515587933e-10,4.693462246142641e-10
182,4.737691990124736e-10,7.200952237794227e-10
183,5.74377830183389e-10,9.671600812654992e-10
184,5.813254514315239e-10,1.135939207103602e-09
185,5.032880023555583e-10,1.0626845723882458e-09
186,3.7167846335038487e-10,7.783687806804703e-10
187,2.9555103613914013e-10,5.861908410301022e-10
188,3.107319277219001e-10,6.259513420457447e-10
189,3.394378001506581e-10,7.622551216101893e-10
190,2.393671033309744e-10,5.570399874979622e-10
191,1.1269330486596199e-10,2.351389469025937e-10
192,5.75423089348282e-11,9.408610614501079e-11
193,4.665940262469976e-11,7.326686845450108e-11
194,5.399813697076086e-11,7.827006101600395e-11
195,6.412533689186642e-11,5.201820509866353e-11
196,8.565499547268159e-11,3.286021876116599e-11
197,8.5759080271859e-11,2.164108120131547e-11
198,5.050185003735003e-11,1.3175930588175728e-11
199,2.6808321865806993e-11,6.1527536145860094e-12
200,1.9449282745324933e-11,1.342124271879833e-12
201,1.8989908168906732e-11,1.0823090426511401e-13
202,1.7665192029995416e-11,4.15132366632824e-14
203,1.8454321884030957e-11,1.7522992973241391e-13
204,3.426036186176562e-11,5.868134125504012e-13
205,8.974762663925194e-11,5.206690976304954e-12
206,1.7419444345238258e-10,2.6412909944136747e-11
207,2.245109820777482e-10,6.601313583340144e-11
208,2.8290074462496927e-10,1.2224258451281057e-10
209,3.562675370851151e-10,1.7104904667501138e-10
210,3.9274591232146186e-10,1.73021035909652e-10
211,3.580088824473167e-10,1.4414954820112267e-10
212,2.7190163723418687e-10,1.1635333377121942e-10
213,2.2112121877397113e-10,1.0733583333329072e-10
214,2.1505314990551262e-10,1.3601475398194316e-10
215,2.3963483386561393e-10,2.236372485917839e-10
216,2.6085977572889847e-10,3.2380766026144016e-10
217,2.2686827008956266e-10,2.9679497868171654e-10
218,1.4413847543898057e-10,1.7140467392092737e-10
219,8.029190385633869e-11,7.187686155261131e-11
220,6.251720830441594e-11,5.860189266098777e-11
221,7.399342971738727e-11,9.096193398627276e-11
222,1.0612366699121141e-10,1.5986455134149937e-10
223,1.2887809868184216e-10,2.1966835872350234e-10
224,1.2363656829179746e-10,2.4307236501194496e-10
225,1.055303448370451e-10,2.452487252161237e-10
226,7.063304081536062e-11,1.5586555732078776e-10
227,4.278355327214169e-11,7.321333268584298e-11
228,3.016134618457832e-11,3.250855021723191e-11
