index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.01974,0.010032899999999999,4853370.0,-52822.8,2485870.0,4020020.0,923736.0,43670000.0,Main Bearing_UW,1096.5592154954886,1063.5672536368254,18.992059887670322,113950294.03078927,472448762.2902173,194457693.96725652,483098711.9518875,8.804628443774895e-11,2.1235953611911378e-11,5.1594255775188686e-11,2.076780531966972e-11,,
0,0.0,6.01974,0.010032899999999999,4853370.0,-52822.8,2485870.0,4020020.0,923736.0,43670000.0,Main Bearing_DW,766.689799115495,743.5461242188414,74.6284949745321,15245030919.76163,762251545988.0814,9802613783.486149,156049039236.83325,6.581095212469975e-13,1.316219042493995e-14,1.0234923278219734e-12,6.429325069264425e-14,,
1,0.1,5.9801,0.009966833333333334,4906550.0,32387.999999999996,2512590.0,5118560.0,1629150.0,43855900.0,Main Bearing_UW,1102.157709804793,1068.9884177064291,19.138834164837764,102357710.93895288,398116373.95617247,180675941.06812686,435179130.4019141,9.737256960814266e-11,2.5034974659019064e-11,5.5164142355706204e-11,2.290282928808733e-11,,
1,0.1,5.9801,0.009966833333333334,4906550.0,32387.999999999996,2512590.0,5118560.0,1629150.0,43855900.0,Main Bearing_DW,833.3850457480061,808.2136551323316,57.85535723604082,6525161977.920244,326258098896.0122,4574078554.209621,46527182712.192795,1.5274461181284038e-12,3.0548922362568075e-14,2.1789816714364573e-12,2.142152770131395e-13,,
2,0.2,5.96574,0.009942900000000001,5044470.0,50945.0,2485450.0,6232260.0,-753807.0,44025800.0,Main Bearing_UW,1151.1712959867205,1116.4407770462158,16.250306122886684,82453868.54031101,285474559.8462673,132816412.60548633,288059215.5785837,1.2058742877708643e-10,3.4829373256077234e-11,7.486198282989375e-11,3.4516861333629294e-11,,
2,0.2,5.96574,0.009942900000000001,5044470.0,50945.0,2485450.0,6232260.0,-753807.0,44025800.0,Main Bearing_DW,851.5550869263715,825.826472135329,53.47612740728274,5019331307.970765,250966565398.53827,3698754527.102204,33452239438.83665,1.980921240287634e-12,3.961842480575268e-14,2.6881751484572795e-12,2.972267377847568e-13,,
3,0.30000000000000004,5.9585,0.009930833333333333,5065540.0,21093.800000000003,2479340.0,6535210.0,-1221030.0,44114300.0,Main Bearing_UW,1162.0317383375439,1126.9698189222597,15.806319932856141,78204198.3705743,263213432.71756494,123797809.77915344,262134833.58510616,1.2698593605263505e-10,3.77292041321819e-11,8.021816663032439e-11,3.7884447471225276e-11,,
3,0.30000000000000004,5.9585,0.009930833333333333,5065540.0,21093.800000000003,2479340.0,6535210.0,-1221030.0,44114300.0,Main Bearing_DW,863.9387137642705,837.8344653143726,51.01296821145021,4289249849.237589,214462492461.87946,3228493968.148561,27149739973.566788,2.315284416247874e-12,4.630568832495748e-14,3.075995628707447e-12,3.6578005325288843e-13,,
4,0.4,5.95131,0.00991885,4882890.0,-44865.5,2470390.0,6795830.0,1309800.0,44115600.0,Main Bearing_UW,1117.4181211914643,1083.7212277984145,18.41038089964294,90738980.45711249,329677160.0890017,160254474.71244577,369175248.2095848,1.0931189605649267e-10,3.00865549719072e-11,6.189437154749026e-11,2.6867592147913887e-11,,
4,0.4,5.95131,0.00991885,4882890.0,-44865.5,2470390.0,6795830.0,1309800.0,44115600.0,Main Bearing_DW,895.1230850283397,868.0832773396804,46.39749644171651,3126759817.8838387,156337990894.19193,2367203351.4771595,16995403666.446608,3.172245576161006e-12,6.344491152322012e-14,4.190113195729693e-12,5.836195594213756e-13,,
5,0.5,5.95192,0.009919866666666667,4739170.0,-63747.700000000004,2445300.0,7335390.0,3786590.0,44165000.0,Main Bearing_UW,1089.8360230262285,1056.992602763554,21.402430515340967,96964817.81480911,364955815.8979878,184488004.47207677,445305305.0436588,1.023037725457536e-10,2.7181007219349157e-11,5.376971090913443e-11,2.227655173722689e-11,,
5,0.5,5.95192,0.009919866666666667,4739170.0,-63747.700000000004,2445300.0,7335390.0,3786590.0,44165000.0,Main Bearing_DW,956.9166405205348,928.0142174280239,38.024686230949705,1610638818.5522242,44071402635.70271,1283553187.2070622,6887803781.573068,6.158964103189483e-12,2.2508624807485654e-13,7.728442237950206e-12,1.4402075002782852e-12,,
6,0.6000000000000001,5.97645,0.00996075,4819520.0,-38901.0,2442910.0,7774440.0,3347240.0,44304200.0,Main Bearing_UW,1102.7187068734559,1069.468599655665,20.24982498268957,90695935.17631388,330535342.6000628,169856110.93685338,399754850.2538312,1.0982575989360709e-10,3.0135204065158596e-11,5.864228225326001e-11,2.4917146080091966e-11,,
6,0.6000000000000001,5.97645,0.00996075,4819520.0,-38901.0,2442910.0,7774440.0,3347240.0,44304200.0,Main Bearing_DW,962.0559701160419,932.9974635383817,37.39142235375087,1522951189.925695,39798191894.82503,1222077529.5963838,6436085554.430097,6.540426289358615e-12,2.50281470734232e-13,8.150669461445497e-12,1.5476410180942671e-12,,
7,0.7000000000000001,6.02201,0.010036683333333334,4981670.0,-3978.0,2454200.0,7266610.0,1747910.0,44405200.0,Main Bearing_UW,1122.0108140167329,1088.1731740354444,18.253558404411564,87042158.80731001,312280589.0712337,154298315.46849063,353634562.769654,1.1530829968902873e-10,3.213995260859421e-11,6.504726446856727e-11,2.8381511283078127e-11,,
7,0.7000000000000001,6.02201,0.010036683333333334,4981670.0,-3978.0,2454200.0,7266610.0,1747910.0,44405200.0,Main Bearing_DW,918.1750831655937,890.440109564427,42.86748815273087,2401814634.7794757,98618187930.20871,1865188544.5220292,12051518289.256983,4.178791813488496e-12,1.0177314696185874e-13,5.381055637946416e-12,8.328148447719055e-13,,
8,0.8,6.0794,0.010132333333333333,4990390.0,11552.699999999999,2436320.0,5190430.0,2458240.0,44409700.0,Main Bearing_UW,1093.6685369355898,1060.848132221338,19.711193204287294,107679020.71683268,436287243.7120543,191741699.1324797,476758807.4892086,9.409756204951647e-11,2.3223996299145944e-11,5.284366092079231e-11,2.1252535190055568e-11,,
8,0.8,6.0794,0.010132333333333333,4990390.0,11552.699999999999,2436320.0,5190430.0,2458240.0,44409700.0,Main Bearing_DW,854.9131029527402,829.0938704226347,53.329832968339254,4973705997.153019,248685299857.65094,3600675867.2412586,32755224392.788673,2.037179788900499e-12,4.0743595778009986e-14,2.814008732504005e-12,3.093348777535485e-13,,
9,0.9,6.12885,0.010214750000000002,4885980.0,-301.375,2403560.0,1494280.0,4550460.0,44274600.0,Main Bearing_UW,1043.1984139594613,1012.0848663717062,24.172826762129237,143773117.43569443,689989222.2660741,271734060.0465517,768268342.180614,7.104770476002766e-11,1.4804216747694334e-11,3.7590981411200634e-11,1.3295810121509071e-11,,
9,0.9,6.12885,0.010214750000000002,4885980.0,-301.375,2403560.0,1494280.0,4550460.0,44274600.0,Main Bearing_DW,833.8790009820591,808.7031378526781,57.778974850362644,6496490463.778966,324824523188.9483,4541238976.679997,47239769347.45857,1.572348956248317e-12,3.1446979124966336e-14,2.249331086175911e-12,2.1623200411645404e-13,,
10,1.0,6.15664,0.010261066666666667,4892210.0,-16287.099999999999,2362310.0,-3171970.0,4583920.0,44084900.0,Main Bearing_UW,1048.9837089016964,1017.6884629583164,23.804932772915652,137532612.4216902,645881200.5666921,259504939.44069973,724005449.0857772,7.460824371753445e-11,1.588692573442867e-11,3.954093008318809e-11,1.4172637346339888e-11,,
10,1.0,6.15664,0.010261066666666667,4892210.0,-16287.099999999999,2362310.0,-3171970.0,4583920.0,44084900.0,Main Bearing_DW,863.7297333302118,837.649645913416,51.75629387050933,4501147714.532781,225057385726.63904,3279624032.045781,28772640473.63967,2.279655616174722e-12,4.559311232349444e-14,3.128732612764142e-12,3.5662582570645337e-13,,
11,1.1,6.17379,0.010289650000000001,5004310.0,-65653.59999999999,2360140.0,-7398770.0,1500880.0,43957900.0,Main Bearing_UW,1124.329543851431,1090.4167911294442,17.811865022753054,89747072.48073184,333696696.1985094,154898491.89898935,361639362.9333817,1.1465165063973676e-10,3.083533675106839e-11,6.642834203130894e-11,2.8452793181961992e-11,,
11,1.1,6.17379,0.010289650000000001,5004310.0,-65653.59999999999,2360140.0,-7398770.0,1500880.0,43957900.0,Main Bearing_DW,917.9566613610208,890.227914772218,42.660108057711824,2363301890.325989,99125824818.12431,1857575279.8426914,12257798873.717436,4.3539295771394945e-12,1.0380392817794365e-13,5.539290984143253e-12,8.394370070847351e-13,,
12,1.2000000000000002,6.18536,0.010308933333333334,5038730.0,-123812.0,2371810.0,-10332800.0,-1695460.0,43887400.0,Main Bearing_UW,1201.4966186092097,1165.226588028817,14.447192480685207,57760615.7988198,171652096.22993124,91869240.37646322,180600515.9172213,1.7847685989428064e-10,6.005713626429778e-11,1.1221311171279119e-10,5.708141685519027e-11,,
12,1.2000000000000002,6.18536,0.010308933333333334,5038730.0,-123812.0,2371810.0,-10332800.0,-1695460.0,43887400.0,Main Bearing_DW,1005.5879265450089,975.2051125362432,32.226789880388196,927903593.56694,16434470349.47175,801332935.2747799,3602128704.7689,1.1109918535507468e-11,6.272750574930875e-13,1.286473184806558e-11,2.8619003312361433e-12,,
13,1.3,6.18485,0.010308083333333334,4957400.0,-173689.0,2366180.0,-11251000.0,-1848300.0,43792800.0,Main Bearing_UW,1210.167523294759,1173.5961913935025,14.193281126186767,53456484.27563977,152948366.46204135,85804058.44318092,164964199.6334642,1.9283129957034507e-10,6.739583803199093e-11,1.2013514885381911e-10,6.248679020197704e-11,,
13,1.3,6.18485,0.010308083333333334,4957400.0,-173689.0,2366180.0,-11251000.0,-1848300.0,43792800.0,Main Bearing_DW,1035.5794825338453,1004.2917247422947,29.58573039607549,697782943.8587607,9809958632.059322,613729458.3635504,2463489635.8707843,1.4772621520854783e-11,1.0507774517668322e-12,1.6795809933612818e-11,4.184342074445007e-12,,
14,1.4000000000000001,6.16554,0.010275900000000001,4880560.0,-167087.0,2364350.0,-10835200.0,-876172.0,43683900.0,Main Bearing_UW,1188.1913165306062,1152.3253372896272,15.021486781556357,59185351.78249387,177595463.1921219,98336389.98248017,197097604.16581064,1.7362235233075792e-10,5.7861275368749615e-11,1.0449742970868443e-10,5.2136097967762616e-11,,
14,1.4000000000000001,6.16554,0.010275900000000001,4880560.0,-167087.0,2364350.0,-10835200.0,-876172.0,43683900.0,Main Bearing_DW,1022.8613345557933,991.9584900765378,30.800035344204883,797902969.4202601,12436428471.374468,689820803.5001653,2901419219.8208084,1.2878633610633457e-11,8.26274201122335e-13,1.4896477386387693e-11,3.541680543714962e-12,,
15,1.5,6.13108,0.010218466666666667,4909970.0,-106151.0,2395960.0,-10568900.0,-2236660.0,43595400.0,Main Bearing_UW,1205.089254783054,1168.6603788034627,14.351517931918936,55475839.874497645,160601646.96217382,89015430.64463727,172234978.25278568,1.8419670057783327e-10,6.362616361632582e-11,1.1479432939509435e-10,5.93286379475674e-11,,
15,1.5,6.13108,0.010218466666666667,4909970.0,-106151.0,2395960.0,-10568900.0,-2236660.0,43595400.0,Main Bearing_DW,1015.1137220240539,984.4421423503999,31.36456861978362,847703079.5682677,13785057116.490993,734296860.3410873,3156458789.2003813,1.205429933305291e-11,7.412712606349935e-13,1.391598850350538e-11,3.237319841345145e-12,,
16,1.6,6.08878,0.010147966666666668,5004130.0,-96468.7,2444660.0,-10668100.0,-5811320.0,43550400.0,Main Bearing_UW,1271.66635699068,1232.8752248537214,12.455490185545782,39022531.92682346,95190652.51010714,59831899.051689416,101910075.93400583,2.6005402944372043e-10,1.0660675601093477e-10,1.696079654416406e-10,9.957765778958121e-11,,
16,1.6,6.08878,0.010147966666666668,5004130.0,-96468.7,2444660.0,-10668100.0,-5811320.0,43550400.0,Main Bearing_DW,1042.5794271873758,1011.0738034566975,28.54040790022144,618937245.2635748,7787977209.865574,565910135.9389958,2167668236.6378098,1.639579253684297e-11,1.3030298360158953e-12,1.793211681891593e-11,4.681512832612616e-12,,
17,1.7000000000000002,6.05365,0.010089416666666668,5066750.0,-96630.6,2492390.0,-11246500.0,-6945540.0,43610800.0,Main Bearing_UW,1298.7264412765599,1259.1060540739284,11.805429452629095,32637633.85553363,73163877.04672837,50241724.594263054,80900225.23076913,3.091344400554954e-10,1.3790161311739604e-10,2.008174828421146e-10,1.2471432110215335e-10,,
17,1.7000000000000002,6.05365,0.010089416666666668,5066750.0,-96630.6,2492390.0,-11246500.0,-6945540.0,43610800.0,Main Bearing_DW,1071.804419462744,1039.4102559085297,26.260887515214485,468968885.75154245,4772351064.785151,438233655.2675606,1507125135.0638878,2.1514042771724507e-11,2.114139661919631e-12,2.3022916075458978e-11,6.69447840257735e-12,,
18,1.8,6.02788,0.010046466666666667,4982280.0,-65108.90000000001,2493230.0,-11457000.0,-5353070.0,43670000.0,Main Bearing_UW,1266.4743515258583,1227.8424071733648,12.547752602825565,39990240.44938544,97978849.45748731,60134465.23173694,101907860.21915764,2.512229622470564e-10,1.0253709573335819e-10,1.6706670006877322e-10,9.858382508533953e-11,,
18,1.8,6.02788,0.010046466666666667,4982280.0,-65108.90000000001,2493230.0,-11457000.0,-5353070.0,43670000.0,Main Bearing_DW,1062.9532254342828,1030.8348929393499,27.24330330471876,530043992.7016571,5870397002.50836,480323885.902899,1708609247.1371334,1.8954024203650328e-11,1.71137772494329e-12,2.0916025543434317e-11,5.879908869450439e-12,,
19,1.9000000000000001,6.00239,0.010003983333333334,4853940.0,-9706.38,2457550.0,-10168100.0,-4388090.0,43696900.0,Main Bearing_UW,1231.0815988160177,1193.5957594136232,13.524653094583181,49306999.874261156,132831141.75004753,75953143.75556405,137988302.8886338,2.0289174678736706e-10,7.53135386892792e-11,1.317125643347775e-10,7.249877796821118e-11,,
19,1.9000000000000001,6.00239,0.010003983333333334,4853940.0,-9706.38,2457550.0,-10168100.0,-4388090.0,43696900.0,Main Bearing_DW,1016.2016383843427,985.4948270843357,31.139122653600925,827562123.895868,12863527224.023256,723599028.1816739,3037091578.13841,1.20884983066143e-11,7.777014157244844e-13,1.382531339003075e-11,3.2939353575453563e-12,,
20,2.0,5.99114,0.009985233333333335,4864320.0,63353.4,2433520.0,-8375940.000000001,-6901770.0,43782200.0,Main Bearing_UW,1266.007807730667,1227.3914225257945,12.683729002425792,41457446.26350699,102839558.78780687,64031725.624908336,110361590.65512365,2.40855002738624e-10,9.709525644636692e-11,1.5594196838963653e-10,9.047743217599012e-11,,
