k,dt_s,eps_UW_pct,eps_DW_pct,eps_Sys_pct
0.0,20,-48.34592058144223,-67.22991799075825,-52.59378030911792
0.05,20,-44.19015130266205,-63.39345809972261,-48.516108653006405
0.1,20,-39.745687593060694,-59.17300385962291,-44.12835805816812
0.15,20,-34.99788322644339,-54.53923249941006,-39.41246667039593
0.2,20,-29.93164252554543,-49.461417984061576,-34.34969266918914
0.25,20,-24.5314239812508,-43.907421316284825,-28.920614356588658
0.3,20,-18.781243707538454,-37.843702170817735,-23.10513494062818
0.35,20,-12.664678815506269,-31.23531973865227,-16.882484960712084
0.4,20,-6.164186460937248,-24.045935890692714,-10.2306952313435
0.45,20,0.756449559064154,-16.237820191314555,-3.113011560788803
0.5,20,8.12160594162017,-7.771856372730923,4.498454315340461
0.55,20,15.93116722457717,1.3924500464414846,12.612972127496548
0.6,20,24.213362759940104,11.296963253786396,21.262075039453098
0.65,20,32.976891485100325,21.984907952098087,30.462523173960232
0.7,20,42.24154294934171,33.50085964963503,40.239978653778884
0.75,20,52.027526806485945,45.89073456411876,50.62074860994898
0.8,20,62.355469427689414,59.201779247146405,61.63178015801567
0.85,20,73.24641051923784,73.48256001504248,73.30065531001961
0.9,20,84.72179975101439,88.78295225562363,85.65558584652501
0.95,20,96.8034934026767,105.15412966705213,98.72540817054754
1.0,20,109.51375103522261,122.64855347422157,112.53957816286398
1.05,20,122.87523219554983,141.3199616594275,127.12816605572938
1.1,20,136.9109931609314,161.22335823701474,142.52185133950402
1.15,20,151.644483729191,182.41500259593047,158.75191771414424
1.2,20,167.09954405897687,204.9523989294027,175.85024809505555
1.25,20,183.30040156308897,228.89428576709076,193.84931968052786
1.3,20,200.27166785646008,254.3006256218813,212.78219908596702
1.35,20,218.038335759233,281.2325947608708,232.68253754843124
1.4,20,236.62577635447204,309.7525731079138,253.5845662036153
1.45,20,256.05973609939804,339.9241342833248,275.523091436365
1.5,20,276.36633398862307,371.81203578482814,298.53349030501437
1.55,20,297.57205876764453,405.4822093126341,322.65170603928794
1.6,20,319.703766194797,441.00175124048695,347.9142436111327
1.65,20,342.7886763498888,478.43891323369354,374.3581653775992
1.7,20,366.8543709878591,517.8630930144461,402.021086794751
1.75,20,391.92879093591796,559.3448252741634,430.9411722014911
1.8,20,418.0402335327874,602.9557727321169,461.15713067216024
1.85,20,445.2173501087906,648.7687173392085,492.70821193673885
1.9,20,473.4891435056705,696.857551625448,525.6342023674772
1.95,20,502.884965635136,747.2972701894317,559.975421030792
2.0,20,533.4345150752114,800.1639613279,595.7727158032527
2.05,20,565.1701158416987,855.5347988033049,633.069195513372
2.1,20,598.1221162811202,913.4880337471789,671.9067243604547
2.15,20,632.319535601633,974.1029866969996,712.3264152464305
2.2,20,667.7934661190543,1037.460039764181,754.3712163696376
2.25,20,704.575336030311,1103.6406289307463,798.0845867461502
2.3,20,742.6969072162418,1172.7272364722483,843.5104926827878
2.35,20,782.1902730772182,1244.803383504429,890.6934043061956
2.4,20,823.0878564009594,1319.9536226511475,939.6782921468605
2.45,20,865.4224072619463,1398.2635308310978,990.5106237769616
2.5,20,909.2270009518268,1479.8197021608405,1043.236360500934
2.55,20,954.5390090369606,1564.7097409717048,1097.9049662334378
2.6,20,1001.4359965284111,1653.0222549381488,1154.5966061849263
2.65,20,1049.907095834824,1744.8468483151664,1213.324645071655
2.7,20,1099.9933574317192,1840.2741152824256,1274.1420557180463
2.75,20,1151.775745946624,1939.3956333927931,1337.1322637460748
2.8,20,1205.240267644647,2042.3039571229804,1402.3070155317503
2.85,20,1260.422411880648,2149.0926115240973,1469.7157826874743
2.9,20,1317.3579796138333,2259.856085969898,1539.408507239132
2.95,20,1376.083081579243,2374.6898280006258,1611.4355987350805
3.0,20,1436.6341364848615,2493.690237260312,1685.8479313977796
0.0,10,-38.392367562547335,-56.10942388441965,-42.39812602669931
0.05,10,-34.50234424961883,-52.17766302456515,-38.50307095294197
0.1,10,-30.379157968323543,-47.92250597687959,-34.35435055244632
0.15,10,-26.011991020321734,-43.32243027409902,-29.93864927973814
0.2,10,-21.394495135036884,-38.354991520572604,-25.24589860286194
0.25,10,-16.514809810746588,-32.99683596701524,-20.26153631235784
0.3,10,-11.358255880755019,-27.22377356822595,-14.968619301859675
0.35,10,-5.905843271815581,-21.010702393234027,-9.346656962070155
0.4,10,-0.15329522822883357,-14.33163736709745,-3.386340901531759
0.45,10,5.918307588565996,-7.1597149406540606,2.9331796055244164
0.5,10,12.312964594404697,0.5328018463959028,9.621425040288333
0.55,10,19.043415142619647,8.774549409446376,16.694894273278727
0.6,10,26.122668692470153,17.594991550657756,24.17049337004915
0.65,10,33.564002287085096,27.02445385550225,32.06554141666427
0.7,10,41.38754446622814,37.09411938452754,40.40284559858514
0.75,10,49.6077979627855,47.836017017057195,49.201070287535956
0.8,10,58.236349209287106,59.28301532215083,58.47683455805681
0.85,10,67.29425204685073,71.46881636719937,68.25424964176416
0.9,10,76.78730783606606,84.4279494882963,78.54588044072794
0.95,10,86.73048366310667,98.19576504279249,89.37155173070799
1.0,10,97.13900149916834,112.80842816125949,100.75148020703635
1.05,10,108.02833623974202,128.30291251335711,112.70627145661032
1.1,10,119.41421378069532,144.71699409978123,125.25691696133671
1.15,10,131.31260912834546,162.0892450804777,138.42479113420478
1.2,10,143.73974454125891,180.45902764761675,152.23164838904694
1.25,10,156.7120877019663,199.86648795036555,166.69962024491775
1.3,10,170.2463499171626,220.35255007726838,181.85121246590933
1.35,10,184.35948434528206,241.95891010097318,197.7093022371128
1.4,10,199.0686842506107,264.7280301891456,214.29713537734298
1.45,10,214.3913812833248,288.7031327846316,231.6383235891588
1.5,10,230.3452437850235,313.9281948572694,249.75684174662507
1.55,10,246.9481751194623,340.447942229186,268.67702522118094
1.6,10,264.2183120282829,368.30784397492425,288.423567245886
1.65,10,282.1740230115939,397.5541068973354,309.0215163182231
1.7,10,300.8339067332678,428.23367007982523,330.4962736415323
1.75,10,320.231448704664,460.3941995152251,352.8847768665865
1.8,10,340.37391468448135,494.0840828113227,376.2041183817735
1.85,10,361.2786722146887,529.352423972854,400.4792818958693
1.9,10,382.96525078421257,566.2490382595857,425.7370735017779
1.95,10,405.4534026922381,604.8244471199537,452.0046399689875
2.0,10,428.76310159584125,645.1298731995985,479.30946641153537
2.05,10,452.91454108032167,687.217235424031,507.6793739923108
2.1,10,477.92813325174654,731.1391441545636,537.1425176630593
2.15,10,503.82450735119653,776.9488964165769,567.7273839394179
2.2,10,530.6365710692492,824.70047119913,599.4719611553379
2.25,10,558.3775413774152,874.4485248248661,632.3994210540237
2.3,10,587.0654426938963,926.2483863891422,666.5367604371695
2.35,10,616.7217875260086,980.1560532672625,701.913791319717
2.4,10,647.3682992008534,1036.2281866886965,738.5606468806492
2.45,10,679.0269105971688,1094.5221073771304,776.5077794322002
2.5,10,711.7197628953811,1155.0957912551942,815.7859584192124
2.55,10,745.4692043454176,1218.0078652127143,856.426268447984
2.6,10,780.2977890518664,1283.3176029373255,898.4601073439658
2.65,10,816.2282757760784,1351.0849208062864,941.9191842376885
2.7,10,853.2836267548454,1421.37037383836,986.8355176783258
2.75,10,891.487006535277,1494.2351517045995,1033.2414337742946
2.8,10,930.861780825545,1569.741074796935,1081.1695643603425
2.85,10,971.4315153611558,1647.9505903534218,1130.652845190558
2.9,10,1013.2199747864317,1728.926768639068,1181.724514156774
2.95,10,1056.2511215509032,1812.7332991811404,1234.4181095318447
3.0,10,1100.5491148202984,1899.4344870578964,1288.76746823728
0.0,4,-28.651677981036304,-43.157222570743556,-31.94799158921632
0.05,4,-25.119538086865877,-39.29372070568514,-28.34313865727579
0.1,4,-21.416290568880946,-35.17645882948138,-24.548243822527215
0.15,4,-17.536577901318218,-30.790970274586794,-20.555830556250633
0.2,4,-13.47351267859571,-26.122253951961085,-16.357109926283155
0.25,4,-9.214547681957285,-21.15474262734991,-11.93878199528836
0.3,4,-4.753776338946725,-15.872326748554787,-7.292557400470212
0.35,4,-0.08784680155768942,-10.258334922078504,-2.4119847614074486
0.4,4,4.790592796677751,-4.295538784587027,2.712614848017303
0.45,4,9.889040628762746,2.03381930792923,8.091160596488711
0.5,4,15.215322006767696,8.748047724330466,13.733956410809656
0.55,4,20.777427422394258,15.865998852180585,19.65156434237343
0.6,4,26.5861476870757,23.40707906136885,25.85683824404381
0.65,4,32.65103672940521,31.391200482688355,32.36179744931602
0.7,4,38.97714129913719,39.83882407437531,39.17512035630211
0.75,4,45.57583729291619,48.77094274818996,46.310490768151055
0.8,4,52.45545714192312,58.20905592139256,53.77936930027931
0.85,4,59.62316574683491,68.17519114133528,61.592446729181425
0.9,4,67.09432385592775,78.69189218212667,69.76684193695068
0.95,4,74.87381253264667,89.78221529211609,78.31173611146855
1.0,4,82.97330876887028,101.46972543834237,87.24165950821117
1.05,4,91.40093317833409,113.77849255681629,96.56853110654949
1.1,4,100.16481242122555,126.73308781609029,106.30439790168262
1.15,4,109.27488246030985,140.35857990035856,116.46281743465691
1.2,4,118.74122874919424,154.6805313172972,127.05758141747427
1.25,4,128.57408513682086,169.72499473497317,138.10271398215392
1.3,4,138.78383279035424,185.51850935139984,149.61246994995906
1.35,4,149.38099913618282,202.0880972996765,161.60133312185218
1.4,4,160.3762568187733,219.46126009109713,174.08401459105133
1.45,4,171.78042267711268,237.66597509815193,187.07545107836944
1.5,4,183.60769382874747,256.7306920789361,200.59327878823737
1.55,4,195.87345910171643,276.68432974414725,214.65615435389248
1.6,4,208.58248424300504,297.5562723675536,229.27472489348338
1.65,4,221.74576781949057,319.37636644056664,244.4645183869619
1.7,4,235.3748516900458,342.174917371341,260.24158938638544
1.75,4,249.4814163335071,365.98268622863765,276.6222087364906
1.8,4,264.0808020961335,390.83088653053346,293.6255488948524
1.85,4,279.188374933054,416.7511810779287,311.2709065433091
1.9,4,294.8170877585625,443.7756788326905,329.5758432931914
1.95,4,310.97246403392427,471.9369318401738,348.55236667260414
2.0,4,327.6668962741493,501.2679321957854,368.2178307834964
2.05,4,344.9129107175808,531.8021090551836,388.5897976237066
2.1,4,362.7231664950626,563.5733256876565,409.6860357203089
2.15,4,381.1104548115604,596.6158765721691,431.52451878395584
2.2,4,400.0876981399166,630.9644845355349,454.1234243838076
2.25,4,419.6679494264247,666.6542979321324,477.50113264262666
2.3,4,439.8643913079329,703.720887864573,501.67622495163056
2.35,4,460.6903353401977,742.2002454446894,526.667482704689
2.4,4,482.1592212372164,782.1287790942126,552.4938860514592
2.45,4,504.2846161212954,823.5433118844958,579.1746126690712
2.5,4,527.0802137836015,866.4810789146192,606.7290365519573
2.55,4,550.5598339549765,910.9797247272307,635.1767268194576
2.6,4,574.7374215867843,957.0773007614525,664.537446540813
2.65,4,599.6291541375133,1004.8122628421905,694.8327496963597
2.7,4,625.2484222073438,1054.2234687052076,726.0821739128339
2.75,4,651.608454064067,1105.3501755572747,758.3052318957704
2.8,4,678.7236952740157,1158.2320376707858,791.5224560748217
2.85,4,706.6088938814431,1212.9091040121668,825.7547040261251
2.9,4,735.2791313257935,1269.421815903454,861.0231810877833
2.95,4,764.7486890260387,1327.8110047164198,897.348581904272
3.0,4,795.0324973105666,1388.117889598613,934.7521869914848
0.0,2,-22.788647896402846,-34.825110378752974,-25.531198870577253
0.05,2,-19.523589681802665,-31.06007510839387,-22.15402686179262
0.1,2,-16.117784790454937,-27.082716018612217,-18.619614534907182
0.15,2,-12.565872442679682,-22.882644816483154,-14.921419531623147
0.2,2,-8.862098813828057,-18.44912053735258,-11.052512774528678
0.25,2,-5.002845575980253,-13.771031216515084,-7.007527561078741
0.3,2,-0.9801080408523233,-8.836934407056651,-2.7776300435344403
0.35,2,3.2071387654244,-3.63501913559926,1.6407111328593516
0.4,2,7.570137246572006,1.8468773758181234,6.258998910103353
0.45,2,12.11641862708619,7.621261258767564,11.085949454585009
0.5,2,16.845872024087207,13.701001064048901,16.124471773726622
0.55,2,21.762250886295643,20.09930950875716,21.380541976451852
0.6,2,26.871596806259056,26.829742458221894,26.861983423947432
0.65,2,32.180732140630575,33.906203247459096,32.57730383025608
0.7,2,37.69444972832543,41.342938068263855,38.533530086181415
0.75,2,43.41915967740542,49.15453396025469,44.7390169211433
0.8,2,49.36223494806955,57.35592062263293,51.202941760647946
0.85,2,55.52871841285922,65.96236033068308,57.93276940747762
0.9,2,61.925595810700514,74.98944918491601,64.93753986503481
0.95,2,68.55919090368414,84.453117234802,72.22586448406459
1.0,2,75.43598289650883,94.36962486430018,79.80655398503211
1.05,2,82.56275141359166,104.75556063022586,87.6887291553945
1.1,2,89.94918979254354,115.62783909726564,95.88382535405428
1.15,2,97.60343785579923,127.0036986739032,104.40216122579575
1.2,2,105.52899239788545,138.90069945292848,113.25057169478666
1.25,2,113.73304094181292,151.33672105969492,122.43880198635115
1.3,2,122.22449814096103,164.32996051083748,131.9779973687925
1.35,2,131.01280383806545,177.89893008577567,141.87977971645432
1.4,2,140.10208528377865,192.06245521298175,152.1517769428045
1.45,2,149.50005414471792,206.83967237269712,162.80443932940284
1.5,2,159.21568674707424,222.25002701751677,173.84925930185767
1.55,2,169.25595087147673,238.3132715120334,185.2962660637779
1.6,2,179.62835719896003,255.04946309253356,197.1559785847702
1.65,2,190.34115410921132,272.47896184756155,209.43955332521668
1.7,2,201.40209795007786,290.62242872001366,222.1578434233864
1.75,2,212.81991926054698,309.50082353129204,235.32251869266275
1.8,2,224.60220705534292,329.1354030279311,248.94444884014123
1.85,2,236.75729301264076,349.5477189510028,263.035142501399
1.9,2,249.29359913117364,370.7596161285245,277.6062482466499
1.95,2,262.2200577281076,392.79323059100636,292.6698743928474
2.0,2,275.54631918504447,415.6709877102152,308.23874635689646
2.05,2,289.28020733974796,439.4156003611684,324.3242662621826
2.1,2,303.4320648072174,464.0500671073205,340.93982523163015
2.15,2,318.0087892157966,489.5976704088584,358.09625816628926
2.2,2,333.01933786517617,516.0819748539899,375.8060384430057
2.25,2,348.47275476075674,543.5268254130674,394.08177346202945
2.3,2,364.3781701188563,571.9563457153664,412.93620384313544
2.35,2,380.7447998785007,601.394936348313,432.3822026326459
2.4,2,397.58196478061774,631.8672731789306,452.4327893935113
2.45,2,414.90038353840663,663.3983056972668,473.10211266750974
2.5,2,432.71089234323006,696.0132553815312,494.4044750588005
2.55,2,451.02054864019135,729.7376140846847,516.3513732741908
2.6,2,469.83899571806955,764.5971424421889,538.9563352796529
2.65,2,489.1759598497444,800.6178683006289,562.233016972954
2.7,2,509.0412498465791,837.8260851669193,586.1952014624023
2.75,2,529.4447566185082,876.2483506777812,610.8567983552118
2.8,2,550.3964527397346,915.9114850891999,636.231843055325
2.85,2,571.9063920199358,956.842569785546,662.334496070529
2.9,2,593.9847090808786,999.0689458080536,689.1790423286938
2.95,2,616.6416189383542,1042.6182124023594,716.7798905029827
3.0,2,639.8874165893293,1087.5182255847737,745.1515723458542
0.0,1,-11.497144133464076,-17.710026155688606,-12.919223640771605
0.05,1,-9.024459795467122,-14.689024862780132,-10.321557757005618
0.1,1,-6.480145267339799,-11.555092817266033,-7.642699975925382
0.15,1,-3.863478723156377,-8.304640454313915,-4.881259882729417
0.2,1,-1.1723152317046015,-4.933996289726139,-2.034729511732325
0.25,1,1.5972594540441198,-1.4394038839739887,0.9007830218211721
0.3,1,4.444839440069037,2.1829831271378053,3.9258593907273154
0.35,1,7.372215369969526,5.93709235559885,7.042794850012246
