t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,5.93123,44819.7,-28959.8,672.784,2153.89,-43.363,-4908.41
0.1,5.92719,44862.2,-29062.7,905.213,2204.01,-49.912,-4982.32
0.2,5.92503,44891.8,-29102.1,595.794,2202.44,14.1857,-5019.58
0.3,5.92147,44909.9,-28354.5,488.072,2191.66,87.2424,-4993.74
0.4,5.92147,44942.3,-29417.5,1606.76,2192.03,162.832,-4986.17
0.5,5.91727,44891.7,-33013.0,4050.63,2150.36,183.045,-5078.34
0.6,5.89444,44835.9,-37645.2,6848.6,2130.41,146.18,-5182.25
0.7,5.86751,44860.4,-40405.3,8876.37,2092.48,84.6721,-5156.39
0.8,5.84804,44999.0,-41055.7,9862.4,2078.14,31.5145,-5044.56
0.9,5.8429,45069.8,-42013.8,9612.87,2093.02,-17.8851,-4972.76
1.0,5.85606,45118.3,-45061.0,8948.0,2138.91,-43.5181,-4970.14
1.1,5.86791,45078.9,-46779.2,8568.16,2154.78,-38.1781,-5007.31
1.2,5.86371,45034.3,-46655.2,7876.67,2161.38,-31.3477,-4966.68
1.3,5.85995,45062.9,-43810.8,7117.73,2163.19,27.1614,-4938.72
1.4,5.85823,45057.8,-39882.3,6398.94,2118.17,100.974,-4964.79
1.5,5.85759,45074.1,-36099.4,6481.45,2049.83,155.539,-4977.99
1.6,5.86062,45071.3,-33512.1,8030.66,2015.74,125.256,-4945.62
1.7,5.85713,45042.9,-30673.9,10945.3,2026.37,10.8212,-4947.12
1.8,5.84296,45017.8,-28595.5,13524.1,2068.78,-148.518,-4939.42
1.9,5.83049,45030.5,-27864.1,15496.6,2149.7,-215.707,-4895.59
2.0,5.81785,45032.0,-27784.2,15662.0,2247.77,-252.995,-4883.86
2.1,5.81405,45066.0,-26538.3,14096.6,2292.91,-245.432,-4943.7
2.2,5.81768,45076.7,-24350.5,11416.2,2357.02,-194.444,-4947.12
2.3,5.81478,45041.9,-22001.8,7709.68,2386.92,-105.65,-4883.02
2.4,5.80651,45032.3,-21040.0,3298.43,2363.22,2.43175,-4863.85
2.5,5.79043,45006.5,-23232.5,-385.414,2358.6,104.114,-4893.58
2.6,5.77071,45013.6,-26048.7,-2712.19,2350.99,142.269,-4944.06
2.7,5.76537,45069.0,-27242.8,-3319.34,2326.77,93.3031,-4956.92
2.8,5.76357,45052.0,-27625.7,-2859.03,2304.18,-29.7201,-4897.09
2.9,5.75977,45056.9,-27232.4,-3007.87,2311.0,-148.188,-4890.19
3.0,5.76522,45090.1,-25008.8,-4365.95,2328.44,-184.713,-4939.82
3.1,5.77791,45107.5,-21086.0,-5397.25,2368.01,-105.202,-4905.78
3.2,5.80123,45146.6,-16038.3,-4577.44,2440.08,-27.822,-4831.9
3.3,5.83343,45154.3,-12925.8,-715.304,2525.05,-15.1855,-4808.22
3.4,5.85367,45098.4,-12082.0,4896.89,2622.9,-52.6989,-4894.52
3.5,5.8519,45030.4,-11703.8,8434.13,2687.46,-117.605,-4963.14
3.6,5.8351,45019.0,-9247.96,7716.91,2711.51,-112.888,-4944.21
3.7,5.82407,45042.9,-7458.78,4624.07,2692.07,15.6073,-4845.74
3.8,5.83023,45112.8,-8937.91,2997.89,2667.04,99.9408,-4861.64
3.9,5.85643,45154.3,-12502.2,5409.67,2641.34,-19.1441,-5035.09
4.0,5.87605,45090.9,-15404.7,11571.8,2598.77,-217.816,-5136.05
4.1,5.86035,44964.9,-16392.4,17319.2,2584.55,-346.439,-5084.08
4.2,5.82216,44946.3,-16215.8,19318.7,2583.69,-290.725,-5060.63
4.3,5.79539,45014.4,-17970.8,18002.2,2637.5,-104.694,-5108.61
4.4,5.79213,45077.3,-19957.6,16426.7,2672.5,62.622,-5155.46
4.5,5.80366,45113.3,-21156.4,17284.3,2700.93,108.508,-5092.46
4.6,5.81179,45068.6,-20140.4,20129.2,2706.84,-1.55125,-5014.89
4.7,5.80653,45043.4,-19078.6,22523.8,2695.27,-118.062,-4996.08
4.8,5.80865,45085.8,-18253.9,22671.9,2661.94,-144.994,-5042.52
4.9,5.82188,45113.2,-17873.2,20792.1,2597.83,-125.368,-5060.52
5.0,5.84453,45141.5,-17561.2,18723.1,2508.03,-113.774,-5050.06
5.1,5.86824,45121.7,-17583.6,17884.4,2439.84,-141.123,-5052.72
5.2,5.87794,45078.8,-18662.5,18116.0,2420.43,-150.307,-5064.01
5.3,5.87333,45033.2,-19210.8,17388.6,2408.89,-130.186,-5052.62
5.4,5.86023,45025.1,-19105.7,14583.3,2424.76,-60.6956,-4958.53
5.5,5.84956,45043.7,-17343.4,10082.0,2454.05,38.5474,-4858.99
5.6,5.84528,45060.6,-17031.5,5300.45,2510.88,93.2423,-4750.0
5.7,5.84442,45070.5,-17724.6,1797.36,2577.49,71.1107,-4753.29
5.8,5.84056,45037.9,-19282.9,648.635,2584.09,23.362,-4810.78
5.9,5.82167,44997.9,-20529.1,1019.48,2558.44,-58.2736,-4851.56
6.0,5.80666,45035.0,-19634.0,1747.54,2523.51,-123.011,-4918.89
6.1,5.8064,45074.7,-17987.5,2113.67,2480.65,-127.226,-4947.18
6.2,5.81429,45092.3,-17869.3,2130.82,2438.25,-75.1039,-4892.54
6.3,5.82558,45102.5,-16535.2,2219.92,2433.14,-35.6184,-4898.96
6.4,5.83474,45074.8,-14193.3,2760.03,2440.68,-52.7189,-4856.76
6.5,5.83738,45067.1,-9461.95,3590.5,2466.46,-92.2825,-4755.68
6.6,5.84638,45098.7,-3313.4,4229.1,2510.68,-129.421,-4709.14
6.7,5.86362,45127.0,2026.02,4757.36,2588.83,-134.631,-4758.47
6.8,5.8849,45118.5,5474.22,5309.98,2652.71,-137.079,-4834.93
6.9,5.89737,45087.1,8102.0,6808.6,2676.65,-116.053,-4917.55
7.0,5.89851,45048.2,11225.8,8933.74,2665.19,-138.443,-4980.32
7.1,5.8889,45039.3,12580.2,11506.9,2600.85,-144.929,-4948.6
