t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,6.3732,41186.5,-8636.27,22573.1,2341.44,139.056,-4835.85
0.1,6.34029,41423.3,-7798.41,25701.3,2331.15,86.8614,-4945.17
0.2,6.34114,41633.9,-8208.33,30294.4,2283.61,-26.6425,-5129.69
0.3,6.34663,41650.5,-6717.09,33842.4,2223.98,-160.286,-5171.16
0.4,6.34956,41644.5,-4376.46,34678.1,2183.29,-227.197,-5074.08
0.5,6.36256,41659.4,-4103.07,33529.9,2156.97,-191.737,-5040.32
0.6,6.39299,41740.0,-6456.71,32796.8,2172.51,-101.346,-5125.66
0.7,6.438,41804.7,-9180.9,33287.2,2164.53,-81.5207,-5130.99
0.8,6.48114,41728.6,-9644.39,35064.7,2177.04,-83.5744,-5015.93
0.9,6.49182,41501.6,-9421.24,36325.1,2170.26,-37.7115,-4899.92
1.0,6.47015,41335.0,-11742.5,35090.7,2170.42,33.0882,-4891.43
1.1,6.44428,41331.9,-14649.5,32419.0,2161.47,122.06,-4986.93
1.2,6.42843,41447.1,-18161.2,30532.7,2150.97,158.745,-4982.84
1.3,6.43042,41585.4,-21094.2,30851.0,2161.38,83.9743,-4978.0
1.4,6.43353,41589.1,-25381.6,33802.6,2155.66,-38.1316,-5072.22
1.5,6.40585,41445.0,-28034.2,37198.5,2140.21,-159.531,-5288.07
1.6,6.34979,41370.2,-26221.3,37472.2,2092.19,-245.125,-5339.19
1.7,6.30265,41516.6,-20578.6,35074.7,2072.92,-133.305,-5152.77
1.8,6.2814,41765.1,-16973.2,31556.9,2114.52,33.4058,-4932.38
1.9,6.28724,41988.7,-16979.5,28624.3,2172.79,96.8238,-4941.22
2.0,6.30973,42035.3,-18271.3,28088.5,2228.37,61.8032,-5004.9
2.1,6.3036,41872.9,-16176.5,28211.7,2227.21,-41.8332,-4933.37
2.2,6.28862,41861.6,-11963.6,26139.4,2216.03,-127.093,-4847.48
2.3,6.30679,42020.5,-9656.58,22189.8,2168.82,-95.3463,-4970.96
2.4,6.34493,42194.3,-10516.4,18294.1,2138.53,12.7219,-5212.49
2.5,6.40134,42273.3,-9800.07,17406.9,2122.77,98.0805,-5364.35
2.6,6.43838,42096.9,-6904.26,20923.6,2126.59,28.107,-5284.4
2.7,6.41972,41797.3,-4705.61,26236.7,2145.39,-122.558,-5154.53
2.8,6.37925,41705.7,-5618.33,29687.9,2199.39,-192.915,-5107.85
2.9,6.34276,41803.6,-6514.58,30054.7,2267.03,-109.157,-5082.99
3.0,6.32538,42006.9,-4039.68,27840.5,2328.83,-25.6025,-4956.2
3.1,6.33031,42139.0,5.78744,26706.2,2328.16,-9.89364,-4800.35
3.2,6.31398,42021.8,2069.27,28599.2,2304.69,-75.1322,-4888.19
3.3,6.27225,41926.6,1672.35,30832.8,2288.27,-207.473,-5172.55
3.4,6.24219,42021.2,2712.45,31139.2,2206.73,-220.763,-5340.04
3.5,6.23307,42204.7,6495.04,28579.9,2143.39,-104.521,-5240.79
3.6,6.24215,42403.7,8119.72,24547.9,2095.63,45.0901,-5057.08
3.7,6.27261,42501.5,4835.83,22517.2,2147.73,88.3361,-5066.19
3.8,6.28792,42399.3,-1697.46,24556.7,2201.14,6.87575,-5110.78
3.9,6.28691,42314.9,-5262.96,28840.7,2249.56,-132.766,-5043.95
4.0,6.29318,42340.1,-5252.84,31698.4,2303.06,-287.466,-4890.52
4.1,6.31487,42449.3,-7167.6,31563.0,2368.6,-256.855,-4841.97
