idx,dmg_UW,dmg_DW
0,6.980089957215627e-10,3.906338609665466e-11
1,6.100891267594905e-10,2.510844823443233e-11
2,3.830106960562908e-10,9.245226437560516e-12
3,2.702453871526917e-10,4.066618661582158e-12
4,2.8686305121445166e-10,3.8991717343022195e-12
5,3.766327194965707e-10,7.748074314344267e-12
6,3.9527484807633706e-10,1.1533581110138574e-11
7,3.4722502210370434e-10,1.2041468655757409e-11
8,3.951867182630275e-10,1.6840056897143035e-11
9,5.543810939860427e-10,2.8951154730574885e-11
10,5.897697041040368e-10,3.3747862685184546e-11
11,4.3790807021184656e-10,2.3628131915249822e-11
12,3.3402935736596646e-10,1.3203373478318311e-11
13,3.943877218436739e-10,1.0531799107805274e-11
14,6.30081703191441e-10,2.5601682829973745e-11
15,7.47063185038729e-10,4.643875662642731e-11
16,6.486281571212924e-10,4.9991633796666184e-11
17,5.294855384688901e-10,3.554404161223435e-11
18,4.997447730163556e-10,2.6626864844346538e-11
19,4.393643806953244e-10,2.5139416153048274e-11
20,3.167614202282463e-10,2.4929656354602076e-11
21,2.2319518205864546e-10,2.2129859111626064e-11
22,2.1992059071949001e-10,1.672054941772518e-11
23,2.4091806043699334e-10,7.496874167229486e-12
24,2.65167307456031e-10,4.644741528277341e-12
25,2.640337658564245e-10,5.0838974394852455e-12
26,3.2835740618396394e-10,9.30686785411726e-12
27,5.210652288680055e-10,2.2589057593105403e-11
28,7.065530220013208e-10,3.582204978527986e-11
29,6.96879853502885e-10,3.1790347461909727e-11
30,7.384975142386128e-10,3.72932252397883e-11
31,9.364724363643004e-10,5.7086349940631735e-11
32,1.1287122173602664e-09,7.412618325382692e-11
33,9.829685389075077e-10,6.168669535676344e-11
34,6.9017465758864e-10,4.130953772212819e-11
35,5.990072370715938e-10,4.371163457110847e-11
36,7.132698307972309e-10,6.353782411636295e-11
37,7.631350346323814e-10,7.375461994518068e-11
38,6.557934328509566e-10,5.787038926391542e-11
39,5.753473012087745e-10,4.457715965324982e-11
40,7.686790098335869e-10,7.125882188575443e-11
41,1.127879276611263e-09,1.3959036463640873e-10
42,1.191331141602308e-09,1.7359508079489087e-10
43,9.95323855520374e-10,1.4989878137774798e-10
44,8.308565609395163e-10,9.152691866789744e-11
45,1.0331012396446453e-09,8.374641195754637e-11
46,1.3551610847477474e-09,1.0971803705972585e-10
47,1.2590636071601011e-09,9.569141270365469e-11
48,9.798657056464032e-10,6.761560116146229e-11
49,9.01106775699346e-10,5.8006300482958724e-11
50,1.0826923892875413e-09,6.98969172265315e-11
51,8.584836461773485e-10,3.8948142063007354e-11
52,4.262029739123317e-10,9.837713912244353e-12
53,1.8314564734573734e-10,1.3854643984821074e-12
54,1.7385327621686683e-10,1.2560200800802361e-12
55,2.6398208578126416e-10,3.641367444558484e-12
56,3.0616970520580674e-10,5.67080597168652e-12
57,3.29526742397317e-10,7.9201640300839e-12
58,5.184443090134544e-10,1.8226646376639936e-11
59,8.928854677098757e-10,3.836022177284105e-11
60,1.0602688694999778e-09,4.982709665766675e-11
61,7.543274573632721e-10,2.953659970757175e-11
62,5.344554799859202e-10,1.7051802612185258e-11
63,6.472422698528976e-10,2.6893666211875496e-11
64,7.695473796119343e-10,3.952530384460661e-11
65,5.610929615786661e-10,2.4814701982814337e-11
66,2.9434362493554377e-10,7.51230779617701e-12
67,2.174952805769703e-10,3.124239841825404e-12
68,2.2507531657366707e-10,2.459084105313751e-12
69,1.9862034538273336e-10,1.6315557198020765e-12
70,1.437948989104973e-10,9.442636083901896e-13
71,1.6054028048204682e-10,1.3938389188815724e-12
72,3.2105821670996377e-10,6.591288470137525e-12
73,6.370508036360675e-10,2.629355900566221e-11
74,8.076776588617372e-10,4.50543566086857e-11
75,9.072899246879443e-10,6.099643744215875e-11
76,1.1909317748726077e-09,9.228013902256121e-11
77,1.6073309005242004e-09,1.3669977364587293e-10
78,1.5109245776480256e-09,1.2165723917888992e-10
79,1.1164261881667085e-09,7.615191112129173e-11
80,9.456662569412745e-10,5.749544111923267e-11
81,1.1912875265870057e-09,8.576302725004231e-11
82,1.3909979616305708e-09,1.1218981677421293e-10
83,1.2318117288684793e-09,1.0365299834390667e-10
84,9.384640844711454e-10,6.768599897944147e-11
85,8.470306121664684e-10,4.9198951612120385e-11
86,7.845173344544346e-10,3.39353468396491e-11
87,7.03398965987567e-10,2.6346163206916445e-11
88,5.806030152318701e-10,2.0942285825186886e-11
89,5.890979898845719e-10,2.930829659631996e-11
90,6.70762033159826e-10,4.538526234121622e-11
91,6.23631653725109e-10,4.610815681657248e-11
92,5.20584508931448e-10,3.7572057709631744e-11
93,4.861440504618014e-10,2.9788476457816824e-11
94,4.679673116990284e-10,2.1527945971845595e-11
95,4.1734383969498317e-10,1.443883582640762e-11
96,3.604682852034168e-10,9.929727539898326e-12
97,3.589474449053106e-10,8.02977809287569e-12
98,5.127941081594156e-10,1.4864153474881683e-11
99,7.147761016809307e-10,2.9103555953224525e-11
100,7.703669077163169e-10,3.7380852829158335e-11
101,6.447025632890478e-10,2.7757825723836232e-11
102,5.362671377042393e-10,1.8369169693784e-11
103,5.440244997481079e-10,1.928812788051564e-11
104,6.416540939940576e-10,3.494011638381884e-11
105,7.685614495460974e-10,6.084432444822057e-11
106,8.292553691518905e-10,7.301400617666942e-11
107,9.274424392649015e-10,8.096987951369813e-11
108,9.644137388292579e-10,7.524289002197539e-11
109,9.114344945716021e-10,7.017297237754831e-11
110,7.292109540976718e-10,5.745278287905324e-11
111,5.224459917724428e-10,4.1367690967926724e-11
112,4.4472066900650235e-10,3.3846870972040663e-11
113,4.1985895052323983e-10,2.4549659026358536e-11
114,4.957173805718073e-10,2.512056499254555e-11
115,6.504895709209683e-10,3.517811820966788e-11
116,9.673036316245703e-10,6.629573360275384e-11
117,1.3739923500709682e-09,1.0849274813491352e-10
118,1.6223322859302306e-09,1.3601623901915036e-10
119,1.5155344007043916e-09,1.2606038945692267e-10
120,1.2050017919030936e-09,9.43808747392137e-11
121,1.1792250941251625e-09,1.0588547113324338e-10
122,1.1636743971486935e-09,1.0369023653013221e-10
