index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,5.7161360000000005,0.3810757333333334,4931966.255626565,-152448.58494361432,2448287.5035735574,-3573126.3945870535,8280005.442050324,45071905.0,Main Bearing_UW,1033.7452907428224,1002.9262548950966,24.67641519695732,121613080.56859733,500748115.21946305,249126874.2249494,646367657.5075451,3.1335094181615028e-09,7.61012816126765e-10,1.5296452240204348e-09,5.895649773115157e-10,,
0,0.0,5.7161360000000005,0.3810757333333334,4931966.255626565,-152448.58494361432,2448287.5035735574,-3573126.3945870535,8280005.442050324,45071905.0,Main Bearing_DW,1000.5371668545417,970.3233566750209,33.465002794332285,1052161122.2833804,18755654124.96488,860648344.256299,3739376239.7102466,3.6218381886828317e-10,2.0317912177005818e-11,4.427775128791161e-10,1.0190890375953767e-10,,
1,4.0,5.9191139999999995,0.39460759999999995,4996508.025184535,-147121.83349120698,2550571.752725058,-4526812.48939435,6000447.500462478,44925447.49999999,Main Bearing_UW,1065.8420931350024,1034.0447260142917,22.70155393937095,106468882.90291247,419529882.161107,210862748.47045463,530097268.4460622,3.706318590379475e-09,9.405947389665644e-10,1.8713955066145363e-09,7.444060241184803e-10,,
1,4.0,5.9191139999999995,0.39460759999999995,4996508.025184535,-147121.83349120698,2550571.752725058,-4526812.48939435,6000447.500462478,44925447.49999999,Main Bearing_DW,944.1017692563656,915.5907965578525,39.906240588679765,1891975116.2706664,59800045288.33835,1469542298.7532065,8353683492.58519,2.0856912789520394e-10,6.598784300201068e-12,2.6852415227162506e-10,4.723755698312696e-11,,
2,8.0,6.1578757500000005,0.41052505000000006,5021475.874560794,-145955.05582380827,2594804.302286398,-10045502.077755667,-3494429.184836885,43615307.5,Main Bearing_UW,1229.5678539764613,1192.2872815593178,13.588594257676835,47077429.70225756,126329519.38342108,75026109.99053079,137839678.0724381,8.720209505837012e-09,3.2496367595131968e-09,5.47176243112982e-09,2.97827922801923e-09,,
2,8.0,6.1578757500000005,0.41052505000000006,5021475.874560794,-145955.05582380827,2594804.302286398,-10045502.077755667,-3494429.184836885,43615307.5,Main Bearing_DW,1007.123264606535,976.6908932626445,32.27008076486987,932065013.2362572,16478936938.901339,794615731.1998262,3546480244.63002,4.404467973479671e-10,2.491210759056221e-11,5.166334290665624e-10,1.1575562859023547e-10,,
3,12.0,6.40071775,0.42671451666666665,4979654.531884667,69022.72370472799,2515255.5370585197,-5318134.973816985,-21081160.39049823,41751890.0,Main Bearing_UW,1519.9741922512787,1473.0707913670035,8.358619809728882,10325108.03862423,14982928.059007116,14735803.437165769,17357437.783948734,4.132785003996183e-08,2.8480048424856688e-08,2.895766888355966e-08,2.4583957723372645e-08,,
3,12.0,6.40071775,0.42671451666666665,4979654.531884667,69022.72370472799,2515255.5370585197,-5318134.973816985,-21081160.39049823,41751890.0,Main Bearing_DW,1241.7597920832286,1203.8661221248985,16.08774804287501,91572179.65613168,354123420.62907046,105946762.3521387,225169378.45986435,4.659870697290908e-09,1.204988125068498e-09,4.027631493337963e-09,1.895082357935837e-09,,
4,16.0,6.53748925,0.4358326166666667,4892230.41166495,72046.14339531997,2083251.7871701575,17645113.042240478,-27088680.499163933,40876577.5,Main Bearing_UW,1670.0364386154174,1617.879186055054,6.852518105820054,5324514.378085075,6177221.364023006,6923767.747025808,6806614.099462999,8.185396558613687e-08,7.055479980125309e-08,6.29473189440654e-08,6.403075160395111e-08,,
4,16.0,6.53748925,0.4358326166666667,4892230.41166495,72046.14339531997,2083251.7871701575,17645113.042240478,-27088680.499163933,40876577.5,Main Bearing_DW,1422.8451749453834,1379.1739567527611,10.605672188495898,22833546.0630787,46033669.09489242,29351576.701962676,42345687.67680176,1.9087382023916015e-08,9.467692348577613e-09,1.484869521975368e-08,1.0292255022355649e-08,,
