index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,5.67561,0.00945935,4680200.0,-96133.0,2298180.0,1942360.0,3204340.0,45079400.0,Main Bearing_UW,1039.1122833523414,1008.106050597087,23.275438098875885,163757578.55150154,792770668.2560363,295602281.2668018,817247838.6110288,5.776434949558714e-11,1.193201310135376e-11,3.200026048331567e-11,1.157464058403243e-11,,
0,0.0,5.67561,0.00945935,4680200.0,-96133.0,2298180.0,1942360.0,3204340.0,45079400.0,Main Bearing_DW,775.708113061293,752.2907078049441,71.77952665196206,13390023276.380497,669501163819.0249,8775753215.205484,121967545619.5176,7.064476143731536e-13,1.412895228746307e-14,1.077896081171707e-12,7.755628722339631e-14,,
1,0.1,5.68403,0.009473383333333335,4731270.0,-136641.0,2317210.0,2500410.0,3767070.0,45096200.0,Main Bearing_UW,1039.9699936678826,1008.9420914969147,23.815594694108256,155104245.0705356,728679293.5787898,286504821.19667125,783363983.9554821,6.107752453213125e-11,1.3000758244146549e-11,3.3065353992177083e-11,1.209320766254643e-11,,
1,0.1,5.68403,0.009473383333333335,4731270.0,-136641.0,2317210.0,2500410.0,3767070.0,45096200.0,Main Bearing_DW,814.65235873175,790.0568591352525,61.74386032520767,8105104669.173391,405255233458.66956,5588045855.146427,60082790707.96339,1.1688169024348317e-12,2.3376338048696636e-14,1.6952944873579779e-12,1.5767215906097601e-13,,
2,0.2,5.68692,0.009478199999999999,4807670.0,-136540.0,2332650.0,3754080.0,4185410.0,45059300.0,Main Bearing_UW,1048.4139593229859,1017.1314619731298,23.659741158848085,139843080.53772956,619683911.0347346,262272526.44987926,694563430.4699651,6.777739709075407e-11,1.5295217176404515e-11,3.613874517585547e-11,1.364626984980584e-11,,
2,0.2,5.68692,0.009478199999999999,4807670.0,-136540.0,2332650.0,3754080.0,4185410.0,45059300.0,Main Bearing_DW,862.3056226581054,836.2677413222908,51.92224207006053,4549435272.138896,227471763606.9448,3321228731.315654,27057188641.90228,2.083379459873899e-12,4.1667589197477986e-14,2.8538233186503103e-12,3.503024695374865e-13,,
3,0.30000000000000004,5.67315,0.00945525,4837050.0,-99375.7,2311490.0,5363800.0,6545020.0,44992400.0,Main Bearing_UW,1042.8876534138706,1011.7703117878646,24.081180491816472,126515978.60423407,529075580.04023635,251415161.03541863,653068337.8095549,7.473561920251837e-11,1.787126519670578e-11,3.760811385065188e-11,1.4478193862090586e-11,,
3,0.30000000000000004,5.67315,0.00945525,4837050.0,-99375.7,2311490.0,5363800.0,6545020.0,44992400.0,Main Bearing_DW,974.8710357745342,945.4311714228539,35.9428747195478,1335022941.618942,28895740378.266422,1084123063.2869453,5171498358.983691,7.082462559432802e-12,3.2721950973478607e-13,8.721565217266656e-12,1.8283385865480882e-12,,
4,0.4,5.64383,0.009406383333333334,4802270.0,-80004.40000000001,2253800.0,6917360.0,8812990.0,44972500.0,Main Bearing_UW,1039.8093407108015,1008.7733462255161,24.232964146624298,116127878.346722,461367861.5290761,237692560.59399083,601957998.963913,8.100021689235358e-11,2.038803331935276e-11,3.957373890805373e-11,1.562631171863079e-11,,
4,0.4,5.64383,0.009406383333333334,4802270.0,-80004.40000000001,2253800.0,6917360.0,8812990.0,44972500.0,Main Bearing_DW,1064.0272970231213,1031.8960044383139,27.735233990054397,562624723.300292,6054112425.121093,487528488.58790696,1659526345.6480129,1.671875220512275e-11,1.5537179809053828e-12,1.9294017792843823e-11,5.668113289072445e-12,,
5,0.5,5.62587,0.009376450000000001,4833990.0,-74517.4,2209120.0,7933580.0,9364530.0,45045100.0,Main Bearing_UW,1048.1448006615124,1016.850484497112,23.69325719983797,108227793.98615198,412855643.9226919,221747253.94797346,547025086.6287817,8.663624799743901e-11,2.271120702362437e-11,4.228440187223204e-11,1.714080437843426e-11,,
