k,dt_s,eps_UW_pct,eps_DW_pct,eps_Sys_pct
0.0,20,-62.97619591373507,-74.67666161291169,-66.7715938598653
0.05,20,-59.244500177344904,-71.56865957532399,-63.24533982834755
0.1,20,-55.164447134630436,-68.11079430331603,-59.37050909077608
0.15,20,-50.72475217340412,-64.27010770747303,-55.12881518164286
0.2,20,-45.85824796924091,-60.01155616422119,-50.46337529596611
0.25,20,-40.57674646297021,-55.297960664868015,-45.370191213323544
0.3,20,-34.84811423805252,-50.090044590375626,-39.81475013649008
0.35,20,-28.64387513552774,-44.34654364069356,-33.76436468089037
0.4,20,-21.911539317317676,-38.02409076385306,-27.169408779442804
0.45,20,-14.644323667685367,-31.077271218983892,-20.010512933000335
0.5,20,-6.813897206278597,-23.458637976760677,-12.253036702713981
0.55,20,1.6112875441425256,-15.118728232704404,-3.8594926419948106
0.6,20,10.663717259721107,-6.006080734195063,5.208907046055078
0.65,20,20.3768080674811,3.9327463162913467,14.992238279288683
0.7,20,30.78489598986436,14.753156970461866,25.531852783870047
0.75,20,41.92322772570063,26.512499006111344,36.870365858001676
0.8,20,53.827951736369606,39.270045281065194,49.05164424231001
0.85,20,66.53610956729692,53.08697506410098,62.12079409206468
0.9,20,80.08562734828229,68.02635541821635,76.1241490478714
0.95,20,94.5153074403334,84.15312269590403,91.10925841141058
1.0,20,109.86482021602062,101.53406419345856,107.12487544044001
1.05,20,126.1746959716934,120.23780000113308,124.22094578036425
1.1,20,143.4863169747743,140.33476507771718,142.44859604914467
1.15,20,161.84190965023544,161.89719157141445,161.8601225897434
1.2,20,181.28453690933077,184.9990914034698,182.50898040096462
1.25,20,201.85809062196563,209.71623912657597,204.4497722542415
1.3,20,223.60728423245848,236.12615506651164,227.73823800104415
1.35,20,246.57764551713905,264.30808875252785,252.43124407323418
1.4,20,270.8155094813209,294.343002639648,278.5867731769047
1.45,20,296.36801139263105,326.31355612410033,306.2639141789003
1.5,20,323.28307994738924,360.30408985156663,335.52285218424646
1.55,20,351.6094305666322,396.40061031666096,366.4248588020327
1.6,20,381.39655881840315,434.690774751049,399.0322825968091
1.65,20,412.6947339630037,475.26387629681983,433.4085397222283
1.7,20,445.55499261803214,518.2108294610839,469.61810473343724
1.75,20,480.029132540154,563.6241558472772,507.7265015745798
1.8,20,516.1697065206794,611.5979701582719,547.8002947376732
1.85,20,554.030016392131,662.2279664661148,589.9070805890739
1.9,20,593.6641071430872,715.611404743,634.1154788597213
1.95,20,635.1267611386862,771.8470976479514,680.4951242953532
2.0,20,678.4734924442396,831.0353975635875,729.1166584628955
2.05,20,723.7605412494961,893.2781838773278,780.0517217092828
2.1,20,771.0448683911421,958.6788505013485,833.3729452689814
2.15,20,820.3841499711978,1027.3422936256554,889.1539435165606
2.2,20,871.8367720690234,1099.374899698675,947.4693063607228
2.25,20,925.4618255446964,1174.8845336298114,1008.3945917762422
2.3,20,981.3191009315817,1253.9805272085305,1072.0063184703713
2.35,20,1039.469083415966,1336.7736677345922,1138.3819586803177
2.4,20,1099.9729479016632,1423.3761868541753,1207.5999310984866
2.45,20,1162.8925541575827,1513.9017495967398,1279.7395939222752
2.5,20,1228.2904420462537,1608.4654436075791,1354.8812380252507
2.55,20,1296.2298268313964,1707.1837685711607,1433.1060802466768
