t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,6.1482,44287.3,-16630.6,-2787.12,1778.26,-229.405,-4952.13
0.1,6.16398,44037.8,-15886.3,3147.93,1770.87,-296.749,-4971.83
0.2,6.14941,43793.2,-15109.0,5038.23,1808.63,-146.525,-5079.73
0.3,6.11725,43669.1,-15259.0,5029.84,1874.86,82.5002,-5113.17
0.4,6.09591,43731.4,-15296.5,6242.49,1964.23,186.361,-5008.36
0.5,6.09206,43786.1,-15244.9,9922.57,2053.51,95.6659,-4883.03
0.6,6.073,43683.2,-15893.0,13165.2,2120.3,-101.195,-4867.34
0.7,6.03469,43566.1,-16194.1,12721.3,2154.08,-171.029,-4923.35
0.8,5.98835,43521.0,-16845.8,8131.76,2137.51,-86.3024,-4887.68
0.9,5.94724,43682.0,-17447.1,1782.47,2111.58,11.9766,-4907.79
1.0,5.94653,44005.6,-20794.5,-2843.82,2046.82,49.113,-4988.24
1.1,5.96824,44202.6,-24109.4,-3787.02,1941.26,31.0772,-5125.73
1.2,5.97692,44233.3,-24517.3,-3035.45,1875.97,-14.282,-5185.21
1.3,5.97265,44211.5,-23946.6,-3477.66,1825.75,-14.2655,-5028.78
1.4,5.96424,44270.6,-24918.6,-4923.53,1853.53,104.293,-4873.67
1.5,5.95649,44378.2,-28709.6,-7312.7,1862.07,184.862,-4840.34
1.6,5.97618,44541.5,-31075.0,-9270.56,1888.09,125.858,-4883.98
1.7,6.00986,44653.0,-30742.0,-9718.04,1873.54,6.22125,-4789.57
1.8,6.02821,44684.1,-28813.2,-10060.5,1817.58,-86.3388,-4696.72
1.9,6.03606,44558.3,-29104.5,-10816.3,1758.79,-81.7793,-4792.62
2.0,6.03255,44434.1,-29256.8,-11620.1,1733.24,-21.2763,-5048.2
2.1,6.02194,44391.0,-26719.2,-12590.7,1696.89,14.6265,-5101.04
2.2,6.02265,44422.9,-20294.8,-13203.7,1737.39,6.637,-4957.8
2.3,6.01681,44351.8,-15245.4,-13615.5,1789.27,9.41212,-4797.07
2.4,5.98994,44232.3,-13013.3,-14239.3,1825.27,23.9974,-4817.25
2.5,5.95221,44175.5,-11845.8,-14151.2,1884.67,18.5306,-4834.02
2.6,5.9108,44223.7,-7275.21,-13794.9,1895.86,-85.8265,-4716.08
2.7,5.88835,44430.5,-1687.51,-13277.0,1825.8,-175.11,-4559.08
2.8,5.88481,44626.5,-1206.64,-13154.1,1756.56,-206.613,-4567.53
2.9,5.87786,44737.4,-4815.37,-14082.3,1660.1,-179.808,-4815.1
3.0,5.87106,44858.0,-8273.96,-15507.9,1573.6,-108.174,-5004.34
3.1,5.86319,44866.2,-8751.07,-15406.9,1499.42,-16.7022,-4947.45
