index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.2604975,0.4173665,4992766.72386387,66495.7995735176,2529883.832649085,-13711111.289462524,-28430806.853578683,43045190.0,Main Bearing_UW,1644.6502058164513,1593.2908303749662,6.826645798617874,5257798.42267146,5945976.109449066,7379611.943606887,7216222.1747925645,7.938046810625696e-08,7.019310073189509e-08,5.655670016112071e-08,5.783725748604705e-08,,
0,0.0,6.2604975,0.4173665,4992766.72386387,66495.7995735176,2529883.832649085,-13711111.289462524,-28430806.853578683,43045190.0,Main Bearing_DW,1436.0123101593508,1391.9569592975936,10.894007677954761,24969218.809017107,50897220.552505225,29004820.019266084,40798809.383881025,1.6715240600529996e-08,8.200182553572793e-09,1.4389556622753376e-08,1.0229869604108961e-08,,
1,4.0,6.608047000000001,0.44053646666666674,4969333.4561783485,-175042.4650556854,2122494.5333710564,6599839.136705372,-21214316.030163508,40886672.5,Main Bearing_UW,1559.4852977759745,1511.3602873630578,8.312826227718745,10137752.989767658,14867636.597054653,12959087.396946186,15018993.43548544,4.345504049184406e-08,2.963056460190445e-08,3.399440509757495e-08,2.9331956802498453e-08,,
1,4.0,6.608047000000001,0.44053646666666674,4969333.4561783485,-175042.4650556854,2122494.5333710564,6599839.136705372,-21214316.030163508,40886672.5,Main Bearing_DW,1212.867818088573,1175.851242017397,15.713270416675043,84657995.30640867,321832208.2670279,115325299.75405109,256556244.2590605,5.203719566854872e-09,1.368838964374717e-09,3.8199464263798005e-09,1.7171145763337188e-09,,
2,8.0,6.48886325,0.4325908833333333,5002520.337783881,-156107.7148785346,1581514.4358136575,-9794584.014527343,-20991415.678831954,41106307.5,Main Bearing_UW,1605.1185499872815,1555.5806746058,8.154742509233666,9509263.315991215,13484211.28347724,10850123.874941144,11920485.56926742,4.549152431249522e-08,3.208128931229406e-08,3.9869672302306304e-08,3.6289703202075046e-08,,
2,8.0,6.48886325,0.4325908833333333,5002520.337783881,-156107.7148785346,1581514.4358136575,-9794584.014527343,-20991415.678831954,41106307.5,Main Bearing_DW,1190.9326758234947,1154.5812027687825,15.012622765290459,72716774.16084032,251588026.7058682,111304902.74500385,240580248.91241112,5.9489834130498815e-09,1.719441457518468e-09,3.886539340718763e-09,1.7981147051303788e-09,,
3,12.0,6.021825,0.401455,5052085.466557299,-235613.19221797833,1712793.2628878513,-25458349.36406457,-19088171.59077662,43851422.5,Main Bearing_UW,1643.4321894614907,1592.1104726822791,7.239132476359728,6393437.824958947,7573887.468982588,8151285.917244744,8032834.343365024,6.279172660955341e-08,5.300514453694783e-08,4.925051140099105e-08,4.997675575515815e-08,,
3,12.0,6.021825,0.401455,5052085.466557299,-235613.19221797833,1712793.2628878513,-25458349.36406457,-19088171.59077662,43851422.5,Main Bearing_DW,1408.0344812949093,1364.9544095705176,10.696034483967212,23488503.424344085,45526790.680463746,31249082.514615275,43873758.984294385,1.7091552950279575e-08,8.817994723539135e-09,1.284693718006724e-08,9.150230326599324e-09,,
4,16.0,5.82080275,0.3880535166666667,5018599.251846236,-132151.81429928806,2039999.4638492737,-23447867.92834872,-10162956.48082098,45056437.5,Main Bearing_UW,1460.2439285825903,1415.1849892980583,8.90892920410027,12770200.744764129,19033693.670719124,19311156.760066226,23251514.901566148,3.038742494520075e-08,2.038771472211076e-08,2.009478362627801e-08,1.6689386403830775e-08,,
4,16.0,5.82080275,0.3880535166666667,5018599.251846236,-132151.81429928806,2039999.4638492737,-23447867.92834872,-10162956.48082098,45056437.5,Main Bearing_DW,1350.8411650324947,1309.6295455572006,13.26147110368966,48093351.47965207,125292049.58919281,52238815.46038648,83866810.11745697,8.068755965798083e-09,3.0971918644400455e-09,7.42845168380462e-09,4.6270212986900396e-09,,
5,20.0,5.8703205,0.3913547,5022509.20838058,-320984.8091191304,2339981.8790899143,-16183790.772949073,13001899.45996508,45037595.0,Main Bearing_UW,1190.661461067756,1154.331825689878,16.843524511674993,39280236.71081675,93743175.86089996,79014584.31058478,142726624.45027423,9.963145153151054e-09,4.174754017089291e-09,4.952942591733336e-09,2.7419880593921525e-09,,
5,20.0,5.8703205,0.3913547,5022509.20838058,-320984.8091191304,2339981.8790899143,-16183790.772949073,13001899.45996508,45037595.0,Main Bearing_DW,1301.0578023183978,1261.3750426990152,15.584971089426409,82375747.46939647,281522880.71325916,78615327.89380015,144170881.4277778,4.7508485448996105e-09,1.390134610048298e-09,4.9780966445713114e-09,2.7145197152453326e-09,,
6,24.0,6.120222249999999,0.4080148166666666,5004130.456373464,-232332.19382540963,2359100.5383893684,-16645329.027953852,18204931.981538355,43765267.5,Main Bearing_UW,1206.6577472493038,1169.8170427595433,16.29114954831575,32337562.45410688,72717876.19409594,66714487.762031294,117084859.21470293,1.2617364628076618e-08,5.610928674231466e-09,6.115835260881325e-09,3.4847786417753163e-09,,
6,24.0,6.120222249999999,0.4080148166666666,5004130.456373464,-232332.19382540963,2359100.5383893684,-16645329.027953852,18204931.981538355,43765267.5,Main Bearing_DW,1384.4919552433032,1342.263138169749,13.1225228804073,46434113.72112918,123260950.27976088,44902896.72278583,71051674.23547012,8.786962514609283e-09,3.310170948224967e-09,9.086603458694476e-09,5.742508126050311e-09,,
7,28.0,6.27621925,0.41841461666666663,5076165.885334643,-316734.9013126391,2134783.7885648552,-22984316.41724196,7894933.289428804,42514392.5,Main Bearing_UW,1292.2401052779192,1252.7935428044937,12.594536858026062,24816796.71310203,50534144.68479634,44428784.60590415,70172825.38339345,1.6860137974445533e-08,8.279839686146909e-09,9.417647148760028e-09,5.962630325637214e-09,,
7,28.0,6.27621925,0.41841461666666663,5076165.885334643,-316734.9013126391,2134783.7885648552,-22984316.41724196,7894933.289428804,42514392.5,Main Bearing_DW,1364.1818239491283,1322.5702583069767,13.538442002530845,51523852.44544647,146340081.29055005,50718273.7042531,84444581.59065144,8.120794482704581e-09,2.8591935509173853e-09,8.249780327826487e-09,4.954901886955265e-09,,
8,32.0,6.19857425,0.41323828333333334,5111377.186747787,-172782.2706466491,1965449.1030867316,-18412251.859057594,-7892492.071676379,42914435.0,Main Bearing_UW,1395.8657487356163,1353.095269904424,10.13072373363495,19599617.95131344,35873831.60468245,29488638.662748702,41262813.6683003,2.10839968595225e-08,1.1519212329674736e-08,1.4013474411599524e-08,1.0014786840646281e-08,,
8,32.0,6.19857425,0.41323828333333334,5111377.186747787,-172782.2706466491,1965449.1030867316,-18412251.859057594,-7892492.071676379,42914435.0,Main Bearing_DW,1228.7388975893002,1191.2523885682253,16.983521590413055,109699637.04194397,456200555.37080485,120282113.16988675,261645835.07142362,3.766997726485918e-09,9.058259102675767e-10,3.4355755186116044e-09,1.5793803223373621e-09,,
