index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,5.97384,0.0099564,5004950.0,79172.0,2424250.0,-17927900.0,-3404400.0,44911500.0,Main Bearing_UW,1298.267152820885,1258.6533160278996,11.825281960068823,27976723.603045117,58119333.69861469,45728331.79151802,70915201.127887,3.558815585866638e-10,1.7130960330051612e-10,2.1772935092827455e-10,1.4039867111206293e-10,,
0,0.0,5.97384,0.0099564,5004950.0,79172.0,2424250.0,-17927900.0,-3404400.0,44911500.0,Main Bearing_DW,1221.1323296903472,1183.8826460119674,18.44101822398167,144342987.08394903,679217881.6028342,137803283.34863055,307097154.48266584,6.897737258415899e-11,1.4658624676524497e-11,7.225081839894306e-11,3.242101027205054e-11,,
1,0.1,5.98245,0.00997075,5022770.0,-13426.5,2446930.0,-19211700.0,-3358080.0,44809500.0,Main Bearing_UW,1316.4614936736248,1276.2874325090766,11.40136559119449,24799494.06306718,48978219.325901866,40490024.51839186,60636227.403064795,4.0205457315554717e-10,2.0357518377004415e-10,2.46252011911501e-10,1.6443552686287404e-10,,
1,0.1,5.98245,0.00997075,5022770.0,-13426.5,2446930.0,-19211700.0,-3358080.0,44809500.0,Main Bearing_DW,1250.5599526198498,1212.4117698599084,17.238455301810795,115285279.13347344,478610515.9359758,110973503.75119016,230161745.6749149,8.648762508920327e-11,2.0832701472304878e-11,8.984802374407384e-11,4.332062207280479e-11,,
2,0.2,5.99999,0.009999983333333335,5074440.0,-96453.40000000001,2463920.0,-20066900.0,-4225690.0,44743400.0,Main Bearing_UW,1340.7461966135913,1299.828863866762,10.828027308633672,21966964.510064833,41310617.47182477,35014186.06989757,50372739.50744227,4.552282737449473e-10,2.4206811578533437e-10,2.8559805198300843e-10,1.9851974363744693e-10,,
2,0.2,5.99999,0.009999983333333335,5074440.0,-96453.40000000001,2463920.0,-20066900.0,-4225690.0,44743400.0,Main Bearing_DW,1271.5501043245335,1232.7610959011004,16.42200877503269,98069425.52359673,373751264.4113713,95366717.1236532,188514537.55906767,1.0196840941958219e-10,2.6755717734045713e-11,1.0485821086162882e-10,5.304621841273127e-11,,
3,0.30000000000000004,6.03698,0.010061633333333334,5077620.0,-173245.0,2460510.0,-20335900.0,-5301240.0,44703600.0,Main Bearing_UW,1359.0664601033313,1317.4342099679948,10.430332366549369,20485112.917221792,37570988.937465124,31689163.537684876,44472503.24827658,4.911680679521438e-10,2.6780326038477127e-10,3.175102214789608e-10,2.262439169920854e-10,,
3,0.30000000000000004,6.03698,0.010061633333333334,5077620.0,-173245.0,2460510.0,-20335900.0,-5301240.0,44703600.0,Main Bearing_DW,1280.1771338527888,1241.1239404213622,16.06190828557407,91082827.53248677,335349888.5683795,89392704.15284824,173677834.9925972,1.1046685314797263e-10,3.00033895233626e-11,1.1255541969207504e-10,5.793274273462816e-11,,
4,0.4,6.08625,0.01014375,5057990.0,-202947.0,2444800.0,-21145900.0,-6382020.0,44645400.0,Main Bearing_UW,1381.1221631239437,1338.5595678487107,10.004032943767097,18586452.14789111,32924975.611243155,27988890.266234636,38103183.66205486,5.457604237369716e-10,3.0808678857566513e-10,3.6242058557917397e-10,2.6621791212952306e-10,,
4,0.4,6.08625,0.01014375,5057990.0,-202947.0,2444800.0,-21145900.0,-6382020.0,44645400.0,Main Bearing_DW,1300.4906224183776,1260.817455757091,15.302245711722877,77499089.92314799,263889750.31035885,76968492.12421083,143225637.27957663,1.3088863378988134e-10,3.843934820533957e-11,1.317909409428229e-10,7.08235633834143e-11,,
5,0.5,6.13157,0.010219283333333334,5036430.0,-208681.0,2438420.0,-22511900.0,-10290300.0,44461300.0,Main Bearing_UW,1443.6705919052347,1399.123934096508,8.973966344145415,13083606.880013064,20271026.831717517,19892419.633921556,24766675.379362136,7.810753890003098e-10,5.041324950220826e-10,5.13727516380506e-10,4.1262233128993073e-10,,
5,0.5,6.13157,0.010219283333333334,5036430.0,-208681.0,2438420.0,-22511900.0,-10290300.0,44461300.0,Main Bearing_DW,1347.7253362780618,1306.609445517491,13.712781388235683,53768906.78563775,153320263.23917302,55092824.351162136,92730493.93516976,1.9005934738593224e-10,6.665318150016278e-11,1.854920936381031e-10,1.1020412918837567e-10,,
6,0.6000000000000001,6.15963,0.01026605,5080340.0,-150861.0,2443050.0,-24193100.0,-16703300.0,44212500.0,Main Bearing_UW,1543.6621952872042,1495.689852532308,7.701340395354104,7858393.342696778,10117405.732195532,11777238.278039323,12821077.259302521,1.3063802678623597e-09,1.014691935041357e-09,8.716856836583504e-10,8.007166474682396e-10,,
6,0.6000000000000001,6.15963,0.01026605,5080340.0,-150861.0,2443050.0,-24193100.0,-16703300.0,44212500.0,Main Bearing_DW,1424.1491960380365,1380.6996574355046,11.580369890018652,30609352.06746486,67461207.1767379,32856227.875077847,47530078.07380365,3.353893273328036e-10,1.5217708709398782e-10,3.124537009857732e-10,2.1599059829144622e-10,,
7,0.7000000000000001,6.16718,0.010278633333333335,5114920.0,-23966.8,2445120.0,-25235800.0,-23813500.0,43970700.0,Main Bearing_UW,1643.991624791386,1592.6535231866596,6.7097097824679475,4963543.336116439,5466833.746259115,7148396.012267972,6883911.2764046285,2.0708257463055643e-09,1.8801803402868934e-09,1.4378936639343002e-09,1.4931385546127671e-09,,
7,0.7000000000000001,6.16718,0.010278633333333335,5114920.0,-23966.8,2445120.0,-25235800.0,-23813500.0,43970700.0,Main Bearing_DW,1503.8096649211834,1457.4337997294476,9.818843851663447,17659587.035939384,30886996.796697944,19722666.23749535,24743467.692978736,5.820426781450257e-10,3.327818952742016e-10,5.211584077710709e-10,4.154079557834177e-10,,
8,0.8,6.15759,0.01026265,5053820.0,117471.0,2452750.0,-24840000.0,-29324100.0,43792300.0,Main Bearing_UW,1705.7822306396513,1652.0469791440123,6.186693880275473,3787111.7761324705,3820188.908451878,5306053.370175284,4758738.793232048,2.709888328271254e-09,2.6864247412725234e-09,1.934139987676184e-09,2.1565903164501694e-09,,
8,0.8,6.15759,0.01026265,5053820.0,117471.0,2452750.0,-24840000.0,-29324100.0,43792300.0,Main Bearing_DW,1557.3237604922974,1509.2687621036157,8.865785954013496,12565222.160808621,19215514.28068499,14266101.044987628,16404805.329927374,8.167503820194738e-10,5.340814640759207e-10,7.193731467089086e-10,6.255880392117664e-10,,
9,0.9,6.14767,0.010246116666666666,4957690.0,247845.0,2477370.0,-23867700.0,-33548800.000000004,43708000.0,Main Bearing_UW,1744.7068569320056,1689.5503448566744,5.872182794901998,3182569.667304025,3039009.3564605243,4397899.061616007,3774481.968412373,3.2194477223639902e-09,3.3715317937027087e-09,2.3297753138749236e-09,2.7145756033314416e-09,,
9,0.9,6.14767,0.010246116666666666,4957690.0,247845.0,2477370.0,-23867700.0,-33548800.000000004,43708000.0,Main Bearing_DW,1597.4286006033772,1548.1310130045042,8.274274951912174,9981884.170987142,13993287.712620497,11352022.841077926,12297951.394449463,1.0264712043491277e-09,7.322165367489535e-10,9.025806950978395e-10,8.331563801180034e-10,,
10,1.0,6.13728,0.0102288,4927780.0,250595.0,2514590.0,-22871300.0,-37987100.0,43643500.0,Main Bearing_UW,1793.4815824005768,1736.7711560340656,5.52147248224856,2591964.6370453895,2324459.619130005,3510184.109018156,2861653.8136258065,3.946350136805851e-09,4.400506644993221e-09,2.9140351851405106e-09,3.5744365552868133e-09,,
10,1.0,6.13728,0.0102288,4927780.0,250595.0,2514590.0,-22871300.0,-37987100.0,43643500.0,Main Bearing_DW,1640.7186300133753,1590.078759004927,7.6801879860018145,7786677.70437685,9973663.787950737,8897120.63370652,9059522.935780203,1.3136282748996334e-09,1.0255809918474988e-09,1.1496753186922572e-09,1.1290660747269358e-09,,
11,1.1,6.12368,0.010206133333333334,4949890.0,146999.0,2541950.0,-22085700.0,-44192600.0,43571700.0,Main Bearing_UW,1869.8868596343434,1810.004291121154,5.041828501878257,1914577.4018427886,1570833.1575750797,2501144.8940856233,1892385.735732367,5.330749920849316e-09,6.497273936519589e-09,4.080584598464267e-09,5.393262663430237e-09,,
11,1.1,6.12368,0.010206133333333334,4949890.0,146999.0,2541950.0,-22085700.0,-44192600.0,43571700.0,Main Bearing_DW,1705.4550816034343,1652.5177230651516,6.886042793632138,5411841.759527622,6112351.534054118,6242113.791267495,5826776.925318803,1.8858890904127593e-09,1.669755621297512e-09,1.6350444215886242e-09,1.7515915683995268e-09,,
12,1.2000000000000002,6.11717,0.010195283333333333,5038580.0,-6885.5,2583130.0,-21162400.0,-47814400.0,43536400.0,Main Bearing_UW,1917.4671347460858,1856.0469454959361,4.7806670184343085,1603519.884409277,1251341.0198463171,2045702.3560956183,1482994.1476748828,6.358064800106416e-09,8.147485914419605e-09,4.983756949271849e-09,6.8747967409838e-09,,
12,1.2000000000000002,6.11717,0.010195283333333333,5038580.0,-6885.5,2583130.0,-21162400.0,-47814400.0,43536400.0,Main Bearing_DW,1739.972228995495,1685.679564669763,6.503550818659414,4473160.614017286,4743710.01709305,5193439.4617742365,4640473.04223438,2.279212443520351e-09,2.1492214525332665e-09,1.963108149883067e-09,2.197035354056129e-09,,
13,1.3,6.11849,0.010197483333333333,5044200.0,-116154.0,2615340.0,-19359500.0,-47951700.0,43545200.0,Main Bearing_UW,1914.375349831537,1853.0544563093192,4.7988546201246685,1623945.0986181386,1271837.0837706015,2073090.8053620975,1507224.93088527,6.2794507905536116e-09,8.0179163380745e-09,4.918975718264393e-09,6.765734247338804e-09,,
13,1.3,6.11849,0.010197483333333333,5044200.0,-116154.0,2615340.0,-19359500.0,-47951700.0,43545200.0,Main Bearing_DW,1731.6236677855252,1677.6431766389098,6.579442377595414,4649536.459298778,4993460.195127851,5408216.312456808,4878486.941217023,2.193225802744059e-09,2.042167742376935e-09,1.8855538950698683e-09,2.090296326751957e-09,,
14,1.4000000000000001,6.14779,0.010246316666666666,4969290.0,-107841.0,2610030.0,-17442600.0,-46080400.0,43605500.0,Main Bearing_UW,1881.5079953567547,1821.2488384647227,4.984372202855515,1842811.5105090572,1498156.2145388452,2385330.3854397065,1789702.7775250864,5.56015447496105e-09,6.8392845600688144e-09,4.295554498115314e-09,5.725149893791816e-09,,
14,1.4000000000000001,6.14779,0.010246316666666666,4969290.0,-107841.0,2610030.0,-17442600.0,-46080400.0,43605500.0,Main Bearing_DW,1700.160529513025,1647.373881098761,6.91226077159392,5480831.008397938,6228567.511720317,6375279.6006321795,5990826.99086175,1.8694823195546204e-09,1.6450518754731543e-09,1.607194869641581e-09,1.7103342630818965e-09,,
15,1.5,6.18314,0.010305233333333334,4948070.0,-87637.3,2612660.0,-15774100.0,-44487700.0,43552500.0,Main Bearing_UW,1856.081888119328,1796.828656449316,5.142373073796814,2044833.5807207995,1716545.6063940295,2673283.9310983694,2060152.2835357971,5.039644023109577e-09,6.003471911813445e-09,3.85489667350794e-09,5.002170672377031e-09,,
