idx,dmg_UW,dmg_DW
0,1.4039867111206293e-10,3.242101027205054e-11
1,1.6443552686287404e-10,4.332062207280479e-11
2,1.9851974363744693e-10,5.304621841273127e-11
3,2.262439169920854e-10,5.793274273462816e-11
4,2.6621791212952306e-10,7.08235633834143e-11
5,4.1262233128993073e-10,1.1020412918837567e-10
6,8.007166474682396e-10,2.1599059829144622e-10
7,1.4931385546127671e-09,4.154079557834177e-10
8,2.1565903164501694e-09,6.255880392117664e-10
9,2.7145756033314416e-09,8.331563801180034e-10
10,3.5744365552868133e-09,1.1290660747269358e-09
11,5.393262663430237e-09,1.7515915683995268e-09
12,6.8747967409838e-09,2.197035354056129e-09
13,6.765734247338804e-09,2.090296326751957e-09
14,5.725149893791816e-09,1.7103342630818965e-09
15,5.002170672377031e-09,1.4287383164738365e-09
16,4.467033260119444e-09,1.1932181665959591e-09
17,3.300078021408192e-09,8.054696986753218e-10
18,1.5977365611294679e-09,3.0700053885011664e-10
19,7.777063257127785e-10,1.1174050111361145e-10
20,5.843147664175975e-10,6.124881607529933e-11
21,6.621540134951863e-10,6.302499804146544e-11
22,7.393886067988272e-10,7.613418217908203e-11
23,6.375635406424218e-10,6.265811113792905e-11
24,6.047232179923798e-10,5.5291559363664604e-11
25,7.087032068827007e-10,5.957070090197208e-11
26,6.897491989368555e-10,5.026289578373123e-11
27,5.677156293578642e-10,4.1872477948850436e-11
28,4.166300034417512e-10,2.8946112228523694e-11
29,3.653507108511327e-10,2.0637644571531397e-11
30,2.9803601445032015e-10,1.2174850990067282e-11
31,1.8375179943047557e-10,4.230086954398508e-12
32,1.1739027600586732e-10,1.278127100682887e-12
33,1.1125168718365677e-10,8.255302512901348e-13
34,1.702898194145979e-10,2.2317587412877245e-12
35,2.1683703157665567e-10,3.5449838902982736e-12
36,2.403540832893062e-10,5.635592221351815e-12
37,3.394344765959869e-10,1.567091477392556e-11
38,5.955039289324842e-10,4.0505559942668706e-11
39,9.654772041238676e-10,8.289914594467337e-11
40,1.0862259955298143e-09,1.0560468450139795e-10
41,1.2036339719068085e-09,1.3933617069155086e-10
42,1.4365152673349847e-09,1.6989911737123145e-10
43,2.1720243728399835e-09,2.900205696959173e-10
44,2.6457755805164284e-09,3.548227234708309e-10
45,2.572265711402805e-09,3.425009938188957e-10
46,2.5865216833604803e-09,3.683146628918543e-10
47,3.1939010954203764e-09,4.989094670514478e-10
48,3.115502769720829e-09,4.190108100137554e-10
49,1.7522704421127852e-09,1.7349976443400222e-10
50,6.373106924423632e-10,4.254277959491223e-11
51,2.581451195328217e-10,1.2227616379469508e-11
52,1.883836902614649e-10,9.78676771854856e-12
53,1.608924771772698e-10,1.1862243016430575e-11
54,8.548565373159987e-11,7.286432088512777e-12
55,4.871984899004224e-11,4.163357242039476e-12
56,4.241374739224097e-11,3.4157644455507345e-12
57,5.39520011796203e-11,4.474030946635346e-12
58,4.8839037686347074e-11,8.90313297663546e-12
59,3.851910693033881e-11,1.783451304818079e-11
60,2.5989812536156307e-11,1.8357351522452526e-11
61,1.495008634032078e-11,6.140273987127652e-12
62,1.0489661790053325e-11,1.4189127655260523e-12
63,8.704584996178361e-12,3.9588903868297273e-13
64,9.443494492358644e-12,7.0306306777501e-14
65,2.934476132714753e-11,5.818041239542079e-16
66,1.2685976371733722e-10,7.661215705007012e-13
67,3.6877680032665316e-10,1.7667338591210916e-11
68,6.484796183508408e-10,6.532210220658014e-11
69,9.214574794382003e-10,1.1435093326576399e-10
70,1.25031103296888e-09,1.5780381840182602e-10
71,1.7199850598197097e-09,2.3040165327398822e-10
72,1.9267159637629446e-09,2.4739663105213783e-10
73,1.421298079382491e-09,1.2474592316810948e-10
74,7.749123878860845e-10,3.5625706717924536e-11
75,4.0909781612422014e-10,7.985784149574104e-12
76,2.73754315989872e-10,3.0176861778897483e-12
77,2.8597708546406065e-10,3.1724995751024127e-12
78,3.1863131085326674e-10,4.210044492402883e-12
79,3.783416565543041e-10,7.710484681557088e-12
80,3.2845751971236235e-10,6.091201110462814e-12
