index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.65213,0.011086883333333334,4842810.0,-374806.0,1999350.0,-14332600.0,-15035600.0,40867400.0,Main Bearing_UW,1489.659230292152,1443.6953910717602,9.119212629386155,13802905.208092103,22875368.472398404,18675852.13968551,23930742.332992986,8.032282455170038e-10,4.846646884272423e-10,5.936480568816513e-10,4.632904060835589e-10,,
0,0.0,6.65213,0.011086883333333334,4842810.0,-374806.0,1999350.0,-14332600.0,-15035600.0,40867400.0,Main Bearing_DW,1204.679809785013,1167.9186921196422,16.65706108041763,102827030.14292914,436949700.59006274,129973054.84201407,303081264.8949739,1.0782070937887259e-10,2.537336292566732e-11,8.530139840761421e-11,3.658056309477014e-11,,
1,0.1,6.66391,0.011106516666666667,4819750.0,-253245.0,1897510.0,-10448600.0,-13843800.0,40818000.0,Main Bearing_UW,1462.011850827734,1417.0240632146388,9.884108359659526,18053899.678976275,33373825.89251447,23059461.174054068,31391353.163403206,6.151865726605416e-10,3.3279123293915743e-10,4.816468426054744e-10,3.5380815248241386e-10,,
1,0.1,6.66391,0.011106516666666667,4819750.0,-253245.0,1897510.0,-10448600.0,-13843800.0,40818000.0,Main Bearing_DW,1100.0536509646784,1066.4840360239832,20.180550360983464,194934803.82280877,1209625937.549432,267960499.91765353,811028936.9417086,5.6975544894293136e-11,9.181777871899173e-12,4.144833537062287e-11,1.3694353136828865e-11,,
2,0.2,6.65702,0.011095033333333334,4879170.0,-110555.0,1827440.0,-3934930.0,-13827200.0,40767400.0,Main Bearing_UW,1456.8746087717982,1412.406908127113,10.33690233116581,20961100.224403083,41211730.54430581,24988394.033715613,34819937.55630467,5.29315408759718e-10,2.692202726455593e-10,4.4400745875718745e-10,3.1864024211394405e-10,,
2,0.2,6.65702,0.011095033333333334,4879170.0,-110555.0,1827440.0,-3934930.0,-13827200.0,40767400.0,Main Bearing_DW,989.5755051660637,959.509796241243,24.916040627672473,393588861.6191488,3904797630.018403,578978703.0595037,2366022433.161433,2.8189398672743184e-11,2.8413849793493764e-12,1.916311131083704e-11,4.689318739259951e-12,,
3,0.30000000000000004,6.64471,0.011074516666666666,4881780.0,22485.3,1811920.0,2187180.0,-13509400.0,40779700.0,Main Bearing_UW,1449.8826214140745,1405.651569436182,10.505808549846481,22124712.671880517,44456662.4103671,26222228.55739692,37011464.86096382,5.005496266056311e-10,2.4910814411664285e-10,4.223331606780119e-10,2.992185450716114e-10,,
3,0.30000000000000004,6.64471,0.011074516666666666,4881780.0,22485.3,1811920.0,2187180.0,-13509400.0,40779700.0,Main Bearing_DW,967.5983259503978,938.2609684249122,26.3270677284504,472919985.28342444,5353328093.551808,687360446.156142,3012658676.2404213,2.341731584895831e-11,2.0687162215979523e-12,1.6111658342573526e-11,3.6759944808904995e-12,,
4,0.4,6.63273,0.01105455,4875510.0,64087.2,1758210.0,6115070.0,-11604000.0,40765500.0,Main Bearing_UW,1424.9347152212697,1381.4661632038403,10.968463739025843,25542616.20599398,54539773.27724097,30491642.65695104,44899775.29043259,4.3278847831593204e-10,2.0268786127523158e-10,3.6254360332010335e-10,2.462050183657722e-10,,
4,0.4,6.63273,0.01105455,4875510.0,64087.2,1758210.0,6115070.0,-11604000.0,40765500.0,Main Bearing_DW,956.2839198605124,927.3585478995769,27.304798781249353,534042679.74359924,6610130848.350074,776613827.0819304,3585260796.4045544,2.069975007485812e-11,1.6723647766759833e-12,1.4234294593410294e-11,3.0833321835571774e-12,,
5,0.5,6.60826,0.011013766666666668,4934440.0,40433.5,1730560.0,6765070.0,-10641500.0,40720100.0,Main Bearing_UW,1414.2056824543022,1371.0653018570847,11.192752523959298,27325557.835339695,59956123.46306821,32557060.838075764,48769999.14537671,4.030573404222601e-10,1.8369711099569221e-10,3.3829118425168075e-10,2.258307742396331e-10,,
5,0.5,6.60826,0.011013766666666668,4934440.0,40433.5,1730560.0,6765070.0,-10641500.0,40720100.0,Main Bearing_DW,941.9490626582285,913.4576574471407,28.37929396495723,607367180.1653408,8266130809.140568,876794080.5804113,4253703179.3954983,1.813362168115248e-11,1.3323968518000953e-12,1.2561406276118886e-11,2.5892184297240633e-12,,
6,0.6000000000000001,6.5637,0.0109395,5022720.0,-55665.700000000004,1699870.0,5808790.0,-12747600.0,40668200.0,Main Bearing_UW,1455.9114736496863,1411.4966315489635,10.454507222058355,21766633.00751178,43106462.50124537,25472141.925376397,35431898.501200795,5.025811753349598e-10,2.537786532514458e-10,4.294691837085604e-10,3.087472154400436e-10,,
6,0.6000000000000001,6.5637,0.0109395,5022720.0,-55665.700000000004,1699870.0,5808790.0,-12747600.0,40668200.0,Main Bearing_DW,976.9028776509747,947.2901549654127,25.512644863123437,425890197.3173429,4406387614.105195,611145046.0647885,2520923168.3850107,2.568619815367262e-11,2.4826458673271948e-12,1.7900006014022874e-11,4.3394817173298524e-12,,
7,0.7000000000000001,6.52163,0.010869383333333335,5117190.0,-99387.7,1669490.0,3760240.0,-15351900.0,40702200.0,Main Bearing_UW,1503.8873307381584,1457.6647171885618,9.663899003160324,16747653.74964231,29640278.72994027,19276086.031905465,24729830.76909422,6.490093177120693e-10,3.667098893491154e-10,5.638791669295576e-10,4.395251805328649e-10,,
7,0.7000000000000001,6.52163,0.010869383333333335,5117190.0,-99387.7,1669490.0,3760240.0,-15351900.0,40702200.0,Main Bearing_DW,1021.6389248472409,990.4549860760366,22.54589956813958,270218195.484576,2027228923.0484905,400633327.9573329,1383214668.9425256,4.02244686514967e-11,5.361695075358464e-12,2.7130502069690303e-11,7.85805961821026e-12,,
8,0.8,6.49466,0.010824433333333335,5118880.0,-178288.0,1670460.0,1511080.0,-15814300.0,40756800.0,Main Bearing_UW,1509.616995489381,1463.181183939783,9.577676522100784,16254735.806915669,28353585.654062513,18659323.48860027,23677085.715562098,6.659249010204163e-10,3.8176594189533856e-10,5.801085628825941e-10,4.57169157698273e-10,,
8,0.8,6.49466,0.010824433333333335,5118880.0,-178288.0,1670460.0,1511080.0,-15814300.0,40756800.0,Main Bearing_DW,1023.2203398689479,991.9872577144599,22.466253477219663,261137319.5185373,1907828791.3866718,392203010.6946242,1338206850.6700177,4.1451116038452493e-11,5.6736922003707606e-12,2.7599057218256337e-11,8.08875946787578e-12,,
9,0.9,6.48856,0.010814266666666668,5014830.0,-288969.0,1621700.0,-165801.0,-12948900.0,40838700.0,Main Bearing_UW,1454.795700573038,1410.416466760458,10.554337821007039,22467219.828733865,44774683.98992384,25903948.229634825,35991886.90350898,4.813353298317775e-10,2.415263649677645e-10,4.174756130146543e-10,3.004640100047754e-10,,
9,0.9,6.48856,0.010814266666666668,5014830.0,-288969.0,1621700.0,-165801.0,-12948900.0,40838700.0,Main Bearing_DW,947.8906041972913,919.194242746011,28.002364806042547,474125190.6322293,5240678471.289844,739519036.573193,3267215366.272246,2.280888440507922e-11,2.0635241650314494e-12,1.462337834706482e-11,3.309933828759286e-12,,
10,1.0,6.51328,0.010855466666666667,4888000.0,-279274.0,1589620.0,-3139690.0,-10377500.0,40898200.0,Main Bearing_UW,1404.3986325267992,1361.5603789908002,11.558998353002679,30421458.93905898,69350878.1732499,35332334.17255771,53804108.945205934,3.568358338241636e-10,1.5652962085855533e-10,3.072388768217302e-10,2.0175906412132699e-10,,
10,1.0,6.51328,0.010855466666666667,4888000.0,-279274.0,1589620.0,-3139690.0,-10377500.0,40898200.0,Main Bearing_DW,888.4431615110037,861.5628344934748,33.84140796020068,830061193.5392582,14275481060.34435,1293152372.2791903,7345721109.127987,1.3077911304804604e-11,7.604273803999438e-13,8.394576617087923e-12,1.477794556231842e-12,,
11,1.1,6.53581,0.010893016666666666,4890260.0,-303414.0,1637540.0,-6671900.0,-9254060.0,40846400.0,Main Bearing_UW,1394.3970580003033,1351.8633454822516,11.696126187555505,31641192.94188463,73581452.02420676,37254608.305883706,57724308.94995794,3.44266939829793e-10,1.4804025154441219e-10,2.923938047402932e-10,1.8870761495144074e-10,,
11,1.1,6.53581,0.010893016666666666,4890260.0,-303414.0,1637540.0,-6671900.0,-9254060.0,40846400.0,Main Bearing_DW,904.686900754318,877.3224424511446,31.517283754325852,836771332.38323,14548105711.41423,1182614496.4292307,6486755884.573219,1.3017913311683356e-11,7.487584213881651e-13,9.210961559795593e-12,1.6792703256449656e-12,,
