index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,5.962938299999999,0.9938230499999999,4900944.4390446115,-196828.58555346957,2080082.0284755004,18220866.92326444,-8378315.728900103,44588004.0,Main Bearing_UW,1364.2878551454924,1322.5934174639974,10.470238545958642,21876001.937793758,40911783.787589006,33659148.73598773,47814102.342870854,4.542983004051741e-08,2.429185329976949e-08,2.9526089854358764e-08,2.0785144994951062e-08,,
0,0.0,5.962938299999999,0.9938230499999999,4900944.4390446115,-196828.58555346957,2080082.0284755004,18220866.92326444,-8378315.728900103,44588004.0,Main Bearing_DW,1241.852669365439,1203.9672901401436,16.9670567828517,109345540.58655845,439789197.3365979,113298195.68036704,235833812.04986948,9.088830186113396e-09,2.259771399612996e-09,8.77174648750576e-09,4.2140821172404485e-09,,
1,10.0,5.9392765,0.9898794166666667,4930200.435599366,-99856.33001172314,2135721.293442034,22748340.204596166,-19797878.375755534,44764654.0,Main Bearing_UW,1577.229868452339,1527.9868074112246,7.545450663731428,7340573.266658724,9054229.16884805,10520036.215373326,10950397.518836554,1.348504238984647e-07,1.093278509088816e-07,9.409467766091133e-08,9.039666504927379e-08,,
1,10.0,5.9392765,0.9898794166666667,4930200.435599366,-99856.33001172314,2135721.293442034,22748340.204596166,-19797878.375755534,44764654.0,Main Bearing_DW,1417.8072954577576,1374.5471712494966,11.313529152468984,28320855.36016257,58924514.87435761,32666657.831517816,46197621.99349238,3.4952313554027646e-08,1.679911016284728e-08,3.030243931816006e-08,2.1427064293614635e-08,,
2,20.0,6.030698,1.0051163333333333,5026208.2153562475,-183419.15980799196,2193424.131935666,11162338.434863796,4286205.239148753,44203409.00000001,Main Bearing_UW,1127.491071891026,1093.4755545051735,18.71670476680639,76786673.61484975,258400048.79852346,141954958.17524335,316361112.2853227,1.3089723594159628e-08,3.889768357269276e-09,7.080529952976475e-09,3.1771172065763553e-09,,
2,20.0,6.030698,1.0051163333333333,5026208.2153562475,-183419.15980799196,2193424.131935666,11162338.434863796,4286205.239148753,44203409.00000001,Main Bearing_DW,1071.5276989563831,1039.1656117988648,26.951940782189453,511382871.6665011,5519234676.368598,452569065.2243992,1573867421.594358,1.965486896457535e-09,1.8211154123177338e-10,2.22091258675615e-09,6.386283365057084e-10,,
3,30.0,6.157659499999999,1.0262765833333334,5110392.401882315,-203704.37723051847,2281381.898107056,-22374520.731332827,12351803.873015178,43393763.0,Main Bearing_UW,1277.832382101297,1238.8225351459841,13.883416617183771,24127547.48529605,47964578.37287875,46028395.019743495,72600384.73154572,4.253547046001144e-08,2.139655175023147e-08,2.2296597195994356e-08,1.4135966181559424e-08,,
3,30.0,6.157659499999999,1.0262765833333334,5110392.401882315,-203704.37723051847,2281381.898107056,-22374520.731332827,12351803.873015178,43393763.0,Main Bearing_DW,1394.223999568857,1351.696486498221,12.801660813472022,42756329.86026945,109646846.26702072,41777391.23140366,64915622.27115207,2.4002915748083944e-08,9.359836769350055e-09,2.4565358273541297e-08,1.580939298473615e-08,,
4,40.0,6.560778299999999,1.09346305,5119975.034098141,-299516.39980042644,2183589.772578028,-32513262.695862804,20195194.451156415,41073922.99999999,Main Bearing_UW,1431.1177078052742,1386.446171991016,9.933011682897384,10076598.911503887,14686924.17494849,18129462.653317183,22705349.589031085,1.0851509121313291e-07,7.445146696305014e-08,6.031414559327421e-08,4.8158829077366424e-08,,
4,40.0,6.560778299999999,1.09346305,5119975.034098141,-299516.39980042644,2183589.772578028,-32513262.695862804,20195194.451156415,41073922.99999999,Main Bearing_DW,1614.1609895678325,1564.3472104694251,8.598059275528328,11344381.280421132,17290039.987379193,11228928.744766986,12541978.130892381,9.638807291210931e-08,6.324236674976864e-08,9.73791066676406e-08,8.718425742639996e-08,,
