t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,6.1843,43413.3,3340.24,-22980.4,1711.0,-81.1568,-4799.97
0.1,6.16603,43278.9,1890.94,-20238.9,1685.81,-127.756,-4785.9
0.2,6.12954,43219.5,-2201.79,-19426.2,1681.9,-158.094,-4865.71
0.3,6.11463,43387.6,-5954.6,-20166.8,1733.36,-172.955,-4979.84
0.4,6.13141,43561.8,-7070.0,-19862.3,1765.23,-141.947,-4954.06
0.5,6.15206,43585.8,-6138.83,-18483.3,1795.47,-186.493,-4834.73
0.6,6.17364,43530.6,-5431.8,-16432.4,1854.87,-233.474,-4809.99
0.7,6.18836,43396.1,-5088.21,-14013.4,1942.61,-147.249,-4900.75
0.8,6.18824,43260.0,-2528.76,-12599.3,1997.06,-28.1495,-4904.46
0.9,6.19324,43238.0,1049.07,-11820.9,2028.64,26.2262,-4769.88
1.0,6.20696,43224.6,5323.4,-9399.48,2015.21,55.4408,-4767.17
1.1,6.21011,43120.2,6346.5,-5350.14,1983.62,-15.9668,-4859.17
1.2,6.19832,43032.1,5527.35,-1442.0,1955.11,-185.987,-4970.96
1.3,6.19156,43000.3,5233.46,929.215,1926.86,-324.004,-5012.74
1.4,6.17898,43009.1,4703.81,724.068,1928.54,-327.215,-4959.79
1.5,6.18325,43112.3,-284.051,-1671.77,1958.52,-227.959,-4877.36
1.6,6.19985,43183.8,-6875.25,-2969.84,2049.23,-66.3767,-4974.74
1.7,6.2071,43131.8,-13964.0,-3035.03,2176.63,-15.1375,-5018.79
1.8,6.20092,43053.1,-18664.9,-2249.98,2215.13,-8.15438,-4957.18
1.9,6.18418,43005.0,-18930.4,-2926.21,2250.0,-27.5741,-4976.61
2.0,6.18618,43110.8,-18256.9,-5136.9,2265.23,76.7715,-5026.63
2.1,6.22503,43229.0,-18963.6,-6900.58,2295.98,173.418,-5020.56
2.2,6.26876,43138.1,-20857.8,-5964.33,2305.29,112.339,-5052.42
2.3,6.28813,42879.0,-21500.3,-2980.85,2285.73,-83.2475,-5141.29
2.4,6.29435,42669.1,-19425.4,434.099,2272.83,-220.837,-5139.66
2.5,6.29337,42568.4,-17079.2,1173.76,2228.16,-231.93,-4969.96
2.6,6.31228,42639.8,-16926.8,-320.334,2212.8,-59.7878,-4870.74
2.7,6.34079,42608.6,-17244.2,-2391.19,2211.23,77.1687,-4994.23
2.8,6.34194,42426.9,-15306.1,-3520.23,2133.9,133.132,-5068.77
2.9,6.3199,42270.6,-9079.9,-2987.44,2047.15,138.777,-4995.93
3.0,6.27367,42144.4,-3911.6,-2004.67,1950.15,109.951,-4881.05
3.1,6.24,42315.6,-5012.16,-2009.83,1902.83,102.922,-4908.47
3.2,6.24478,42560.2,-9838.18,-3162.24,1898.77,92.6719,-5040.31
3.3,6.26826,42696.1,-13302.5,-3958.53,1985.23,114.771,-5046.08
3.4,6.29842,42665.6,-12706.7,-4136.96,2052.79,54.6622,-4893.85
3.5,6.31071,42500.5,-11157.6,-2892.68,2073.36,-32.4964,-4815.0
3.6,6.30966,42381.7,-11137.8,-1454.73,2093.45,-82.3611,-4925.41
3.7,6.32155,42400.5,-10022.1,-1051.04,2046.83,-36.9038,-5062.1
3.8,6.35356,42456.1,-5051.92,-1502.9,1988.65,73.4896,-5015.43
3.9,6.38919,42389.7,393.045,-1252.93,1949.56,192.712,-4815.77
4.0,6.42151,42220.5,-646.125,1371.46,2025.02,227.081,-4722.07
4.1,6.41773,41884.7,-6910.69,5643.65,2079.25,75.5144,-4871.55
4.2,6.37004,41671.9,-12242.9,9263.46,2114.86,-121.626,-5016.26
4.3,6.32787,41723.5,-14288.6,9267.65,2112.84,-241.213,-4903.32
4.4,6.31258,41973.6,-14877.5,5682.29,2068.99,-201.025,-4811.24
4.5,6.33022,42201.8,-16942.6,1176.62,2039.57,-70.5315,-5028.19
4.6,6.35096,42195.4,-20544.9,-1138.03,2060.14,23.7785,-5248.6
4.7,6.34778,42022.8,-20504.9,-32.5784,2075.34,54.2835,-5258.91
4.8,6.31884,41877.9,-18314.7,1957.02,2140.88,5.249,-5093.2
4.9,6.2995,41961.1,-16349.9,2124.46,2200.83,-0.7005,-5000.65
5.0,6.31476,42146.3,-14790.1,-1754.83,2242.37,8.424,-4999.19
