idx,dmg_UW,dmg_DW
0,2.7795559536345025e-10,5.182478468353367e-10
1,2.1027863251468063e-10,4.227296361413802e-10
2,1.1165996612189004e-10,2.518818647744814e-10
3,4.937131534486593e-11,1.2714544660482143e-10
4,2.332563553893721e-11,4.857163313186517e-11
5,1.7587954595416336e-11,2.4292264484662714e-11
6,1.6061642755237146e-11,1.282812881268669e-11
7,1.293591039100238e-11,4.062746618622741e-12
8,1.0220722801924904e-11,3.8445900501581966e-13
9,2.379582922563169e-11,9.189849955326338e-16
10,4.543963283718862e-11,6.99745843041183e-15
11,5.4947975375903843e-11,1.1377240005212008e-14
12,6.825720704005965e-11,2.0646162362389263e-14
13,1.2572182955767614e-10,3.3202805783076274e-13
14,2.841992446160918e-10,4.7443680874013195e-12
15,4.6172449405423994e-10,1.347667673729606e-11
16,5.911630284786879e-10,2.1914282739039725e-11
17,6.23463478484824e-10,2.513977424910742e-11
18,8.057302169894933e-10,4.247264012807689e-11
19,1.1406760811138894e-09,7.82302907312418e-11
20,1.3092294076407993e-09,1.0196246761477813e-10
21,1.260067334136899e-09,1.1863702295669046e-10
22,1.2731081521634468e-09,1.4823280919606807e-10
23,1.5175285415948958e-09,2.0496474833314912e-10
24,1.5036531925294972e-09,1.9256863028248e-10
25,1.1200358163748125e-09,1.2269003108516695e-10
26,6.598297226546228e-10,4.700124700537097e-11
27,5.31539271705909e-10,2.721480143416422e-11
28,5.12549454617468e-10,2.3019785073788702e-11
29,3.8811192464651177e-10,1.9491090271128567e-11
30,2.0227737782768315e-10,1.6025671682249025e-11
31,1.0462006530777692e-10,1.4218559419466273e-11
32,8.599728013296442e-11,2.073778484724955e-11
33,1.0281843822016166e-10,4.7493727782903685e-11
34,1.4621021800137114e-10,1.2409200613413816e-10
35,1.9174335259981043e-10,2.222503516061079e-10
36,1.681855068408724e-10,2.1324012271063723e-10
37,9.333964001786646e-11,1.1548018240076487e-10
38,3.9284761124859153e-11,4.3837628807403184e-11
39,1.9508922369514172e-11,2.2157970591018756e-11
