k,dt_s,eps_UW_pct,eps_DW_pct,eps_Sys_pct
0.0,20,-58.175033425959775,-54.28677809982098,-56.45677460036096
0.05,20,-54.29087052908488,-50.47403197456421,-52.604684307327844
0.1,20,-50.06138731647318,-46.3571826929154,-48.42545479056529
0.15,20,-45.462929167394236,-41.91213447711232,-43.89521381319227
0.2,20,-40.47678026020518,-37.113265826590066,-38.992172289457194
0.25,20,-35.07634850776352,-31.933307961952927,-33.68942785752055
0.3,20,-29.233828762888248,-26.343255980614554,-27.95863689045629
0.35,20,-22.9202136985591,-20.312535454142356,-21.770094403694618
0.4,20,-16.105302187174473,-13.808873165996005,-15.092681667215901
0.45,20,-8.757706209273664,-6.798335341176709,-7.89388694560158
0.5,20,-0.8448582296070484,0.7546654759224669,-0.13981253654486991
0.55,20,7.666979125854323,8.887360845980407,8.204815795877796
0.6,20,16.812700417237814,17.638614876939695,17.176636914137198
0.65,20,26.62834261170488,27.048911223533857,26.81364062150804
0.7,20,37.15106989112555,37.16033905248981,37.155153320167145
0.75,20,48.41915949395419,48.01657828378269,48.24182394671739
0.8,20,60.471989125351875,59.66288434495175,60.11561057758623
0.85,20,73.35002569740992,72.1460726201793,72.81976764175778
0.9,20,87.09481487991566,85.51450273388916,86.3988335035346
0.95,20,101.74897102191464,99.8180627765525,100.8986182099183
1.0,20,117.35616719495172,115.10815355573531,116.36619129457988
1.05,20,133.9611252639759,131.43767293631953,132.8498696103813
1.1,20,151.60960597811354,148.86100031896262,150.39920520558638
1.15,20,170.3483991079777,167.43398129422098,169.0649732743168
1.2,20,190.22531366294677,187.21391250060506,188.89916021256056
1.25,20,211.28916821735274,208.25952670761652,209.9549518061167
1.3,20,233.5897813671607,230.630978139089,232.28672157076625
1.35,20,257.1779623318738,254.38982804762819,255.95001925951172
1.4,20,282.105501711047,279.5990305473246,281.0015595473608
1.45,20,308.4251624008952,306.3229187090673,307.49921090080613
1.5,20,336.19067067374965,334.62719092048684,335.5019846366293
1.55,20,365.45670742123696,364.57889751076846,365.07002417276874
1.6,20,396.2788995607465,396.24642763913727,396.26459447252813
1.65,20,428.7138116038535,429.6994964446939,429.1480716822755
1.7,20,462.8189373847424,465.0091324544107,463.7839329618977
1.75,20,498.652691946217,502.24766524540246,500.23674650656045
1.8,20,536.2744035805891,541.4887133570824,538.5721617577667
1.85,20,575.7443060225138,582.8071724484124,578.856899801252
1.9,20,617.1235307906844,626.2792036951884,621.1587439488928
1.95,20,660.4740996752192,671.9822224220843,665.5465305015271
2.0,20,705.8589173674906,719.9948869640685,712.0901396893493
2.05,20,753.3417642291419,770.3970877517279,760.860486786403
2.1,20,802.9872891970178,823.2699366150068,811.9295133955395
2.15,20,854.8610028207453,878.6957562998723,865.3701789001454
2.2,20,909.0292704297449,936.7580701924784,921.2564520788906
2.25,20,965.5593054264816,997.5415922454335,979.6633028797168
2.3,20,1024.5191627028041,1061.1322171008783,1040.6666943492762
2.35,20,1085.977732176304,1127.617010405169,1104.3435747140732
2.4,20,1150.0047324436525,1197.0841993100566,1170.7718696095544
2.45,20,1216.6707045479739,1269.6231631553949,1240.0304744534826
2.5,20,1286.0470058573408,1345.324424328477,1312.199246959937
2.55,20,1358.2058040515997,1424.2796392952955,1387.3589997903937
2.6,20,1433.220071214746,1506.5815897990674,1465.5914933383667
2.65,20,1511.1635780301906,1592.3241742215598,1546.9794286441968
2.7,20,1592.1108880763036,1681.6023991028387,1631.60644043664
2.75,20,1676.1373522197005,1774.512370815207,1719.5570902979878
2.8,20,1763.3191031038052,1871.1512873872164,1810.9168599495451
2.85,20,1853.733049730304,1971.6174304737542,1905.7721446543533
2.9,20,1947.456872131151,2076.010157468365,2004.2102467341697
2.95,20,2044.5690161288856,2184.4298937540243,2106.319369197751
3.0,20,2145.148688183055,2296.9781250887536,2212.1886094776128
0.0,10,-51.4921402643576,-49.82948159965533,-50.758811829170014
0.05,10,-47.54075147905361,-45.87208266018858,-46.80483369748051
0.1,10,-43.28455930147888,-41.62478121213928,-42.552625714759074
0.15,10,-38.71112860031837,-37.06764565273767,-37.98644129123768
0.2,10,-33.79351741937566,-32.17959720290645,-33.08192485314476
0.25,10,-28.515944474019395,-26.93835736391117,-27.820426387446197
0.3,10,-22.862012322561508,-21.3205969288644,-22.18248999567588
0.35,10,-16.810261505604096,-15.301790680489969,-16.14530477765712
0.4,10,-10.33841804609118,-8.856230631118645,-9.685083424299313
0.45,10,-3.423407470662243,-1.9570834672150483,-2.7770952874669352
0.5,10,3.9586359219226708,5.423654996667593,4.604348655789714
0.55,10,11.832361789677549,13.315140888895494,12.485883531534725
0.6,10,20.223197387036194,21.747675756550233,20.895084292299426
0.65,10,29.15734136677457,30.75269887785874,29.8604590270527
0.7,10,38.66175735459561,40.36277872135532,39.41144177225677
0.75,10,48.7641672134044,50.611603788867356,49.578384878054436
0.8,10,59.49304407558744,61.53397302376376,60.392551049806386
0.85,10,70.877605266111,73.16578592380041,71.88610519212224
0.9,10,82.9478052239206,85.54403246597421,84.09210616049188
0.95,10,95.73432849483756,98.70678292647344,97.04449849630068
1.0,10,109.26858283667701,112.69317766016296,110.77810419516139
1.05,10,123.5826924538995,127.54341688962954,125.32861453951712
1.1,10,138.70949136511433,143.29875054262158,140.7325820141199
1.15,10,154.68251689983578,160.0014681679525,157.0274123156001
1.2,10,171.5360033184298,177.69488895304977,174.2513564632118
1.25,10,189.30487554905517,196.42335186088707,192.4435030155861
1.3,10,208.02474303627793,216.23220589971814,211.64377039707367
1.35,10,227.7318936971475,237.1678005355837,231.89289933648055
1.4,10,248.4632879815384,259.27747625482243,253.23244542043204
1.45,10,270.25655303433894,282.60955528161224,275.7047717631034
1.5,10,293.14997695761645,307.2133324538091,299.35304179359736
1.55,10,317.1825031712335,333.1390662589379,324.2212121618037
1.6,10,342.3937248705722,360.4379700310652,350.35402576315596
1.65,10,368.8238795801145,389.1622033083686,377.79700488229906
1.7,10,396.5138438016301,419.3648633505093,406.59644445532643
1.75,10,425.5051277556954,451.09997681433873,436.79940544991405
1.8,10,455.8398702152134,484.4224915860159,468.4537083623893
1.85,10,487.5608334295347,519.3882687672706,501.60792683052773
1.9,10,520.7113981377255,556.0540748132653,536.3113813606516
1.95,10,555.3355586694538,594.4775738193158,572.6141331674232
2.0,10,591.4779181319313,634.7173199535682,610.5669781245833
2.05,10,629.2150148689293,676.8327500326326,650.2389072402364
2.1,10,668.767589184099,720.8841762370945,691.7796681300528
2.15,10,709.9899203906227,766.9327789637931,735.1351030328937
2.2,10,752.9293946912051,815.040599811724,780.35910447838
2.25,10,797.6339880073832,865.2705346984419,827.5062730757375
2.3,10,844.1522616223713,917.6863271038438,876.6319120754066
2.35,10,892.5333578986958,972.3525614382456,927.7920220271667
2.4,10,942.8269960689458,1029.3346565317097,981.0432955326346
2.45,10,995.0834680979929,1088.698859241629,1036.4431120900083
2.5,10,1049.3536346150279,1150.5122381756105,1094.0495330289282
2.55,10,1105.6889209138267,1214.8426775267974,1153.9212965333827
2.6,10,1164.141313019646,1281.758871018783,1216.1178127505661
2.65,10,1224.7633538212049,1351.330315957372,1280.6991589836734
2.7,10,1287.6081392662438,1423.6273073865068,1347.7260749666368
2.75,10,1352.729314619151,1498.7209323457114,1417.2599582188188
2.8,10,1420.1810707792272,1576.683064226533,1489.36285947778
2.85,10,1490.0181406581519,1657.5863572254616,1564.0974782082094
2.9,10,1562.2957956152738,1741.504240890932,1641.527158185209
2.95,10,1637.069841949382,1828.5109147620528,1721.7158831501347
3.0,10,1714.3966174456195,1918.6813430967707,1804.7282725372395
0.0,4,-42.050349934302474,-40.61487988396904,-41.417429209825194
0.05,4,-38.22319968758649,-36.8067524793927,-37.5987057336
0.1,4,-34.14608414717524,-32.75374776470999,-33.532257866555845
0.15,4,-29.80189255797364,-28.44097116863037,-29.201952024111645
0.2,4,-25.173581938938703,-23.852614445577103,-24.591289098380376
0.25,4,-20.253389926519915,-18.97042680552472,-19.687880166046533
0.3,4,-15.027130680863966,-13.775509700579436,-14.475461848115378
0.35,4,-9.479135939242022,-8.252145155852409,-8.938345108735756
0.4,4,-3.5895682804825912,-2.3814566687164307,-3.057117182576019
0.45,4,2.65898085057219,3.856280478720042,3.186650955148651
0.5,4,9.278834338086872,10.481355125590962,9.808793423616136
0.55,4,16.287501325245767,17.51486952917243,16.828402423048484
0.6,4,23.702982881204427,24.978663078198405,24.265170359880983
0.65,4,31.543767630967558,32.895295048173345,32.13937990985332
0.7,4,39.82882754027772,41.28805234262347,40.47190518370938
0.75,4,48.57761377970486,50.18094020043926,49.284205426278625
0.8,4,57.810052625194785,59.59867662607714,58.59832037430246
0.85,4,67.54654137512426,69.56668665220872,68.43686554520573
0.9,4,77.80794427909574,80.11109648566396,78.82302747538914
0.95,4,88.61558848305143,91.25872757811196,89.78055892797485
1.0,4,99.99126000008161,103.03709065518464,101.33377408946944
1.05,4,111.95719971775237,115.47437973138601,113.50754377305053
1.1,4,124.53609945210941,128.59946613292448,126.32729064372113
1.15,4,137.75109805673327,142.4418925463203,139.8189844778699
1.2,4,151.62577759304958,157.03186710713868,154.0091374671622
1.25,4,166.18415956594524,172.40025754031493,168.92479957433176
1.3,4,181.45070122681057,188.57858536117442,184.5935539464111
1.35,4,197.4502919445297,205.59902014430352,201.04351238925696
1.4,4,214.2082496437079,223.49437386582315,218.30331090587478
1.45,4,231.75031730858558,242.29809532330458,236.40210530002946
1.5,4,250.1026595506005,262.0442646364716,255.36956684588512
1.55,4,269.2918592373759,282.7675878309454,275.23587802392666
1.6,4,289.3449141809476,304.50339150654565,296.03172832309457
1.65,4,310.2892338832013,327.2876175910581,317.7883101088746
1.7,4,332.15263633671805,351.1568181798751,340.5373145569636
1.75,4,354.96334487944176,376.14815046151205,364.31092765204596
1.8,4,378.74998510178284,402.2993717286627,389.1418262511537
1.85,4,403.5415818049185,429.6488344741865,415.0631742110096
1.9,4,429.36755600916314,458.2354815711996,442.1086185786873
1.95,4,456.27217344399156,488.0988415362614,470.32034569748663
2.0,4,484.3527181675986,519.27902387451,499.7703605595997
2.05,4,513.577879103686,551.8167145054863,530.4592032385567
2.1,4,543.9645295851917,585.7531712682973,562.4145493725289
2.15,4,575.5441562777502,621.1302195047086,595.6724767749146
2.2,4,608.3474834478893,657.9902477187076,630.268888588056
2.25,4,642.4549888936425,696.3762033110355,666.2676622013271
2.3,4,677.8545271951673,736.3315883871858,703.6812988103769
2.35,4,714.5791459120712,777.9004556373287,742.5477352858937
2.4,4,752.6622629468759,821.127404286645,782.9053577237506
2.45,4,792.1376640337214,866.0575761145399,824.7929982688396
2.5,4,833.0395002664492,912.7366515412202,868.2499319907438
