idx,dmg_UW,dmg_DW
0,2.281944902591372e-10,3.286000782602707e-11
1,2.965110597270664e-10,8.05777884997174e-11
2,3.2424987510033417e-10,1.1894191982776624e-10
3,3.140103068631719e-10,1.2832201752544366e-10
4,3.078227294195584e-10,1.207385508494121e-10
5,3.2476319804578804e-10,1.1801334432986531e-10
6,3.657782686721937e-10,1.209095979422768e-10
7,3.595193648524622e-10,1.0664066534330477e-10
8,3.010902754511339e-10,7.431831611353653e-11
9,2.612843243751053e-10,6.389625501764504e-11
10,2.9263926246956705e-10,8.208664266779613e-11
11,4.474446147981576e-10,1.4880131629503845e-10
12,7.228818263472108e-10,2.8767222171044285e-10
13,9.044967252048845e-10,4.0284690257332653e-10
14,8.632878497915878e-10,3.874838853397623e-10
15,7.447837784615764e-10,2.9217638217251127e-10
16,7.210897010028527e-10,2.2546129997181322e-10
17,8.162954199072997e-10,2.332445734712205e-10
18,8.660859095073073e-10,2.547557784305535e-10
19,8.909540389807453e-10,2.6026522986486094e-10
20,9.800166681518053e-10,2.676584298586188e-10
21,1.1464653685670046e-09,2.877202913051571e-10
22,1.129801028694704e-09,2.488260163872659e-10
23,8.548063356023979e-10,1.5962842209567282e-10
24,6.080587977822938e-10,9.952963707905896e-11
25,5.425659551122061e-10,8.642912161837672e-11
26,5.51777869622204e-10,8.698252748081918e-11
27,5.594275441285151e-10,8.276874314941289e-11
28,4.644778205718977e-10,5.691221477805815e-11
29,4.018144797474781e-10,3.8596489785501286e-11
30,3.629750439661034e-10,2.8900685348951356e-11
31,3.7651271020098943e-10,3.058311803230118e-11
32,3.7039132323432126e-10,3.285688352834363e-11
33,3.354945718065214e-10,3.212380532218883e-11
34,2.8768965741504254e-10,3.066103787942912e-11
35,2.3817394427801025e-10,2.6839683263296932e-11
36,2.0843553572274145e-10,2.101178891534066e-11
37,2.2355111463455052e-10,2.130428392473878e-11
38,2.883672260950942e-10,3.235000163445288e-11
39,4.0505571460828943e-10,6.134118790669526e-11
40,5.958927786647377e-10,1.227494968094215e-10
41,8.092480544138189e-10,2.086783338925473e-10
42,1.0393988640469417e-09,3.1052265629980516e-10
43,1.195299471563323e-09,3.975016898563937e-10
44,1.2841728385679723e-09,4.6553569488197925e-10
45,1.4041193465377755e-09,5.384982332311527e-10
46,1.5014462034810925e-09,5.955614661892e-10
47,1.4535552186151273e-09,5.610937647495035e-10
48,1.2500099490998737e-09,4.437799853190538e-10
49,1.2135729343861568e-09,3.8584636372553854e-10
50,1.3582174849300165e-09,4.0332773158830833e-10
51,1.5954469766383592e-09,4.751857276964859e-10
52,1.6349058784175887e-09,4.831624968744242e-10
53,1.585092184062484e-09,4.4694451305450497e-10
