t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,5.95722,35764.9,225.988,17626.4,4017.76,167.066,-5285.27
0.1,5.93378,35545.8,3088.03,21493.2,4034.47,36.6121,-5150.63
0.2,5.92795,35316.6,5863.52,22997.7,4072.32,-8.306,-4988.56
0.3,5.94477,35058.7,7690.95,22818.8,4103.51,7.98294,-4898.99
0.4,5.97622,34774.3,7622.09,22444.5,4137.25,0.353188,-4861.03
0.5,6.02312,34563.8,6143.45,22812.6,4126.84,-32.4472,-4861.31
0.6,6.0775,34396.4,3469.03,23620.1,4106.08,-10.3664,-4925.96
0.7,6.12294,34323.9,1919.03,23141.2,4056.76,68.821,-5072.05
0.8,6.16583,34435.4,1630.0,21219.5,4031.16,181.415,-5180.05
0.9,6.19943,34669.2,2809.36,20247.5,4020.76,280.685,-5206.45
1.0,6.20961,35016.9,2989.82,21499.0,4032.37,278.569,-5174.84
1.1,6.20177,35499.9,1041.21,25135.5,4093.76,157.533,-5160.84
1.2,6.17698,35940.3,-1631.6,29557.1,4139.34,14.666,-5136.12
1.3,6.13439,36325.8,-1695.69,32056.5,4213.28,-84.4071,-5075.15
1.4,6.09041,36626.1,-1228.41,31779.2,4233.49,-67.6745,-4933.24
1.5,6.04523,36777.0,-2826.54,29669.5,4213.13,14.4335,-4855.94
1.6,6.00518,36867.6,-7154.95,27299.0,4166.48,91.8412,-4961.8
1.7,5.98122,36852.1,-11466.6,26268.3,4091.29,161.512,-5103.14
1.8,5.96655,36695.4,-13005.5,26321.7,3994.1,189.32,-5138.4
1.9,5.97034,36536.0,-13877.5,26081.9,3980.21,188.459,-5123.64
2.0,5.99547,36294.5,-16557.4,24826.1,3981.3,196.588,-5183.58
2.1,6.02749,36025.3,-20195.3,22835.4,4011.98,204.587,-5291.4
2.2,6.06664,35877.1,-20937.0,20744.7,4111.52,168.821,-5299.42
2.3,6.11712,35777.1,-17829.3,19547.5,4175.07,103.945,-5106.16
2.4,6.16168,35724.2,-13511.4,19290.7,4161.64,37.7412,-4916.44
2.5,6.19772,35822.3,-11988.1,19309.4,4133.84,20.1787,-4875.65
2.6,6.22863,36014.9,-12457.6,19076.9,4105.16,50.8071,-4931.7
2.7,6.23594,36273.9,-13934.9,17800.3,4079.28,96.538,-4918.0
2.8,6.22089,36698.2,-12640.6,16421.6,4061.54,195.962,-4961.44
2.9,6.18263,37090.3,-11866.9,14803.8,4074.91,214.889,-5015.5
3.0,6.1266,37504.9,-10834.9,14060.3,4092.04,217.919,-5134.96
3.1,6.07469,37823.4,-10511.4,14560.1,4146.0,212.426,-5217.17
3.2,6.03077,37973.6,-9013.44,15753.8,4203.17,143.605,-5209.95
3.3,6.00636,38017.3,-6617.74,16638.4,4241.51,53.7421,-5122.83
3.4,6.00592,37904.5,-3621.24,17146.1,4257.08,13.6999,-5001.22
3.5,6.01199,37673.7,-1028.35,16792.6,4237.08,2.05413,-4898.59
3.6,6.02346,37501.4,-388.443,15829.8,4222.21,10.2159,-4845.85
3.7,6.05294,37333.9,-2050.32,15865.1,4189.45,65.1511,-4866.52
3.8,6.08859,37192.3,-4447.09,17223.8,4164.91,123.913,-4969.05
