k,dt_s,eps_UW_pct,eps_DW_pct,eps_Sys_pct
0.0,20,-33.92833328082596,-40.801616332559476,-35.98519845554649
0.05,20,-30.008017194395574,-36.67060055301189,-32.00267269634593
0.1,20,-25.85565165348057,-32.27226512319989,-27.777456926367904
0.15,20,-21.460280472223424,-27.593231631931037,-23.297858929809145
0.2,20,-16.81067878285817,-22.619762200283557,-18.551890339066922
0.25,20,-11.89535572646876,-17.33776262897624,-13.527269458817258
0.3,20,-6.702557110808449,-11.732785543021695,-8.211424065326323
0.35,20,-1.2202680320992254,-5.790033525540183,-2.591494176575604
0.4,20,4.563784541563476,0.5056377659740541,3.3456652103001305
0.45,20,10.66212922699048,7.169716506460722,9.613481417006863
0.5,20,17.08754772416532,14.218031637707051,16.225661419633177
0.55,20,23.853072356889893,21.66674983406185,23.196189223335328
0.6,20,30.971983656363733,29.53237250243308,30.53932327732678
0.65,20,38.45780798797469,37.8317328189649,38.269593930982126
0.7,20,46.324315221340996,46.58199280427284,46.401800931562406
0.75,20,54.58551644346308,55.80064043870223,54.95101096383364
0.8,20,63.25566171467929,65.50548681870205,63.93255523164045
0.85,20,72.34923786699956,75.71466335510908,73.36202708133683
0.9,20,81.88096634428655,86.44661901387106,83.25527966683661
0.95,20,91.86580108367069,97.80940455570698,93.65534168749559
1.0,20,102.31892643752794,109.89062307888129,104.59928807649126
1.05,20,113.25575513528796,122.56403775213154,116.05985934050346
1.1,20,124.69192628431762,135.8496397305731,128.0540164369673
1.15,20,136.64330340908384,149.76772661903937,140.59896971116714
1.2,20,149.12597252778932,164.33889994775527,153.7121767967176
1.25,20,162.15624026566147,179.58406269013648,167.41134055355394
1.3,20,175.75063200406703,195.524416822195,181.71440704277268
1.35,20,189.92589006462373,212.18146092298147,196.63956353763888
1.4,20,204.69897192748937,229.57698781545074,212.20523657007075
1.45,20,220.0870484830063,247.7330822471175,228.43009001189571
1.5,20,236.1075023158945,266.67211860982417,245.3330231901674
1.55,20,252.7779260211975,286.41675869793613,262.9331690358344
1.6,20,270.116120551194,306.98994950426874,281.24989226504715
1.65,20,288.1400935925085,328.41492105302814,300.30278759239746
1.7,20,306.8680579726652,350.7151842690555,320.1116779753856
1.75,20,326.31843009534646,373.91452888265303,340.69661288941785
1.8,20,346.50982840363883,398.03702136927603,362.07786663265233
1.85,20,367.4610718705547,423.10700292337475,384.27593666000587
1.9,20,389.19117851615346,449.14908746567795,407.311541945663
1.95,20,411.7193639505866,476.1881596832159,431.20562137342813
2.0,20,435.06503994241604,504.24937310138256,455.97933215427355
2.05,20,459.2478130115764,533.3581481873609,481.6540482704596
2.1,20,484.28748304636053,563.5401704842213,508.2513589456008
2.15,20,510.2040419438293,594.8213887750467,535.793067140079
2.2,20,537.0176722730732,627.2280132764149,564.3011880712154
2.25,20,564.7487459607385,660.7865138606061,593.7979477576083
2.3,20,593.4178229982975,695.5236183059087,624.3057815871003
2.35,20,623.0456501705053,731.4663105743948,655.8473329077957
2.4,20,653.6531598045366,768.6418291165855,688.4454516416142
2.45,20,685.2614685392984,807.0776652023916,722.1231929198457
2.5,20,717.8918761144308,846.8015612777685,756.903815740203
2.55,20,751.5658641785204,887.8415093465255,792.810781644877
2.6,20,786.3050951160714,930.2257493767119,829.867753419105
2.65,20,822.1314108927745,973.9827677310846,868.0985938097871
2.7,20,859.0668319186669,1019.1412956210975,907.527364263696
2.75,20,897.1335559287347,1065.7303075839143,948.1783236848269
2.8,20,936.353956880567,1113.7790199819437,990.0759272104599
2.85,20,976.7505838686681,1163.3168895244212,1033.2448250055177
2.9,20,1018.34616005502,1214.373611810532,1077.709861074787
2.95,20,1061.1635816155588,1266.9791198936505,1123.4960720926385
3.0,20,1105.2259167021698,1321.1635828662195,1170.6286862498275
0.0,10,-24.960293882551422,-30.543295770421906,-26.63338316711853
0.05,10,-21.361601209309335,-26.498281097136854,-22.90158938635719
0.1,10,-17.6094658756059,-22.241694016459945,-18.998801532139986
0.15,10,-13.699213387659604,-17.76548688158207,-14.919311714452565
0.2,10,-9.626091915779044,-13.061433887251873,-10.657303370320449
0.25,10,-5.385272779271066,-8.121131936209093,-6.206851855318385
0.3,10,-0.9718509334746939,-2.9360015583743904,-1.5619250533957074
0.35,10,3.619154541780012,2.5027121245099426,3.2836159976436186
0.4,10,8.392799952947104,8.203938395535104,8.336016467488383
0.45,10,13.354216503385729,14.176779906756408,13.6016270837912
0.5,10,18.508609804397437,20.430511616413227,19.086903473871473
0.55,10,23.86125938720307,26.974579704307743,24.798405499573196
0.6,10,29.417518216344128,33.818600469891734,30.742796587024568
0.65,10,35.38430502040624,40.97235921712854,37.06752849434998
0.7,10,41.75819355983557,48.445809129740326,43.77312500402151
0.75,10,48.39598090031956,56.24907014004159,50.76263028485941
0.8,10,55.30597216577344,64.39242779418164,58.04495293062839
0.85,10,62.496614088105716,72.88633211627173,65.62914988350153
0.9,10,69.97649391430056,81.74139647356702,73.52442533544207
0.95,10,77.7543383162126,91.0269511960837,81.75784573709947
1.0,10,85.8390123048391,100.82150536854653,90.35938275009909
1.05,10,94.23951815060425,111.37663962213252,99.41156150670845
1.1,10,102.96499431097969,122.3704593603672,108.82337966590723
1.15,10,112.02471436657552,133.81550645232724,118.60510859191695
1.2,10,121.42808596667516,145.724493832947,128.7671647803108
1.25,10,131.1846497850309,158.11030426941107,139.32010876683347
1.3,10,141.30407848661721,170.98598914093128,150.27464404765456
1.35,10,151.79617570590818,184.36476723238394,161.6416160115611
1.4,10,162.67087503715612,198.26002354220748,173.4320108845156
1.45,10,173.93823903704728,212.6853081048546,185.6569546869108
1.5,10,185.60845824003337,227.65433482802254,198.3277122037797
1.55,10,197.69185018657237,243.18098034482887,211.45568596816625
1.6,10,210.19885846443788,259.27928288102476,225.05241525778823
1.65,10,223.14005176321405,275.96344113730834,239.12957510508983
1.7,10,236.52612294204016,293.24781318673325,253.69897532072892
1.75,10,250.36788811062243,311.1469153871981,268.77255953050934
1.8,10,264.67628572350617,329.6754213089396,284.3624042257363
1.85,10,279.46237568755896,348.84816067695243,300.48071782694404
1.9,10,294.7373384825943,368.6801183282125,317.1398397609182
1.95,10,310.5124742950398,389.1864331835758,334.3522395509184
2.0,10,326.7992021645363,410.3823972341983,352.1305159199846
2.05,10,343.60905914333193,432.2834545423103,370.48739590719606
2.1,10,360.95369946832915,454.9052002561704,389.435733996741
2.15,10,378.844893745622,478.26337963900886,408.98851125963995
2.2,10,397.2945281473585,502.37388711176453,429.1588345079617
2.25,10,416.3146036207471,527.2527653094132,449.9599354613552
2.3,10,435.9172351090276,552.9162041506804,471.40516992572657
2.35,10,456.1146507842162,579.3805399209277,493.5080169838707
2.4,10,476.9191912914312,606.662254367992,516.2820781978766
2.45,10,498.3433090046069,634.7779738107779,539.7410768231158
2.5,10,520.3995672933939,663.7444682603663,563.8988570336215
2.55,10,543.1006398010504,693.5786505534359,588.7693831586622
2.6,10,566.4593097331267,724.2975754977859,614.3667389303298
2.65,10,590.4884691567378,755.918439029713,640.7051267419265
2.7,10,615.2011183102362,788.4585773830855,667.7988669169872
2.75,10,640.6103649230786,821.9354662698347,695.6623969887148
2.8,10,666.7294235456936,856.3667200717132,724.3102709896627
