idx,dmg_UW,dmg_DW
0,2.4223169300797818e-11,6.393660303190002e-11
1,2.932223060983029e-11,9.359878240871296e-11
2,3.394640592957862e-11,9.639443591723018e-11
3,3.3896912987350905e-11,7.499398291277287e-11
4,1.957320037455277e-11,3.0943980610960036e-11
5,1.0571443708700275e-11,2.649893512314561e-12
6,1.520446263891748e-11,2.5138521286152746e-15
7,7.127027266967332e-11,6.513903901236129e-15
8,1.6153947265237525e-10,8.705609085653075e-13
9,3.024763255987615e-10,6.706992900141622e-12
10,4.036142831507853e-10,1.4108395450689881e-11
11,4.106024716400468e-10,2.1927897162415204e-11
12,2.8901812119665914e-10,1.9280344855245327e-11
13,2.2266010758081746e-10,1.6149497248709905e-11
14,2.0862101123259742e-10,1.244652080170327e-11
15,1.8795779233437572e-10,1.1468652969839132e-11
16,1.6248698834853262e-10,1.9613810376960832e-11
17,1.8776443281234617e-10,4.5599187810888417e-11
18,2.50089961082357e-10,8.339492896050738e-11
19,2.42926311466836e-10,8.10129972083125e-11
20,1.1090549513515749e-10,4.241072003274199e-11
21,4.9819607518908326e-11,3.642285750096885e-11
22,3.7838938176589254e-11,5.943609927796608e-11
23,2.8264447312072248e-11,3.99650855011113e-11
24,1.5486788300525725e-11,2.5320834407900893e-11
25,9.116292168344252e-12,2.0640491587877945e-11
26,1.911753763610909e-11,4.9968919033635095e-11
27,2.8549835997639417e-11,6.410629186109121e-11
28,1.805130934210677e-11,2.881244224034467e-11
29,1.0688940037862543e-11,1.1044329970360577e-11
30,8.092189630446339e-12,6.991860529163038e-12
31,9.035688570604978e-12,9.050490467174663e-12
32,1.4921005508536792e-11,1.0235360199778996e-11
33,2.342364117294036e-11,1.377591126688315e-11
34,2.5070867388335416e-11,1.1303358220731745e-11
35,2.5093432805923545e-11,7.674111592207438e-12
36,3.256440767541727e-11,4.531049362560412e-12
37,8.378273761230878e-11,5.025086894992494e-12
38,2.0338723343672193e-10,7.30338393146631e-12
39,1.8014825918808885e-10,2.5614397214169305e-12
40,1.1774205204367808e-10,2.9956702604984886e-13
41,1.2520516876601438e-10,3.9707008773621004e-13
42,2.9936083996451267e-10,7.3806746987129e-12
43,5.52106112541578e-10,2.618830847193531e-11
44,6.23531306371538e-10,3.1405523806586444e-11
45,5.414275695660002e-10,2.1448400386899286e-11
46,6.12028832145417e-10,2.488085769906125e-11
47,8.004991426811013e-10,4.030886155427811e-11
48,1.0532893830379773e-09,7.121715278260244e-11
49,1.2305341448853187e-09,9.255580709879192e-11
50,1.3827630359186931e-09,1.0649433969547192e-10
51,1.8449271003538158e-09,1.673912304303604e-10
52,1.9810986367668408e-09,1.7292371345578295e-10
53,1.7854816088416651e-09,1.599059369229569e-10
54,1.700432262337001e-09,1.9773427067994778e-10
55,1.7517745483620472e-09,2.3847831197057113e-10
56,1.6769248345357744e-09,1.9429623165546287e-10
57,1.1252138394577457e-09,8.583071279066015e-11
58,5.499159749059297e-10,2.049742511575958e-11
59,2.557083528073163e-10,3.4786099563383516e-12
60,2.140506604253503e-10,1.9503392186989782e-12
61,2.063467775226821e-10,1.6965031761183596e-12
62,1.5487877935957093e-10,9.871444546457685e-13
63,7.181312088288699e-11,6.09897812465582e-13
64,4.069322144301262e-11,9.535365375855601e-12
65,5.368708788043704e-11,3.179246255272729e-11
66,5.824802067930058e-11,3.7668481502573084e-11
67,4.57789181990045e-11,3.030417709564691e-11
68,3.4715346222501496e-11,1.636375137498108e-11
69,5.519451201845986e-11,7.317145036802563e-12
70,1.7550022876601626e-10,5.960150144054176e-12
71,2.3216246043951916e-10,4.9526313821235656e-12
72,1.408501185654879e-10,1.2606452798122434e-12
73,6.912131890531909e-11,1.360533786852561e-13
74,5.900519357956116e-11,5.236368106304597e-14
75,1.0820983292348252e-10,3.4466368322667033e-13
76,1.9036339265213955e-10,1.729999035179858e-12
77,2.433490858387798e-10,3.5509937422408303e-12
78,3.344531265211501e-10,7.473209909572246e-12
79,4.96127737381446e-10,1.4353244630361664e-11
80,6.807343694252839e-10,2.1656308104363227e-11
81,7.762731001656004e-10,2.589168824254862e-11
82,8.468901661318854e-10,3.43326101328164e-11
83,9.145077908008223e-10,4.6472974146027124e-11
84,8.162101066838199e-10,4.193512128689491e-11
85,6.228891903219078e-10,3.531033821632304e-11
86,3.573857949818813e-10,3.021447971229857e-11
87,2.702478623451569e-10,4.5271441349923404e-11
88,3.0528355360134524e-10,7.08583356503436e-11
89,2.748885287861964e-10,6.830893371110235e-11
90,1.616171889918498e-10,3.4728517842563215e-11
91,8.362956884183548e-11,1.1169425729855493e-11
92,8.082634712980887e-11,2.7344413997695e-12
93,1.498894092144579e-10,1.665778216449729e-12
94,1.949883928081454e-10,2.0461616384106475e-12
95,1.934627851781561e-10,2.12748084363845e-12
96,2.1033152395816995e-10,2.154316379232301e-12
97,2.788112695296084e-10,3.2951666458479625e-12
98,3.7422456619380515e-10,6.590309299614531e-12
99,4.173641716055853e-10,1.0887796483651014e-11
100,4.952198970790292e-10,2.2055817081157386e-11
101,7.870044755344668e-10,3.913557171468161e-11
102,1.2722125963243662e-09,1.45655676605287e-10
