index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.2435677,2.0811892333333333,5096556.10075784,88495.23272667857,4257660.691637849,-27522323.412707306,-11017936.516488487,42611035.0,Main Bearing_UW,1522.9064015183944,1475.749922607461,8.249593030242641,5914981.845826918,6949927.752980597,10469204.374673754,11099591.399378505,3.518504853572178e-07,2.994548011582968e-07,1.9879153743220225e-07,1.8750142761560255e-07,,
0,0.0,6.2435677,2.0811892333333333,5096556.10075784,88495.23272667857,4257660.691637849,-27522323.412707306,-11017936.516488487,42611035.0,Main Bearing_DW,1468.2262359657075,1423.3737163802784,11.403932885614058,29082263.66649512,63223098.1025734,27137184.605219997,37511857.48076038,7.156214719733163e-08,3.2918178573862414e-08,7.669142041112859e-08,5.54808365435053e-08,,
1,20.0,6.2478652,2.0826217333333332,5096035.202470227,73363.99309757292,4205542.464081124,-22740187.310154457,-11510208.6911259,37869314.5,Main Bearing_UW,1481.7668569631749,1436.0420972539357,8.820340421318596,7472030.022634085,9520861.011576023,13293010.308211071,14982779.515737765,2.787223454703351e-07,2.1874300347428233e-07,1.5667043694737084e-07,1.3900102655490378e-07,,
1,20.0,6.2478652,2.0826217333333332,5096035.202470227,73363.99309757292,4205542.464081124,-22740187.310154457,-11510208.6911259,37869314.5,Main Bearing_DW,1388.2021840951202,1345.8513650207897,13.334436468559495,48981068.35455183,135327626.62045178,45119873.104073875,72359667.28801757,4.2518911965295965e-08,1.538947948281383e-08,4.6157526385979424e-08,2.878152721520606e-08,,
2,40.0,6.2137716,2.0712572000000002,5034874.377389264,90278.1010138748,3923330.126458438,-13895462.843373308,-18293952.815146025,31983144.0,Main Bearing_UW,1479.6515203498527,1433.9929409505175,8.46620717862935,8609555.842707118,11504183.708367914,14254430.409270328,16326626.921527632,2.405765451599337e-07,1.8004382166580051e-07,1.453062058974285e-07,1.2686375513786772e-07,,
2,40.0,6.2137716,2.0712572000000002,5034874.377389264,90278.1010138748,3923330.126458438,-13895462.843373308,-18293952.815146025,31983144.0,Main Bearing_DW,1324.8635707666365,1284.442060266376,15.06242892754518,73524046.4462476,247546279.64399087,68041944.36147012,123399266.63309172,2.8171153522055774e-08,8.367151398836542e-09,3.0440887888161e-08,1.678500412938885e-08,,
3,60.0,6.21519965,2.0717332166666664,5007652.183661051,114760.32709011804,4016194.8486394663,-14001540.055989329,-26592819.675417043,30194477.5,Main Bearing_UW,1583.1649175079147,1533.7358340922892,7.069853571978743,5264640.608444451,5935045.990349681,8188492.68334,8158729.276252118,3.935184508784169e-07,3.490677612330691e-07,2.530054427332807e-07,2.539284178354745e-07,,
3,60.0,6.21519965,2.0717332166666664,5007652.183661051,114760.32709011804,4016194.8486394663,-14001540.055989329,-26592819.675417043,30194477.5,Main Bearing_DW,1459.500713939165,1414.7876803837407,11.453597794490133,29506597.069044698,64364353.1169096,28244301.938902624,39372612.12572524,7.021254303974337e-08,3.218758701580716e-08,7.335048397188886e-08,5.2618637799574376e-08,,
4,80.0,7.052238599999999,2.3507461999999997,4977178.707036431,145872.15006954232,4636685.753810445,-22837624.379440695,-33279252.380202793,35446437.5,Main Bearing_UW,1706.4006246497554,1652.4672137049008,5.919972018582174,2679891.037797791,2581499.7905605496,4201092.027153764,3773105.5265370654,8.771797684475011e-07,9.106125859841949e-07,5.595559880159608e-07,6.230268895122849e-07,,
4,80.0,7.052238599999999,2.3507461999999997,4977178.707036431,145872.15006954232,4636685.753810445,-22837624.379440695,-33279252.380202793,35446437.5,Main Bearing_DW,1637.9883768692985,1587.4341227165587,8.449536485873233,10704235.381532187,16607043.471683227,10126974.246447917,11400684.339935925,2.1960897870909092e-07,1.4155115593020947e-07,2.3212720234027798e-07,2.0619342926331837e-07,,
5,100.0,6.857591650000001,2.2858638833333336,4952817.345556096,-57870.049921750106,2125498.288855698,3180325.4612232684,-17990253.720008332,27362854.0,Main Bearing_UW,1507.4544763902416,1460.9425734324868,9.133476514674136,13875003.021972634,23448238.272297382,17628698.054400306,22608622.25793942,1.6474691066469752e-07,9.748552777348471e-08,1.2966719812656604e-07,1.0110584613490155e-07,,
