t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,5.8314,44931.5,3595.27,9982.83,1878.14,-254.211,-5027.31
0.1,5.80442,45029.0,3533.1,12203.2,1850.4,-385.542,-4913.75
0.2,5.80541,45090.4,5448.64,11833.0,1788.76,-455.346,-4926.99
0.3,5.82292,45132.8,6416.38,10235.2,1720.62,-398.991,-4993.0
0.4,5.84867,45144.2,7246.11,8443.94,1668.64,-341.203,-5036.7
0.5,5.8749,45119.3,9546.72,8611.42,1642.22,-280.17,-5063.81
0.6,5.89125,45098.3,11753.2,9906.37,1634.33,-258.756,-5039.17
0.7,5.91414,45153.7,12674.9,11473.8,1680.03,-214.712,-4991.53
0.8,5.93673,45095.8,11135.7,12133.5,1698.49,-191.367,-4912.21
0.9,5.9408,45079.6,8564.54,12884.0,1734.05,-128.222,-4862.29
1.0,5.95083,45088.0,4065.36,15225.5,1808.2,-122.344,-4783.69
1.1,5.95242,45061.6,-829.856,19858.4,1870.59,-246.469,-4794.62
1.2,5.95098,45053.3,-4925.19,24441.8,1894.26,-455.6,-4900.67
1.3,5.95554,45012.2,-6975.07,27791.8,1896.47,-476.44,-4988.36
1.4,5.95152,44926.7,-5886.46,28320.2,1902.65,-373.674,-5001.6
1.5,5.94713,44910.8,-5781.47,28788.3,1902.89,-142.411,-4909.63
1.6,5.93864,44835.5,-7006.27,31286.2,1926.53,-63.1091,-4917.99
1.7,5.90037,44736.1,-9544.9,34789.8,1977.51,-178.749,-4957.35
1.8,5.8584,44785.4,-12345.2,35957.6,2036.75,-305.832,-4876.25
1.9,5.81304,44866.9,-12644.1,32610.3,2024.32,-306.264,-4795.99
2.0,5.77176,45002.0,-12584.5,24397.9,1986.79,-223.995,-4782.74
2.1,5.78477,45174.8,-12893.2,15478.3,1951.44,-138.622,-4830.32
2.2,5.83049,45176.6,-11794.3,9605.32,1910.91,-168.791,-4897.98
2.3,5.86513,45159.8,-9246.38,6250.15,1870.5,-283.865,-4933.35
2.4,5.90107,45130.6,-6383.55,3890.35,1842.85,-335.21,-4930.19
2.5,5.91107,45075.2,-4661.9,419.839,1878.21,-243.816,-4926.44
2.6,5.93334,45153.6,-3767.92,-4871.65,1920.56,-65.1635,-4903.68
2.7,5.98014,45216.3,-1174.09,-8183.97,2000.47,84.3975,-4866.58
2.8,6.02244,45170.2,1741.25,-7050.61,2116.13,74.5676,-4795.23
2.9,6.04819,45064.4,1244.28,-2826.36,2202.54,-109.996,-4767.28
3.0,6.04713,44670.3,-142.492,1732.11,2221.18,-290.572,-4986.05
3.1,6.00786,44381.7,-330.56,2719.55,2160.65,-333.142,-5121.34
3.2,5.98178,44451.0,1186.76,-650.957,2061.33,-229.183,-5007.39
3.3,5.99371,44610.9,2628.26,-4630.16,1989.96,-73.5225,-4919.99
3.4,6.0009,44604.4,2795.83,-6438.69,1947.45,6.16062,-5043.89
3.5,5.98779,44466.9,4000.29,-6712.37,1934.93,-53.7582,-5154.98
3.6,5.94027,44287.8,8629.16,-6722.67,1960.52,-65.191,-5052.22
3.7,5.88418,44358.1,15105.1,-8366.35,2001.64,61.8359,-4845.23
3.8,5.87684,44728.5,20210.1,-9978.72,2034.26,208.644,-4785.6
3.9,5.91773,45046.0,21025.8,-8062.86,2050.49,218.154,-4783.32
4.0,5.97887,45134.0,20771.4,-1306.71,2032.49,54.2004,-4792.86
4.1,6.03905,44960.8,20419.5,8803.17,1998.15,-180.067,-4811.42
4.2,6.08341,44721.9,18161.1,18347.7,1996.22,-346.656,-4890.51
4.3,6.12339,44520.1,15458.6,23560.5,1943.92,-383.377,-5070.47
4.4,6.16034,44377.8,11208.1,24866.4,1942.33,-241.146,-5136.37
4.5,6.18471,44199.6,9793.26,23960.8,1919.0,-82.3877,-5146.35
4.6,6.19166,43982.5,8629.22,22860.5,1908.0,-0.62725,-5059.81
4.7,6.17348,43737.8,7734.94,23003.0,1893.83,38.6085,-5013.19
4.8,6.1262,43517.8,7422.79,23473.2,1868.57,39.7812,-5015.45
4.9,6.06689,43465.9,8235.41,22845.3,1835.77,-10.0302,-4956.75
5.0,6.01595,43584.6,8911.08,22520.0,1821.42,-8.49675,-4858.03
5.1,5.96972,43708.7,7660.72,21982.2,1801.77,-101.719,-4871.66
5.2,5.94086,43958.2,6786.85,21727.2,1782.78,-215.272,-5067.89
5.3,5.94455,44179.2,7347.51,22369.0,1786.61,-264.549,-5163.23
5.4,5.95079,44258.7,11189.6,22272.1,1790.96,-298.144,-5097.2
5.5,5.97153,44327.8,14597.7,20504.1,1802.27,-280.484,-4996.84
5.6,5.99499,44314.3,13934.6,17186.2,1840.18,-200.545,-4924.04
5.7,6.01822,44286.9,10322.4,12254.5,1876.5,-105.323,-4854.75
5.8,6.06367,44342.6,8063.53,7656.09,1924.97,-25.3022,-4769.05
5.9,6.1196,44280.2,3430.14,6199.83,1983.91,24.2477,-4627.57
6.0,6.14738,44044.5,-2802.36,6779.94,2009.52,-114.351,-4695.04
6.1,6.15604,43849.6,-9724.01,8119.89,2007.12,-291.507,-4951.78
6.2,6.13512,43674.1,-15340.1,7997.17,1961.96,-383.787,-5073.57
6.3,6.10263,43685.0,-15810.1,4801.85,1889.14,-377.903,-5076.16
6.4,6.07981,43810.6,-13891.6,-764.217,1811.57,-332.104,-4994.05
6.5,6.06722,43901.2,-11268.7,-5298.64,1787.7,-235.054,-4948.23
6.6,6.03983,43876.6,-5764.85,-8101.98,1807.89,-214.199,-4919.36
6.7,5.99662,43800.9,2022.48,-10077.4,1854.76,-300.611,-4708.37
6.8,5.9418,43830.7,11678.0,-12295.3,1901.49,-341.165,-4494.66
6.9,5.8935,43987.5,18435.5,-16700.5,1909.22,-320.437,-4433.65
7.0,5.89227,44357.2,22226.3,-21272.9,1920.03,-240.685,-4562.13
7.1,5.94036,44577.8,23311.5,-22650.0,1886.14,-208.874,-4674.15
7.2,5.99051,44649.0,23157.6,-19245.0,1765.6,-301.11,-4771.33
7.3,6.03025,44503.3,20701.4,-12319.6,1685.34,-481.867,-4916.4
7.4,6.05591,44365.0,14971.4,-5460.56,1608.33,-600.656,-5060.56
7.5,6.08898,44358.8,10542.5,-1438.6,1590.62,-561.625,-5149.15
7.6,6.13865,44408.7,10749.3,-868.333,1616.91,-469.936,-5043.54
7.7,6.1874,44320.1,12430.1,-1191.21,1676.57,-354.893,-4781.05
7.8,6.205,44025.5,13706.1,285.104,1741.0,-287.999,-4696.71
