index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.3183225,0.21061074999999999,4925386.710938625,-264620.4780175713,1983652.9061335658,-9657275.51564975,2236218.407565565,42489080.0,Main Bearing_UW,1128.009990683677,1093.9727703273525,17.315208912176107,93870646.34190448,364133777.79060405,155511339.27660355,369585570.3600877,2.243627355381082e-09,5.783883914255056e-10,1.3543112095857697e-09,5.698565282048259e-10,,
0,0.0,6.3183225,0.21061074999999999,4925386.710938625,-264620.4780175713,1983652.9061335658,-9657275.51564975,2236218.407565565,42489080.0,Main Bearing_DW,997.4459199501501,967.3172422687329,32.74777691514909,978855929.2209644,18621168129.1039,852454426.2065289,4006598581.1113157,2.151601106075103e-10,1.131028668769853e-11,2.4706394092788034e-10,5.256597229203396e-11,,
1,2.0,6.451744499999999,0.21505814999999998,5002914.87621394,-289170.6330772503,1927901.8863649615,-16278234.81993504,6311604.549585841,41463870.0,Main Bearing_UW,1188.3469216415806,1152.2012554711348,15.71454775620664,51709654.2500551,150057792.16051555,92554887.53846183,186932509.233223,4.158955481698484e-09,1.4331688271806245e-09,2.3235742133080876e-09,1.1504587986442024e-09,,
1,2.0,6.451744499999999,0.21505814999999998,5002914.87621394,-289170.6330772503,1927901.8863649615,-16278234.81993504,6311604.549585841,41463870.0,Main Bearing_DW,1213.7091789531098,1176.8197501410946,18.690383798054803,150952425.88144186,779108228.8177907,144882041.4131562,345657477.0513816,1.4246750176039357e-09,2.76031162353819e-10,1.4843671990148486e-09,6.221712657123624e-10,,
2,4.0,6.476854,0.21589513333333335,5022800.1903123,-121663.75189212724,1715844.6766975236,-7392568.653430863,11646604.791860577,41245205.0,Main Bearing_UW,1013.3862080488009,983.1292838841244,25.985740100421616,147064422.07773843,749960158.981349,298520070.87243456,907350934.6867064,1.468031018536971e-09,2.878754701137431e-10,7.232181497960015e-10,2.379400572369261e-10,,
2,4.0,6.476854,0.21589513333333335,5022800.1903123,-121663.75189212724,1715844.6766975236,-7392568.653430863,11646604.791860577,41245205.0,Main Bearing_DW,1133.3277899212758,1099.1083659781934,22.724927802475396,289592785.8968457,2259790106.742234,268891796.36956114,805605962.7858803,7.455128160900949e-10,9.553769294289583e-11,8.029071033339005e-10,2.6799098232433946e-10,,
3,6.0,6.4656335,0.21552111666666668,5019526.038259097,-234793.8924930315,1654260.247363976,-17458054.791282684,6180594.785170756,41198735.0,Main Bearing_UW,1194.1590092114325,1157.7302018537316,15.0620851800966,53763454.08129812,159269805.56003246,92036117.18843177,185938499.07163173,4.008691784214005e-09,1.3531825188637642e-09,2.3417015325126735e-09,1.159098937243967e-09,,
3,6.0,6.4656335,0.21552111666666668,5019526.038259097,-234793.8924930315,1654260.247363976,-17458054.791282684,6180594.785170756,41198735.0,Main Bearing_DW,1234.0353641401077,1196.4367202740555,17.664250246363295,125053752.24893309,579620259.4717529,123005496.53956304,277631152.2321509,1.7234278283601475e-09,3.7183157963299217e-10,1.7521259027424619e-09,7.762857839758963e-10,,
4,8.0,6.4091700000000005,0.21363900000000002,5019975.699306101,-429768.30468434736,1705329.986862673,-22441101.79172507,22723755.238394283,41503670.0,Main Bearing_UW,1290.99688526996,1251.1468465174485,13.723313737231244,22275929.626794137,43896035.93478012,42431482.15327737,66774831.47057046,9.590576177033205e-09,4.8669314996329216e-09,5.034917216142985e-09,3.1993940725130353e-09,,
4,8.0,6.4091700000000005,0.21363900000000002,5019975.699306101,-429768.30468434736,1705329.986862673,-22441101.79172507,22723755.238394283,41503670.0,Main Bearing_DW,1510.2030527995923,1464.1364158477638,10.21541176884056,20151109.153108124,38075246.682741135,20194994.940174073,26057479.25678938,1.060184818496942e-08,5.610968243492404e-09,1.0578809285810028e-08,8.19875928498861e-09,,
5,10.0,6.315206,0.21050686666666665,5063998.794114763,-374485.38101751154,1519448.9021831814,-20982659.28445663,19851204.221893493,41946455.0,Main Bearing_UW,1244.9528321417188,1206.5308560474234,14.932700136272699,30889568.292408187,69479872.02382082,58535502.35525163,100735887.07074003,6.814820611086478e-09,3.0297532297482566e-09,3.5962255075407343e-09,2.0896909015040674e-09,,
