index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.19353,0.01032255,4811040.0,-22693.100000000002,1954580.0,-4370520.0,907868.0,43187500.0,Main Bearing_UW,1086.5261720588037,1053.7647437161575,18.976773700082116,158801266.03110006,815032197.1809281,237636926.3977689,649378415.0875714,6.500294524086731e-11,1.2665205173125827e-11,4.343832482802603e-11,1.5896047297180275e-11,,
0,0.0,6.19353,0.01032255,4811040.0,-22693.100000000002,1954580.0,-4370520.0,907868.0,43187500.0,Main Bearing_DW,770.0565634916879,746.8055183505685,69.77462468120889,12183471789.819798,609173589490.9899,8858302450.336792,136697379654.73097,8.472584972557053e-13,1.6945169945114105e-14,1.1652966308017105e-12,7.551388348534994e-14,,
1,0.1,6.23283,0.010388050000000001,4756710.0,-72602.09999999999,1951840.0,-1043790.0,907649.0,43210500.0,Main Bearing_UW,1078.4953779568375,1046.1465309016307,19.783622837638276,182445061.14582622,1023160922.440276,275701272.719982,801289430.7681949,5.6937962226869785e-11,1.0152899482540951e-11,3.7678643618561376e-11,1.2964167005224309e-11,,
1,0.1,6.23283,0.010388050000000001,4756710.0,-72602.09999999999,1951840.0,-1043790.0,907649.0,43210500.0,Main Bearing_DW,591.2421016876941,573.4872628133868,152.27844129753504,164275995511.4252,8213799775571.26,95324887407.1853,4766244370359.264,6.323534955706615e-14,1.264706991141323e-15,1.0897521395044398e-13,2.1795042790088803e-15,,
2,0.2,6.2621,0.010436833333333334,4835340.0,-186224.0,1997780.0,-649032.0,-1976750.0,43066200.0,Main Bearing_UW,1205.2713093019477,1168.9063232670114,16.665206216115415,102994730.39940341,417172307.825955,129470743.43375874,290188613.83500916,1.0133366331326199e-10,2.5018039638641594e-11,8.061151930183473e-11,3.5965688644377147e-11,,
2,0.2,6.2621,0.010436833333333334,4835340.0,-186224.0,1997780.0,-649032.0,-1976750.0,43066200.0,Main Bearing_DW,437.2971071670662,424.1127581064109,280.2677547651768,487726094132.9463,24386304706647.312,584180800081.5275,29209040004076.375,2.1398964416466963e-14,4.279792883293393e-16,1.7865758908674823e-14,3.573151781734964e-16,,
3,0.30000000000000004,6.26044,0.010434066666666667,4926250.0,-330534.0,2041450.0,-1930270.0,-3430040.0,42828400.0,Main Bearing_UW,1249.2422519143388,1211.5463425378166,15.181682592490835,75482403.88314462,259083476.48823524,94587787.19677839,190870024.23846278,1.3823177495538952e-10,4.027299157822004e-11,1.1031092888302652e-10,5.466582145780473e-11,,
3,0.30000000000000004,6.26044,0.010434066666666667,4926250.0,-330534.0,2041450.0,-1930270.0,-3430040.0,42828400.0,Main Bearing_DW,582.6733071198951,565.0969915320521,108.63293524316606,52832088103.18847,2641604405159.4233,58563697934.554344,2830637740981.9478,1.9749487558181446e-13,3.9498975116362894e-15,1.7816611714524696e-13,3.686118684705691e-15,,
4,0.4,6.2553,0.0104255,4907840.0,-389371.0,2066550.0000000002,-2053659.9999999998,-2029400.0,42786500.0,Main Bearing_UW,1211.2003727320662,1174.6558429703707,16.212967805245487,93969683.93179522,361830943.51571125,121524109.43727523,266248984.63746822,1.1094535560603783e-10,2.8813179709565968e-11,8.578956100378692e-11,3.915695683946229e-11,,
4,0.4,6.2553,0.0104255,4907840.0,-389371.0,2066550.0000000002,-2053659.9999999998,-2029400.0,42786500.0,Main Bearing_DW,531.9691883750909,515.9408801219643,147.0482300260307,146210547409.53564,7310527370476.782,152755183981.2081,7637759199060.405,7.1304705335643e-14,1.4260941067128601e-15,6.824972958876828e-14,1.3649945917753655e-15,,
