index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,3.5006483000000004,1.1668827666666668,4965326.78949318,1658.6361645129568,862625.6801416882,-2469739.499281554,-28134501.159735907,67195.530891,Main Bearing_UW,1709.0476039110813,1655.6599036569874,7.151978729253476,6140448.296924153,5456368.66455491,6496762.269172653,4753294.441210989,1.900321784732194e-07,2.138570244065157e-07,1.796098915614572e-07,2.45489266675721e-07,,
0,0.0,3.5006483000000004,1.1668827666666668,4965326.78949318,1658.6361645129568,862625.6801416882,-2469739.499281554,-28134501.159735907,67195.530891,Main Bearing_DW,1282.9034821218575,1243.7436557034594,12.26566930383884,30701153.61696961,46861094.99734056,50641189.8859813,59410464.00123786,3.8007782418367806e-08,2.4900885622345982e-08,2.30421672416052e-08,1.964103102514658e-08,,
1,20.0,2.7997535499999997,0.9332511833333332,4974503.099114908,2211.715932824376,-145112.83326793902,1454103.6421712486,-32549859.40391719,-20247.62725,Main Bearing_UW,1785.0347388711775,1729.111250145063,6.536753702888844,4549738.511089511,2966161.1511620157,4564330.877514751,2539830.6808758234,2.0512193855946472e-07,3.1463266349089803e-07,2.0446615470644464e-07,3.674462200809053e-07,,
1,20.0,2.7997535499999997,0.9332511833333332,4974503.099114908,2211.715932824376,-145112.83326793902,1454103.6421712486,-32549859.40391719,-20247.62725,Main Bearing_DW,1381.0245928294771,1338.4912119025723,10.583737091799094,13767085.709964575,12120208.833729982,24711679.194069136,18956556.103794407,6.77885794418966e-08,7.699959597528867e-08,3.776559156519464e-08,4.923105115841851e-08,,
2,40.0,1.20402246,0.40134082000000004,4965983.026216939,3049.983352370215,409657.88360952935,872145.5671695794,-29588831.742777858,-14674.87331,Main Bearing_UW,1735.5129277642727,1681.2925934114926,6.944395652441602,5566226.656577412,1186125.0562436124,5748773.004697286,1152221.2951195424,7.210285257172377e-08,3.383629895409364e-07,6.981330097258441e-08,3.4831921758429323e-07,,
2,40.0,1.20402246,0.40134082000000004,4965983.026216939,3049.983352370215,409657.88360952935,872145.5671695794,-29588831.742777858,-14674.87331,Main Bearing_DW,1318.293303062723,1278.028390595302,11.685703869641372,22045300.8496917,5418392.212852216,38322426.6906612,8822379.2453531,1.820527752088322e-08,7.40700939012933e-08,1.04727402374496e-08,4.5491222814003736e-08,,
3,60.0,0.50133525,0.16711175,4964099.664039436,2054.69824486881,467510.2645987467,-480547.63561205904,-28367927.3747424,-5005.4540935,Main Bearing_UW,1717.704306110472,1664.0441879212003,7.127125815059967,6069609.953901951,798692.833083548,6305036.552582357,811627.6373205978,2.7532535248425542e-08,2.092315632216511e-07,2.6504485518256982e-08,2.0589706697480271e-07,,
3,60.0,0.50133525,0.16711175,4964099.664039436,2054.69824486881,467510.2645987467,-480547.63561205904,-28367927.3747424,-5005.4540935,Main Bearing_DW,1297.1354714574256,1257.5421550154654,12.21106002460372,25328898.106898412,3511813.9308180897,44109028.572716765,5970782.655561409,6.597671532915462e-09,4.758559345456857e-08,3.7886064465125275e-09,2.7988248717167072e-08,,
4,80.0,0.26083103,0.08694367666666668,4965912.918896842,1589.86056881164,470687.089605609,-417018.7564081581,-28211362.847876094,-2005.5985291499999,Main Bearing_UW,1715.4484640075787,1661.8592920540805,7.150119622633335,6135129.355647429,656145.2990815789,6376613.828112337,678349.7048923898,1.4171449634820564e-08,1.3250674322953114e-07,1.3634772154989435e-08,1.2816940294896864e-07,,
4,80.0,0.26083103,0.08694367666666668,4965912.918896842,1589.86056881164,470687.089605609,-417018.7564081581,-28211362.847876094,-2005.5985291499999,Main Bearing_DW,1294.617265635423,1255.1007366012466,12.281880539987373,25736216.37392094,2787551.1139726974,44854291.37461493,4830235.686495965,3.378261800548451e-09,3.1189984725610395e-08,1.938358047851627e-09,1.799988288557797e-08,,
5,100.0,0.14400717,0.04800238999999999,4965238.791475417,2038.0068196833072,468754.02477726294,325396.8653821296,-28203426.96316454,-1116.187316,Main Bearing_UW,1714.9516350955892,1661.3780997513904,7.151801663194544,6139941.568358973,613870.0233298794,6381586.954751582,638039.8619557921,7.818053228286605e-09,7.819634153108765e-08,7.52201456163792e-09,7.523415520287028e-08,,
5,100.0,0.14400717,0.04800238999999999,4965238.791475417,2038.0068196833072,468754.02477726294,325396.8653821296,-28203426.96316454,-1116.187316,Main Bearing_DW,1294.7206762540736,1255.200986953878,12.2860249697383,25736464.490785588,2573028.5028411145,44867554.85899154,4485755.83258576,1.865150903582202e-09,1.865598843813669e-08,1.0698686422930895e-09,1.0701070631463592e-08,,
6,120.0,0.07171596949999999,0.023905323166666662,4963299.309322281,2363.843204699619,467833.3376750099,397461.9112381822,-28235395.46942309,-696.6026095850001,Main Bearing_UW,1715.2843974360328,1661.7004028722176,7.14787679812804,6128716.8831622265,612747.8089449825,6369282.832169805,636809.7004830699,3.900542906842886e-09,3.901331480536241e-08,3.753220542495976e-09,3.753919443835828e-08,,
6,120.0,0.07171596949999999,0.023905323166666662,4963299.309322281,2363.843204699619,467833.3376750099,397461.9112381822,-28235395.46942309,-696.6026095850001,Main Bearing_DW,1295.2444544732818,1255.708795324472,12.27110912635411,25654943.394359883,2564878.58499911,44715928.51394454,4470596.8889037045,9.318018285677501e-10,9.320255276986125e-09,5.34604199468023e-10,5.347232989402632e-09,,
7,140.0,0.033598363,0.011199454333333332,4962139.470340975,2777.3042673710374,466689.3705834969,326838.1250415667,-28198405.6059748,-259.46055135,Main Bearing_UW,1714.7389383540087,1661.1721002126978,7.154259891545972,6146979.157229515,614573.6228525249,6388718.5643340275,638752.8775893996,1.82194441316131e-09,1.822312887649067e-08,1.7530048037889716e-09,1.7533313314531192e-08,,
7,140.0,0.033598363,0.011199454333333332,4962139.470340975,2777.3042673710374,466689.3705834969,326838.1250415667,-28198405.6059748,-259.46055135,Main Bearing_DW,1294.6725330374297,1255.1543207111838,12.288210621456784,25739128.79510944,2573294.861626147,44877840.412524045,4486784.138036641,4.3511396296603804e-10,4.352184625377925e-09,2.4955421719018157e-10,2.4960983164735153e-09,,
8,160.0,0.0199603735,0.0066534578333333335,4961682.836496061,3103.1358970290735,464642.624797526,207191.18463990735,-28132117.04843669,-103.0950542,Main Bearing_UW,1713.8397566351853,1660.301196307215,7.1647968621277895,6177209.121527945,617595.9344837959,6420811.160499611,641961.4828608197,1.077097715559869e-09,1.0773156787203402e-08,1.0362332214759637e-09,1.036426329455631e-08,,
8,160.0,0.0199603735,0.0066534578333333335,4961682.836496061,3103.1358970290735,464642.624797526,207191.18463990735,-28132117.04843669,-103.0950542,Main Bearing_DW,1293.6710236613585,1254.1833613573624,12.318791992003074,25882628.73052563,2587640.9949151417,45158486.746341236,4514841.938290852,2.570626771571441e-10,2.571244560743839e-09,1.473357127909606e-10,1.473685662593114e-09,,
9,180.0,0.01603688407960199,0.005372356166666667,4961480.215145441,3133.9873348557103,465709.24390717124,-224548.2999094872,-28110557.62975754,-25.537570199004975,Main Bearing_UW,1713.7197616859612,1660.1849700756154,7.168225648827843,6187068.512664394,618581.6501658505,6431596.802050455,643039.8270621533,8.683201350801139e-10,8.684958833205384e-09,8.353067413917969e-10,8.354624302527687e-09,,
