index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,3.49178,0.005819633333333333,4962400.0,6140.75,1100120.0,853994.0,-26267400.0,-1011.4700000000001,Main Bearing_UW,1676.6178078272906,1624.2961526171644,7.460777400003716,7069569.586011748,6543839.240814719,7618100.641623512,5756778.625440321,8.23194858262431e-10,8.89330119394678e-10,7.639218234445768e-10,1.0109183819602244e-09,,
0,0.0,3.49178,0.005819633333333333,4962400.0,6140.75,1100120.0,853994.0,-26267400.0,-1011.4700000000001,Main Bearing_DW,1245.0681607310444,1207.061884227387,13.218987436227751,42240991.55792759,72910778.07424136,67522993.86983176,85408758.76818304,1.377721762367373e-10,7.981856026015105e-11,8.618743038189628e-11,6.813860097333831e-11,,
1,0.1,3.49166,0.005819433333333334,4961340.0,4655.0,1100830.0,768428.0,-26283500.0,-235.512,Main Bearing_UW,1676.7047975348053,1624.3812785018195,7.45900410002915,7063970.08391362,6536974.892222053,7612288.325713795,5751355.895531678,8.238190796681884e-10,8.902333922465453e-10,7.644788379436026e-10,1.011836763197796e-09,,
1,0.1,3.49166,0.005819433333333334,4961340.0,4655.0,1100830.0,768428.0,-26283500.0,-235.512,Main Bearing_DW,1245.3084360342764,1207.2948339699547,13.211973094637543,42200182.4672473,72810418.4169372,67432936.66900536,85262835.16460983,1.379006675587233e-10,7.992583286651755e-11,8.629956844231814e-11,6.825287151310696e-11,,
2,0.2,3.4915,0.005819166666666667,4960420.0,3352.25,1101530.0,691479.0,-26298400.0,-364.354,Main Bearing_UW,1676.9190238206324,1624.5861814353614,7.4572934710226395,7058571.418917736,6530315.92284246,7606675.185450574,5746086.35653775,8.244113888358019e-10,8.911003289001292e-10,7.650079075017023e-10,1.0127182756391693e-09,,
2,0.2,3.4915,0.005819166666666667,4960420.0,3352.25,1101530.0,691479.0,-26298400.0,-364.354,Main Bearing_DW,1245.5319634290024,1207.5115464304777,13.205321839793623,42161763.873138435,72715310.64012203,67347804.90717272,85124274.83431268,1.380200004007446e-10,8.002670435482996e-11,8.640469685221931e-11,6.836083688223119e-11,,
3,0.30000000000000004,3.49137,0.00581895,4959650.0,2202.25,1102070.0,621039.0,-26313100.0,-331.462,Main Bearing_UW,1677.1350722540612,1624.7928741762896,7.455486886989335,7052873.060773274,6523326.994403568,7600631.891000485,5740447.780376746,8.250467504319456e-10,8.920218172402118e-10,7.65587662111346e-10,1.013675278066566e-09,,
3,0.30000000000000004,3.49137,0.00581895,4959650.0,2202.25,1102070.0,621039.0,-26313100.0,-331.462,Main Bearing_DW,1245.7577532818189,1207.7304520931125,13.19858047175693,42118288.80062037,72608465.61510545,67257741.93409598,84978242.61533439,1.3815732228689907e-10,8.014148144716373e-11,8.651717754220518e-11,6.847576298253509e-11,,
4,0.4,3.49122,0.0058187000000000004,4959040.0,956.5,1102390.0,555951.0,-26328500.0,-406.05,Main Bearing_UW,1677.3697507908478,1625.0174718837104,7.453439043245476,7046417.611982356,6515409.494820206,7593620.541693225,5733909.972302558,8.257671231556535e-10,8.930674280144487e-10,7.662616229046582e-10,1.0147874710462874e-09,,
4,0.4,3.49122,0.0058187000000000004,4959040.0,956.5,1102390.0,555951.0,-26328500.0,-406.05,Main Bearing_DW,1246.0020858647229,1207.9673346535815,13.191322619760822,42064561.828507625,72476651.9571444,67155024.0781062,84811629.45218335,1.3832784051625619e-10,8.028378578304929e-11,8.664578830665637e-11,6.860733648892542e-11,,
5,0.5,3.49108,0.005818466666666668,4958620.0,-662.75,1102530.0,495444.0,-26345900.0,-272.97900000000004,Main Bearing_UW,1677.644390094909,1625.280411271212,7.450923539856216,7038493.614712194,6505737.089874929,7584875.306969986,5725795.2190636955,8.26663627925247e-10,8.943593302782124e-10,7.671143468001236e-10,1.0161849042897008e-09,,
5,0.5,3.49108,0.005818466666666668,4958620.0,-662.75,1102530.0,495444.0,-26345900.0,-272.97900000000004,Main Bearing_DW,1246.2872598577758,1208.2438126540167,13.18290375273162,41995300.17655374,72307603.77874559,67030139.6480707,84609680.81279764,1.3855042450476773e-10,8.046825454858972e-11,8.680373779937572e-11,6.876833254506966e-11,,
