idx,dmg_UW,dmg_DW
0,1.0109183819602244e-09,6.813860097333831e-11
1,1.011836763197796e-09,6.825287151310696e-11
2,1.0127182756391693e-09,6.836083688223119e-11
3,1.013675278066566e-09,6.847576298253509e-11
4,1.0147874710462874e-09,6.860733648892542e-11
5,1.0161849042897008e-09,6.876833254506966e-11
6,1.0180101992353472e-09,6.896950339792773e-11
7,1.020328606720525e-09,6.921567567201483e-11
8,1.0232199003122209e-09,6.951387816403374e-11
9,1.0265994179148804e-09,6.98578319295796e-11
10,1.0303046699629537e-09,7.02365166492408e-11
11,1.0341092096996715e-09,7.063139917161474e-11
12,1.0378155117924037e-09,7.102497750677189e-11
13,1.0413622404940161e-09,7.141081051542245e-11
14,1.0447701580217663e-09,7.178757757935732e-11
15,1.0481838886297918e-09,7.216592718001567e-11
16,1.0516836692266408e-09,7.255217356404569e-11
17,1.055322419378469e-09,7.295063300056228e-11
18,1.0589962258201028e-09,7.335464850121088e-11
19,1.0624845221981765e-09,7.374646154026275e-11
20,1.065610627899361e-09,7.411185402649538e-11
21,1.068202751735195e-09,7.443446288496894e-11
22,1.0702589356353317e-09,7.47105376708455e-11
23,1.0719356984019007e-09,7.494767566601613e-11
24,1.0734362979580596e-09,7.515721255725304e-11
25,1.0749828280693602e-09,7.535399166387e-11
26,1.0766521284249902e-09,7.55443238093721e-11
27,1.0783698833454298e-09,7.572268523418211e-11
28,1.079934760216505e-09,7.587560549095858e-11
29,1.0811106783598584e-09,7.598579988909633e-11
30,1.0817628069147182e-09,7.604289399207175e-11
31,1.081917597640746e-09,7.604967980098123e-11
32,1.081791339789988e-09,7.602420847361897e-11
33,1.0817091622496731e-09,7.599458750138823e-11
34,1.081976508777618e-09,7.598860472696441e-11
35,1.0827595690178205e-09,7.602278948227677e-11
36,1.084002788927986e-09,7.609549165934445e-11
37,1.0854239557190976e-09,7.618632818905586e-11
38,1.0866410972256321e-09,7.626526980294519e-11
39,1.08729983066264e-09,7.630311778085816e-11
40,1.0872519365264317e-09,7.628517338969355e-11
41,1.0866664243861412e-09,7.622687904236304e-11
42,1.0857527828701985e-09,7.614273457230189e-11
43,1.0848653803675737e-09,7.606487496780332e-11
44,1.0842786813644977e-09,7.60192680751311e-11
45,1.0841723501328368e-09,7.602743394437155e-11
46,1.0846581028036343e-09,7.610556547211179e-11
47,1.0857679186595064e-09,7.626435816588218e-11
48,1.087548835162748e-09,7.651353189804705e-11
49,1.0900714776293741e-09,7.686130825538501e-11
50,1.0935222829148031e-09,7.732441494703343e-11
51,1.098058182021217e-09,7.791332327128732e-11
52,1.103832784632268e-09,7.86378036127072e-11
53,1.110883796754593e-09,7.949707490871569e-11
54,1.11911707125813e-09,8.04791246023294e-11
55,1.1282816994113808e-09,8.155873794947008e-11
56,1.1380970021700294e-09,8.270940620048834e-11
57,1.1482807491264335e-09,8.39034123824864e-11
58,1.1587174581622563e-09,8.512842609835372e-11
59,1.1694333153026023e-09,8.638661059740427e-11
60,1.1805970026918948e-09,8.769370634754919e-11
61,1.1923983390453843e-09,8.907006025408354e-11
62,1.2049497298178688e-09,9.05295916511645e-11
63,1.2182208330163219e-09,9.207270771503427e-11
64,1.2320677330349415e-09,9.368722393037418e-11
65,1.2461726263309235e-09,9.53412333233499e-11
66,1.2601809461891255e-09,9.699523474841314e-11
67,1.2737564933762481e-09,9.861063917601471e-11
68,1.2865584098178028e-09,1.0014552271582543e-10
69,1.2983295351699952e-09,1.0156887703702315e-10
70,1.3089226839153608e-09,1.0286062730021837e-10
71,1.3181361965331959e-09,1.0399663661277894e-10
72,1.3258914492239845e-09,1.0496798617411532e-10
73,1.3321012578376006e-09,1.05765641408222e-10
74,1.336732433119928e-09,1.0638327239323851e-10
75,1.3398777170762295e-09,1.0682660062065522e-10
76,1.341706839652231e-09,1.0710720013183101e-10
77,1.342430927315342e-09,1.0724223213424073e-10
78,1.342285691755538e-09,1.0725543341360077e-10
79,1.3413417740692944e-09,1.071563900567443e-10
80,1.3395670124954692e-09,1.0694770087699685e-10
81,1.3369255454817363e-09,1.0663336589217254e-10
82,1.3333700110976527e-09,1.0621148623488126e-10
83,1.328993896486254e-09,1.0569469974828489e-10
