t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,3.49178,-1.01147,-26267.4,-853.994,1100.12,6.14075,-4962.4
0.1,3.49166,-0.235512,-26283.5,-768.428,1100.83,4.655,-4961.34
0.2,3.4915,-0.364354,-26298.4,-691.479,1101.53,3.35225,-4960.42
0.3,3.49137,-0.331462,-26313.1,-621.039,1102.07,2.20225,-4959.65
0.4,3.49122,-0.40605,-26328.5,-555.951,1102.39,0.9565,-4959.04
0.5,3.49108,-0.272979,-26345.9,-495.444,1102.53,-0.66275,-4958.62
0.6,3.49099,-0.22966,-26366.6,-435.919,1102.63,-2.66,-4958.47
0.7,3.49091,-0.126448,-26391.4,-379.114,1102.85,-4.915,-4958.6
0.8,3.49093,0.218318,-26421.1,-328.551,1103.3,-7.16,-4958.99
0.9,3.49103,0.309746,-26455.2,-285.119,1103.99,-9.01875,-4959.54
1.0,3.49115,0.345489,-26492.6,-251.897,1104.83,-10.3022,-4960.09
1.1,3.49131,0.519535,-26531.3,-229.776,1105.66,-10.9687,-4960.5
1.2,3.49151,0.605971,-26569.4,-216.479,1106.32,-11.0782,-4960.7
1.3,3.49175,0.785368,-26606.1,-211.761,1106.72,-10.8709,-4960.72
1.4,3.49207,0.997972,-26641.2,-213.282,1106.86,-10.5724,-4960.66
1.5,3.4924,0.869287,-26675.9,-217.248,1106.85,-10.3266,-4960.66
1.6,3.49265,0.638599,-26711.1,-222.529,1106.82,-10.2421,-4960.77
1.7,3.49284,0.445946,-26747.5,-227.469,1106.91,-10.2578,-4960.97
1.8,3.49294,1.26217,-26784.7,-231.726,1107.15,-10.2003,-4961.1
1.9,3.493,4.10184,-26821.1,-238.953,1107.5,-9.93944,-4960.95
2.0,3.49312,6.35633,-26855.2,-250.792,1107.84,-9.35975,-4960.37
2.1,3.49326,7.50151,-26885.3,-266.891,1108.03,-8.48331,-4959.34
2.2,3.49341,11.28,-26910.9,-286.432,1108.02,-7.53162,-4957.99
2.3,3.49357,18.1931,-26932.5,-305.165,1107.8,-6.71975,-4956.62
2.4,3.49375,24.6973,-26951.2,-318.842,1107.49,-6.20587,-4955.52
2.5,3.49397,30.7448,-26968.4,-325.98,1107.21,-6.08337,-4954.94
2.6,3.49425,38.4215,-26984.8,-324.888,1107.03,-6.27413,-4954.91
2.7,3.49456,46.428,-27000.1,-315.477,1106.99,-6.61912,-4955.33
2.8,3.49484,55.1806,-27013.2,-299.49,1107.03,-6.986,-4955.96
2.9,3.49513,64.194,-27022.6,-277.688,1107.08,-7.276,-4956.53
3.0,3.49549,70.912,-27027.2,-250.105,1107.03,-7.45925,-4956.92
3.1,3.4959,77.5994,-27027.1,-216.362,1106.82,-7.5765,-4957.17
3.2,3.4963,86.3949,-27023.8,-176.183,1106.47,-7.68,-4957.49
3.3,3.49658,97.7094,-27019.8,-128.886,1106.06,-7.76425,-4958.15
3.4,3.49667,111.032,-27017.6,-75.6254,1105.68,-7.8195,-4959.35
3.5,3.49665,124.107,-27018.7,-17.924,1105.4,-7.8105,-4961.11
3.6,3.49659,138.437,-27023.0,44.5642,1105.22,-7.6475,-4963.27
3.7,3.49651,151.847,-27028.8,108.512,1105.08,-7.331,-4965.5
3.8,3.49645,162.601,-27033.5,172.748,1104.88,-6.8165,-4967.43
3.9,3.49637,170.768,-27034.6,236.26,1104.53,-6.09075,-4968.78
4.0,3.4963,176.539,-27030.9,296.28,1104.04,-5.2365,-4969.47
4.1,3.49631,182.969,-27023.7,355.055,1103.44,-4.232,-4969.58
4.2,3.49634,189.624,-27014.3,411.888,1102.81,-3.162,-4969.37
4.3,3.49641,196.431,-27005.6,466.628,1102.25,-2.05625,-4969.03
4.4,3.49648,199.63,-26999.9,519.917,1101.8,-0.8945,-4968.71
4.5,3.49649,201.65,-26999.2,571.051,1101.46,0.307375,-4968.39
4.6,3.49649,204.396,-27005.0,618.28,1101.21,1.4855,-4967.95
4.7,3.49652,205.587,-27018.2,661.813,1100.97,2.60375,-4967.2
4.8,3.49658,205.675,-27039.7,701.34,1100.72,3.5705,-4966.02
4.9,3.49667,205.235,-27070.2,735.836,1100.46,4.26325,-4964.41
5.0,3.49673,204.334,-27111.1,766.749,1100.25,4.682,-4962.52
5.1,3.49666,202.513,-27163.2,793.268,1100.15,4.85388,-4960.6
5.2,3.49646,202.005,-27227.1,814.214,1100.21,4.86888,-4958.89
5.3,3.49618,201.661,-27302.4,828.831,1100.46,4.8535,-4957.55
5.4,3.49586,201.314,-27387.6,836.578,1100.84,4.89025,-4956.66
5.5,3.49558,201.928,-27480.1,837.657,1101.25,4.96706,-4956.15
5.6,3.49535,201.588,-27577.3,833.972,1101.6,5.01872,-4955.91
5.7,3.49517,200.447,-27676.7,827.648,1101.85,4.93503,-4955.83
5.8,3.49506,197.317,-27777.2,819.591,1102.01,4.60961,-4955.88
5.9,3.49504,193.181,-27879.0,811.778,1102.15,4.06095,-4956.06
6.0,3.49506,189.29,-27983.5,803.069,1102.37,3.34706,-4956.46
6.1,3.4951,183.705,-28092.4,790.865,1102.75,2.59381,-4957.12
6.2,3.49512,177.586,-28206.7,774.746,1103.32,2.005,-4958.05
6.3,3.49507,173.242,-28326.3,751.073,1104.03,1.65094,-4959.19
6.4,3.49503,171.908,-28449.9,718.5,1104.78,1.56788,-4960.44
6.5,3.495,172.264,-28574.8,677.927,1105.47,1.73725,-4961.69
6.6,3.49501,171.0,-28697.9,628.05,1106.02,1.96487,-4962.87
6.7,3.49507,168.704,-28816.3,572.682,1106.39,2.1255,-4963.93
6.8,3.49507,165.138,-28927.3,513.958,1106.64,2.08687,-4964.87
6.9,3.49498,161.057,-29029.1,452.167,1106.83,1.78663,-4965.64
7.0,3.49481,159.302,-29120.7,389.084,1107.02,1.34787,-4966.22
7.1,3.49459,157.013,-29200.9,321.143,1107.26,0.8375,-4966.52
7.2,3.49447,153.256,-29269.2,247.956,1107.51,0.37525,-4966.46
7.3,3.49444,148.592,-29325.1,170.473,1107.7,0.00075,-4966.0
7.4,3.49449,144.934,-29368.2,88.9096,1107.76,-0.38625,-4965.19
7.5,3.4946,143.161,-29398.9,6.00998,1107.66,-0.86775,-4964.16
