index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.27690115,2.092300383333333,5001524.851335212,121668.32724585458,4341776.063310521,-21848205.802489437,-17260314.38398955,40469328.5,Main Bearing_UW,1529.8164841321488,1482.4996955750032,7.992405045451022,5941085.330578322,7009727.475066994,10257189.842072578,10848629.34812676,3.521747739532404e-07,2.984852679045609e-07,2.0398378264885078e-07,1.9286310889537504e-07,,
0,0.0,6.27690115,2.092300383333333,5001524.851335212,121668.32724585458,4341776.063310521,-21848205.802489437,-17260314.38398955,40469328.5,Main Bearing_DW,1430.2588055675883,1386.6239895001413,12.266151221923312,37080058.747154884,90204600.70310022,34410423.41452391,51063942.63163185,5.6426566031098133e-08,2.31950517714716e-08,6.080426149159843e-08,4.097412529280975e-08,,
1,20.0,6.2520435999999995,2.0840145333333333,4972034.602903362,11976.577410522503,2259674.3487610444,-10664168.561082862,-17313092.011368956,27171609.0,Main Bearing_UW,1489.9030435347113,1443.9316110520278,8.934818706674285,12894322.09326431,20087195.98890825,18047953.29256819,22185664.148540683,1.616226520680737e-07,1.0374840443056784e-07,1.1547096224985754e-07,9.393518802863581e-08,,
1,20.0,6.2520435999999995,2.0840145333333333,4972034.602903362,11976.577410522503,2259674.3487610444,-10664168.561082862,-17313092.011368956,27171609.0,Main Bearing_DW,1204.2097057126252,1167.4624987836673,17.142666179004543,113163731.32924521,482161916.30447954,135559801.52395082,308264713.38799536,1.841592274180125e-08,4.322229655353582e-09,1.5373396168370223e-08,6.760470604724395e-09,,
2,40.0,4.62049955,1.5401665166666667,4937049.458620048,-29289.621059396217,726055.2370218869,3045010.0411661933,-18927639.53070182,11998574.5135,Main Bearing_UW,1568.513495839165,1520.1115327850366,8.921340609436673,12829599.542866305,16805786.283909794,13824439.844272658,13685237.170524962,1.2004790262709735e-07,9.164501384509773e-08,1.1140896369155556e-07,1.1254218669909879e-07,,
2,40.0,4.62049955,1.5401665166666667,4937049.458620048,-29289.621059396217,726055.2370218869,3045010.0411661933,-18927639.53070182,11998574.5135,Main Bearing_DW,1127.9074945741231,1093.4782356918363,18.38632328520361,82173165.78170513,233120113.2991674,147244752.47200343,278436291.72420675,1.8742937575974057e-08,6.6067508927903716e-09,1.0459907676231166e-08,5.531486240996965e-09,,
3,60.0,2.8262869,0.9420956333333332,4924430.568533069,22856.647709057237,123334.14306242422,7869575.245577884,-30985562.218427848,-31129.25249,Main Bearing_UW,1765.63327769439,1710.4649899866395,6.683729572075067,4899768.9087397,3294582.6909190887,4980928.129566534,2846516.067308594,1.9227348286832888e-07,2.859529481321099e-07,1.8914057959220528e-07,3.309644530565018e-07,,
3,60.0,2.8262869,0.9420956333333332,4924430.568533069,22856.647709057237,123334.14306242422,7869575.245577884,-30985562.218427848,-31129.25249,Main Bearing_DW,1361.6023678415593,1319.7777229401054,10.780036696186647,16339395.74673779,15363863.287249155,28612642.53919595,22962045.921538435,5.7657923703905976e-08,6.13189284309241e-08,3.2925851991572365e-08,4.1028383818780105e-08,,
4,80.0,0.9107481799999999,0.30358272666666664,4899002.349017517,40682.35759832855,400142.0333175701,3078116.3247873043,-30198630.43189331,-14626.049200000001,Main Bearing_UW,1743.0562672931676,1688.598713344577,6.877118065397802,5388496.843522145,899564.420293364,5557167.74825372,890865.7418643538,5.633903767274592e-08,3.3747747222779545e-07,5.462903774356357e-08,3.4077270277712754e-07,,
4,80.0,0.9107481799999999,0.30358272666666664,4899002.349017517,40682.35759832855,400142.0333175701,3078116.3247873043,-30198630.43189331,-14626.049200000001,Main Bearing_DW,1329.114992898363,1288.457438819421,11.382011477297327,20793250.409422535,3810272.8476063847,35867045.04616758,6297837.397307608,1.460006111065238e-08,7.967479989192309e-08,8.464113123227715e-09,4.8204281488190125e-08,,
5,100.0,0.196958752,0.06565291733333334,4899932.256065243,26646.61636476303,460941.9443237366,1426651.8546521966,-28243334.002381098,-4212.257645000001,Main Bearing_UW,1712.6616425196366,1659.160308718102,7.177763457619134,6214552.17836859,621329.393681462,6461714.083056186,646050.9421203398,1.0564384278863386e-08,1.0566523650898082e-07,1.0160294387751924e-08,1.0162188931705664e-07,,
5,100.0,0.196958752,0.06565291733333334,4899932.256065243,26646.61636476303,460941.9443237366,1426651.8546521966,-28243334.002381098,-4212.257645000001,Main Bearing_DW,1295.0575830894938,1255.5277248554169,12.250313429112428,25774135.71797657,2576794.612438743,44806287.0195142,4479630.524903922,2.5472403052313678e-09,2.5478521654932276e-08,1.4652612769440132e-09,1.4655877748922484e-08,,
6,120.0,0.10056072099999999,0.033520240333333326,4901157.568165455,38569.89356386749,460792.4799684034,1377472.528726428,-27893437.91995107,-34.48067025,Main Bearing_UW,1707.5951133169763,1654.2531027427433,7.231484359901062,6370950.086653239,636965.6327111846,6630613.947952917,662937.4778875378,5.261419392306374e-09,5.262488054599989e-08,5.055375052212487e-09,5.0563200077549054e-08,,
6,120.0,0.10056072099999999,0.033520240333333326,4901157.568165455,38569.89356386749,460792.4799684034,1377472.528726428,-27893437.91995107,-34.48067025,Main Bearing_DW,1289.5782847438552,1250.2155324955415,12.41063052670827,26643020.387925535,2663659.6629932313,46432910.51327603,4642253.2138822805,1.2581246362189667e-09,1.2584280491624693e-08,7.219069397717222e-10,7.220683316690648e-09,,
7,140.0,0.09278503,0.030928343333333337,4904439.902950329,46911.82162617384,460675.542111237,1401781.2548356387,-27393194.98669121,-117.025644,Main Bearing_UW,1700.4627308639883,1647.3449745317164,7.3084869292862376,6599903.927735299,659855.7984393094,6878013.268601179,687672.3405382789,4.686180840202948e-09,4.687136705699191e-08,4.4966972475212176e-09,4.497540690545155e-08,,
7,140.0,0.09278503,0.030928343333333337,4904439.902950329,46911.82162617384,460675.542111237,1401781.2548356387,-27393194.98669121,-117.025644,Main Bearing_DW,1281.7373237863226,1242.6137114576366,12.644939855922336,27936786.39389539,2793001.227228909,48861837.45353675,4885086.448602373,1.1070830730943215e-09,1.1073515840885992e-08,6.329754455661524e-10,6.331176256293675e-09,,
8,160.0,0.079358773,0.026452924333333332,4902649.544868074,53806.57704528606,457033.0465857329,1147281.9472224647,-27089873.341722444,-209.21610239999998,Main Bearing_UW,1695.6751278404395,1642.7078973032594,7.3595403967830455,6754839.122934328,675345.7742420178,7044611.887480167,704328.7789844988,3.916144241469674e-09,3.9169452660043784e-08,3.755057731476454e-09,3.755763660754166e-08,,
8,160.0,0.079358773,0.026452924333333332,4902649.544868074,53806.57704528606,457033.0465857329,1147281.9472224647,-27089873.341722444,-209.21610239999998,Main Bearing_DW,1276.943587454872,1237.966195251756,12.797735331439766,28763181.032176174,2875618.2088353434,50435944.82764206,5042458.5079022255,9.196800695911048e-10,9.199039097769191e-09,5.244855514005454e-10,5.2460370852587015e-09,,
9,180.0,0.06552373880597015,0.021950452500000002,4897718.21164012,58648.0828949774,454845.0934234358,801502.975341365,-26919978.100834034,-139.24159995024877,Main Bearing_UW,1692.5330566326804,1639.6646213446247,7.3914626487507595,6852998.76947782,685159.4886975235,7150300.43832468,714895.4583956848,3.2030434030958636e-09,3.203699702346302e-08,3.0698643629501822e-09,3.07044229225621e-08,,
9,180.0,0.06552373880597015,0.021950452500000002,4897718.21164012,58648.0828949774,454845.0934234358,801502.975341365,-26919978.100834034,-139.24159995024877,Main Bearing_DW,1274.1389631717875,1235.247125849547,12.887857218618228,29273768.752196915,2926663.0512721343,51399631.63009007,5138803.453445715,7.498335006268259e-10,7.500163877921918e-09,4.270546656437494e-10,4.271510420442641e-09,,
