index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.23575,0.010392916666666668,4992860.0,92862.3,4313430.0,-15485800.0,-17650300.0,42771600.0,Main Bearing_UW,1490.1971808328176,1444.2131208733795,8.501900819103515,7490613.707932809,9543248.14742243,12943377.868392054,14478166.065113928,1.3874586344854793e-09,1.0890334722642341e-09,8.029524265104201e-10,7.178337794942876e-10,,
0,0.0,6.23575,0.010392916666666668,4992860.0,92862.3,4313430.0,-15485800.0,-17650300.0,42771600.0,Main Bearing_DW,1340.9213896907345,1300.0104205889645,14.695902856231536,67727795.54677007,219250056.67852005,61674284.624004506,108711357.23839569,1.534512762856683e-10,4.740211621429817e-11,1.6851296662825982e-10,9.560102026760458e-11,,
1,0.1,6.23552,0.010392533333333336,5000450.0,90410.0,4307460.0,-15746900.0,-17232300.0,42769400.0,Main Bearing_UW,1487.0936697354637,1441.2049078866376,8.557348972433537,7595740.732670347,9724621.596565424,13156116.942698915,14777572.51046782,1.3682053797114995e-09,1.0686825425684231e-09,7.899392638874915e-10,7.032639038632154e-10,,
1,0.1,6.23552,0.010392533333333336,5000450.0,90410.0,4307460.0,-15746900.0,-17232300.0,42769400.0,Main Bearing_DW,1338.8053495396728,1297.958922589545,14.775971267343163,68965648.57870612,225314875.1791994,62743666.9130696,111190363.54547219,1.5069144635786317e-10,4.612448834133945e-11,1.656347778929152e-10,9.346613323269895e-11,,
2,0.2,6.23499,0.01039165,5000620.0,86431.0,4301710.0,-16125400.0,-16782700.0,42768800.0,Main Bearing_UW,1484.458995108537,1438.6520405129274,8.613305034059254,7682350.336559156,9874505.81771973,13345056.081517346,15044077.5224129,1.3526654662633248e-09,1.0523716519921694e-09,7.786891217633954e-10,6.90746905851712e-10,,
2,0.2,6.23499,0.01039165,5000620.0,86431.0,4301710.0,-16125400.0,-16782700.0,42768800.0,Main Bearing_DW,1337.5260153886475,1296.718594907904,14.809472975207889,69488250.39060676,227882006.91040364,63193570.73343316,112233636.89601904,1.495454259041859e-10,4.560101142204564e-11,1.6444157023243188e-10,9.258944365874501e-11,,
3,0.30000000000000004,6.23434,0.010390566666666668,4993140.0,81527.5,4295720.0,-16609800.0,-16233900.0,42769400.0,Main Bearing_UW,1481.2527670202762,1435.545365176563,8.683742146640908,7778653.858445261,10041884.19103163,13565867.854596019,15356684.276396617,1.3357795392046738e-09,1.0347228138665896e-09,7.659345334951364e-10,6.766152432160813e-10,,
3,0.30000000000000004,6.23434,0.010390566666666668,4993140.0,81527.5,4295720.0,-16609800.0,-16233900.0,42769400.0,Main Bearing_DW,1337.1061718745698,1296.3119688070221,14.825910634623412,69745676.61778781,229139698.12790382,63398890.2844845,112707052.2230449,1.48977931974305e-10,4.534599090231298e-11,1.6389193280894908e-10,9.21909185070687e-11,,
4,0.4,6.23353,0.010389216666666666,4984080.0,77214.20000000001,4291320.0,-17180200.0,-15724300.0,42770800.0,Main Bearing_UW,1479.1207111353476,1433.4796008584165,8.737049878666422,7821852.127112019,10116784.700094862,13692204.227938818,15535390.719244657,1.3282297463353566e-09,1.0269287105189902e-09,7.587687485311944e-10,6.687451158725539e-10,,
4,0.4,6.23353,0.010389216666666666,4984080.0,77214.20000000001,4291320.0,-17180200.0,-15724300.0,42770800.0,Main Bearing_DW,1339.144784652422,1298.2884213459356,14.767144989907667,68828424.46855912,224584891.91853133,62577312.52936195,110786232.03525412,1.509436943658716e-10,4.625964185709953e-11,1.660220972543673e-10,9.377714609303289e-11,,
