idx,dmg_UW,dmg_DW
0,7.178337794942876e-10,9.560102026760458e-11
1,7.032639038632154e-10,9.346613323269895e-11
2,6.90746905851712e-10,9.258944365874501e-11
3,6.766152432160813e-10,9.21909185070687e-11
4,6.687451158725539e-10,9.377714609303289e-11
5,6.770214152197356e-10,9.927973015901797e-11
6,7.018610501857826e-10,1.0879451304638023e-10
7,7.356524398941743e-10,1.2068944200229724e-10
8,7.732297154326909e-10,1.3370441203411288e-10
9,8.181423501036551e-10,1.4855669067744695e-10
10,8.753747273529245e-10,1.666494467712259e-10
11,9.406540052950241e-10,1.8728882952515618e-10
12,1.003629523663433e-09,2.0778464826121203e-10
13,1.0598300819384738e-09,2.2633449673402e-10
14,1.1117608674481745e-09,2.4298280236488966e-10
15,1.1584647205636494e-09,2.571327737961082e-10
16,1.1925548148718408e-09,2.665344906309021e-10
17,1.2119018576291326e-09,2.7049466978703277e-10
18,1.2252821106125829e-09,2.7164532979398634e-10
19,1.240798336735334e-09,2.7256094242131527e-10
20,1.2546399935743265e-09,2.7207359664042143e-10
21,1.257457457369954e-09,2.6757587222829587e-10
22,1.2477023009167734e-09,2.5899304578155547e-10
23,1.2305284209282915e-09,2.48126654158467e-10
24,1.2054688181852436e-09,2.3520294114765653e-10
25,1.166142386529157e-09,2.187614074817953e-10
26,1.1124763653447824e-09,1.9920489013048114e-10
27,1.054739153175121e-09,1.7948673712815136e-10
28,1.001831516475157e-09,1.6196665294239234e-10
29,9.531424384571125e-10,1.4649394516447168e-10
30,9.045849651253386e-10,1.3210542928787135e-10
31,8.575255690091019e-10,1.191331940687244e-10
32,8.166803577293141e-10,1.0855345567212612e-10
33,7.804261235481962e-10,9.984484397651644e-11
34,7.446500047171509e-10,9.228591540389019e-11
35,7.051442345445296e-10,8.484541978829774e-11
36,6.705479817746557e-10,7.911051221195363e-11
37,6.531881711608307e-10,7.727359981472478e-11
38,6.547407485736546e-10,7.938330057335678e-11
39,6.671798001709652e-10,8.380620090789029e-11
40,6.839696874492277e-10,8.918170790824803e-11
41,7.071032637441574e-10,9.584096887616797e-11
42,7.409110729327254e-10,1.0479072245882545e-10
43,7.815550481960433e-10,1.1545582915979921e-10
44,8.193113391142134e-10,1.257551057133898e-10
