t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,6.23575,42771.6,-17650.3,15485.8,4313.43,92.8623,-4992.86
0.1,6.23552,42769.4,-17232.3,15746.9,4307.46,90.41,-5000.45
0.2,6.23499,42768.8,-16782.7,16125.4,4301.71,86.431,-5000.62
0.3,6.23434,42769.4,-16233.9,16609.8,4295.72,81.5275,-4993.14
0.4,6.23353,42770.8,-15724.3,17180.2,4291.32,77.2142,-4984.08
0.5,6.23257,42772.8,-15464.7,17798.2,4289.99,74.8207,-4979.83
0.6,6.2317,42776.1,-15505.3,18412.8,4291.1,75.1831,-4981.48
0.7,6.23107,42779.7,-15739.1,18975.8,4293.14,78.1659,-4983.12
0.8,6.23075,42783.3,-16089.0,19457.9,4295.07,82.3124,-4981.83
0.9,6.23075,42785.7,-16601.7,19856.9,4296.69,85.595,-4982.77
1.0,6.23104,42787.6,-17319.8,20190.0,4298.34,86.6673,-4990.16
1.1,6.23158,42788.2,-18143.6,20470.1,4300.23,85.2255,-4999.61
1.2,6.23228,42788.1,-18923.6,20691.8,4302.51,81.9539,-5003.72
1.3,6.233,42787.3,-19628.9,20829.2,4305.28,78.3379,-5001.68
1.4,6.23359,42785.7,-20324.0,20849.0,4308.65,76.0023,-4998.04
1.5,6.23402,42784.6,-21015.4,20733.1,4312.27,75.8729,-4993.83
1.6,6.23431,42783.3,-21619.9,20489.0,4315.4,77.4703,-4985.7
1.7,6.23447,42781.4,-22103.0,20143.1,4317.55,79.3166,-4973.93
1.8,6.23439,42778.5,-22540.9,19722.9,4318.93,80.091,-4965.51
1.9,6.23392,42774.9,-23005.7,19243.7,4319.97,79.452,-4965.85
2.0,6.23301,42771.6,-23451.4,18710.1,4320.88,77.8075,-4972.28
2.1,6.23177,42770.3,-23784.1,18125.6,4321.78,75.518,-4978.51
2.2,6.23057,42771.7,-23988.7,17499.2,4322.81,72.749,-4982.47
2.3,6.2298,42775.6,-24110.3,16846.7,4324.06,69.7135,-4985.55
2.4,6.22968,42780.2,-24137.4,16186.0,4325.26,66.736,-4986.52
2.5,6.2302,42783.5,-23996.3,15535.3,4325.85,64.0878,-4981.67
2.6,6.2312,42784.9,-23668.8,14913.7,4325.47,61.9216,-4971.5
2.7,6.23244,42784.3,-23240.7,14341.4,4324.15,60.4198,-4962.55
2.8,6.23377,42782.3,-22797.9,13838.9,4322.01,59.7936,-4960.43
2.9,6.23502,42779.6,-22332.9,13426.9,4318.91,60.0204,-4964.22
3.0,6.23603,42776.3,-21798.2,13120.5,4314.68,60.5841,-4969.85
3.1,6.23668,42772.7,-21209.3,12928.9,4309.57,60.7342,-4976.17
3.2,6.23689,42769.3,-20629.8,12855.5,4304.17,59.8043,-4984.58
3.3,6.23668,42766.7,-20042.8,12900.8,4298.19,57.4488,-4994.61
3.4,6.23628,42766.1,-19404.7,13066.5,4292.03,54.131,-4996.24
3.5,6.23591,42767.1,-18641.2,13345.7,4285.16,49.951,-4988.16
3.6,6.23552,42767.7,-17873.3,13725.6,4279.38,46.0401,-4977.38
3.7,6.23501,42767.9,-17330.6,14177.1,4276.71,43.6814,-4971.4
3.8,6.23444,42767.9,-17092.4,14651.8,4276.88,43.9813,-4973.08
3.9,6.23397,42768.1,-17062.4,15098.8,4278.48,47.2759,-4977.03
4.0,6.23371,42768.4,-17149.6,15483.2,4280.24,52.5759,-4978.96
4.1,6.23374,42768.7,-17386.5,15796.0,4281.64,57.8619,-4982.42
4.2,6.23412,42768.7,-17821.7,16053.2,4282.8,61.3947,-4991.39
4.3,6.23481,42767.7,-18366.3,16274.2,4283.88,62.2993,-5001.88
4.4,6.23568,42765.8,-18865.3,16461.6,4285.13,60.7352,-5006.34
4.5,6.23651,42763.2,-19277.1,16596.8,4286.91,58.05,-5003.78
4.6,6.23707,42760.3,-19673.6,16647.7,4289.6,56.1878,-4999.6
4.7,6.23724,42758.1,-20081.5,16588.5,4293.02,56.7298,-4996.22
4.8,6.23707,42756.9,-20424.8,16416.7,4296.35,59.889,-4990.4
4.9,6.23664,42757.0,-20654.9,16151.3,4298.75,64.456,-4981.06
5.0,6.23597,42757.6,-20835.9,15818.3,4300.08,68.7329,-4973.99
5.1,6.235,42757.9,-21046.7,15439.4,4300.57,71.6585,-4974.79
5.2,6.23368,42758.1,-21253.5,15027.7,4300.52,72.8818,-4981.47
5.3,6.23211,42759.3,-21360.2,14592.1,4300.3,72.3685,-4987.95
5.4,6.23057,42762.5,-21344.5,14143.1,4300.35,70.431,-4992.04
5.5,6.22935,42767.8,-21256.9,13690.0,4301.05,67.8215,-4995.63
5.6,6.22868,42774.0,-21100.6,13241.2,4302.25,65.6067,-4998.09
5.7,6.22864,42780.0,-20803.5,12806.7,4303.29,64.626,-4995.33
5.8,6.22914,42784.2,-20333.0,12399.9,4303.46,65.0922,-4986.48
5.9,6.23,42786.6,-19764.2,12041.8,4302.49,66.7479,-4977.29
6.0,6.23104,42787.3,-19190.1,11758.8,4300.37,69.1024,-4973.94
6.1,6.23203,42786.7,-18615.0,11577.8,4297.11,71.4972,-4976.61
6.2,6.23272,42785.2,-17992.1,11520.4,4292.75,73.2041,-4981.76
6.3,6.23291,42783.5,-17331.1,11596.7,4287.75,73.6261,-4988.23
6.4,6.2325,42782.4,-16697.1,11805.2,4282.85,72.5821,-4997.42
6.5,6.23155,42782.5,-16086.7,12137.4,4277.92,70.3389,-5008.52
6.6,6.23029,42785.0,-15445.3,12585.1,4272.94,67.6998,-5012.12
6.7,6.22905,42789.9,-14700.6,13135.8,4267.35,64.8105,-5004.78
6.8,6.22791,42795.4,-13953.1,13777.7,4262.5,62.3447,-4992.81
6.9,6.22678,42800.7,-13429.2,14487.0,4260.34,61.062,-4984.26
7.0,6.2257,42806.2,-13222.2,15222.0,4260.89,61.6505,-4983.33
7.1,6.22471,42811.3,-13251.8,15936.0,4263.03,64.47,-4986.0
7.2,6.22383,42816.4,-13426.9,16592.1,4265.66,68.8655,-4988.28
7.3,6.22317,42821.6,-13772.6,17174.7,4268.32,73.3158,-4992.99
7.4,6.22289,42826.8,-14332.3,17691.8,4270.95,76.4324,-5003.34
7.5,6.22306,42831.3,-15017.5,18156.2,4273.54,77.3591,-5014.81
7.6,6.2236,42834.7,-15669.7,18570.1,4276.1,75.9925,-5019.23
7.7,6.22428,42836.5,-16236.8,18918.9,4278.95,73.1889,-5015.16
7.8,6.22479,42836.7,-16787.7,19175.1,4282.54,70.5749,-5008.34
7.9,6.22496,42836.3,-17358.3,19316.9,4286.92,69.7374,-5002.46
8.0,6.22474,42836.5,-17884.9,19341.2,4291.5,71.2502,-4995.45
8.1,6.22414,42836.8,-18320.3,19261.6,4295.53,74.377,-4986.36
8.2,6.22318,42837.7,-18721.5,19097.9,4298.73,77.8228,-4980.24
8.3,6.22184,42839.1,-19162.8,18865.2,4301.12,80.5721,-4981.85
8.4,6.22018,42841.2,-19607.3,18574.2,4302.77,81.9837,-4988.77
8.5,6.2184,42844.4,-19954.4,18237.1,4303.9,81.5306,-4994.48
8.6,6.21676,42850.0,-20173.5,17870.3,4305.01,79.0102,-4996.66
8.7,6.21555,42857.0,-20313.4,17489.4,4306.63,74.9723,-4997.72
8.8,6.21488,42864.7,-20384.9,17105.6,4308.86,70.7245,-4998.04
8.9,6.21477,42871.4,-20324.0,16724.4,4311.16,67.6901,-4994.28
9.0,6.21516,42876.5,-20097.3,16352.8,4312.8,66.753,-4985.43
9.1,6.21595,42880.3,-19774.1,16004.7,4313.31,67.9815,-4976.44
9.2,6.21704,42882.4,-19443.4,15703.9,4312.45,70.7233,-4972.88
9.3,6.21828,42882.6,-19109.1,15481.4,4310.06,73.8158,-4974.72
9.4,6.2194,42881.5,-18722.3,15366.4,4306.17,75.8382,-4978.42
9.5,6.22014,42879.0,-18287.1,15375.8,4301.39,75.715,-4983.0
9.6,6.22032,42876.3,-17868.6,15512.9,4296.71,73.3335,-4990.3
9.7,6.21991,42874.6,-17472.8,15767.6,4292.36,69.3745,-5000.4
9.8,6.2191,42875.4,-17044.2,16126.3,4288.15,65.2765,-5005.06
9.9,6.21823,42878.5,-16519.6,16571.9,4283.63,61.8284,-4998.59
10.0,6.21739,42882.1,-15958.8,17087.9,4279.32,59.7691,-4986.95
10.1,6.2166,42878.9,-15584.5,17651.0,4277.18,59.5687,-4977.19
10.2,6.21663,42781.8,-15512.5,18217.4,4277.47,61.0046,-4974.15
10.3,6.21673,42695.8,-15683.1,18784.5,4279.08,64.5697,-4975.19
10.4,6.21686,42608.1,-16000.9,19282.7,4281.15,68.31,-4976.32
10.5,6.2172,42517.5,-16476.4,19721.0,4283.33,71.9751,-4979.91
10.6,6.21731,42429.9,-17157.4,20089.4,4285.76,74.5701,-4989.66
10.7,6.21823,42345.3,-17975.5,20371.0,4288.47,74.9555,-5001.9
10.8,6.22011,42258.0,-18777.6,20596.7,4291.14,74.0941,-5008.01
10.9,6.22178,42166.1,-19482.8,20741.4,4293.79,72.2213,-5004.88
11.0,6.22329,42072.7,-20141.4,20771.1,4296.63,70.2708,-4997.08
11.1,6.22435,41977.5,-20798.1,20689.3,4299.78,70.2637,-4989.17
11.2,6.2248,41884.7,-21404.3,20477.2,4302.92,72.2308,-4980.55
11.3,6.22548,41796.0,-21912.4,20149.6,4305.56,75.3969,-4970.61
11.4,6.22603,41705.2,-22369.0,19748.9,4307.53,79.0785,-4964.07
11.5,6.22586,41612.6,-22849.8,19276.6,4308.9,81.8497,-4965.92
11.6,6.22534,41520.3,-23332.5,18743.6,4309.65,83.3067,-4974.1
11.7,6.22452,41428.9,-23715.9,18166.8,4309.84,83.4532,-4981.63
11.8,6.22404,41342.7,-23950.6,17540.3,4309.81,81.586,-4984.77
11.9,6.22478,41259.2,-24074.9,16887.4,4310.02,78.1527,-4985.18
12.0,6.22636,41172.7,-24110.0,16233.7,4310.66,74.2975,-4984.24
12.1,6.22838,41082.8,-24006.8,15580.8,4311.41,70.8815,-4979.84
12.2,6.23079,40989.5,-23728.5,14950.4,4311.83,69.23,-4971.4
12.3,6.23322,40894.4,-23333.0,14356.0,4311.49,69.9625,-4963.39
12.4,6.23594,40800.6,-22909.9,13803.0,4310.08,72.5977,-4961.19
12.5,6.23905,40705.4,-22474.5,13325.1,4307.17,76.3893,-4964.92
12.6,6.24188,40606.4,-21976.6,12950.3,4302.52,79.5934,-4970.59
12.7,6.24418,40505.7,-21405.2,12697.4,4296.43,80.3031,-4976.03
12.8,6.24583,40404.3,-20815.7,12589.0,4289.92,78.0295,-4982.75
12.9,6.24679,40305.1,-20229.6,12619.8,4283.58,73.1128,-4991.96
13.0,6.24759,40210.1,-19598.5,12772.0,4277.31,67.1828,-4997.61
13.1,6.24856,40116.7,-18874.2,13031.3,4271.09,62.0891,-4992.46
13.2,6.24948,40023.1,-18078.5,13371.7,4264.95,58.9848,-4982.34
13.3,6.25038,39929.2,-17435.8,13769.8,4260.99,58.5184,-4973.59
13.4,6.25136,39835.3,-17088.4,14202.4,4259.45,60.7147,-4971.58
13.5,6.25271,39742.5,-16992.8,14628.5,4259.25,64.6291,-4974.05
13.6,6.25479,39649.9,-17038.5,15018.9,4259.34,68.9105,-4976.11
13.7,6.2574,39555.0,-17219.0,15364.0,4259.35,72.0437,-4979.12
13.8,6.26027,39457.8,-17594.2,15662.9,4259.55,72.7525,-4987.99
13.9,6.26341,39359.3,-18125.3,15926.2,4260.28,70.9733,-5001.08
14.0,6.26678,39260.3,-18660.3,16153.3,4261.45,67.6805,-5009.88
14.1,6.27045,39160.9,-19097.4,16318.1,4263.05,64.1523,-5009.42
14.2,6.27432,39059.7,-19477.1,16390.9,4265.13,62.068,-5003.21
14.3,6.27793,38955.1,-19860.6,16349.0,4267.6,62.4827,-4996.26
14.4,6.28098,38848.8,-20211.3,16191.7,4269.93,65.1012,-4988.45
14.5,6.28341,38742.6,-20467.2,15947.2,4271.51,68.5527,-4978.58
14.6,6.28527,38637.7,-20658.4,15646.4,4272.29,71.098,-4971.03
14.7,6.28679,38534.9,-20873.8,15305.6,4272.51,71.8412,-4972.01
14.8,6.28807,38433.5,-21115.6,14930.0,4272.35,71.0348,-4981.1
14.9,6.28913,38333.2,-21284.3,14516.0,4271.8,69.1133,-4991.02
15.0,6.29026,38235.1,-21311.7,14067.5,4270.93,66.2887,-4996.3
15.1,6.29189,38139.2,-21227.0,13602.3,4269.99,62.8312,-4997.52
15.2,6.29439,38044.9,-21064.6,13138.4,4269.21,59.2033,-4996.44
15.3,6.29795,37949.7,-20783.7,12691.5,4268.35,56.1661,-4991.57
15.4,6.30229,37850.8,-20337.8,12275.0,4266.89,54.4765,-4981.91
15.5,6.30695,37748.4,-19774.0,11899.6,4264.53,54.4388,-4972.03
15.6,6.3117,37643.6,-19193.5,11583.0,4261.15,55.9456,-4968.53
15.7,6.31647,37538.2,-18629.9,11351.9,4256.52,58.3771,-4972.73
15.8,6.32129,37432.5,-18033.3,11233.0,4250.4,60.4799,-4980.13
15.9,6.32611,37325.5,-17376.6,11247.9,4242.98,60.95,-4987.11
16.0,6.33061,37216.7,-16708.6,11405.4,4235.07,59.0851,-4994.27
16.1,6.33448,37106.9,-16059.5,11700.6,4227.11,55.1394,-5002.79
16.2,6.33774,36997.9,-15394.4,12121.9,4219.29,50.3423,-5006.12
16.3,6.3407,36891.0,-14639.8,12652.7,4211.39,45.7472,-4999.42
16.4,6.34364,36785.7,-13859.6,13273.8,4204.43,42.552,-4987.61
16.5,6.34663,36681.1,-13285.2,13957.9,4200.17,41.7728,-4978.59
16.6,6.34965,36576.1,-13040.2,14661.4,4198.37,43.8602,-4977.86
16.7,6.35272,36471.0,-13050.4,15338.4,4197.57,48.5578,-4981.4
16.8,6.35595,36366.3,-13195.2,15958.7,4196.46,54.465,-4983.48
16.9,6.35959,36263.0,-13483.7,16514.8,4194.7,59.4453,-4986.36
17.0,6.36394,36160.3,-13986.1,17020.2,4192.59,61.962,-4995.24
17.1,6.36897,36056.3,-14646.7,17489.3,4190.59,61.7036,-5007.45
17.2,6.37439,35950.4,-15296.6,17916.2,4188.87,59.3975,-5014.02
17.3,6.37988,35842.2,-15852.2,18274.4,4187.53,56.6344,-5011.2
17.4,6.3852,35733.1,-16376.6,18528.1,4186.79,55.3268,-5004.09
17.5,6.39041,35624.1,-16928.1,18651.1,4186.52,56.7349,-4997.43
17.6,6.39564,35515.0,-17450.2,18645.4,4186.02,60.7488,-4989.65
17.7,6.40075,35404.4,-17875.4,18535.5,4184.5,65.8567,-4979.19
17.8,6.40546,35291.7,-18251.1,18348.8,4181.86,70.2229,-4971.28
17.9,6.40956,35177.8,-18674.0,18103.5,4178.44,72.9727,-4972.53
18.0,6.41306,35064.7,-19131.0,17804.5,4174.62,74.1252,-4981.75
18.1,6.41632,34954.2,-19509.2,17453.6,4170.55,73.9567,-4991.15
18.2,6.41975,34846.8,-19747.3,17061.8,4166.38,72.7185,-4995.89
18.3,6.42361,34740.8,-19885.8,16645.2,4162.29,70.7664,-4997.28
18.4,6.42799,34634.9,-19950.8,16220.5,4158.22,68.8036,-4996.55
18.5,6.43288,34528.4,-19883.4,15802.0,4153.6,67.6474,-4991.04
18.6,6.43828,34421.1,-19634.9,15400.6,4147.77,67.783,-4979.75
18.7,6.44418,34312.5,-19267.3,15029.8,4140.37,69.266,-4968.28
18.8,6.4504,34203.5,-18890.0,14708.1,4131.28,71.813,-4963.9
18.9,6.45664,34092.9,-18526.1,14458.5,4120.34,74.8735,-4967.56
19.0,6.46254,33981.1,-18120.0,14304.9,4107.34,77.5052,-4974.4
19.1,6.4679,33869.1,-17657.8,14265.4,4092.74,78.6935,-4981.35
19.2,6.4728,33758.4,-17194.3,14348.5,4076.99,77.8365,-4989.68
19.3,6.4775,33649.9,-16749.4,14554.5,4060.23,75.2367,-4996.9
19.4,6.48234,33543.1,-16258.8,14876.0,4042.53,71.4366,-4995.13
19.5,6.4874,33436.5,-15680.8,15300.5,4024.63,67.1666,-4983.99
19.6,6.4926,33329.6,-15203.7,15803.9,4008.86,63.4416,-4969.57
19.7,6.49784,33239.7,-15026.2,16345.0,3995.72,61.5965,-4962.08
19.8,6.50276,33191.8,-15151.1,16859.6,3984.25,62.5656,-4962.63
19.9,6.50822,33139.0,-15433.8,17295.9,3972.91,66.3886,-4964.07
20.0,6.51394,33082.2,-15813.5,17646.6,3960.69,71.7563,-4964.76
20.1,6.52007,33029.4,-16375.8,17908.1,3947.48,75.8902,-4970.7
20.2,6.52676,32974.6,-17144.9,18122.0,3933.56,77.5774,-4983.51
20.3,6.53319,32917.4,-17967.3,18304.3,3919.04,76.3514,-4994.45
20.4,6.53948,32862.3,-18683.9,18426.6,3904.01,72.23,-4995.05
20.5,6.54591,32806.6,-19309.0,18471.2,3888.95,67.1182,-4987.9
20.6,6.55198,32749.7,-19941.7,18401.3,3874.16,62.9665,-4980.73
20.7,6.55783,32693.8,-20571.6,18188.1,3859.27,60.8259,-4974.74
20.8,6.56329,32636.3,-21095.6,17849.8,3843.25,61.1296,-4966.04
20.9,6.56796,32578.4,-21494.6,17395.9,3825.54,62.653,-4956.25
21.0,6.57232,32522.5,-21879.0,16834.3,3806.15,64.1933,-4952.95
21.1,6.5766,32466.3,-22308.4,16188.4,3785.46,65.4843,-4959.45
21.2,6.58073,32410.3,-22694.8,15465.4,3763.68,65.6312,-4969.5
21.3,6.58503,32355.2,-22928.3,14688.5,3741.07,63.6745,-4975.72
21.4,6.58946,32299.2,-23016.0,13899.7,3718.06,59.481,-4978.08
21.5,6.59403,32244.2,-23015.2,13116.9,3695.01,53.4285,-4979.85
21.6,6.59926,32190.5,-22895.9,12354.3,3671.61,46.9658,-4979.5
21.7,6.60511,32135.7,-22565.8,11624.4,3647.09,41.7637,-4972.92
21.8,6.6113,32080.4,-22024.6,10925.4,3620.76,38.3657,-4961.67
21.9,6.61765,32024.2,-21386.1,10273.6,3592.46,36.9381,-4953.54
22.0,6.62363,31966.2,-20736.4,9696.8,3562.26,37.1291,-4953.47
22.1,6.62903,31908.4,-20052.7,9215.33,3530.39,37.6139,-4958.85
22.2,6.63398,31850.7,-19299.0,8857.39,3497.2,37.1553,-4965.57
22.3,6.63825,31792.2,-18511.8,8640.56,3463.13,34.9672,-4973.56
22.4,6.64184,31734.1,-17745.4,8563.44,3428.62,30.8041,-4981.75
22.5,6.64493,31676.1,-16977.3,8628.19,3394.07,25.1034,-4986.35
22.6,6.6476,31618.5,-16220.0,8825.49,3360.94,18.4439,-4983.17
22.7,6.65023,31562.4,-15578.2,9121.71,3330.07,11.432,-4975.24
22.8,6.6531,31506.4,-15162.3,9469.84,3301.12,5.58887,-4969.73
22.9,6.65601,31449.6,-14960.5,9808.42,3273.07,2.51925,-4968.14
23.0,6.65885,31392.6,-14875.5,10086.9,3244.74,2.68075,-4967.38
23.1,6.66161,31335.6,-14880.9,10293.2,3215.51,5.317,-4968.16
23.2,6.66437,31279.1,-15039.0,10438.4,3185.54,8.744,-4975.24
23.3,6.66734,31223.1,-15359.7,10544.4,3155.16,11.3165,-4988.55
23.4,6.67044,31166.2,-15729.9,10629.9,3124.64,11.8512,-5000.57
23.5,6.6733,31108.2,-16041.0,10692.5,3094.14,9.681,-5004.55
23.6,6.6757,31049.8,-16299.7,10716.8,3064.11,5.066,-5001.78
23.7,6.67758,30991.2,-16561.3,10686.9,3034.88,-0.6955,-4997.28
23.8,6.67903,30933.2,-16805.2,10584.7,3006.26,-6.10775,-4992.15
23.9,6.68022,30875.4,-16958.1,10399.3,2977.7,-9.8865,-4984.85
24.0,6.68098,30816.6,-17015.6,10124.4,2948.78,-11.1195,-4977.67
24.1,6.68105,30757.2,-17054.1,9752.82,2919.53,-9.49025,-4976.34
24.2,6.68043,30698.0,-17112.4,9291.04,2889.99,-5.38112,-4982.51
24.3,6.67933,30639.6,-17132.3,8765.07,2860.1,-0.316188,-4991.09
24.4,6.67813,30582.4,-17046.8,8215.36,2829.91,3.32612,-4996.76
24.5,6.67714,30525.6,-16866.0,7689.72,2799.67,3.74866,-4999.43
24.6,6.67632,30468.3,-16622.8,7224.8,2769.64,0.641254,-5001.25
24.7,6.67554,30410.6,-16285.5,6834.28,2739.65,-4.81928,-5001.07
24.8,6.67481,30353.0,-15786.3,6520.42,2709.21,-10.5666,-4996.13
24.9,6.67417,30295.6,-15126.3,6278.91,2677.9,-14.5741,-4987.73
25.0,6.67367,30238.2,-14386.6,6108.09,2645.7,-15.5041,-4981.07
25.1,6.67315,30180.0,-13632.3,6017.06,2612.87,-13.0676,-4979.14
25.2,6.67219,30120.3,-12865.4,6020.85,2579.65,-8.27137,-4979.92
25.3,6.67044,30059.9,-12080.6,6135.77,2546.29,-3.12138,-4980.76
25.4,6.66782,29999.4,-11326.4,6376.28,2513.26,0.38025,-4981.95
25.5,6.66447,29939.7,-10679.5,6747.02,2481.55,0.96675,-4984.61
25.6,6.66075,29880.9,-10188.3,7240.25,2452.19,-1.612,-4987.16
25.7,6.65683,29822.3,-9855.17,7833.34,2425.52,-6.5965,-4987.23
25.8,6.65272,29763.5,-9674.35,8486.61,2400.99,-12.3628,-4984.59
25.9,6.64841,29704.6,-9643.47,9152.08,2377.83,-16.8285,-4980.88
26.0,6.64401,29646.2,-9746.44,9786.1,2355.35,-18.3148,-4977.36
26.1,6.63972,29588.3,-9954.79,10359.0,2333.11,-16.3638,-4974.46
26.2,6.63556,29530.1,-10254.2,10860.0,2311.11,-11.829,-4973.01
26.3,6.63129,29470.7,-10651.4,11291.0,2289.55,-6.34163,-4974.33
26.4,6.62653,29410.3,-11142.3,11655.8,2268.73,-1.73738,-4978.6
26.5,6.62115,29349.8,-11695.6,11957.5,2248.65,0.627375,-4983.82
26.6,6.6153,29290.1,-12268.8,12197.6,2229.19,0.056625,-4987.53
26.7,6.60934,29231.5,-12837.7,12376.4,2210.17,-3.29869,-4988.71
26.8,6.60347,29173.0,-13393.1,12493.0,2191.49,-8.44319,-4987.79
26.9,6.5976,29113.9,-13917.8,12541.2,2173.11,-13.8079,-4985.22
27.0,6.59149,29053.9,-14387.5,12506.5,2155.04,-17.7046,-4981.35
27.1,6.58497,28993.7,-14792.9,12371.9,2137.35,-18.7953,-4977.38
27.2,6.57806,28933.7,-15145.8,12125.7,2120.19,-16.5984,-4975.28
27.3,6.57093,28874.1,-15456.1,11772.1,2103.61,-11.7802,-4976.18
27.4,6.56365,28814.6,-15713.1,11337.3,2087.41,-6.02838,-4979.28
27.5,6.5562,28754.8,-15896.7,10864.0,2071.22,-1.52213,-4982.91
27.6,6.54861,28695.1,-15999.1,10399.5,2054.55,-0.029,-4985.98
27.7,6.54104,28636.0,-16018.6,9983.75,2037.12,-2.148,-4988.1
27.8,6.53375,28577.6,-15946.6,9640.51,2018.85,-7.16975,-4988.61
27.9,6.52686,28519.2,-15768.3,9377.41,1999.81,-13.4065,-4986.77
28.0,6.52023,28459.9,-15484.3,9190.89,1980.35,-18.8442,-4982.92
28.1,6.51351,28399.5,-15118.3,9071.42,1960.88,-21.8415,-4978.58
28.2,6.50641,28338.4,-14701.8,9010.56,1941.77,-21.6257,-4975.1
28.3,6.49888,28277.5,-14258.9,9006.18,1923.07,-18.6297,-4972.68
28.4,6.49101,28216.9,-13811.9,9064.05,1904.69,-14.4461,-4970.94
28.5,6.48292,28156.5,-13406.8,9196.89,1886.76,-11.1672,-4969.84
28.6,6.47464,28096.0,-13111.6,9415.85,1869.75,-10.6446,-4969.87
28.7,6.46616,28035.4,-12982.6,9720.03,1854.08,-13.7361,-4971.33
28.8,6.45756,27975.1,-13028.6,10091.3,1839.8,-19.8676,-4973.58
28.9,6.44901,27915.3,-13218.6,10495.7,1826.62,-27.2861,-4975.18
29.0,6.44068,27855.9,-13512.5,10892.7,1814.27,-33.7738,-4975.27
29.1,6.43261,27796.3,-13885.9,11247.4,1802.67,-37.513,-4974.25
29.2,6.42463,27735.9,-14324.2,11537.8,1791.71,-37.777,-4972.87
29.3,6.41652,27674.9,-14808.2,11753.8,1781.31,-35.1946,-4971.34
29.4,6.40813,27613.4,-15320.9,11893.9,1771.3,-31.3873,-4969.82
29.5,6.39942,27552.0,-15862.3,11959.4,1761.53,-28.2499,-4969.09
29.6,6.39047,27490.8,-16440.4,11952.6,1751.89,-27.2675,-4970.27
29.7,6.38137,27429.8,-17050.4,11877.2,1742.26,-29.082,-4973.48
29.8,6.37216,27368.7,-17667.4,11737.3,1732.57,-33.394,-4977.56
29.9,6.3629,27307.8,-18261.5,11533.9,1722.83,-39.06,-4981.06
30.0,6.3537,27247.2,-18811.9,11262.2,1713.19,-44.3823,-4983.22
30.1,6.34463,27186.7,-19302.3,10910.9,1703.89,-47.6885,-4983.7
30.2,6.33571,27126.1,-19713.0,10467.8,1695.12,-47.9652,-4982.22
30.3,6.32681,27064.9,-20028.9,9928.65,1686.92,-45.2615,-4979.0
30.4,6.31777,27003.2,-20250.2,9302.29,1679.12,-40.6595,-4975.38
30.5,6.30855,26941.4,-20388.9,8611.82,1671.34,-35.775,-4973.21
30.6,6.2992,26879.9,-20450.0,7890.1,1663.08,-32.1215,-4973.52
30.7,6.28991,26818.9,-20426.1,7172.5,1653.88,-30.6465,-4975.83
30.8,6.28079,26758.0,-20307.3,6491.91,1643.49,-31.4456,-4978.95
30.9,6.27188,26697.0,-20092.6,5874.02,1631.96,-33.8574,-4981.71
31.0,6.26309,26635.6,-19783.0,5335.05,1619.64,-36.7756,-4983.02
31.1,6.25433,26573.8,-19374.6,4881.0,1607.01,-39.0452,-4981.8
31.2,6.24551,26511.8,-18865.7,4508.76,1594.54,-39.8128,-4977.65
31.3,6.23653,26449.4,-18270.1,4208.85,1582.59,-38.7055,-4971.55
31.4,6.2273,26386.7,-17618.0,3973.62,1571.21,-35.8545,-4965.45
31.5,6.21775,26323.9,-16941.4,3801.95,1560.18,-32.0273,-4961.02
31.6,6.20792,26261.2,-16271.1,3702.36,1549.2,-28.3847,-4958.8
31.7,6.19798,26199.0,-15652.0,3688.71,1538.29,-26.0758,-4958.59
31.8,6.18815,26137.4,-15142.1,3769.5,1527.82,-25.8194,-4960.23
31.9,6.17857,26075.9,-14782.6,3938.91,1518.23,-27.512,-4963.31
32.0,6.16921,26014.1,-14572.1,4175.42,1509.78,-30.267,-4966.25
32.1,6.15994,25951.8,-14474.7,4446.6,1502.53,-32.8688,-4967.14
32.2,6.15065,25889.2,-14456.5,4719.51,1496.46,-34.198,-4965.44
32.3,6.14128,25826.4,-14500.6,4968.79,1491.44,-33.622,-4962.48
32.4,6.13182,25763.5,-14595.0,5179.27,1487.16,-31.1243,-4959.75
32.5,6.12221,25700.3,-14718.7,5344.89,1483.18,-27.3458,-4957.79
32.6,6.11236,25636.7,-14857.7,5466.39,1479.1,-23.348,-4956.75
32.7,6.10218,25572.9,-15020.5,5548.41,1474.65,-20.2315,-4957.28
32.8,6.09173,25509.3,-15223.6,5597.4,1469.86,-18.8158,-4959.9
32.9,6.08117,25446.2,-15466.0,5618.5,1464.93,-19.3905,-4963.84
33.0,6.07063,25383.3,-15725.2,5611.22,1460.21,-21.624,-4967.32
