index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.236653700000001,2.078884566666667,4934066.15846826,-214173.35837126782,1841802.826346571,-7989779.616202243,8804126.193279283,40685287.00000001,Main Bearing_UW,1042.4919550395018,1011.2804077290994,24.096893973681755,132115671.13841076,613002322.307829,258400368.7136644,726369930.4118356,1.573533668453856e-08,3.3913159722463846e-09,8.045207431458026e-09,2.8620190341414402e-09,,
0,0.0,6.236653700000001,2.078884566666667,4934066.15846826,-214173.35837126782,1841802.826346571,-7989779.616202243,8804126.193279283,40685287.00000001,Main Bearing_DW,1077.71908355743,1045.1748985797442,26.334469360869655,473363322.1808464,5007577514.019786,426378256.7152146,1485569316.4581397,4.39173140219013e-09,4.151477557454446e-10,4.875681472789523e-09,1.3993857732758615e-09,,
1,20.0,5.956892450000001,1.985630816666667,4871036.663850766,-222278.8049086591,1245219.108568074,-3263282.788416388,10685309.890971638,27211677.5,Main Bearing_UW,930.5616990990071,902.8251433019881,32.989528460629565,333235731.24416536,2629330421.2409606,653468042.6736442,2534980723.609022,5.958637176311006e-09,7.551849705255044e-10,3.038604318801146e-09,7.832922744437077e-10,,
1,20.0,5.956892450000001,1.985630816666667,4871036.663850766,-222278.8049086591,1245219.108568074,-3263282.788416388,10685309.890971638,27211677.5,Main Bearing_DW,1056.5374467824108,1024.6375977786215,27.42723932113182,542067061.8005999,6024644375.234287,501062097.9180267,1796272862.1498885,3.6630722591240637e-09,3.2958473446649695e-10,3.9628437770831236e-09,1.10541714374627e-09,,
2,40.0,4.848355450000001,1.6161184833333335,4792328.214493794,-193800.99462895974,690990.5008461386,11328315.738932732,7090299.502463766,11990542.6665,Main Bearing_UW,1028.237638106487,997.208507040774,22.046650123802028,252126019.75660124,1364206249.465065,375333981.6621035,1014981940.1385229,6.409963100569749e-09,1.1846584663917562e-09,4.305814454040704e-09,1.5922632900372283e-09,,
2,40.0,4.848355450000001,1.6161184833333335,4792328.214493794,-193800.99462895974,690990.5008461386,11328315.738932732,7090299.502463766,11990542.6665,Main Bearing_DW,1094.6312311966217,1061.578580823856,23.898546278108626,342518719.76986253,2239179748.663665,347807545.3095955,926393496.259946,4.718336225299451e-09,7.217457572567936e-10,4.646588336359323e-09,1.7445270177931503e-09,,
3,60.0,3.1526259,1.0508753,4699934.606753585,-104524.04337292281,322017.40395760065,20240581.17708853,-18607736.065353423,-30836.372299999995,Main Bearing_UW,1633.036825583265,1582.231731123039,8.094221532866722,9276047.991345793,8647361.200015081,9801173.433009101,7305709.513730976,1.1328911848886804e-07,1.215255470071225e-07,1.0721933523396148e-07,1.438430173037807e-07,,
3,60.0,3.1526259,1.0508753,4699934.606753585,-104524.04337292281,322017.40395760065,20240581.17708853,-18607736.065353423,-30836.372299999995,Main Bearing_DW,1275.3785134772902,1236.4555342931599,12.441033671566856,32366304.272424713,45840657.513473876,53338544.9265373,58326478.67876304,3.2468189483571024e-08,2.2924525017799272e-08,1.9701986648630202e-08,1.8017122305424362e-08,,
4,80.0,0.97786176,0.32595392,4563307.406464753,-83352.35749862567,416991.4882434581,10322217.867296813,-27268852.084589876,-19953.091595,Main Bearing_UW,1696.6659619600741,1643.6687118037667,7.34786740389383,6719192.247883898,1176932.7676669925,7013999.07514845,1172286.000292761,4.851087868525476e-08,2.769520306976678e-07,4.647190803815457e-08,2.780498273617512e-07,,
4,80.0,0.97786176,0.32595392,4563307.406464753,-83352.35749862567,416991.4882434581,10322217.867296813,-27268852.084589876,-19953.091595,Main Bearing_DW,1304.2536740950961,1264.4450111192234,11.8297780207276,25540539.49676225,4949125.178258082,43095350.46225705,7931453.075719237,1.2762217495105022e-08,6.586091647710643e-08,7.563551903017259e-09,4.109636870926605e-08,,
