index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,6.19446,0.010324100000000001,4937510.0,-198052.0,1876010.0,-5644150.0,8552440.0,43005400.0,Main Bearing_UW,1016.1000997956875,985.7766154555005,25.856456984633844,160937321.48516455,832650876.1261407,317042441.99026024,955702461.4264487,6.414981872897452e-11,1.2399074205064516e-11,3.2563778953977285e-11,1.080262991537199e-11,,
0,0.0,6.19446,0.010324100000000001,4937510.0,-198052.0,1876010.0,-5644150.0,8552440.0,43005400.0,Main Bearing_DW,1031.04329351265,999.9089900021727,30.000688627934178,730942885.7309505,10679555613.50161,638358087.6735686,2609062395.3269086,1.4124359374092264e-11,9.667162542744546e-13,1.617289762494455e-11,3.957015370154235e-12,,
1,0.1,6.19347,0.01032245,4935020.0,-205028.0,1868330.0,-5803250.0,9176660.0,43013300.0,Main Bearing_UW,1013.7927698663748,983.5418388721165,26.004863834437696,158505356.519963,812611927.731688,315669122.84177285,949279593.8099576,6.512366664845132e-11,1.2702803943345901e-11,3.270022074719694e-11,1.0873982825829623e-11,,
1,0.1,6.19347,0.01032245,4935020.0,-205028.0,1868330.0,-5803250.0,9176660.0,43013300.0,Main Bearing_DW,1050.429040004302,1018.71020311227,28.416807692146982,610047510.5696048,7739919423.888655,538881445.9615517,2052880732.8827136,1.6920731289210363e-11,1.3336637547079067e-12,1.915532642171631e-11,5.028275551841203e-12,,
2,0.2,6.19389,0.01032315,4930930.0,-211243.0,1862250.0,-6141770.0,9736000.0,43021100.0,Main Bearing_UW,1014.4233381034722,984.1483322535091,25.946965769206045,153377622.22177294,771308123.3515556,307845078.99539167,916738660.6085968,6.730545075913011e-11,1.3383950832960173e-11,3.3533587847784094e-11,1.1260733776785146e-11,,
2,0.2,6.19389,0.01032315,4930930.0,-211243.0,1862250.0,-6141770.0,9736000.0,43021100.0,Main Bearing_DW,1070.156446839503,1037.8422629066647,26.919103684698324,509308998.3514207,5642636713.062911,454899367.21805394,1618057387.3989463,2.026893307091558e-11,1.829490453656449e-12,2.269326084828701e-11,6.379965309261764e-12,,
3,0.30000000000000004,6.19575,0.010326250000000002,4927190.0,-215695.0,1858070.0,-6608510.0,10164800.0,43026900.0,Main Bearing_UW,1017.9355333148296,987.5480454531205,25.6882805131554,146467472.88273314,717183743.1683124,295301154.40383136,865919194.7306393,7.05020015486138e-11,1.439833250316242e-11,3.496853922175532e-11,1.192518893545509e-11,,
3,0.30000000000000004,6.19575,0.010326250000000002,4927190.0,-215695.0,1858070.0,-6608510.0,10164800.0,43026900.0,Main Bearing_DW,1087.977308828782,1055.1248588824355,25.66676256445215,434526574.6614955,4291020213.439876,391802042.614555,1313734849.940465,2.3764369320896766e-11,2.4064789924916277e-12,2.6355783984920946e-11,7.860223849940466e-12,,
4,0.4,6.19894,0.010331566666666667,4925150.0,-217367.0,1856030.0,-7148480.0,10411600.0,43029900.0,Main Bearing_UW,1023.7948731311327,993.2225631498841,25.27168569982337,138844743.0996331,659446112.9285842,280318834.01545393,806690117.4403356,7.441093149095947e-11,1.566703702412382e-11,3.6856484163661615e-11,1.2807354947460118e-11,,
4,0.4,6.19894,0.010331566666666667,4925150.0,-217367.0,1856030.0,-7148480.0,10411600.0,43029900.0,Main Bearing_DW,1102.3520517655043,1069.0660462199608,24.732684814894593,384016815.4729488,3477088565.040779,348725393.21774423,1117792073.1102254,2.6903943396183e-11,2.9713268653959345e-12,2.962665428902573e-11,9.242834079078204e-12,,
5,0.5,6.20315,0.010338583333333333,4925380.0,-216426.0,1855280.0,-7715830.0,10465600.0,43028500.0,Main Bearing_UW,1031.448972159807,1000.6454392386208,24.761324781174324,131373348.94216463,604842927.4085903,264849703.32038108,747024986.8759832,7.869619992624803e-11,1.709300524952538e-11,3.903566137216717e-11,1.3839675399036799e-11,,
5,0.5,6.20315,0.010338583333333333,4925380.0,-216426.0,1855280.0,-7715830.0,10465600.0,43028500.0,Main Bearing_DW,1111.7133002099251,1078.1449691612213,24.10098676768618,352286049.91139835,3007030910.6869154,321623234.2931953,999782480.9753553,2.934712667712371e-11,3.438136700421089e-12,3.2145013888855325e-11,1.0340832661167805e-11,,
6,0.6000000000000001,6.2078,0.010346333333333332,4927510.0,-213755.0,1855140.0,-8288299.999999999,10328300.0,43021700.0,Main Bearing_UW,1040.143043120404,1008.9366041276966,24.202290892647422,124473879.90387075,556150616.4413483,249846242.59646186,690539930.7284636,8.312051766461884e-11,1.8603473640893568e-11,4.141080220303401e-11,1.4982961698418786e-11,,
6,0.6000000000000001,6.2078,0.010346333333333332,4927510.0,-213755.0,1855140.0,-8288299.999999999,10328300.0,43021700.0,Main Bearing_DW,1118.071434320857,1084.3107956311785,23.731115424091765,334585054.2231381,2759209545.8777475,306451380.9814309,935699056.2830226,3.0922879557056547e-11,3.749745411250381e-12,3.376174484904755e-11,1.1057330093324213e-11,,
7,0.7000000000000001,6.21227,0.010353783333333335,4931230.0,-210898.0,1855130.0,-8868640.0,10008300.0,43010300.0,Main Bearing_UW,1049.9930199499092,1018.3327888448706,23.60348054743876,117999900.24297497,511939129.74558395,235056169.20134982,636124211.2664046,8.774400073232044e-11,2.022463752375953e-11,4.404812419309128e-11,1.6276354758956406e-11,,
7,0.7000000000000001,6.21227,0.010353783333333335,4931230.0,-210898.0,1855130.0,-8868640.0,10008300.0,43010300.0,Main Bearing_DW,1120.2388434208424,1086.412178779058,23.565453760499793,326862717.6619092,2655087773.3255286,300040252.3353177,909244364.9389615,3.1676244410483e-11,3.899601149669376e-12,3.4507981021700376e-11,1.1387239484325422e-11,,
8,0.8,6.21603,0.01036005,4935730.0,-209470.0,1855440.0,-9472600.0,9513500.0,42995500.0,Main Bearing_UW,1061.112478083392,1029.1106687503288,22.956183447013544,111609206.48839965,469670230.86715204,219816908.1387098,581310427.564778,9.282433166547775e-11,2.2058136367025527e-11,4.713035993328847e-11,1.7821889146905995e-11,,
8,0.8,6.21603,0.01036005,4935730.0,-209470.0,1855440.0,-9472600.0,9513500.0,42995500.0,Main Bearing_DW,1120.40841779492,1086.5767088979221,23.54212871929476,325785535.4606414,2642033625.351391,299437707.6363461,907100426.0452906,3.180021478041223e-11,3.921240782324302e-12,3.459834795616932e-11,1.1421061772803901e-11,,
