idx,dmg_UW,dmg_DW
0,1.080262991537199e-11,3.957015370154235e-12
1,1.0873982825829623e-11,5.028275551841203e-12
2,1.1260733776785146e-11,6.379965309261764e-12
3,1.192518893545509e-11,7.860223849940466e-12
4,1.2807354947460118e-11,9.242834079078204e-12
5,1.3839675399036799e-11,1.0340832661167805e-11
6,1.4982961698418786e-11,1.1057330093324213e-11
7,1.6276354758956406e-11,1.1387239484325422e-11
8,1.7821889146905995e-11,1.1421061772803901e-11
9,1.9762517054357906e-11,1.1356872942665911e-11
10,2.2230061878024002e-11,1.1396256975405311e-11
11,2.52961629712753e-11,1.1643674298712422e-11
12,2.8926975349889954e-11,1.2070630574384574e-11
13,3.294936013719456e-11,1.2544878986227824e-11
14,3.704761331168644e-11,1.2842120364095513e-11
15,4.081672491736291e-11,1.274570531163947e-11
16,4.394214002648966e-11,1.2082776288824885e-11
17,4.631388064485237e-11,1.083805058355597e-11
18,4.8065317368754984e-11,9.137404875953097e-12
19,4.9147612914419284e-11,7.2309513065753535e-12
20,4.946741538527784e-11,5.381266374330329e-12
21,4.886827715774797e-11,3.768192219044017e-12
22,4.7124251677966703e-11,2.482270895332139e-12
23,4.395809611902428e-11,1.534554630530058e-12
24,3.9282903105655315e-11,8.856038203083691e-13
25,3.343620977876681e-11,4.758710158419172e-13
26,2.710963467767817e-11,2.4243570833173094e-13
27,2.1035974339385037e-11,1.2647867594778583e-13
28,1.5848483400967325e-11,8.179005895496722e-14
29,1.2031817141603992e-11,8.387555849487106e-14
30,9.724706743901775e-12,1.3968427199852306e-13
31,8.46811918883687e-12,2.9791743324254556e-13
32,7.696015232631083e-12,6.521258838118199e-13
33,7.238927123293893e-12,1.3124827956832637e-12
34,7.037920028473207e-12,2.3335579165165786e-12
35,7.055433815295967e-12,3.63602589203492e-12
36,7.2359083938256815e-12,4.9874352600318175e-12
37,7.503907639849497e-12,6.11784036540468e-12
38,7.791316458628769e-12,6.811402374444929e-12
39,8.068656419184833e-12,6.981068879886911e-12
40,8.342350659176416e-12,6.669873085174294e-12
41,8.658147715618838e-12,6.0543273187641024e-12
42,9.05716415820471e-12,5.339014943007856e-12
43,9.575672336631456e-12,4.672547245254609e-12
44,1.021045902810536e-11,4.088623916839009e-12
45,1.0921567578586887e-11,3.5837565427767645e-12
46,1.1633469026330486e-11,3.113093537402773e-12
47,1.22452774133117e-11,2.647135579843016e-12
48,1.2678236761810855e-11,2.1684226128119453e-12
49,1.290301855337092e-11,1.6904680902209467e-12
50,1.2942896491926581e-11,1.2428690711839584e-12
51,1.2835089428427417e-11,8.669825595386159e-13
52,1.2604386350965943e-11,5.874727729582774e-13
53,1.2259440074008702e-11,4.001362873284003e-13
54,1.1792360270646478e-11,2.890354707206524e-13
55,1.1193697222241663e-11,2.335253710980519e-13
56,1.0486839200068884e-11,2.2326689233551615e-13
57,9.748158847692663e-12,2.556560251695958e-13
58,9.052455457894378e-12,3.4150004959798107e-13
59,8.449731533985362e-12,5.047757970021156e-13
60,7.963180744097501e-12,7.872665984714282e-13
61,7.601981693224218e-12,1.2483812768175867e-12
62,7.370766817385795e-12,1.987394523499386e-12
63,7.290213034724876e-12,3.134553113192455e-12
64,7.396089609327755e-12,4.8550622117115884e-12
65,7.740834000699702e-12,7.307313529257915e-12
66,8.371369825809504e-12,1.0569068828280115e-11
67,9.29840136304578e-12,1.4506068298472445e-11
68,1.047202564342366e-11,1.870474487372185e-11
69,1.1776944514863133e-11,2.2623763841092824e-11
70,1.308106490381544e-11,2.577693235990099e-11
71,1.4295572165048104e-11,2.787001847282672e-11
72,1.5407205608100235e-11,2.8852921256803645e-11
73,1.6487853579659665e-11,2.8911055416821398e-11
74,1.7658289596946044e-11,2.8491582658639314e-11
75,1.9036899704775327e-11,2.8001625367796965e-11
76,2.065327076761988e-11,2.755165746188455e-11
77,2.24498890148841e-11,2.706564242235466e-11
78,2.427004456843562e-11,2.6283308276675813e-11
79,2.5878356946008565e-11,2.4961862893247857e-11
80,2.7040550521059846e-11,2.2947777620790085e-11
81,2.761338428300727e-11,2.0215649241267577e-11
82,2.7604312159861728e-11,1.6984303198665782e-11
83,2.7145405097315804e-11,1.3636167957262066e-11
84,2.638899605705145e-11,1.0551524275028278e-11
85,2.546641103156555e-11,7.977283049308874e-12
86,2.4451480314853836e-11,5.965080594082127e-12
87,2.3338032527346635e-11,4.4711356471853005e-12
88,2.2062681661476357e-11,3.3946691957356837e-12
89,2.057955240807137e-11,2.6363224219780326e-12
90,1.8922772740006256e-11,2.1067944090277655e-12
91,1.7207329433723453e-11,1.7551010244711883e-12
92,1.5565988037235718e-11,1.5560354138486769e-12
93,1.4116818661624858e-11,1.5090620366489984e-12
94,1.2948401035257059e-11,1.633548314058271e-12
95,1.211539365108644e-11,1.9733104448352568e-12
96,1.1644277904778127e-11,2.6103417651447066e-12
97,1.1561081879664559e-11,3.65736323722211e-12
98,1.1897092356329724e-11,5.2238781919075825e-12
99,1.2677263491794923e-11,7.319972867626916e-12
100,1.38780903802335e-11,9.794733981200844e-12
101,1.541683908361268e-11,1.2346946886963335e-11
102,1.7182713333949016e-11,1.4635649050558788e-11
103,1.915885524553829e-11,1.6458760429603055e-11
104,2.1261262213334214e-11,1.7614412751923687e-11
105,2.3618728517662162e-11,1.824392094576488e-11
106,2.6261093281631006e-11,1.8539567487982756e-11
107,2.9192103192730256e-11,1.8695241787735038e-11
108,3.253426879610158e-11,1.8925747608869296e-11
109,3.609079008212973e-11,1.908933810043342e-11
110,3.9550481701872716e-11,1.8956497249186246e-11
111,4.258046887794722e-11,1.831278034557341e-11
112,4.45804603856997e-11,1.685872867031025e-11
113,4.5319617750413816e-11,1.4592452911169205e-11
114,4.494249422176386e-11,1.1823358490843265e-11
115,4.3639741134174314e-11,8.894688132970013e-12
116,4.177525963197631e-11,6.235400713922747e-12
117,3.951649258765804e-11,4.0992230666493756e-12
118,3.6855772058806924e-11,2.520220053346355e-12
119,3.383850930225576e-11,1.458409904849925e-12
120,3.03572341231995e-11,7.971855942680169e-13
121,2.637478271992903e-11,4.1058194266691913e-13
122,2.211677714215879e-11,2.046315498454488e-13
123,1.7932102615142396e-11,1.0574659730992438e-13
124,1.420760964595186e-11,6.633275294439816e-14
