t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,6.19446,43005.4,8552.44,5644.15,1876.01,-198.052,-4937.51
0.1,6.19347,43013.3,9176.66,5803.25,1868.33,-205.028,-4935.02
0.2,6.19389,43021.1,9736.0,6141.77,1862.25,-211.243,-4930.93
0.3,6.19575,43026.9,10164.8,6608.51,1858.07,-215.695,-4927.19
0.4,6.19894,43029.9,10411.6,7148.48,1856.03,-217.367,-4925.15
0.5,6.20315,43028.5,10465.6,7715.83,1855.28,-216.426,-4925.38
0.6,6.2078,43021.7,10328.3,8288.3,1855.14,-213.755,-4927.51
0.7,6.21227,43010.3,10008.3,8868.64,1855.13,-210.898,-4931.23
0.8,6.21603,42995.5,9513.5,9472.6,1855.44,-209.47,-4935.73
0.9,6.21864,42978.5,8880.56,10115.4,1856.19,-210.581,-4939.97
1.0,6.21978,42961.1,8159.0,10800.0,1857.72,-214.5,-4942.32
1.1,6.21933,42945.3,7387.16,11510.0,1860.5,-220.495,-4941.74
1.2,6.21744,42932.8,6585.92,12206.7,1864.84,-227.408,-4939.03
1.3,6.21448,42925.1,5765.14,12838.9,1870.29,-233.566,-4935.9
1.4,6.211,42922.3,4924.71,13347.8,1876.5,-237.804,-4933.11
1.5,6.20763,42924.0,4073.86,13681.6,1882.67,-239.728,-4931.98
1.6,6.20492,42929.0,3204.17,13803.4,1888.34,-239.576,-4933.71
1.7,6.20323,42935.4,2316.51,13697.3,1892.99,-237.939,-4939.35
1.8,6.2028,42941.5,1421.79,13362.8,1896.88,-235.942,-4948.04
1.9,6.20368,42946.3,566.187,12816.5,1899.91,-233.932,-4957.96
2.0,6.20581,42948.5,-188.102,12093.0,1901.83,-231.646,-4967.02
2.1,6.20892,42948.0,-783.141,11234.1,1902.86,-229.169,-4973.5
2.2,6.21273,42944.7,-1169.92,10287.1,1902.89,-226.164,-4976.31
2.3,6.21679,42938.0,-1309.35,9291.33,1901.94,-222.371,-4975.2
2.4,6.22053,42928.0,-1184.82,8272.25,1899.85,-217.184,-4970.72
2.5,6.22344,42915.4,-809.063,7242.37,1896.7,-210.484,-4964.36
2.6,6.22508,42901.8,-218.783,6211.24,1892.39,-202.416,-4957.94
2.7,6.22525,42888.7,549.306,5193.53,1886.88,-193.469,-4952.84
2.8,6.22406,42877.9,1467.3,4220.51,1879.93,-184.477,-4948.94
2.9,6.22174,42870.7,2518.04,3338.49,1871.57,-176.612,-4945.36
3.0,6.21879,42867.4,3679.17,2601.36,1861.98,-170.815,-4940.84
3.1,6.21574,42868.1,4923.78,2062.0,1851.23,-167.428,-4934.07
3.2,6.21311,42872.3,6214.78,1756.18,1840.01,-166.509,-4924.23
3.3,6.21143,42879.2,7493.16,1692.93,1829.25,-167.668,-4911.18
3.4,6.21109,42887.5,8670.53,1849.9,1820.04,-170.097,-4896.13
3.5,6.21217,42894.8,9661.32,2171.68,1813.01,-173.044,-4881.69
3.6,6.21449,42899.4,10399.8,2585.27,1808.54,-175.575,-4869.96
3.7,6.2177,42900.0,10867.3,3023.21,1806.15,-177.236,-4862.51
3.8,6.22123,42896.0,11069.5,3440.28,1805.07,-178.276,-4860.0
3.9,6.22459,42888.8,11030.0,3822.72,1804.73,-179.61,-4862.85
4.0,6.22731,42879.7,10771.3,4183.57,1805.15,-182.028,-4870.18
4.1,6.22893,42869.5,10346.5,4544.4,1806.3,-186.191,-4880.58
4.2,6.22903,42859.0,9812.24,4922.97,1808.3,-191.932,-4891.65
4.3,6.2274,42850.3,9228.53,5320.42,1811.83,-198.995,-4901.77
4.4,6.22417,42845.4,8619.09,5718.51,1817.05,-206.042,-4910.25
4.5,6.21972,42845.8,8005.72,6080.94,1823.73,-211.719,-4918.26
4.6,6.21458,42851.6,7392.24,6361.78,1831.61,-214.719,-4926.4
4.7,6.20934,42862.2,6790.82,6518.04,1839.74,-214.281,-4935.55
4.8,6.20461,42876.9,6203.21,6522.2,1847.59,-210.513,-4946.29
4.9,6.20083,42894.1,5628.81,6372.25,1854.36,-203.852,-4958.89
5.0,6.19838,42912.4,5068.11,6081.75,1860.21,-195.782,-4972.18
5.1,6.19743,42929.8,4542.78,5682.59,1865.04,-187.367,-4983.98
5.2,6.1979,42944.7,4097.14,5216.04,1868.74,-179.373,-4992.08
5.3,6.19948,42956.1,3770.69,4721.47,1871.55,-172.622,-4994.48
5.4,6.20184,42963.7,3604.41,4237.77,1873.61,-167.303,-4990.66
5.5,6.2045,42967.6,3620.82,3788.27,1874.74,-163.323,-4980.7
5.6,6.20707,42968.7,3846.08,3385.17,1875.13,-160.291,-4966.65
5.7,6.20905,42966.8,4268.24,3028.27,1874.52,-157.909,-4950.03
5.8,6.20999,42963.0,4862.05,2710.48,1872.93,-156.204,-4933.23
5.9,6.20959,42958.6,5587.9,2431.52,1870.1,-154.991,-4918.33
6.0,6.20779,42954.9,6414.28,2201.47,1866.11,-155.028,-4906.6
6.1,6.20481,42955.2,7310.6,2048.85,1860.96,-156.944,-4897.21
6.2,6.20108,42959.7,8279.13,2001.75,1854.71,-161.831,-4889.57
6.3,6.19709,42967.9,9304.52,2097.02,1847.68,-169.433,-4882.54
6.4,6.19335,42979.8,10369.8,2356.46,1840.27,-179.37,-4875.66
6.5,6.19042,42993.9,11439.1,2788.3,1833.19,-190.635,-4868.65
6.6,6.18875,43009.0,12457.9,3378.64,1827.22,-201.893,-4861.75
