t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,0.0672476,-0.467803,-27994.7,-28.107,463.15,5.27287,-4962.19
0.1,0.0670398,-0.62954,-28004.4,-33.8039,463.348,4.8095,-4962.06
0.2,0.0667899,-0.613429,-28021.0,-36.3345,463.66,4.575,-4962.61
0.3,0.0665466,-0.626782,-28033.3,-35.5015,463.809,4.62975,-4962.91
0.4,0.0663362,-0.52722,-28038.5,-30.0258,463.803,4.55875,-4962.34
0.5,0.0660563,-0.848506,-28039.6,-22.2483,463.7,4.014,-4962.15
0.6,0.0657503,-0.714486,-28042.9,-16.06,463.37,3.461,-4962.57
0.7,0.0655799,-0.17685,-28040.7,-16.5315,462.987,3.33175,-4962.72
0.8,0.0655571,0.0767553,-28026.0,-25.4184,462.719,3.34975,-4961.94
0.9,0.0656522,0.422415,-28011.4,-37.1759,462.688,3.50912,-4961.19
1.0,0.065858,0.697825,-28005.6,-49.8843,462.787,3.602,-4961.53
1.1,0.0661492,0.812583,-28005.3,-59.615,462.987,3.76362,-4961.97
1.2,0.0664869,1.04325,-27998.5,-66.4288,463.257,3.87013,-4961.45
1.3,0.0668659,0.910845,-27993.4,-70.4547,463.342,4.0345,-4960.5
1.4,0.0671569,0.655731,-27995.4,-68.1983,463.441,3.94462,-4960.91
1.5,0.0674094,0.721042,-28005.8,-62.2194,463.264,3.633,-4961.79
1.6,0.0676732,0.64808,-28005.8,-50.7643,462.931,3.153,-4961.75
1.7,0.0678588,0.401554,-27994.9,-36.0563,462.61,2.689,-4960.89
1.8,0.0680773,0.724711,-27983.7,-23.6888,462.43,2.19575,-4960.79
1.9,0.0683558,0.71635,-27982.1,-12.3061,462.392,2.041,-4961.37
2.0,0.0685704,0.461814,-27976.2,-3.16166,462.46,1.9455,-4961.43
2.1,0.0687674,0.559443,-27963.9,3.25637,462.9,2.03775,-4960.9
2.2,0.0688847,0.0625534,-27959.3,5.77731,463.303,2.05325,-4960.62
2.3,0.0688221,-0.374028,-27968.1,6.78295,463.534,2.33063,-4961.28
2.4,0.0686204,-0.650076,-27978.9,4.13337,463.502,2.58775,-4961.85
2.5,0.0683534,-0.719098,-27983.1,2.91861,463.374,2.66637,-4961.5
2.6,0.0680824,-0.628158,-27986.1,3.02326,463.054,2.41512,-4961.1
2.7,0.0678988,-0.354232,-27996.1,8.16503,462.769,2.1485,-4961.52
2.8,0.0677453,-0.44206,-28009.3,15.9924,462.641,1.95187,-4962.24
2.9,0.067599,-0.260844,-28014.0,22.8777,462.649,1.916,-4962.09
3.0,0.0675333,-0.149668,-28012.2,30.4187,462.82,2.03575,-4961.35
3.1,0.0674403,-0.332504,-28014.4,37.125,463.061,2.00738,-4961.14
3.2,0.0673128,-0.285933,-28022.8,37.3201,463.283,1.88713,-4961.71
3.3,0.0671795,-0.4431,-28026.3,30.6648,463.413,1.79275,-4962.15
3.4,0.0670168,-0.314542,-28026.4,17.3691,463.319,1.95487,-4961.84
3.5,0.066983,0.122649,-28028.8,0.69715,463.086,2.15812,-4961.67
3.6,0.0670711,0.343354,-28036.7,-14.7706,462.79,2.13525,-4962.21
3.7,0.0672836,0.777384,-28044.5,-26.5446,462.473,2.20075,-4962.52
3.8,0.0676405,1.06047,-28047.8,-34.9519,462.343,2.41225,-4962.18
3.9,0.0680116,0.981628,-28047.1,-39.7312,462.396,2.75163,-4961.68
4.0,0.0683425,0.761092,-28052.3,-41.2663,462.554,3.18313,-4961.42
4.1,0.0685598,0.417537,-28055.2,-40.6761,462.66,3.51813,-4961.45
4.2,0.068649,0.0601206,-28047.5,-40.5983,462.68,3.58838,-4961.12
4.3,0.068664,0.0110462,-28032.4,-46.1038,462.598,3.578,-4960.48
4.4,0.0686446,-0.104857,-28021.6,-57.0928,462.408,3.68062,-4960.29
4.5,0.0686341,0.1157,-28012.0,-71.2075,462.205,3.84063,-4960.82
4.6,0.0687566,0.467166,-28003.9,-83.0408,462.076,3.88937,-4961.05
4.7,0.0689296,0.444188,-27994.6,-89.1481,462.044,3.65138,-4960.78
4.8,0.0690322,0.136785,-27991.8,-91.3986,462.217,3.41388,-4960.82
4.9,0.0690546,-0.0468393,-27999.8,-90.288,462.567,3.60425,-4961.39
5.0,0.0689397,-0.520445,-28005.8,-84.7618,462.89,4.00362,-4961.9
5.1,0.0686886,-0.793458,-28005.1,-73.9756,463.091,4.15188,-4961.83
5.2,0.0683163,-1.10852,-27999.6,-60.4891,463.166,3.87488,-4961.71
5.3,0.0679226,-0.897327,-27992.1,-49.202,463.017,3.63913,-4962.1
5.4,0.067645,-0.538634,-27984.8,-42.5906,462.768,3.87275,-4962.29
5.5,0.0674661,-0.379759,-27974.3,-40.9321,462.503,4.20125,-4961.81
5.6,0.0673589,-0.221236,-27968.2,-41.7553,462.447,4.34,-4961.34
5.7,0.0672505,-0.293114,-27973.9,-44.0003,462.632,4.339,-4961.58
5.8,0.0671423,-0.276824,-27989.0,-46.8517,462.835,4.50437,-4961.96
5.9,0.0670137,-0.35168,-28003.3,-48.5498,463.085,4.79838,-4961.85
6.0,0.0668838,-0.333038,-28011.9,-46.7442,463.284,4.86,-4961.49
6.1,0.0667677,-0.267154,-28020.1,-39.5147,463.358,4.55487,-4961.48
6.2,0.066694,-0.05502,-28029.3,-29.6719,463.235,4.04338,-4962.0
6.3,0.0667021,0.0817351,-28033.7,-19.763,463.042,3.60737,-4962.27
6.4,0.0667335,0.118175,-28031.8,-13.3488,462.825,3.38375,-4962.13
6.5,0.0668414,0.449878,-28031.4,-8.46092,462.723,3.24913,-4961.99
6.6,0.0669471,0.124542,-28039.4,-4.56196,462.814,3.03863,-4962.44
6.7,0.0669249,-0.20772,-28052.7,-4.45444,463.108,2.92825,-4963.19
6.8,0.0668335,-0.261944,-28063.1,-12.9919,463.475,3.00325,-4963.53
6.9,0.0667367,-0.218949,-28068.6,-27.9604,463.684,3.57212,-4963.52
7.0,0.0666967,-0.0111305,-28073.4,-45.6748,463.767,4.0405,-4963.5
7.1,0.0666886,-0.0455127,-28076.9,-59.8893,463.657,4.04938,-4963.59
7.2,0.0666909,0.0893688,-28072.5,-69.2315,463.362,3.78387,-4963.34
7.3,0.0667065,-0.0154831,-28058.4,-74.3015,463.052,3.48012,-4962.62
7.4,0.0666485,-0.314004,-28041.9,-75.7415,462.954,3.17337,-4962.3
7.5,0.0664741,-0.532421,-28030.6,-70.9352,462.951,2.8865,-4962.31
7.6,0.0662493,-0.655175,-28021.3,-59.4909,463.128,2.29662,-4962.27
7.7,0.0659061,-1.08563,-28013.6,-47.1085,463.534,1.59275,-4962.15
7.8,0.0655095,-0.920292,-28010.1,-43.2515,463.825,1.35987,-4962.09
7.9,0.0651999,-0.714376,-28015.2,-47.2636,464.002,1.74775,-4962.5
8.0,0.0649813,-0.352611,-28016.8,-58.7959,464.006,2.04975,-4962.96
8.1,0.0649378,0.119528,-28011.7,-70.9799,463.822,2.05188,-4962.84
8.2,0.0649587,-0.0164964,-28007.7,-80.3996,463.642,1.81225,-4962.46
8.3,0.0649171,-0.132021,-28007.1,-88.4567,463.514,1.79387,-4962.67
8.4,0.0648511,-0.25727,-28005.8,-94.1789,463.556,1.94963,-4962.99
8.5,0.0647011,-0.530835,-28000.4,-89.7049,463.749,2.03988,-4962.66
8.6,0.0644378,-0.752864,-27990.9,-75.169,463.998,1.60113,-4962.03
8.7,0.064167,-0.71862,-27987.6,-53.8496,464.218,0.93775,-4961.83
8.8,0.0638709,-0.743979,-27987.9,-32.8925,464.316,0.410875,-4962.08
8.9,0.0636642,-0.320211,-27988.2,-19.759,464.308,0.1765,-4962.06
9.0,0.0636123,0.0163249,-27987.0,-11.7286,464.122,0.116375,-4961.7
9.1,0.0636385,0.185895,-27993.8,-5.56786,463.804,-0.107,-4961.62
9.2,0.0637625,0.388066,-28006.9,-2.43898,463.541,-0.50725,-4962.02
9.3,0.0638335,0.000767706,-28020.4,-3.63203,463.377,-0.661,-4962.22
9.4,0.0637894,-0.208394,-28030.5,-8.16679,463.288,-0.219875,-4961.81
9.5,0.0636896,-0.306219,-28038.1,-12.0558,463.32,0.342125,-4961.42
9.6,0.0635036,-0.6385,-28046.4,-9.95837,463.344,0.584125,-4961.41
9.7,0.0632157,-0.801267,-28046.5,-3.19721,463.411,0.398,-4961.59
9.8,0.0629699,-0.469175,-28037.7,3.67618,463.459,0.241,-4961.39
9.9,0.0628407,-0.236166,-28028.3,9.27083,463.384,0.305375,-4961.04
10.0,0.0628067,0.085859,-28025.1,11.7546,463.302,0.246,-4961.32
10.1,0.062909,0.395918,-28028.0,14.9124,463.231,-0.107,-4961.92
10.2,0.0629544,-0.170706,-28032.9,16.358,463.155,-0.7015,-4962.17
10.3,0.0627667,-0.761195,-28039.2,11.2498,463.057,-0.93275,-4962.04
10.4,0.0624214,-1.03815,-28045.8,-1.60853,463.02,-0.56725,-4962.11
10.5,0.0619706,-1.27481,-28050.6,-17.0305,463.055,0.0375,-4962.55
10.6,0.061478,-1.23349,-28044.9,-32.2425,463.036,0.197875,-4962.69
10.7,0.0610775,-0.814878,-28032.5,-43.3715,463.007,0.15,-4962.33
10.8,0.0608179,-0.53447,-28019.6,-52.5812,462.991,0.19325,-4962.14
10.9,0.0606355,-0.387308,-28010.7,-63.8033,463.021,0.463375,-4962.37
11.0,0.0605352,-0.161684,-28006.4,-73.4115,463.058,0.885875,-4962.48
11.1,0.0604369,-0.364964,-28003.5,-78.5859,463.065,1.10125,-4962.14
11.2,0.0602374,-0.662357,-28007.3,-79.8001,463.082,1.02375,-4961.81
11.3,0.0599091,-1.06143,-28018.0,-82.5464,463.05,0.92775,-4961.95
11.4,0.0594321,-1.37276,-28031.7,-91.064,462.996,1.35837,-4962.18
11.5,0.0589023,-1.32665,-28040.1,-107.105,462.878,2.06275,-4962.17
11.6,0.0584795,-0.879065,-28042.5,-122.786,462.713,2.77787,-4961.73
11.7,0.0581925,-0.591304,-28044.2,-135.146,462.604,2.925,-4961.51
11.8,0.0580191,-0.316251,-28045.6,-143.934,462.553,2.876,-4961.51
11.9,0.0579017,-0.255367,-28045.5,-149.385,462.615,3.15575,-4961.42
12.0,0.0578233,-0.172075,-28045.2,-151.076,462.756,3.711,-4961.11
12.1,0.0576957,-0.516065,-28045.7,-144.264,462.876,4.03125,-4960.98
12.2,0.0574097,-0.955759,-28055.1,-128.506,462.989,3.7655,-4961.28
12.3,0.0570105,-1.11881,-28065.6,-108.189,462.95,3.48275,-4961.83
