index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,0.00506976,8.449600000000001e-06,4962230.0,1121.9399999999998,463280.0,24939.0,-27979700.0,12774.0,Main Bearing_UW,1711.7550586713921,1658.2820550865476,7.188085151945433,6244390.809533024,624312.5799816451,6492951.387212884,649174.0335370064,1.3531504125431077e-12,1.3534245938546394e-11,1.3013496476564587e-12,1.3015924179780567e-11,,
0,0.0,0.00506976,8.449600000000001e-06,4962230.0,1121.9399999999998,463280.0,24939.0,-27979700.0,12774.0,Main Bearing_DW,1291.2942113172414,1251.8790416159507,12.388835485189611,26244329.579024926,2623801.3383798725,45845528.17270431,4583529.334567106,3.21959072132409e-13,3.2203657633688853e-12,1.8430587097109194e-13,1.843470256921139e-12,,
1,0.1,0.0051043,8.507166666666667e-06,4962630.0,828.9060000000001,463339.0,12880.800000000001,-27981900.0,12318.199999999999,Main Bearing_UW,1711.814388762788,1658.3395180927425,7.187525348705436,6242769.9269503085,624150.5284991087,6491202.275025112,648999.1580172959,1.3627230806538072e-12,1.3629991930189986e-11,1.3105687215137286e-12,1.3108132054679724e-11,,
1,0.1,0.0051043,8.507166666666667e-06,4962630.0,828.9060000000001,463339.0,12880.800000000001,-27981900.0,12318.199999999999,Main Bearing_DW,1291.3292848299543,1251.9130449842876,12.387839156742132,26237722.835990187,2623140.8421554086,45833824.02631359,4582359.205495596,3.242341844924674e-13,3.2431223401929165e-12,1.8560892195647107e-13,1.8565036665969077e-12,,
2,0.2,0.0050889,8.481500000000002e-06,4962450.0,476.344,463490.0,-3580.21,-27977600.0,12112.5,Main Bearing_UW,1711.7490034089894,1658.2761892633266,7.1882900269154915,6244984.088500473,624371.8944173678,6493632.517082634,649242.1326167083,1.3581299615507195e-12,1.3584051549781094e-11,1.3061256511956804e-12,1.3063693149143182e-11,,
2,0.2,0.0050889,8.481500000000002e-06,4962450.0,476.344,463490.0,-3580.21,-27977600.0,12112.5,Main Bearing_DW,1291.2502566844253,1251.8364272199735,12.389811289722195,26251141.559214592,2624482.3527822113,45857411.06057512,4584717.333389336,3.2309071134557393e-13,3.231684903885435e-12,1.849537469264544e-13,1.8499504731145328e-12,,
3,0.30000000000000004,0.00505149,8.419149999999999e-06,4962220.0,316.719,463619.0,-19872.699999999997,-27973600.0,12005.699999999999,Main Bearing_UW,1711.6851471198402,1658.2143415620108,7.189035016810017,6247141.770223454,624587.6136323153,6495997.2631735625,649478.5589556657,1.3476803168017196e-12,1.347953404173048e-11,1.2960519622951468e-12,1.2962937550298257e-11,,
3,0.30000000000000004,0.00505149,8.419149999999999e-06,4962220.0,316.719,463619.0,-19872.699999999997,-27973600.0,12005.699999999999,Main Bearing_DW,1291.1760813315802,1251.7645143529949,12.391640205996039,26263770.420118503,2625744.898447079,45879528.56507072,4586928.544126971,3.205613613478278e-13,3.2063853594381015e-12,1.835055909098795e-13,1.835465697580954e-12,,
4,0.4,0.00498941,8.315683333333334e-06,4962620.0,285.469,463804.0,-31563.1,-27973500.0,11653.7,Main Bearing_UW,1711.708349234211,1658.2368128329397,7.1888289005031165,6246544.752349631,624527.9253913471,6495388.186069334,649417.663673633,1.3312452984836775e-12,1.3315150524490139e-11,1.2802442433183576e-12,1.2804830848445182e-11,,
4,0.4,0.00498941,8.315683333333334e-06,4962620.0,285.469,463804.0,-31563.1,-27973500.0,11653.7,Main Bearing_DW,1291.170779194731,1251.7593731489403,12.391691502268067,26264347.20437973,2625802.561324849,45880426.066902764,4587018.272396905,3.1661488742224083e-13,3.166911121123157e-12,1.8124686377601242e-13,1.812873382993534e-12,,
5,0.5,0.00502052,8.367533333333332e-06,4962810.0,371.0,463754.0,-39896.799999999996,-27971200.0,12529.5,Main Bearing_UW,1711.6892710719696,1658.2183340223041,7.189079377676378,6247270.2671244675,624600.4604067843,6496151.386520891,649493.968132191,1.3393903217804586e-12,1.3396617299775602e-11,1.2880754827689887e-12,1.2883157879659161e-11,,
5,0.5,0.00502052,8.367533333333332e-06,4962810.0,371.0,463754.0,-39896.799999999996,-27971200.0,12529.5,Main Bearing_DW,1291.1371241883974,1251.7267445409423,12.39274979523919,26268646.989930026,2626232.4239694104,45889300.14827875,4587905.464136909,3.1853689824759495e-13,3.18613587166297e-12,1.8234170724539124e-13,1.8238242698637337e-12,,
6,0.6000000000000001,0.00515091,8.584850000000001e-06,4962390.0,268.438,463522.0,-44984.299999999996,-27966100.0,13225.699999999999,Main Bearing_UW,1711.5979903751934,1658.129924926086,7.190099898144086,6250226.84555347,624896.0511620715,6499291.283761427,649807.8937569392,1.3735261474721396e-12,1.373804488608211e-11,1.3208901748178871e-12,1.3211366132174391e-11,,
6,0.6000000000000001,0.00515091,8.584850000000001e-06,4962390.0,268.438,463522.0,-44984.299999999996,-27966100.0,13225.699999999999,Main Bearing_DW,1291.0583573874042,1251.6503811628659,12.395081523788862,26280660.336073138,2627433.434724668,45912185.24346319,4590193.415387093,3.266603612777696e-13,3.2673901026533974e-12,1.8698412969185084e-13,1.8702588808615677e-12,,
