idx,dmg_UW,dmg_DW
0,1.3015924179780567e-11,1.843470256921139e-12
1,1.3108132054679724e-11,1.8565036665969077e-12
2,1.3063693149143182e-11,1.8499504731145328e-12
3,1.2962937550298257e-11,1.835465697580954e-12
4,1.2804830848445182e-11,1.812873382993534e-12
5,1.2883157879659161e-11,1.8238242698637337e-12
6,1.3211366132174391e-11,1.8702588808615677e-12
7,1.3557669118221042e-11,1.919482158133947e-12
8,1.3972908682481942e-11,1.9787585643421396e-12
9,1.4501048596130455e-11,2.054374380830032e-12
10,1.49634410721979e-11,2.1205097885018895e-12
11,1.5075483048186413e-11,2.1369588225408336e-12
12,1.5111148367856292e-11,2.1425177852843e-12
13,1.5009388278593248e-11,2.128268467669704e-12
14,1.493692797302834e-11,2.1177001447020312e-12
15,1.5158310116305962e-11,2.1485903684427523e-12
16,1.55373084589802e-11,2.2018872930074494e-12
17,1.6119172438382504e-11,2.284405273749829e-12
18,1.671343563798215e-11,2.3689190471547897e-12
19,1.6958894479606347e-11,2.4040762888606276e-12
20,1.6828956296784377e-11,2.386414017322993e-12
21,1.6454068916424296e-11,2.3339482107670877e-12
22,1.5939707539316868e-11,2.2613179878462506e-12
23,1.5654966247063963e-11,2.220736703755847e-12
24,1.559207689213792e-11,2.2111753288388317e-12
25,1.58402289447282e-11,2.2456217061566573e-12
26,1.6229682927217757e-11,2.2999966203730873e-12
27,1.6464382725344443e-11,2.332507002519335e-12
28,1.6586234545337384e-11,2.349456994925525e-12
29,1.643789252105961e-11,2.32859084051846e-12
30,1.6150055538231115e-11,2.288222247935466e-12
31,1.5870445377910537e-11,2.2492131257409196e-12
32,1.5880137458127842e-11,2.25086190018122e-12
33,1.6259936451949957e-11,2.304717822883226e-12
34,1.6951799184415906e-11,2.4025962563776535e-12
35,1.7706959707349547e-11,2.5091586043354626e-12
36,1.816761488807302e-11,2.5740537544839652e-12
37,1.8373648342158704e-11,2.602745396072705e-12
38,1.845584655607269e-11,2.6141274045062853e-12
39,1.8296280310629687e-11,2.5914344321741113e-12
40,1.8050077379749366e-11,2.556730525050842e-12
41,1.778367000523941e-11,2.5193235870419975e-12
42,1.7812672800305723e-11,2.5241402869328226e-12
43,1.8011698929128997e-11,2.5527882662498176e-12
44,1.8380341877358877e-11,2.6054496170577435e-12
45,1.8752779063909617e-11,2.6584017113137114e-12
46,1.9154329951882414e-11,2.7156103129888696e-12
47,1.9338035268419848e-11,2.741382637376374e-12
48,1.938458158795042e-11,2.7475595231313996e-12
49,1.928474182955021e-11,2.732582558476242e-12
50,1.9133669974770217e-11,2.7103468501889052e-12
51,1.8917564069367583e-11,2.6794315276932368e-12
52,1.8936093978986648e-11,2.682175630774723e-12
53,1.9367811488312468e-11,2.7438112997164715e-12
54,2.0132259637941568e-11,2.852680400280546e-12
55,2.06836462508002e-11,2.931222356470113e-12
56,2.1018104637333782e-11,2.978672854493458e-12
57,2.1117436440997573e-11,2.9921399238821552e-12
58,2.085132543155712e-11,2.953351958046143e-12
59,2.0619198598155434e-11,2.9193460905604982e-12
60,2.040913564226958e-11,2.8887680298944665e-12
61,2.027397541027814e-11,2.8692207869270133e-12
62,2.0324261486571387e-11,2.8761091755682948e-12
63,2.0663374768042426e-11,2.9244455093146643e-12
64,2.1132301223397297e-11,2.9915106532546152e-12
65,2.146117801724884e-11,3.0386307829197495e-12
66,2.1672446680158155e-11,3.0688632717464787e-12
67,2.1720679522576814e-11,3.075563787692569e-12
68,2.150074211903169e-11,3.0443328096867262e-12
69,2.116116096082628e-11,2.9960106629980434e-12
70,2.0995506871065125e-11,2.9724364126914274e-12
71,2.102406148069083e-11,2.976283275114725e-12
72,2.1338648382823952e-11,3.0211282026017208e-12
73,2.1689895981810637e-11,3.071645941711446e-12
74,2.1983059330323992e-11,3.114056794143046e-12
75,2.2096531132836538e-11,3.130985526530971e-12
76,2.1920958181234937e-11,3.107106644471009e-12
77,2.1666104430800585e-11,3.07170151827121e-12
78,2.12077785655892e-11,3.0071411132346074e-12
79,2.0766783813523063e-11,2.9447740619651523e-12
80,2.055912952620327e-11,2.9151594959403405e-12
81,2.0677242756430062e-11,2.9318006995235537e-12
82,2.0990615879478224e-11,2.9757930409644048e-12
83,2.1301157476901372e-11,3.019629528870059e-12
84,2.157668074191261e-11,3.058592598138887e-12
